"","","Player Details","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"232","Terrance Ferguson","TE","LA","11","65.3","15","4.35","8","25","158.7","0","0","0","0.0","0","0","0","0.0","36","23","279","2.5"
"233","Darren Waller","TE","CAR","5","65.1","11","5.92","8","131","999.0","0","0","0","0.0","0","0","0","0.0","37","27","273","1.8"
"234","Keon Coleman","WR","BUF","7","64.7","15","4.31","15","92","234.8","0","0","0","0.0","0","0","0","0.0","35","22","308","2.1"
"235","Emmett Johnson","RB","KC","5","64.6","15","4.31","13","49","149.7","0","0","0","0.0","0","71","300","1.9","14","11","98","0.6"
"236","Tyler Allgeier","RB","ARZ","14","64.3","15","4.29","13","43","132.5","0","0","0","0.0","0","90","380","2.9","5","4","40","0.1"
"237","Colbie Young","WR","CIN","6","63.3","15","4.22","15","307","999.0","0","0","0","0.0","0","0","0","0.0","35","22","299","1.9"
"238","George Holani","RB","SEA","11","63.2","13","4.86","13","76","999.0","0","0","0","0.0","0","52","210","1.2","22","18","133","0.6"
"239","Jaylen Wright","RB","MIA","6","63.0","14","4.50","13","67","215.1","0","0","0","0.0","0","65","268","1.6","18","14","97","0.5"
"240","Jack Bech","WR","LV","13","62.3","15","4.16","15","94","238.2","0","0","0","0.0","0","0","0","0.0","36","23","296","1.7"
"241","Noah Gray","TE","KC","5","62.3","15","4.16","8","140","999.0","0","0","0","0.0","0","0","0","0.0","37","28","255","1.5"
"242","DeMario Douglas","WR","NE","11","62.3","15","4.15","15","284","999.0","0","0","0","0.0","0","4","19","0.0","29","20","310","1.6"
"243","Anthony Richardson","QB","IND","13","60.9","4","15.23","13","77","999.0","112","61","755","3.7","4","24","127","1.3","0","0","0","0.0"
"244","Chimere Dike","WR","TEN","9","59.1","15","3.94","15","89","229.4","0","0","0","0.0","0","0","0","0.0","33","21","261","2.0"
"245","Darnell Washington","TE","PIT","9","58.4","15","3.90","8","129","999.0","0","0","0","0.0","0","0","0","0.0","32","24","244","1.7"
"246","Chris Brooks","RB","GB","11","58.1","15","3.88","13","88","999.0","0","0","0","0.0","0","61","261","1.4","15","12","89","0.4"
"247","Troy Franklin","WR","DEN","10","58.0","15","3.87","15","70","184.7","0","0","0","0.0","0","3","13","0.0","33","20","257","1.8"
"248","Jaydon Blue","RB","DAL","14","58.0","10","5.80","13","72","236.6","0","0","0","0.0","0","62","265","1.6","15","12","77","0.5"
"249","Greg Dortch","WR","DET","6","57.6","12","4.80","15","250","999.0","0","0","0","0.0","0","2","14","0.0","35","25","231","1.4"
"250","Elijah Arroyo","TE","SEA","11","56.8","15","3.79","8","171","999.0","0","0","0","0.0","0","0","0","0.0","32","24","239","1.5"
"251","Jacory Croskey-Merritt","RB","WAS","7","56.4","15","3.76","13","38","114.9","0","0","0","0.0","0","82","347","1.9","6","5","45","0.2"
"252","Zavion Thomas","WR","CHI","10","56.2","15","3.75","16","354","999.0","0","0","0","0.0","0","12","68","0.2","25","16","239","1.4"
"253","John Metchie III","WR","CAR","5","56.1","14","4.01","16","296","999.0","0","0","0","0.0","0","0","0","0.0","34","23","244","1.5"
"254","Roman Wilson","WR","PIT","9","55.9","14","3.99","16","191","999.0","0","0","0","0.0","0","0","0","0.0","37","22","239","1.6"
"255","De'Zhaun Stribling","WR","SF","8","55.8","15","3.72","16","75","202.4","0","0","0","0.0","0","0","0","0.0","26","17","283","1.7"
"256","James Conner","RB","ARZ","14","55.7","15","3.71","13","51","152.2","0","0","0","0.0","0","48","204","1.5","16","13","116","0.3"
"257","Kayshon Boutte","WR","NE","11","55.7","15","3.71","16","68","178.7","0","0","0","0.0","0","0","0","0.0","28","18","279","1.6"
"258","Elic Ayomanor","WR","TEN","9","55.6","15","3.71","16","74","199.8","0","0","0","0.0","0","0","0","0.0","36","21","242","1.7"
"259","Calvin Austin III","WR","NYG","8","55.0","15","3.66","16","293","999.0","0","0","0","0.0","0","0","0","0.0","33","21","249","1.6"
"260","Mike Washington Jr.","RB","LV","13","54.6","15","3.64","13","58","179.1","0","0","0","0.0","0","74","293","1.7","9","7","63","0.4"
