"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"97","Jordan Addison","WR","MIN","6","WR35","79.6","178.3","13","13.71","8","0","0","0","0","0","0.9","5.1","0.0","99.3","64.6","806.6","5.4","-","-","-","","-"
"98","Michael Pittman","WR","IND","11","WR50","121.6","177.6","15","11.84","8","0","0","0","0","0","-","-","-","107.0","73.2","809.6","4.0","-","-","-","-","-"
"99","Jaylen Warren","RB","PIT","5","RB33","96.6","175.1","15","11.67","8","0","0","0","0","0","154.1","681.0","3.9","51.5","43.2","314.0","1.7","-","-","-","-","-"
"100","Ricky Pearsall","WR","SF","14","WR44","98.8","174.6","15","11.64","8","0","0","0","0","0","3.9","22.2","0.1","90.2","62.1","821.8","4.6","-","-","-","","-"
"101","Rome Odunze","WR","CHI","5","WR36","80.8","171.8","15","11.45","8","0","0","0","0","0","1.1","6.4","0.0","96.8","60.4","791.0","5.4","-","-","-","-","-"
"102","Keenan Allen","WR","LAC","12","WR58","159.4","169.3","14","12.09","9","0","0","0","0","0","-","-","-","98.5","64.4","768.4","4.7","-","-","-","-","-"
"103","Stefon Diggs","WR","NE","14","WR40","87.8","168.2","14","12.02","9","0","0","0","0","0","-","-","-","92.2","66.5","748.5","4.6","-","-","-","-","-"
"104","Josh Downs","WR","IND","11","WR48","112.2","167.7","14","11.98","9","0","0","0","0","0","0.4","2.2","0.0","99.9","68.6","764.2","3.8","-","-","-","","-"
"105","Khalil Shakir","WR","BUF","7","WR41","91.9","164.9","14","11.78","9","0","0","0","0","0","0.6","3.0","0.0","88.0","66.6","724.9","4.3","-","-","-","-","-"
"106","Chris Olave","WR","NO","11","WR34","75.5","161.2","15","10.75","9","0","0","0","0","0","0.6","4.2","0.0","96.5","61.1","762.6","4.0","-","-","-","-","-"
"107","David Njoku","TE","CLV","9","TE9","86.5","161.0","15","10.73","4","0","0","0","0","0","-","-","-","99.8","69.5","655.2","4.4","-","-","-","","-"
"108","Tyrone Tracy Jr.","RB","NYG","14","RB31","89.5","160.7","15","10.72","8","0","0","0","0","0","173.6","771.7","4.3","38.7","30.6","223.7","1.1","-","-","-","","-"
"109","T.J. Hockenson","TE","MIN","6","TE5","57.6","160.0","15","10.67","4","0","0","0","0","0","-","-","-","91.8","66.7","712.1","3.7","-","-","-","-","-"
"110","Mark Andrews","TE","BLT","7","TE7","73.5","159.4","15","10.62","4","0","0","0","0","0","6.5","13.1","0.1","73.1","53.6","710.3","5.5","-","-","-","-","-"
"111","Kaleb Johnson","RB","PIT","5","RB29","78.6","158.9","15","10.60","9","0","0","0","0","0","200.5","889.7","5.9","23.4","19.2","131.7","0.6","-","-","-","-","-"
