Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG,Real-Time
38,Garrett Wilson   NYJ (13),WR16,32,44,46,40,39,40.2,42  -4
39,Tetairoa McMillan   CAR (5),WR17,38,37,44,46,36,40.2,38  +1
40,Emeka Egbuka   TB (10),WR18,44,39,42,42,38,41.0,43  -3
41,Lamar Jackson   BAL (13),QB2,34,32,40,54,46,41.2,37  +4
42,Tee Higgins   CIN (6),WR19,51,34,39,51,37,42.4,34  +8
43,Colston Loveland   CHI (10),TE3,41,40,45,48,42,43.2,41  +2
44,Ladd McConkey   LAC (7),WR20,45,38,43,44,54,44.8,36  +8
45,Bucky Irving   TB (10),RB20,50,41,41,39,57,45.6,48  -3
46,D'Andre Swift   CHI (10),RB21,56,55,35,43,44,46.6,46
47,Quinshon Judkins   CLE (11),RB22,49,54,47,38,48,47.2,55  -8
48,Jaylen Waddle   DEN (10),WR21,52,46,49,52,43,48.4,40  +8
49,David Montgomery   HOU (8),RB23,60,49,48,45,47,49.8,47  +2
50,DJ Moore   BUF (7),WR22,55,57,53,33,52,50.0,52  -2
51,Davante Adams   LAR (11),WR23,42,50,56,57,45,50.0,53  -2
52,Tyler Warren   IND (13),TE4,46,47,59,55,51,51.6,49  +3
53,Drake Maye   NE (11),QB3,43,48,51,67,55,52.8,51  +2
54,Joe Burrow   CIN (6),QB4,53,51,50,65,53,54.4,56  -2
55,Luther Burden III   CHI (10),WR24,65,52,60,47,49,54.6,54  +1
56,Terry McLaurin   WAS (7),WR25,54,56,57,56,50,54.6,50  +6
57,Bhayshul Tuten   JAC (7),RB24,61,62,52,49,60,56.8,58  -1
58,Jameson Williams   DET (6),WR26,59,58,54,58,56,57.0,57  +1
59,TreVeyon Henderson   NE (11),RB25,68,53,62,53,62,59.6,65  -6
60,Jadarian Price   SEA (11),RB26,63,67,55,50,66,60.2,60
61,Rome Odunze   CHI (10),WR27,57,65,64,59,64,61.8,59  +2
62,Jayden Daniels   WAS (7),QB5,47,64,61,75,67,62.8,67  -5
63,Jalen Hurts   PHI (10),QB6,48,60,65,78,71,64.4,61  +2
64,Mike Evans   SF (8),WR28,82,61,63,68,65,67.8,62  +2
65,Rhamondre Stevenson   NE (11),RB27,71,81,74,60,58,68.8,72  -7
66,Christian Watson   GB (11),WR29,85,70,66,70,59,70.0,64  +2
67,Harold Fannin Jr.   CLE (11),TE5,64,68,79,66,76,70.6,73  -6
68,Jaylen Warren   PIT (9),RB28,86,71,68,61,72,71.6,70  -2
69,Kyle Pitts Sr.   ATL (11),TE6,58,69,67,84,81,71.8,74  -5
70,Tucker Kraft   GB (11),TE7,77,63,73,73,74,72.0,63  +7
71,Parker Washington   JAC (7),WR30,84,76,77,63,61,72.2,68  +3
72,Marvin Harrison Jr.   ARI (14),WR31,73,75,69,80,73,74.0,71  +1
73,Sam LaPorta   DET (6),TE8,62,59,72,95,84,74.4,66  +7
74,Carnell Tate   TEN (9),WR32,67,66,89,83,68,74.6,69  +5
75,Dak Prescott   DAL (14),QB7,72,78,58,91,79,75.6,79  -4
76,Courtland Sutton   DEN (10),WR33,69,80,78,77,77,76.2,85  -9
77,Caleb Williams   CHI (10),QB8,81,72,70,90,70,76.6,75  +2
78,Rico Dowdle   PIT (9),RB29,91,85,75,62,83,79.2,80  -2
79,Tony Pollard   TEN (9),RB30,95,84,71,71,78,79.8,78  +1
80,Brian Thomas Jr.   JAC (7),WR34,96,73,83,85,69,81.2,77  +3
81,DK Metcalf   PIT (9),WR35,74,74,90,89,80,81.4,76  +5
82,Jonathon Brooks   CAR (5),RB31,104,106,84,64,63,84.2,82
83,RJ Harvey   DEN (10),RB32,130,79,85,69,75,87.6,87  -4
84,Trevor Lawrence   JAC (7),QB9,83,100,76,93,88,88.0,94  -10
85,Michael Wilson   ARI (14),WR36,92,83,101,76,92,88.8,88  -3
86,Justin Herbert   LAC (7),QB10,97,82,87,96,86,89.6,81  +5
87,George Kittle   SF (8),TE9,80,90,86,97,102,91.0,83  +4
88,Chuba Hubbard   CAR (5),RB33,111,77,98,81,90,91.4,89  -1
89,J.K. Dobbins   DEN (10),RB34,108,94,81,82,93,91.6,86  +3
90,Matthew Stafford   LAR (11),QB11,70,96,91,122,94,94.6,110  -20
91,Jaxson Dart   NYG (8),QB12,66,91,106,112,106,96.2,101  -10
92,Alec Pierce   IND (13),WR37,90,101,82,103,107,96.6,95  -3
93,Chris Godwin Jr.   TB (10),WR38,136,95,93,79,85,97.6,84  +9
94,Michael Pittman Jr.   PIT (9),WR39,79,102,113,101,95,98.0,98  -4
95,Travis Kelce   KC (5),TE10,87,92,100,102,114,99.0,92  +3
96,Wan'Dale Robinson   TEN (9),WR40,103,116,107,72,101,99.8,112  -16
97,Brandon Aubrey   DAL (14),K1,75,93,104,113,119,100.8,123  -26
98,Kenny Gainwell   TB (10),RB35,107,111,94,92,100,100.8,103  -5
99,Houston Texans DST   (8),DST1,78,97,99,130,104,101.6,119  -20
100,Kyle Monangai   CHI (10),RB36,119,98,108,87,99,102.2,105  -5
101,Blake Corum   LAR (11),RB37,125,103,105,88,96,103.4,90  +11
102,Jordan Mason   MIN (6),RB38,135,117,97,74,103,105.2,97  +5
103,Stefon Diggs   WAS (7),WR41,115,110,114,105,82,105.2,91  +12
104,Patrick Mahomes II   KC (5),QB13,98,107,96,121,105,105.4,121  -17
105,Jacory Croskey-Merritt   WAS (7),RB39,123,115,103,86,111,107.6,96  +9
106,Isaiah Likely   NYG (8),TE11,118,109,95,94,123,107.8,107  -1
107,Jordan Addison   MIN (6),WR42,106,104,115,107,108,108.0,100  +7
108,Brock Purdy   SF (8),QB14,94,121,92,123,112,108.4,116  -8
109,Bo Nix   DEN (10),QB15,76,120,117,115,115,108.6,109
110,Quentin Johnston   LAC (7),WR43,134,114,102,106,89,109.0,108  +2
111,Dallas Goedert   PHI (10),TE12,88,123,80,139,125,111.0,115  -4
112,Josh Downs   IND (13),WR44,131,108,116,104,98,111.4,102  +10
113,Jake Ferguson   DAL (14),TE13,102,99,120,131,109,112.2,117  -4
114,Makai Lemon   PHI (10),WR45,137,86,132,111,97,112.6,99  +15
115,Denver Broncos DST   (10),DST2,89,119,88,143,127,113.2,136  -21
116,Rachaad White   WAS (7),RB40,128,131,122,99,87,113.4,120  -4
117,Los Angeles Rams DST   (11),DST3,100,88,110,140,130,113.6,113  +4
118,Jakobi Meyers   JAC (7),WR46,105,113,125,116,113,114.4,124  -6
119,Jayden Reed   GB (11),WR47,117,112,128,110,110,115.4,104  +15
120,Aaron Jones Sr.   MIN (6),RB41,120,124,111,109,116,116.0,118  +2
121,De'Zhaun Stribling   SF (8),WR48,144,137,118,98,91,117.6,106  +15
122,Dalton Kincaid   BUF (7),TE14,121,87,124,128,131,118.2,93  +29
123,Seattle Seahawks DST   (11),DST4,101,105,112,145,142,121.0,130  -7
124,Matthew Golden   GB (11),WR49,93,127,136,134,124,122.8,114  +10
125,Jared Goff   DET (6),QB16,133,133,109,124,117,123.2,135  -10
126,KC Concepcion   CLE (11),WR50,140,122,126,117,118,124.6,111  +15
127,Mark Andrews   BAL (13),TE15,113,129,119,132,139,126.4,125  +2
128,Romeo Doubs   NE (11),WR51,148,132,141,125,122,133.6,126  +2
129,Xavier Worthy   KC (5),WR52,114,140,142,146,128,134.0,132  -3
130,Deebo Samuel Sr.   SF (8),WR53,122,138,127,138,145,134.0,129  +1
131,Cameron Dicker   LAC (7),K2,99,118,140,148,172,135.4,133  -2
132,Woody Marks   HOU (8),RB42,145,160,137,100,143,137.0,138  -6
133,Jason Myers   SEA (11),K3,110,125,121,167,167,138.0,141  -8
134,Ka'imi Fairbairn   HOU (8),K4,124,130,130,155,151,138.0,146  -12
135,Baker Mayfield   TB (10),QB17,143,144,131,142,134,138.8,160  -25
136,Kyler Murray   MIN (6),QB18,142,159,135,137,126,139.8,142  -6
137,Chris Rodriguez Jr.   JAC (7),RB43,173,142,138,118,129,140.0,127  +10
138,Jordyn Tyson   NO (8),WR54,180,89,144,144,144,140.2,122  +16
139,Philadelphia Eagles DST   (10),DST5,132,126,129,156,162,141.0,147  -8
140,Khalil Shakir   BUF (7),WR55,116,141,159,158,135,141.8,140
141,Zach Charbonnet   SEA (11),RB44,153,147,139,126,149,142.8,143  -2
142,Mike Washington Jr.   LV (13),RB45,166,170,133,108,141,143.6,128  +14
143,Rashid Shaheed   SEA (11),WR56,152,148,143,127,148,143.6,139  +4
144,Tyler Allgeier   ARI (14),RB46,165,146,151,119,140,144.2,137  +7
145,Tyjae Spears   TEN (9),RB47,158,166,145,114,147,146.0,144  +1
146,Jalen Coker   CAR (5),WR57,160,145,154,147,133,147.8,131  +15
147,Jordan Love   GB (11),QB19,157,149,149,162,132,149.8,149  -2
148,Cam Little   JAC (7),K5,138,134,163,157,171,152.6,158  -10
149,Tyler Shough   NO (8),QB20,151,183,152,152,138,155.2,168  -19
150,Juwan Johnson   NO (8),TE16,163,186,148,133,155,157.0,148  +2
151,Alvin Kamara   NO (8),RB48,161,161,156,151,157,157.2,165  -14
152,Pittsburgh Steelers DST   (9),DST6,109,162,150,195,176,158.4,192  -40
153,New England Patriots DST   (11),DST7,149,136,155,179,174,158.6,152  +1
154,MarShawn Lloyd   GB (11),RB49,200,197,157,120,120,158.8,134  +20
155,Isiah Pacheco   DET (6),RB50,164,184,153,141,153,159.0,164  -9
156,Hunter Henry   NE (11),TE17,139,139,170,164,193,161.0,153  +3
157,Keaton Mitchell   LAC (7),RB51,196,179,164,135,136,162.0,145  +12
158,Baltimore Ravens DST   (13),DST8,127,135,160,220,184,165.2,178  -20
159,Brenton Strange   JAC (7),TE18,182,153,147,198,154,166.8,156  +3
160,Minnesota Vikings DST   (6),DST9,191,151,123,191,179,167.0,172  -12
161,Brian Robinson Jr.   ATL (11),RB52,170,155,184,160,170,167.8,159  +2
162,Jonah Coleman   DEN (10),RB53,205,168,161,129,177,168.0,155  +7
163,T.J. Hockenson   MIN (6),TE19,129,164,196,173,180,168.4,174  -11
164,Malik Willis   MIA (6),QB21,179,193,162,165,146,169.0,177  -13
165,Denzel Boston   CLE (11),WR58,176,165,176,170,158,169.0,150  +15
166,Keenan Allen   IND (13),WR59,178,196,182,171,121,169.6,154  +12
167,Jake Bates   DET (6),K6,156,143,165,196,189,169.8,184  -17
168,Kenyon Sadiq   NYJ (13),TE20,147,152,187,188,178,170.4,180  -12
169,Harrison Mevis   LAR (11),K7,126,150,181,211,201,173.8,199  -30
170,Tank Bigsby   PHI (10),RB54,203,176,174,153,165,174.2,151  +19
171,Tank Dell   HOU (8),WR60,154,174,178,178,188,174.4,176  -5
172,Ja'Kobi Lane   BAL (13),WR61,183,157,168,159,221,177.6,161  +11
173,Jacksonville Jaguars DST   (7),DST10,186,169,180,187,181,180.6,193  -20
174,Los Angeles Chargers DST   (7),DST11,169,177,167,206,186,181.0,212  -38
175,Daniel Jones   IND (13),QB22,159,203,158,199,196,183.0,198  -23
176,Jerry Jeudy   CLE (11),WR62,174,189,193,172,194,184.4,187  -11
177,Detroit Lions DST   (6),DST12,150,154,172,233,214,184.6,231  -54
178,Tre Tucker   LV (13),WR63,190,202,185,192,160,185.8,170  +8
179,C.J. Stroud   HOU (8),QB23,172,204,166,200,191,186.6,194  -15
180,Chig Okonkwo   WAS (7),TE21,233,185,189,169,163,187.8,169  +11
181,Harrison Butker   KC (5),K8,141,173,188,223,218,188.6,218  -37
182,Dalton Schultz   HOU (8),TE22,189,192,173,208,185,189.4,166  +16
183,Tyler Loop   BAL (13),K9,171,200,203,201,183,191.6,185  -2
184,Eddy Pineiro   SF (8),K10,146,190,198,226,208,193.6,219  -35
185,Sam Darnold   SEA (11),QB24,162,175,146,185,310,195.6,181  +4
186,Tyrone Tracy Jr.   NYG (8),RB55,,163,134,136,137,142.5,162  +24
187,Green Bay Packers DST   (11),DST13,193,201,207,218,207,205.2,238  -51
188,Dallas Cowboys DST   (14),DST14,177,198,190,212,252,205.8,242  -54
189,Evan McPherson   CIN (6),K11,206,180,204,232,211,206.6,201  -12
190,Will Reichard   MIN (6),K12,181,171,202,236,259,209.8,189  +1
191,Calvin Ridley   TEN (9),WR64,188,321,192,150,202,210.6,264  -73
192,Buffalo Bills DST   (7),DST15,197,218,191,229,223,211.6,235  -43
193,Dylan Sampson   CLE (11),RB56,,187,169,154,161,167.8,163  +30
194,Cairo Santos   CHI (10),K13,192,257,194,237,247,225.4,229  -35
195,Jalen Nailor   LV (13),WR65,,181,197,161,168,176.8,173  +22
196,Braelon Allen   NYJ (13),RB57,,205,171,166,175,179.3,182  +14
197,Cleveland Browns DST   (11),DST16,155,354,201,235,222,233.4,271  -74
198,Cyrus Allen   KC (5),WR66,213,172,,190,150,181.3,171  +27
199,Terrance Ferguson   LAR (11),TE23,175,206,,207,159,186.8,179  +20
200,Jauan Jennings   MIN (6),WR67,,195,210,203,152,190.0,191  +9
201,Kaelon Black   SF (8),RB58,,225,177,176,182,190.0,207  -6
202,Jalen McMillan   TB (10),WR68,187,209,,209,169,193.5,197  +5
203,AJ Barner   SEA (11),TE24,210,182,205,,210,201.8,195  +8
204,Wil Lutz   DEN (10),K14,227,322,213,221,274,251.4,258  -54
205,James Conner   ARI (14),RB59,,213,209,183,209,203.5,217  -12
206,Chris Boswell   PIT (9),K15,167,158,,225,265,203.8,208  -2
207,Kansas City Chiefs DST   (5),DST17,168,231,206,,216,205.3,257  -50
208,Cooper Kupp   SEA (11),WR69,199,224,199,,213,208.8,183  +25
209,David Njoku   LAC (7),TE25,217,207,,168,246,209.5,259  -50
210,Caleb Douglas   MIA (6),WR70,214,216,,175,235,210.0,196  +14
211,Cam Ward   TEN (9),QB25,201,242,,224,198,216.3,272  -61
212,Chicago Bears DST   (10),DST18,211,228,200,,231,217.5,246  -34
213,Greg Dulcich   MIA (6),TE26,,248,211,214,212,221.3,237  -24
214,Trey Smack   GB (11),K16,184,214,,231,266,223.8,214
215,Tyreek Hill,WR71,230,211,,215,256,228.0,226  -11
216,Chase McLaughlin   TB (10),K17,,229,208,234,263,233.5,232  -16
217,New York Giants DST   (8),DST19,209,270,,227,262,242.0,225  -8
218,Malik Washington   MIA (6),WR72,,199,,180,173,184.0,175  +43
219,Kayshon Boutte   HOU (8),WR73,,240,,149,164,184.3,203  +16
220,Omar Cooper Jr.   NYJ (13),WR74,,188,,222,166,192.0,188  +32
221,Emmett Johnson   KC (5),RB60,,208,,182,217,202.3,186  +35
222,Ray Davis   BUF (7),RB61,,235,,189,195,206.3,211  +11
223,Fernando Mendoza   LV (13),QB26,185,178,,,260,207.7,206  +17
224,Tre' Harris   LAC (7),WR75,,252,,181,197,210.0,245  -21
225,Tyler Bass   BUF (7),K18,215,395,,238,236,271.0,261  -36
226,Andy Borregales   NE (11),K19,,156,,230,254,213.3,247  -21
227,Jaydon Blue   DAL (14),RB62,,250,,193,200,214.3,210  +17
228,Bryce Young   CAR (5),QB27,194,247,,,205,215.3,255  -27
229,Malachi Fields   NYG (8),WR76,,226,,184,243,217.7,239  -10
230,Jordan James   SF (8),RB63,,,195,228,230,217.7,268  -38
231,San Francisco 49ers DST   (8),DST20,195,221,,,238,218.0,248  -17
232,Adonai Mitchell   NYJ (13),WR77,,258,,194,204,218.7,190  +42
233,Atlanta Falcons DST   (11),DST21,,241,186,,240,222.3,
234,Kimani Vidal   LAC (7),RB64,,266,,202,199,222.3,213  +21
235,Aaron Rodgers   PIT (9),QB28,204,244,,,227,225.0,204  +31
236,Nicholas Singleton   TEN (9),RB65,,210,,217,248,225.0,200  +36
237,Najee Harris   NYG (8),RB66,,220,,177,285,227.3,205  +32
238,Kaytron Allen   WAS (7),RB67,,273,,186,241,233.3,249  -11
239,Cade Otton   TB (10),TE27,,260,212,,228,233.3,273  -34
240,Pat Freiermuth   PIT (9),TE28,202,276,,,224,234.0,220  +20
241,Jake Elliott   PHI (10),K20,198,217,,,294,236.3,281  -40
242,Sean Tucker   TB (10),RB68,,293,,205,225,241.0,236  +6
243,Travis Hunter   JAC (7),WR78,112,167,,,,139.5,167  +76
244,Jacoby Brissett   ARI (14),QB29,,291,,216,219,242.0,215  +29
245,Oronde Gadsden II   LAC (7),TE29,,128,,,156,142.0,157  +88
246,New Orleans Saints DST   (8),DST22,,297,183,,255,245.0,
247,Shedeur Sanders   CLE (11),QB30,218,261,,,269,249.3,278  -31
248,Chris Bell   MIA (6),WR79,,279,,204,273,252.0,269  -21
249,J.J. McCarthy   MIN (6),QB31,226,230,,,307,254.3,
250,Jaylen Wright   MIA (6),RB69,,304,,210,250,254.7,254  -4
251,Carolina Panthers DST   (5),DST23,232,269,,,282,261.0,
252,Devaughn Vele   NO (8),WR80,,275,,219,297,263.7,228  +24
253,Cincinnati Bengals DST   (6),DST24,239,281,,,291,270.3,
254,Christian Kirk   SF (8),WR81,262,284,,,275,273.7,
255,Dontayvion Wicks   PHI (10),WR82,,,,174,203,188.5,202  +53
256,Justice Hill   BAL (13),RB70,,,,197,190,193.5,277  -21
257,George Holani   SEA (11),RB71,,,,163,229,196.0,234  +23
258,Eli Stowers   PHI (10),TE30,301,271,,,276,282.7,
259,Zachariah Branch   ATL (11),WR83,,191,,,220,205.5,209  +50
260,Kyle Williams   NE (11),WR84,269,227,,,370,288.7,
261,Isaac TeSlaa   DET (6),WR85,,233,,,192,212.5,222  +39
262,Ty Simpson   LAR (11),QB32,268,286,,,325,293.0,
263,Ryan Flournoy   DAL (14),WR86,,251,,,187,219.0,216  +47
264,Las Vegas Raiders DST   (13),DST25,224,375,,,286,295.0,
265,Brandon Aiyuk   SF (8),WR87,287,316,,,292,298.3,
266,Nick Folk   ATL (11),K21,,383,179,,351,304.3,267  -1
267,Antonio Williams   WAS (7),WR88,,263,,,206,234.5,251  +16
268,Indianapolis Colts DST   (13),DST26,,222,,,258,240.0,
269,Tennessee Titans DST   (9),DST27,279,363,,,284,308.7,275  -6
270,Gunnar Helm   TEN (9),TE31,,256,,,232,244.0,221  +49
271,Joe Mixon,RB72,319,238,,,377,311.3,233  +38
272,Jaylin Noel   HOU (8),WR89,,215,,,277,246.0,250  +22
273,Washington Commanders DST   (7),DST28,219,,,,279,249.0,
274,Germie Bernard   PIT (9),WR90,,249,,,249,249.0,256  +18
275,Rashod Bateman   BAL (13),WR91,,255,,,245,250.0,265  +10
276,Pat Bryant   DEN (10),WR92,,237,,,268,252.5,223  +53
277,Tampa Bay Buccaneers DST   (10),DST29,,254,,,253,253.5,
278,Michael Penix Jr.   ATL (11),QB33,,239,,,271,255.0,
279,Troy Franklin   DEN (10),WR93,,285,,,226,255.5,279
280,Mason Taylor   NYJ (13),TE32,,232,,,280,256.0,
281,Ted Hurst III   TB (10),WR94,,274,,,239,256.5,266  +15
282,Tua Tagovailoa   ATL (11),QB34,,262,,,251,256.5,
283,Matt Gay   LV (13),K22,208,347,,,406,320.3,
284,Miami Dolphins DST   (6),DST30,212,396,,,359,322.3,
285,Darnell Washington   PIT (9),TE33,220,,,,304,262.0,
286,Darnell Mooney   NYG (8),WR95,,310,,,215,262.5,
287,Marvin Mims Jr.   DEN (10),WR96,,223,,,305,264.0,252  +35
288,Devin Singletary   NYG (8),RB73,463,,,213,316,330.7,
289,Cole Kmet   CHI (10),TE34,222,,,,308,265.0,
290,Jack Bech   LV (13),WR97,,268,,,267,267.5,276  +14
291,Keon Coleman   BUF (7),WR98,,259,,,278,268.5,253  +38
292,Riley Patterson   MIA (6),K23,254,356,,,375,328.3,
293,Emanuel Wilson   SEA (11),RB74,,313,,,233,273.0,
294,Tory Horton   SEA (11),WR99,,243,,,303,273.0,
295,Jake Tonges   SF (8),TE35,,282,,,270,276.0,230  +65
296,Colby Parkinson   LAR (11),TE36,,317,,,237,277.0,244  +52
297,Arizona Cardinals DST   (14),DST31,231,366,,,411,336.0,
298,Drew Stevens   WAS (7),K24,253,,,,311,282.0,
299,Jameis Winston   NYG (8),QB35,261,,,,306,283.5,
300,Hollywood Brown   PHI (10),WR100,281,,,,288,284.5,
301,Blake Grupe   IND (13),K25,,,175,,395,285.0,
302,Demond Claiborne   MIN (6),RB75,,289,,,281,285.0,241  +61
303,Kirk Cousins   LV (13),QB36,329,,,,244,286.5,
304,Dawson Knox   BUF (7),TE37,225,,,,352,288.5,
305,Drew Allar   PIT (9),QB37,245,,,,337,291.0,
306,Tommy DeVito   NE (11),QB38,252,,,,331,291.5,
307,Elic Ayomanor   TEN (9),WR101,,283,,,300,291.5,
308,Luke McCaffrey   WAS (7),WR102,251,,,,334,292.5,
309,Devontez Walker   BAL (13),WR103,302,,,,287,294.5,
310,Ben Sauls   NYG (8),K26,229,,,,361,295.0,
311,Trey Benson   ARI (14),RB76,290,326,,,422,346.0,
312,John Samuel Shenker,TE38,328,267,,,,297.5,
313,Kendre Miller   NO (8),RB77,,234,,,363,298.5,274  +39
314,Chad Ryland   ARI (14),K27,241,,,,358,299.5,
315,Theo Johnson   NYG (8),TE39,,253,,,346,299.5,
316,Joe Flacco   CIN (6),QB39,259,,,,343,301.0,
317,Jason Sanders   NYJ (13),K28,235,,,,368,301.5,
318,Brashard Smith   KC (5),RB78,,236,,,373,304.5,
319,Kyle Allen   BUF (7),QB40,285,,,,326,305.5,
320,Colbie Young   CIN (6),WR104,304,,,,309,306.5,
321,Andre Szmyt   CLE (11),K29,242,,,,372,307.0,
322,Josh Williams   TB (10),RB79,266,,,,348,307.0,
323,Kaleb Johnson   PIT (9),RB80,,219,,,401,310.0,263  +60
324,Elijah Sarratt   BAL (13),WR105,414,245,,,407,355.3,
325,Mac Jones   SF (8),QB41,300,,,,322,311.0,
326,Ja'Tavion Sanders   CAR (5),TE40,260,,,,365,312.5,
327,Joey Slye   TEN (9),K30,236,,,,390,313.0,
328,Elijah Arroyo   SEA (11),TE41,244,,,,382,313.0,
329,Chimere Dike   TEN (9),WR106,,246,,,380,313.0,262  +67
330,Ryan Fitzgerald   CAR (5),K31,228,,,,403,315.5,
331,Carson Beck   ARI (14),QB42,330,,,,301,315.5,
332,Joshua Palmer   BUF (7),WR107,271,,,,362,316.5,
333,Jake Moody,K32,265,,,,369,317.0,
334,Tyler Higbee   LAR (11),TE42,234,,,,404,319.0,
335,Eli Raridon   NE (11),TE43,280,,,,360,320.0,
336,Justin Fields   KC (5),QB43,331,,,,312,321.5,
337,Devin Neal   NO (8),RB81,,212,,,435,323.5,270  +67
338,Spencer Shrader   IND (13),K33,243,,,,408,325.5,
339,Odell Beckham Jr.   NYG (8),WR108,207,,,,,207.0,
340,J.J. Taylor,RB82,323,329,,,,326.0,
341,Skyler Bell   BUF (7),WR109,307,,,,350,328.5,
342,Jordan Whittington   LAR (11),WR110,282,,,,378,330.0,
343,Justin Tucker,K34,216,,,,,216.0,
344,Zavion Thomas   CHI (10),WR111,305,,,,356,330.5,
345,Max Klare   LAR (11),TE44,405,307,,,394,368.7,
346,Philip Rivers,QB44,221,,,,,221.0,
347,KaVontae Turpin   DAL (14),WR112,238,,,,429,333.5,
348,Younghoe Koo,K35,223,,,,,223.0,
349,Konata Mumpfield   LAR (11),WR113,342,,,,328,335.0,
350,Evan Engram   DEN (10),TE45,,,,,234,234.0,
351,Noah Gray   KC (5),TE46,248,,,,432,340.0,
352,Tommy Tremble   CAR (5),TE47,267,,,,417,342.0,
353,Lil'Jordan Humphrey   DEN (10),WR114,240,,,,,240.0,
354,Mike Gesicki   CIN (6),TE48,,,,,242,242.0,
355,AJ Dillon   CAR (5),RB83,372,,,,317,344.5,
356,Caden Davis,K36,246,,,,,246.0,
357,Sal Cannella,TE49,247,,,,,247.0,
358,Dominic Zvada   NYG (8),K37,249,,,,,249.0,
359,Brock Wright   DET (6),TE50,250,,,,,250.0,
360,Tyrod Taylor   GB (11),QB45,356,,,,341,348.5,
361,Malik Davis   DAL (14),RB84,403,,,,295,349.0,
362,Cade Klubnik   NYJ (13),QB46,364,,,,335,349.5,
363,Tyler Huntley   BAL (13),QB47,360,,,,339,349.5,
364,Luke Schoonmaker   DAL (14),TE51,255,,,,,255.0,
365,Elijah Higgins   ARI (14),TE52,303,,,,398,350.5,
366,Ezekiel Elliott,RB85,257,,,,,257.0,
367,Emari Demercado   KC (5),RB86,,,,,257,257.0,
368,DeWayne McBride,RB87,258,,,,,258.0,
369,Samaje Perine   CIN (6),RB88,,,,,261,261.0,240  +129
370,Josh Oliver   MIN (6),TE53,272,,,,434,353.0,
371,Jermar Jefferson   MIN (6),RB89,263,,,,,263.0,
372,Geno Smith   NYJ (13),QB48,,,,,264,264.0,260  +112
373,Kadarius Toney,WR115,264,,,,,264.0,
374,Braydon Johnson,WR116,,264,,,,264.0,
375,Audric Estime   NO (8),RB90,,265,,,,265.0,
376,Mack Hollins   NE (11),WR117,299,,,,413,356.0,
377,Will Kacmarek   MIA (6),TE54,337,,,,376,356.5,
378,Kyle Juszczyk   SF (8),RB91,270,,,,,270.0,
