capture_order,pair_index,branch,complete,failure_reason,roster_spend,nominal_lineup_ppg,qb_count,rb_count,wr_count,te_count,starters,roster,salary_map
12,6,buy,True,,291.0,108.98153750714218,1,5,5,2,Brock Purdy | Jahmyr Gibbs | Bijan Robinson | Jordan Addison | Wan'Dale Robinson | Harold Fannin Jr. | Chase Brown | Bhayshul Tuten,Antonio Williams | Bhayshul Tuten | Bijan Robinson | Brock Purdy | Chase Brown | Dalton Kincaid | Harold Fannin Jr. | Jahmyr Gibbs | Jordan Addison | KC Concepcion | Romeo Doubs | Wan'Dale Robinson | Zach Charbonnet,"{""Antonio Williams"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brock Purdy"": 4.0, ""Chase Brown"": 34.0, ""Dalton Kincaid"": 8.0, ""Harold Fannin Jr."": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 4.0, ""KC Concepcion"": 2.0, ""Romeo Doubs"": 2.0, ""Wan'Dale Robinson"": 4.0, ""Zach Charbonnet"": 2.0}"
13,6,pass,True,,252.0,102.84963769738688,1,6,5,1,Jayden Daniels | Jahmyr Gibbs | Chase Brown | Michael Wilson | Jordan Addison | Harold Fannin Jr. | D'Andre Swift | Bhayshul Tuten,Bhayshul Tuten | Chase Brown | D'Andre Swift | Harold Fannin Jr. | Jahmyr Gibbs | Jayden Daniels | Jordan Addison | KC Concepcion | Michael Wilson | Romeo Doubs | Tony Pollard | Wan'Dale Robinson | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 34.0, ""Harold Fannin Jr."": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jayden Daniels"": 12.0, ""Jordan Addison"": 4.0, ""KC Concepcion"": 2.0, ""Michael Wilson"": 11.0, ""Romeo Doubs"": 2.0, ""Tony Pollard"": 23.0, ""Wan'Dale Robinson"": 4.0, ""Zach Charbonnet"": 2.0}"
14,7,buy,True,,293.0,108.43190429509909,1,6,5,1,Patrick Mahomes | Jahmyr Gibbs | Bijan Robinson | Chris Godwin Jr. | Makai Lemon | George Kittle | Chase Brown | Bhayshul Tuten,Adonai Mitchell | Alvin Kamara | Bhayshul Tuten | Bijan Robinson | Braelon Allen | Chase Brown | Chris Godwin Jr. | George Kittle | Jahmyr Gibbs | Khalil Shakir | Makai Lemon | Patrick Mahomes | Xavier Worthy,"{""Adonai Mitchell"": 2.0, ""Alvin Kamara"": 3.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Braelon Allen"": 3.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 3.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Khalil Shakir"": 5.0, ""Makai Lemon"": 8.0, ""Patrick Mahomes"": 3.0, ""Xavier Worthy"": 4.0}"
15,7,pass,True,,257.0,102.56791141199086,1,6,5,1,Jayden Daniels | Jahmyr Gibbs | Chase Brown | Michael Wilson | Jordan Addison | Sam LaPorta | D'Andre Swift | Bhayshul Tuten,Bhayshul Tuten | Chase Brown | D'Andre Swift | Jacory Croskey-Merritt | Jahmyr Gibbs | Jakobi Meyers | Jayden Daniels | Jordan Addison | Michael Pittman | Michael Wilson | Sam LaPorta | Tony Pollard | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""D'Andre Swift"": 24.0, ""Jacory Croskey-Merritt"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 6.0, ""Jayden Daniels"": 11.0, ""Jordan Addison"": 4.0, ""Michael Pittman"": 7.0, ""Michael Wilson"": 11.0, ""Sam LaPorta"": 6.0, ""Tony Pollard"": 23.0, ""Xavier Worthy"": 4.0}"
16,8,buy,True,,287.0,107.17531445561359,1,6,5,1,Jared Goff | Jahmyr Gibbs | Bijan Robinson | Jordan Addison | KC Concepcion | George Kittle | Chase Brown | Bhayshul Tuten,Bhayshul Tuten | Bijan Robinson | Chase Brown | Denzel Boston | George Kittle | Jahmyr Gibbs | Jared Goff | Jerry Jeudy | Jordan Addison | KC Concepcion | Kaytron Allen | Khalil Shakir | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Denzel Boston"": 3.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jared Goff"": 2.0, ""Jerry Jeudy"": 3.0, ""Jordan Addison"": 3.0, ""KC Concepcion"": 8.0, ""Kaytron Allen"": 2.0, ""Khalil Shakir"": 2.0, ""Zach Charbonnet"": 2.0}"
17,8,pass,True,,232.0,101.56660646589793,1,6,5,1,Justin Herbert | Jahmyr Gibbs | Chase Brown | Christian Watson | Marvin Harrison Jr. | George Kittle | Bhayshul Tuten | Tony Pollard,Bhayshul Tuten | Chase Brown | Christian Watson | Denzel Boston | George Kittle | Jahmyr Gibbs | Jordan Addison | Justin Herbert | Marvin Harrison Jr. | Michael Wilson | RJ Harvey | Tony Pollard | Zach Charbonnet,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 13.0, ""Denzel Boston"": 3.0, ""George Kittle"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 3.0, ""Justin Herbert"": 3.0, ""Marvin Harrison Jr."": 16.0, ""Michael Wilson"": 9.0, ""RJ Harvey"": 10.0, ""Tony Pollard"": 16.0, ""Zach Charbonnet"": 2.0}"
18,9,buy,True,,291.0,108.09390522378857,1,6,5,1,Patrick Mahomes | Jahmyr Gibbs | Bijan Robinson | Quentin Johnston | Josh Downs | Dalton Kincaid | Chase Brown | Bhayshul Tuten,Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Rodriguez Jr. | Dalton Kincaid | Emanuel Wilson | Ja'Kobi Lane | Jahmyr Gibbs | Jakobi Meyers | Josh Downs | Patrick Mahomes | Quentin Johnston | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Rodriguez Jr."": 4.0, ""Dalton Kincaid"": 2.0, ""Emanuel Wilson"": 3.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 5.0, ""Josh Downs"": 7.0, ""Patrick Mahomes"": 2.0, ""Quentin Johnston"": 4.0, ""Xavier Worthy"": 2.0}"
19,9,pass,True,,253.0,104.32763910723673,1,6,5,1,Lamar Jackson | Jahmyr Gibbs | Chase Brown | Marvin Harrison Jr. | DK Metcalf | George Kittle | D'Andre Swift | Bhayshul Tuten,Bhayshul Tuten | Chase Brown | Chuba Hubbard | D'Andre Swift | DK Metcalf | George Kittle | Jahmyr Gibbs | Jakobi Meyers | Lamar Jackson | Marvin Harrison Jr. | Matthew Golden | Quentin Johnston | Tony Pollard,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Chuba Hubbard"": 9.0, ""D'Andre Swift"": 34.0, ""DK Metcalf"": 7.0, ""George Kittle"": 6.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 5.0, ""Lamar Jackson"": 10.0, ""Marvin Harrison Jr."": 9.0, ""Matthew Golden"": 2.0, ""Quentin Johnston"": 4.0, ""Tony Pollard"": 12.0}"
20,10,buy,True,,294.0,107.51969600753124,1,5,5,2,Justin Herbert | Jahmyr Gibbs | Bijan Robinson | Makai Lemon | Josh Downs | Kyle Pitts | Chase Brown | Bhayshul Tuten,Alvin Kamara | Bhayshul Tuten | Bijan Robinson | Chase Brown | Jahmyr Gibbs | Jakobi Meyers | Josh Downs | Justin Herbert | Khalil Shakir | Kyle Pitts | Makai Lemon | Pat Freiermuth | Ryan Flournoy,"{""Alvin Kamara"": 2.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 5.0, ""Josh Downs"": 6.0, ""Justin Herbert"": 2.0, ""Khalil Shakir"": 3.0, ""Kyle Pitts"": 4.0, ""Makai Lemon"": 6.0, ""Pat Freiermuth"": 2.0, ""Ryan Flournoy"": 4.0}"
21,10,pass,True,,237.0,103.80332581203334,1,6,4,2,Brock Purdy | Jahmyr Gibbs | Chase Brown | Jameson Williams | Alec Pierce | Kyle Pitts | Bhayshul Tuten | Jaylen Warren,Alec Pierce | Bhayshul Tuten | Brock Purdy | Chase Brown | Jahmyr Gibbs | Jakobi Meyers | Jameson Williams | Jaylen Warren | Khalil Shakir | Kyle Pitts | Pat Freiermuth | RJ Harvey | Rhamondre Stevenson,"{""Alec Pierce"": 7.0, ""Bhayshul Tuten"": 11.0, ""Brock Purdy"": 6.0, ""Chase Brown"": 34.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 5.0, ""Jameson Williams"": 19.0, ""Jaylen Warren"": 15.0, ""Khalil Shakir"": 3.0, ""Kyle Pitts"": 4.0, ""Pat Freiermuth"": 2.0, ""RJ Harvey"": 7.0, ""Rhamondre Stevenson"": 14.0}"
22,11,buy,True,,295.0,107.17315956860321,1,6,5,1,Bo Nix | Jahmyr Gibbs | Bijan Robinson | Xavier Worthy | Matthew Golden | George Kittle | Chase Brown | Bhayshul Tuten,Bhayshul Tuten | Bijan Robinson | Bo Nix | Chase Brown | Chris Rodriguez Jr. | Denzel Boston | George Kittle | Ja'Kobi Lane | Jahmyr Gibbs | KC Concepcion | Kaelon Black | Matthew Golden | Xavier Worthy,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Bo Nix"": 2.0, ""Chase Brown"": 34.0, ""Chris Rodriguez Jr."": 4.0, ""Denzel Boston"": 3.0, ""George Kittle"": 6.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""KC Concepcion"": 3.0, ""Kaelon Black"": 2.0, ""Matthew Golden"": 6.0, ""Xavier Worthy"": 7.0}"
23,11,pass,True,,248.0,106.2756688599405,1,6,5,1,Jayden Daniels | Jahmyr Gibbs | Chase Brown | Tee Higgins | Jameson Williams | George Kittle | Bhayshul Tuten | Christian Watson,Bhayshul Tuten | Carnell Tate | Chase Brown | Christian Watson | George Kittle | Ja'Kobi Lane | Jacory Croskey-Merritt | Jahmyr Gibbs | Jameson Williams | Jayden Daniels | Kaelon Black | Seth McGowan | Tee Higgins,"{""Bhayshul Tuten"": 11.0, ""Carnell Tate"": 14.0, ""Chase Brown"": 34.0, ""Christian Watson"": 11.0, ""George Kittle"": 6.0, ""Ja'Kobi Lane"": 2.0, ""Jacory Croskey-Merritt"": 8.0, ""Jahmyr Gibbs"": 110.0, ""Jameson Williams"": 16.0, ""Jayden Daniels"": 10.0, ""Kaelon Black"": 2.0, ""Seth McGowan"": 2.0, ""Tee Higgins"": 22.0}"
24,12,buy,True,,298.0,107.76446782816082,1,6,4,2,Patrick Mahomes | Jahmyr Gibbs | Bijan Robinson | Jordan Addison | Stefon Diggs | George Kittle | Chase Brown | Bhayshul Tuten,Aaron Jones | Bhayshul Tuten | Bijan Robinson | Brian Robinson | Chase Brown | Chig Okonkwo | George Kittle | Ja'Kobi Lane | Jahmyr Gibbs | Jordan Addison | Patrick Mahomes | Romeo Doubs | Stefon Diggs,"{""Aaron Jones"": 7.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Brian Robinson"": 2.0, ""Chase Brown"": 34.0, ""Chig Okonkwo"": 3.0, ""George Kittle"": 7.0, ""Ja'Kobi Lane"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jordan Addison"": 3.0, ""Patrick Mahomes"": 4.0, ""Romeo Doubs"": 4.0, ""Stefon Diggs"": 6.0}"
25,12,pass,True,,257.0,105.00604484189829,1,6,5,1,Dak Prescott | Jahmyr Gibbs | Chase Brown | Jameson Williams | Christian Watson | Sam LaPorta | Bhayshul Tuten | Jaylen Warren,Bhayshul Tuten | Chase Brown | Christian Watson | DK Metcalf | Dak Prescott | Jahmyr Gibbs | Jakobi Meyers | Jameson Williams | Jaylen Warren | Jordan Addison | Kaelon Black | Sam LaPorta | Tony Pollard,"{""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 10.0, ""DK Metcalf"": 15.0, ""Dak Prescott"": 3.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 9.0, ""Jameson Williams"": 19.0, ""Jaylen Warren"": 18.0, ""Jordan Addison"": 3.0, ""Kaelon Black"": 2.0, ""Sam LaPorta"": 8.0, ""Tony Pollard"": 15.0}"
26,13,buy,True,,297.0,110.08540739304244,1,5,6,1,Dak Prescott | Jahmyr Gibbs | Bijan Robinson | Alec Pierce | Chris Godwin Jr. | Harold Fannin Jr. | Chase Brown | Bhayshul Tuten,Alec Pierce | Bhayshul Tuten | Bijan Robinson | Chase Brown | Chris Godwin Jr. | Dak Prescott | Deebo Samuel Sr. | Harold Fannin Jr. | Jahmyr Gibbs | Jalen Nailor | Jordan Addison | MarShawn Lloyd | Xavier Worthy,"{""Alec Pierce"": 8.0, ""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Chris Godwin Jr."": 4.0, ""Dak Prescott"": 7.0, ""Deebo Samuel Sr."": 2.0, ""Harold Fannin Jr."": 4.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Nailor"": 2.0, ""Jordan Addison"": 4.0, ""MarShawn Lloyd"": 3.0, ""Xavier Worthy"": 3.0}"
27,13,pass,True,,250.0,103.18402878377853,1,4,6,2,Dak Prescott | Jahmyr Gibbs | Chase Brown | Christian Watson | Marvin Harrison Jr. | Sam LaPorta | Bhayshul Tuten | Tony Pollard,Alec Pierce | Bhayshul Tuten | Chase Brown | Christian Watson | DK Metcalf | Dak Prescott | Jahmyr Gibbs | Jalen Nailor | Marvin Harrison Jr. | Michael Wilson | Sam LaPorta | T.J. Hockenson | Tony Pollard,"{""Alec Pierce"": 8.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""Christian Watson"": 11.0, ""DK Metcalf"": 12.0, ""Dak Prescott"": 7.0, ""Jahmyr Gibbs"": 110.0, ""Jalen Nailor"": 2.0, ""Marvin Harrison Jr."": 12.0, ""Michael Wilson"": 9.0, ""Sam LaPorta"": 11.0, ""T.J. Hockenson"": 6.0, ""Tony Pollard"": 17.0}"
28,14,buy,True,,296.0,108.22177240913712,1,6,5,1,Dak Prescott | Jahmyr Gibbs | Bijan Robinson | Jordan Addison | Makai Lemon | Travis Kelce | Chase Brown | Bhayshul Tuten,Bhayshul Tuten | Bijan Robinson | Chase Brown | Dak Prescott | De'Zhaun Stribling | Emanuel Wilson | Jahmyr Gibbs | Jakobi Meyers | Jordan Addison | Josh Downs | Makai Lemon | MarShawn Lloyd | Travis Kelce,"{""Bhayshul Tuten"": 11.0, ""Bijan Robinson"": 105.0, ""Chase Brown"": 34.0, ""Dak Prescott"": 3.0, ""De'Zhaun Stribling"": 4.0, ""Emanuel Wilson"": 2.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 3.0, ""Jordan Addison"": 6.0, ""Josh Downs"": 3.0, ""Makai Lemon"": 2.0, ""MarShawn Lloyd"": 2.0, ""Travis Kelce"": 11.0}"
29,14,pass,True,,259.0,105.28082863811242,1,5,5,2,Dak Prescott | Jahmyr Gibbs | Chase Brown | DK Metcalf | Michael Wilson | George Kittle | Kyren Williams | Bhayshul Tuten,Aaron Jones | Bhayshul Tuten | Chase Brown | DK Metcalf | Dak Prescott | George Kittle | Isaiah Likely | Jahmyr Gibbs | Jakobi Meyers | Jordan Addison | Kyren Williams | Makai Lemon | Michael Wilson,"{""Aaron Jones"": 4.0, ""Bhayshul Tuten"": 11.0, ""Chase Brown"": 34.0, ""DK Metcalf"": 17.0, ""Dak Prescott"": 3.0, ""George Kittle"": 4.0, ""Isaiah Likely"": 11.0, ""Jahmyr Gibbs"": 110.0, ""Jakobi Meyers"": 3.0, ""Jordan Addison"": 6.0, ""Kyren Williams"": 43.0, ""Makai Lemon"": 2.0, ""Michael Wilson"": 11.0}"
