lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.265,0.264,0.209,0.261,0.97,0.76,0.496,0.704,0.116,0.341
0.263,0.264,0.21,0.263,0.97,0.76,0.493,0.702,0.116,0.341
0.263,0.263,0.209,0.265,0.98,0.76,0.511,0.715,0.116,0.341
0.263,0.266,0.21,0.261,0.98,0.77,0.506,0.712,0.116,0.341
0.262,0.264,0.211,0.262,0.98,0.77,0.506,0.711,0.116,0.341
0.262,0.266,0.21,0.262,0.98,0.77,0.506,0.712,0.116,0.341
0.264,0.265,0.211,0.26,0.98,0.77,0.505,0.711,0.116,0.341
0.263,0.264,0.209,0.264,0.98,0.76,0.503,0.709,0.116,0.341
0.262,0.264,0.211,0.262,0.98,0.77,0.502,0.708,0.116,0.341
0.263,0.264,0.21,0.263,0.98,0.77,0.5,0.707,0.116,0.341
0.264,0.262,0.209,0.264,0.98,0.76,0.499,0.706,0.116,0.341
0.264,0.262,0.21,0.263,0.98,0.76,0.498,0.706,0.116,0.341
0.264,0.265,0.211,0.26,0.98,0.77,0.497,0.705,0.116,0.341
0.262,0.265,0.21,0.263,0.98,0.76,0.495,0.704,0.116,0.341
0.262,0.264,0.211,0.263,0.98,0.77,0.493,0.702,0.116,0.341
0.262,0.264,0.211,0.263,0.98,0.76,0.491,0.701,0.116,0.341
0.262,0.264,0.211,0.263,0.98,0.77,0.488,0.698,0.116,0.341
0.265,0.261,0.212,0.262,0.98,0.77,0.488,0.699,0.116,0.341
0.262,0.261,0.213,0.264,0.98,0.77,0.48,0.693,0.116,0.341
0.26,0.259,0.226,0.255,0.99,0.78,0.508,0.713,0.116,0.341
0.264,0.262,0.212,0.262,0.99,0.78,0.5,0.707,0.116,0.341
0.265,0.264,0.212,0.259,0.99,0.78,0.497,0.705,0.116,0.341
0.259,0.258,0.227,0.256,0.99,0.78,0.496,0.705,0.116,0.341
0.264,0.263,0.212,0.261,0.99,0.77,0.496,0.705,0.116,0.341
0.261,0.257,0.227,0.255,0.99,0.78,0.496,0.704,0.116,0.341
0.263,0.266,0.212,0.259,0.99,0.78,0.49,0.7,0.116,0.341
0.265,0.263,0.212,0.26,0.99,0.78,0.489,0.699,0.116,0.341
0.264,0.262,0.214,0.26,0.99,0.78,0.486,0.697,0.116,0.341
0.263,0.262,0.213,0.261,0.99,0.78,0.482,0.694,0.116,0.341
0.262,0.261,0.213,0.264,0.99,0.78,0.477,0.69,0.116,0.341
0.264,0.263,0.211,0.262,1.0,0.78,0.501,0.708,0.116,0.341
0.264,0.265,0.211,0.26,1.0,0.78,0.496,0.704,0.116,0.341
0.263,0.263,0.212,0.262,1.0,0.78,0.49,0.7,0.116,0.341
0.263,0.264,0.212,0.261,1.0,0.78,0.484,0.696,0.116,0.341
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.253,0.254,0.236,0.257,0.25,0.2,0.251,0.501,0.279,0.528
0.254,0.252,0.236,0.257,0.25,0.2,0.251,0.501,0.279,0.528
0.251,0.255,0.236,0.258,0.25,0.2,0.248,0.498,0.279,0.528
0.25,0.256,0.236,0.258,0.25,0.2,0.248,0.498,0.279,0.528
0.25,0.255,0.236,0.258,0.25,0.2,0.244,0.494,0.279,0.528
0.248,0.255,0.238,0.259,0.25,0.2,0.243,0.493,0.279,0.528
0.252,0.253,0.237,0.258,0.25,0.2,0.242,0.492,0.279,0.528
0.253,0.252,0.237,0.258,0.25,0.2,0.24,0.49,0.279,0.528
0.249,0.254,0.238,0.259,0.25,0.2,0.239,0.488,0.279,0.528
0.248,0.252,0.239,0.26,0.25,0.2,0.239,0.489,0.279,0.528
0.252,0.251,0.237,0.259,0.25,0.2,0.238,0.488,0.279,0.528
0.253,0.253,0.236,0.258,0.25,0.2,0.238,0.487,0.279,0.528
0.247,0.254,0.239,0.26,0.25,0.2,0.236,0.486,0.279,0.528
0.252,0.25,0.238,0.26,0.25,0.2,0.236,0.486,0.279,0.528
0.25,0.253,0.238,0.259,0.25,0.2,0.234,0.484,0.279,0.528
0.253,0.25,0.238,0.26,0.25,0.2,0.233,0.483,0.279,0.528
0.25,0.25,0.239,0.26,0.25,0.2,0.233,0.483,0.279,0.528
0.252,0.251,0.238,0.259,0.25,0.2,0.232,0.482,0.279,0.528
0.252,0.251,0.238,0.259,0.25,0.2,0.232,0.481,0.279,0.528
0.252,0.25,0.238,0.259,0.25,0.2,0.232,0.482,0.279,0.528
0.252,0.249,0.239,0.26,0.25,0.2,0.23,0.48,0.279,0.528
0.245,0.255,0.239,0.26,0.25,0.2,0.229,0.479,0.279,0.528
0.25,0.25,0.239,0.261,0.25,0.2,0.228,0.478,0.279,0.528
0.252,0.251,0.238,0.259,0.25,0.2,0.228,0.478,0.279,0.528
0.25,0.249,0.24,0.261,0.25,0.2,0.227,0.476,0.279,0.528
0.249,0.252,0.239,0.26,0.25,0.2,0.227,0.476,0.279,0.528
0.25,0.253,0.238,0.259,0.25,0.2,0.226,0.475,0.279,0.528
0.249,0.252,0.239,0.26,0.25,0.2,0.225,0.475,0.279,0.528
0.246,0.254,0.24,0.261,0.25,0.2,0.225,0.474,0.279,0.528
0.25,0.251,0.238,0.26,0.25,0.2,0.224,0.473,0.279,0.528
0.249,0.251,0.239,0.261,0.25,0.2,0.224,0.473,0.279,0.528
0.25,0.25,0.239,0.26,0.25,0.2,0.223,0.472,0.279,0.528
0.249,0.252,0.239,0.26,0.25,0.2,0.223,0.472,0.279,0.528
0.246,0.252,0.24,0.261,0.25,0.2,0.222,0.471,0.279,0.528
0.252,0.249,0.239,0.26,0.25,0.2,0.222,0.472,0.279,0.528
0.251,0.248,0.24,0.261,0.25,0.2,0.221,0.47,0.279,0.528
0.251,0.248,0.24,0.261,0.25,0.2,0.218,0.467,0.279,0.528
0.252,0.248,0.24,0.26,0.25,0.2,0.218,0.466,0.279,0.528
0.252,0.245,0.242,0.262,0.25,0.2,0.217,0.465,0.279,0.528
0.252,0.247,0.24,0.261,0.25,0.2,0.217,0.466,0.279,0.528
0.25,0.248,0.24,0.261,0.25,0.2,0.216,0.465,0.279,0.528
0.249,0.25,0.24,0.261,0.25,0.2,0.214,0.462,0.279,0.528
0.251,0.247,0.24,0.261,0.25,0.2,0.213,0.462,0.279,0.528
0.249,0.248,0.241,0.262,0.25,0.2,0.211,0.459,0.279,0.528
0.246,0.25,0.242,0.262,0.25,0.2,0.209,0.457,0.279,0.528
0.245,0.249,0.243,0.263,0.26,0.2,0.202,0.449,0.279,0.528
0.248,0.245,0.243,0.263,0.26,0.2,0.201,0.449,0.279,0.528
0.248,0.247,0.243,0.263,0.26,0.2,0.198,0.445,0.279,0.528
0.244,0.247,0.245,0.265,0.26,0.2,0.188,0.434,0.279,0.528
0.248,0.244,0.244,0.264,0.26,0.2,0.186,0.431,0.279,0.528
