player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Jake Delhomme,303,QB,16,CAR,439,111,20,88,37,3,3,0,527,0,5,25.3,18.0,42.0,46.3,38.4
Brett Favre,14,QB,16,NYJ,559,118,30,88,39,3,4,0,421,2,8,21.1,25.4,44.3,50.6,28.6
Seneca Wallace,1422,QB,9,SEA,265,108,14,87,38,7,2,0,514,4,3,40.8,13.0,43.7,50.7,64.1
Jeff Garcia,550,QB,12,TB,425,117,23,87,35,9,5,0,527,6,2,27.5,19.7,40.2,50.0,74.3
Trent Edwards,3708,QB,14,BUF,415,116,23,85,49,10,7,0,649,4,3,28.0,19.8,57.6,73.1,82.9
Ryan Fitzpatrick,2467,QB,12,CIN,448,132,38,76,27,3,6,0,199,1,3,29.5,28.8,35.5,45.8,32.1
Tyler Thigpen,3833,QB,14,KC,480,112,25,74,25,6,3,0,299,1,4,23.3,22.3,33.8,38.5,29.1
Derek Anderson,2430,QB,10,CLV,306,87,14,73,30,2,8,0,337,3,2,28.4,16.1,41.1,49.2,57.8
Marc Bulger,684,QB,15,STR,484,111,38,71,33,6,1,0,468,1,1,22.9,34.2,46.5,52.4,67.1
Shaun Hill,1255,QB,9,SF,325,97,23,68,35,9,2,0,433,1,1,29.8,23.7,51.5,63.6,70.3
Gus Frerotte,93,QB,11,MIN,334,97,29,68,30,3,2,0,411,2,5,29.0,29.9,44.1,49.2,43.2
Dan Orlovsky,2362,QB,10,DET,272,81,14,66,23,7,4,0,235,1,3,29.8,17.3,34.8,42.6,32.1
J.T. O'Sullivan,1169,QB,9,SF,273,111,32,63,24,9,2,0,310,2,3,40.7,28.8,38.1,46.2,45.1
Matt Hasselbeck,408,QB,7,SEA,239,82,19,57,17,3,1,0,205,1,5,34.3,23.2,29.8,33.3,11.4
Tarvaris Jackson,3009,QB,7,MIN,178,70,14,47,21,6,4,0,270,1,0,39.3,20.0,44.7,56.8,70.3
Daunte Culpepper,446,QB,5,DET,134,60,13,45,22,5,2,0,379,3,2,44.8,21.7,48.9,57.9,81.6
Brian Griese,379,QB,5,TB,194,50,9,41,16,2,1,0,185,0,2,25.8,18.0,39.0,42.1,33.1
Sage Rosenfels,863,QB,6,HST,189,49,9,38,18,4,4,0,194,1,3,25.9,18.4,47.4,64.3,38.7
Ken Dorsey,1535,QB,4,CLV,96,36,5,31,9,0,8,0,125,0,2,37.5,13.9,29.0,39.1,17.0
Brady Quinn,3638,QB,3,CLV,93,27,1,26,11,0,2,0,131,2,0,29.0,3.7,42.3,47.8,84.0
Jon Kitna,217,QB,4,DET,139,41,15,25,13,2,0,0,127,1,0,29.5,36.6,52.0,59.1,79.9
J.P. Losman,1743,QB,4,BUF,125,41,15,23,10,4,1,0,167,1,2,32.8,36.6,43.5,55.6,46.8
Damon Huard,215,QB,5,KC,91,33,9,23,15,0,1,0,217,1,0,36.3,27.3,65.2,71.4,110.2
Brad Johnson,31,QB,3,DAL,86,29,8,21,6,1,1,0,90,1,3,33.7,27.6,28.6,31.6,21.2
Carson Palmer,1317,QB,4,CIN,144,35,11,21,8,1,2,0,51,1,1,24.3,31.4,38.1,44.4,42.4
Trent Green,58,QB,3,STR,80,26,6,20,7,0,3,0,83,0,2,32.5,23.1,35.0,43.8,9.0
Rex Grossman,1338,QB,3,CHI,64,17,2,15,7,2,0,0,40,1,1,26.6,11.8,46.7,58.3,47.9
Brodie Croyle,3030,QB,2,KC,30,14,1,13,9,0,0,0,85,0,0,46.7,7.1,69.2,69.2,87.0
Byron Leftwich,1323,QB,5,PIT,40,17,3,13,7,0,0,0,135,1,0,42.5,17.6,53.8,53.8,115.9
Andrew Walter,2286,QB,2,OAK,56,12,5,7,4,0,0,0,30,0,0,21.4,41.7,57.1,57.1,67.6
Vince Young,2948,QB,3,TEN,45,12,3,7,2,0,0,0,27,0,1,26.7,25.0,28.6,28.6,3.6
Charlie Frye,2284,QB,1,SEA,28,10,3,6,4,0,1,0,16,1,0,35.7,30.0,66.7,80.0,109.7
Kevin Kolb,3652,QB,4,PHI,36,6,0,5,0,1,0,0,0,0,1,16.7,0.0,0.0,0.0,0.0
Matt Leinart,2955,QB,4,ARZ,32,7,1,5,2,0,1,0,50,0,0,21.9,14.3,40.0,50.0,77.1
Bruce Gradkowski,3139,QB,2,CLV,26,9,4,4,0,0,1,0,0,0,2,34.6,44.4,0.0,0.0,0.0
Brooks Bollinger,1502,QB,2,DAL,20,7,3,4,2,0,1,0,16,1,0,35.0,42.9,50.0,66.7,100.0
Jim Sorgi,1910,QB,1,IND,31,4,0,4,1,1,0,0,6,0,0,12.9,0.0,25.0,33.3,39.6
Chad Henne,4371,QB,1,MIA,12,3,0,3,1,0,1,0,6,0,0,25.0,0.0,33.3,50.0,42.4
Joshua Cribbs,2544,WR,3,CLV,5,3,0,3,1,1,0,0,8,0,0,60.0,0.0,33.3,50.0,42.4
Antwaan Randle El,1069,WR,3,WAS,3,3,0,3,2,1,0,0,28,0,0,100.0,0.0,66.7,100.0,96.5
Tom Brady,698,QB,1,NE,11,3,0,3,1,0,0,0,26,0,0,27.3,0.0,33.3,33.3,66.0
Drew Henson,1494,QB,2,DET,5,5,3,2,1,0,0,0,20,0,0,100.0,60.0,50.0,50.0,85.4
David Carr,1009,QB,2,NYG,16,5,1,2,1,0,0,0,18,0,0,31.3,20.0,50.0,50.0,81.3
Cleo Lemon,1271,QB,1,JAX,2,2,0,2,0,1,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Matt Flynn,4523,QB,1,GB,5,2,0,2,0,0,0,0,0,0,0,40.0,0.0,0.0,0.0,39.6
Brad Smith,3048,WR,2,NYJ,2,1,0,1,0,0,0,0,0,0,0,50.0,0.0,0.0,0.0,39.6
Patrick Crayton,1932,WR,1,DAL,1,1,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Quinn Gray,1247,QB,1,KC,9,1,0,1,1,0,0,0,26,0,0,11.1,0.0,100.0,100.0,118.8
Michael Bush,3716,HB,2,OAK,2,1,0,1,1,0,0,0,8,0,0,50.0,0.0,100.0,100.0,100.0
Jordan Palmer,3821,QB,3,CIN,15,3,2,1,0,1,0,0,0,0,0,20.0,66.7,0.0,,39.6
Eddie Royal,4356,WR,1,DEN,1,1,0,1,0,1,0,0,0,0,0,100.0,0.0,0.0,,39.6
Kellen Clemens,2994,QB,1,NYJ,5,1,0,1,1,0,0,0,11,0,0,20.0,0.0,100.0,100.0,112.5
Jerheme Urban,1709,WR,1,ARZ,1,1,0,1,1,0,0,0,18,0,0,100.0,0.0,100.0,100.0,118.8
Jason Witten,1384,TE,1,DAL,1,1,0,1,1,0,0,0,42,0,0,100.0,0.0,100.0,100.0,118.8
Larry Johnson,1343,HB,1,KC,1,1,0,1,1,0,0,0,4,1,0,100.0,0.0,100.0,100.0,122.9
Lance Moore,2718,WR,1,NO,1,1,0,1,0,0,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Drew Stanton,3659,QB,3,DET,26,7,6,1,0,0,0,0,0,0,0,26.9,85.7,0.0,0.0,39.6
Marques Hagans,3089,QB,1,KC,2,2,1,1,1,0,0,0,5,0,0,100.0,50.0,100.0,100.0,87.5
Ronnie Brown,2219,HB,5,MIA,4,2,1,1,1,0,0,0,12,0,0,50.0,50.0,100.0,100.0,116.7
