player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Brodie Croyle,3030,QB,9,KC,246,77,16,60,24,8,1,5,301,2,2,31.3,20.8,40.0,58.0,53.5
Gus Frerotte,93,QB,8,STR,179,71,11,60,28,1,3,1,302,2,9,39.7,15.5,46.7,53.7,33.5
Josh McCown,1085,QB,9,OAK,220,81,14,59,29,8,2,0,316,1,2,36.8,17.3,49.2,60.4,56.9
Rex Grossman,1338,QB,8,CHI,255,86,25,59,21,8,3,2,290,0,2,33.7,29.1,35.6,47.9,38.1
Brian Griese,379,QB,7,CHI,283,74,15,57,26,3,3,0,342,2,6,26.1,20.3,45.6,53.1,37.2
Trent Dilfer,72,QB,7,SF,250,82,27,52,24,7,2,1,326,1,2,32.8,32.9,46.2,58.1,57.1
Daunte Culpepper,446,QB,7,OAK,214,76,22,51,26,4,2,0,394,1,0,35.5,28.9,51.0,60.5,83.3
J.P. Losman,1743,QB,8,BUF,200,70,14,49,24,4,1,0,264,2,2,35.0,20.0,49.0,54.5,61.9
Matt Leinart,2955,QB,5,ARZ,121,53,4,46,17,6,3,0,229,0,1,43.8,7.5,37.0,50.0,44.6
Chris Redman,635,QB,6,ATL,164,54,9,42,12,3,3,4,110,2,1,32.9,16.7,28.6,48.5,45.5
Trent Green,58,QB,5,MIA,150,48,7,39,19,2,1,0,211,2,4,32.0,14.6,48.7,52.8,42.7
Vinny Testaverde,2866,QB,6,CAR,184,48,9,38,18,3,0,0,190,2,0,26.1,18.8,47.4,52.9,79.9
David Carr,1009,QB,6,CAR,160,58,13,38,16,9,0,1,119,1,2,36.3,22.4,42.1,58.6,37.1
Todd Collins,131,QB,4,WAS,113,38,7,31,14,5,0,0,258,1,0,33.6,18.4,45.2,53.8,85.1
Luke McCown,1827,QB,5,TB,164,52,15,31,18,5,0,1,155,1,1,31.7,28.8,58.1,76.0,68.6
Quinn Gray,1247,QB,7,JAX,159,39,10,26,7,2,2,2,175,0,2,24.5,25.6,26.9,40.9,23.1
Byron Leftwich,1323,QB,3,ATL,65,31,6,25,10,1,4,0,90,0,2,47.7,19.4,40.0,50.0,17.1
JaMarcus Russell,3617,QB,4,OAK,75,33,7,25,8,2,1,3,102,1,3,44.0,21.2,32.0,50.0,19.5
Kerry Collins,115,QB,6,TEN,87,30,5,25,11,3,2,0,130,0,0,34.5,16.7,44.0,57.9,60.4
Kyle Orton,2323,QB,3,CHI,82,27,2,25,9,4,4,0,112,0,1,32.9,7.4,36.0,52.9,34.1
A.J. Feeley,893,QB,3,PHI,111,28,3,25,12,4,0,1,169,0,2,25.2,10.7,48.0,65.0,36.9
John Beck,3656,QB,5,MIA,120,34,10,24,8,1,0,1,53,1,1,28.3,29.4,33.3,39.1,38.9
Kelly Holcomb,148,QB,3,MIN,95,34,12,22,9,2,7,0,116,1,0,35.8,35.3,40.9,69.2,73.3
Shaun Hill,1255,QB,3,SF,89,27,5,21,10,3,1,1,91,2,0,30.3,18.5,47.6,64.7,91.6
Troy Smith,3790,QB,4,BLT,87,27,4,21,11,4,0,0,168,1,0,31.0,14.8,52.4,64.7,94.9
Jim Sorgi,1910,QB,4,IND,38,21,2,19,8,0,2,2,68,0,0,55.3,9.5,42.1,62.5,52.1
Jake Delhomme,303,QB,3,CAR,95,25,5,17,6,2,2,0,52,1,0,26.3,20.0,35.3,50.0,63.8
Matt Moore,4018,QB,8,CAR,118,23,6,17,4,2,0,0,46,0,0,19.5,26.1,23.5,28.6,39.6
Patrick Ramsey,1039,QB,2,DEN,51,18,3,15,9,0,0,0,113,0,0,35.3,16.7,60.0,60.0,83.5
Brooks Bollinger,1502,QB,4,MIN,60,20,7,13,5,2,0,0,51,0,0,33.3,35.0,38.5,45.5,50.5
Charlie Batch,367,QB,2,PIT,36,11,0,11,4,3,0,1,39,1,0,30.6,0.0,36.4,62.5,77.5
Brock Berlin,2495,QB,1,STR,28,10,0,10,4,2,0,1,32,0,1,35.7,0.0,40.0,62.5,9.2
J.T. O'Sullivan,1169,QB,2,DET,30,13,3,9,4,1,0,0,25,0,2,43.3,23.1,44.4,50.0,12.0
Tim Rattay,701,QB,4,ARZ,28,9,0,8,6,1,0,0,96,2,1,32.1,0.0,75.0,85.7,114.6
Aaron Rodgers,2241,QB,2,GB,35,12,3,7,4,0,0,0,52,1,0,34.3,25.0,57.1,66.7,120.2
Seneca Wallace,1422,QB,3,SEA,32,8,3,5,1,2,0,0,3,0,1,25.0,37.5,20.0,33.3,0.0
Craig Nall,1154,QB,1,GB,17,6,1,5,1,0,1,0,13,0,0,35.3,16.7,20.0,25.0,39.6
Chris Weinke,861,QB,1,SF,27,10,5,5,3,0,0,0,17,0,0,37.0,50.0,60.0,75.0,66.3
Jared Lorenzen,2107,QB,2,NYG,10,7,1,5,3,0,0,0,19,0,0,70.0,14.3,60.0,60.0,67.9
Matt Cassel,2447,QB,3,NE,8,3,0,3,1,0,1,0,4,0,1,37.5,0.0,33.3,50.0,2.8
Brad Johnson,31,QB,1,DAL,12,4,1,3,3,0,0,0,23,0,0,33.3,25.0,100.0,100.0,98.6
Bruce Gradkowski,3139,QB,3,TB,28,6,2,3,0,1,0,0,0,0,0,21.4,33.3,0.0,0.0,39.6
Charlie Frye,2284,QB,1,CLV,16,8,5,3,1,0,0,0,6,0,0,50.0,62.5,33.3,33.3,42.4
Andrew Walter,2286,QB,1,OAK,8,2,0,2,1,0,0,0,-1,0,0,25.0,0.0,50.0,50.0,56.3
Billy Volek,768,QB,4,SD,12,4,2,2,0,0,0,0,0,0,0,33.3,50.0,0.0,0.0,39.6
Anthony Wright,577,QB,2,NYG,7,2,0,2,1,0,0,0,12,0,0,28.6,0.0,50.0,50.0,68.8
Brady Quinn,3638,QB,1,CLV,8,2,0,2,0,0,0,1,0,0,0,25.0,0.0,0.0,100.0,39.6
LaDainian Tomlinson,777,HB,1,SD,1,1,0,1,1,0,0,0,17,1,0,100.0,0.0,100.0,100.0,158.3
Brad Smith,3048,WR,1,NYJ,1,1,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Leon Washington,3062,HB,1,NYJ,1,1,0,1,1,0,0,0,36,0,0,100.0,0.0,100.0,100.0,118.8
Antwaan Randle El,1069,WR,1,WAS,1,1,0,1,1,0,0,0,19,0,0,100.0,0.0,100.0,100.0,118.8
Ronald Curry,1199,WR,1,OAK,1,1,0,1,0,1,0,0,0,0,0,100.0,0.0,0.0,,39.6
Sidney Rice,3660,WR,1,MIN,1,1,0,1,1,0,0,0,15,0,0,100.0,0.0,100.0,100.0,118.8
Tyler Thigpen,3833,QB,1,KC,7,2,1,1,0,0,0,0,0,0,1,28.6,50.0,0.0,0.0,0.0
