player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Andrew Walter,2286,QB,12,OAK,327,127,45,81,34,9,0,7,387,0,0,38.8,35.4,42.0,58.6,57.0
David Garrard,1109,QB,10,JAX,285,113,20,80,44,4,4,6,603,1,3,39.6,17.7,55.0,71.4,67.9
Mark Brunell,51,QB,10,WAS,279,95,11,79,30,15,4,4,310,2,3,34.1,11.6,38.0,56.7,42.7
Aaron Brooks,509,QB,7,OAK,233,100,26,66,31,10,4,5,347,0,2,42.9,26.0,47.0,72.0,50.5
Damon Huard,215,QB,10,KC,261,81,16,65,32,4,6,3,501,3,0,31.0,19.8,49.2,67.3,90.6
Jeff Garcia,550,QB,8,PHI,207,73,6,65,27,8,2,2,348,3,1,35.3,8.2,41.5,52.7,68.0
Jason Campbell,2242,QB,7,WAS,228,78,7,62,30,9,2,0,364,4,2,34.2,9.0,48.4,60.0,74.9
Drew Bledsoe,36,QB,6,DAL,187,76,16,59,26,8,2,0,300,2,4,40.6,21.1,44.1,55.3,43.0
Kurt Warner,112,QB,6,ARZ,183,70,14,54,31,2,3,1,342,2,1,38.3,20.0,57.4,69.6,80.9
Byron Leftwich,1323,QB,6,JAX,200,62,9,49,22,4,3,1,256,2,3,31.0,14.5,44.9,60.5,49.4
Trent Green,58,QB,8,KC,229,72,24,43,18,2,3,5,154,1,2,31.4,33.3,41.9,65.7,40.3
Seneca Wallace,1422,QB,6,SEA,164,59,14,39,21,3,1,1,231,1,3,36.0,23.7,53.8,64.7,48.1
Daunte Culpepper,446,QB,4,MIA,160,62,21,38,19,3,4,1,249,0,2,38.8,33.9,50.0,64.5,49.1
Chris Simms,1411,QB,3,TB,112,41,4,37,17,5,0,4,114,0,4,36.6,9.8,45.9,70.0,13.6
Jay Cutler,2956,QB,5,DEN,153,51,13,37,18,2,1,3,317,3,2,33.3,25.5,48.6,61.8,82.8
Derek Anderson,2430,QB,4,CLV,128,38,8,30,16,1,1,2,159,1,3,29.7,21.1,53.3,66.7,40.1
Tim Rattay,701,QB,4,TB,107,34,4,30,18,3,3,0,195,1,0,31.8,11.8,60.0,75.0,90.3
Kerry Collins,115,QB,3,TEN,94,33,4,29,11,4,2,0,130,0,3,35.1,12.1,37.9,47.8,12.8
Chris Weinke,861,QB,3,CAR,108,41,10,29,9,2,1,7,78,0,2,38.0,24.4,31.0,61.5,11.7
Tarvaris Jackson,3009,QB,4,MIN,103,40,8,27,12,2,1,1,118,2,2,38.8,20.0,44.4,54.2,51.2
Charlie Batch,367,QB,6,PIT,58,27,3,22,10,3,1,2,162,2,0,46.6,11.1,45.5,66.7,100.9
Kyle Boller,1335,QB,3,BLT,64,25,3,19,9,3,0,0,227,2,1,39.1,12.0,47.4,56.3,104.5
Cleo Lemon,1271,QB,3,MIA,73,17,3,14,5,0,1,1,53,0,1,23.3,17.6,35.7,46.2,17.9
Brian Griese,379,QB,5,CHI,35,16,3,13,6,1,3,0,108,1,1,45.7,18.8,46.2,66.7,68.8
Sage Rosenfels,863,QB,3,HST,38,12,1,11,7,0,1,1,63,1,0,31.6,8.3,63.6,80.0,109.3
Jamie Martin,63,QB,1,NO,29,15,5,10,5,1,2,0,105,0,0,51.7,33.3,50.0,71.4,87.5
A.J. Feeley,893,QB,2,PHI,40,10,1,9,4,1,0,0,45,0,0,25.0,10.0,44.4,50.0,60.0
Quinn Gray,1247,QB,1,JAX,25,12,1,9,4,2,0,0,58,0,0,48.0,8.3,44.4,66.7,66.0
Aaron Rodgers,2241,QB,2,GB,20,11,3,7,4,0,0,0,29,0,0,55.0,27.3,57.1,57.1,67.0
Matt Schaub,1811,QB,3,ATL,29,8,2,6,4,1,0,0,36,0,0,27.6,25.0,66.7,80.0,82.6
Brooks Bollinger,1502,QB,2,MIN,24,11,6,5,2,1,0,0,17,0,0,45.8,54.5,40.0,50.0,49.6
Marques Tuiasosopo,826,QB,2,OAK,16,5,0,4,1,0,0,0,9,0,1,31.3,0.0,25.0,25.0,0.0
Antwaan Randle El,1069,WR,4,WAS,4,2,0,2,1,0,0,0,48,1,0,50.0,0.0,50.0,50.0,135.4
Brett Basanez,3219,QB,1,CAR,12,3,0,2,2,0,0,0,19,0,0,25.0,0.0,100.0,100.0,106.3
Mewelde Moore,1840,HB,1,MIN,1,1,0,1,1,0,0,0,15,1,0,100.0,0.0,100.0,100.0,158.3
Gus Frerotte,93,QB,1,STR,3,1,0,1,0,0,0,0,0,0,0,33.3,0.0,0.0,0.0,39.6
Anthony Wright,577,QB,2,CIN,4,2,1,1,1,0,0,0,6,0,0,50.0,50.0,100.0,100.0,91.7
Arnaz Battle,1499,WR,1,SF,1,1,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Hank Baskett,3220,WR,1,PHI,1,1,0,1,0,0,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Larry Johnson,1343,HB,1,KC,1,1,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Jerious Norwood,3024,HB,1,ATL,1,1,0,1,0,1,0,0,0,0,0,100.0,0.0,0.0,,39.6
Ronald Curry,1199,WR,2,OAK,2,1,0,1,0,0,0,0,0,0,1,50.0,0.0,0.0,0.0,0.0
Thomas Jones,585,HB,2,CHI,2,2,0,1,1,0,0,0,-4,0,0,100.0,0.0,100.0,100.0,79.2
