player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Trent Edwards,3708,QB,2,BUF,64,32,7,23,12,4,1,0,98,0,1,50.0,21.9,52.2,75.0,45.2
Joe Webb III,5722,QB,4,MIN,111,37,8,23,14,1,0,0,113,0,1,33.3,21.6,60.9,63.6,55.2
Max Hall,5878,QB,6,ARZ,92,37,14,23,7,3,0,0,66,0,3,40.2,37.8,30.4,35.0,0.4
Matthew Stafford,4924,QB,3,DET,102,25,4,19,6,2,0,0,86,1,0,24.5,16.0,31.6,35.3,64.8
Tarvaris Jackson,3009,QB,3,MIN,68,25,6,18,9,5,0,0,93,1,2,36.8,24.0,50.0,69.2,44.2
Charlie Batch,367,QB,3,PIT,55,22,4,18,8,0,1,0,123,1,1,40.0,18.2,44.4,47.1,63.0
Tyler Thigpen,3833,QB,4,MIA,76,28,8,17,9,0,0,0,140,1,0,36.8,28.6,52.9,52.9,100.1
Trent Edwards,3708,QB,2,JAX,55,22,4,17,10,2,2,0,120,0,0,40.0,18.2,58.8,76.9,80.5
Matt Flynn,4523,QB,4,GB,77,24,7,15,6,4,0,0,27,2,2,31.2,29.2,40.0,54.5,47.9
Dennis Dixon,4470,QB,2,PIT,40,21,5,14,10,0,1,0,126,0,1,52.5,23.8,71.4,76.9,69.3
Stephen McGee,5024,QB,2,DAL,59,21,3,12,6,1,0,0,77,0,0,35.6,14.3,50.0,54.5,70.5
Todd Bouman,299,QB,1,JAX,36,12,1,11,2,3,0,0,28,1,1,33.3,8.3,18.2,25.0,32.0
Brian Brohm,4370,QB,1,BUF,26,12,3,9,2,0,0,0,18,0,3,46.2,25.0,22.2,22.2,0.0
Rusty Smith,5699,QB,2,TEN,41,9,1,8,1,0,0,0,14,0,2,22.0,11.1,12.5,14.3,0.0
Todd Collins,131,QB,2,CHI,29,10,2,8,1,1,2,0,5,0,2,34.5,20.0,12.5,25.0,0.0
Brian St. Pierre,1470,QB,1,CAR,31,9,2,7,0,2,0,0,0,0,1,29.0,22.2,0.0,0.0,0.0
Brodie Croyle,3030,QB,2,KC,23,9,4,5,2,0,0,0,21,0,0,39.1,44.4,40.0,40.0,52.9
Tony Pike,5727,QB,1,CAR,13,5,1,4,1,2,0,0,22,0,0,38.5,20.0,25.0,50.0,50.0
Mark Brunell,51,QB,2,NYJ,14,5,1,4,0,1,1,0,0,0,1,35.7,20.0,0.0,0.0,0.0
Brian Hoyer,5277,QB,3,NE,16,4,0,3,1,0,0,0,42,1,0,25.0,0.0,33.3,33.3,121.5
Richard Bartel,3884,QB,1,ARZ,30,5,2,3,1,1,0,0,2,0,0,16.7,40.0,33.3,50.0,42.4
Brad Smith,3048,WR,3,NYJ,3,2,0,2,1,0,0,0,3,0,0,66.7,0.0,50.0,50.0,56.3
Josh Johnson,4474,QB,6,TB,20,6,2,2,2,0,0,0,10,0,0,30.0,33.3,100.0,100.0,87.5
Tyler Palko,4031,QB,2,KC,9,4,2,1,1,0,0,0,-2,0,0,44.4,50.0,100.0,100.0,79.2
Kellen Clemens,2994,QB,1,NYJ,3,1,0,1,0,1,0,0,0,0,0,33.3,0.0,0.0,,39.6
Darren McFadden,4318,HB,1,OAK,1,1,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Steve Breaston,3758,WR,2,ARZ,2,1,0,1,1,0,0,0,17,0,0,50.0,0.0,100.0,100.0,118.8
Byron Leftwich,1323,QB,1,PIT,9,3,2,1,1,0,0,0,14,0,0,33.3,66.7,100.0,100.0,118.8
Stefan Logan,4909,WR,1,DET,1,1,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Caleb Hanie,4674,QB,2,CHI,9,3,2,1,0,1,0,0,0,0,0,33.3,66.7,0.0,,39.6
Anquan Boldin,1369,WR,1,BLT,1,1,0,1,1,0,0,0,-6,0,0,100.0,0.0,100.0,100.0,79.2
David Carr,1009,QB,1,SF,14,2,1,1,0,0,1,0,0,0,0,14.3,50.0,0.0,,39.6
Billy Volek,768,QB,1,SD,1,1,0,1,1,0,0,0,8,0,0,100.0,0.0,100.0,100.0,100.0
Brandon LaFell,5602,WR,1,CAR,1,1,0,1,0,1,0,0,0,0,0,100.0,0.0,0.0,,39.6
Chad Pennington,596,QB,1,MIA,2,1,0,1,0,0,1,0,0,0,0,50.0,0.0,0.0,,39.6
Marion Barber III,2326,HB,1,DAL,1,1,0,1,0,1,0,0,0,0,0,100.0,0.0,0.0,,39.6
Micheal Spurlock,3517,WR,2,TB,2,1,0,1,0,0,1,0,0,0,0,50.0,0.0,0.0,,39.6
Michael Robinson,3045,FB,1,SEA,1,1,0,1,1,0,0,0,28,0,0,100.0,0.0,100.0,100.0,118.8
Maurice Jones-Drew,3005,HB,1,JAX,1,1,0,1,0,0,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Ronnie Brown,2219,HB,2,MIA,2,1,0,1,0,0,0,0,0,0,0,50.0,0.0,0.0,0.0,39.6
Luke McCown,1827,QB,1,JAX,20,1,0,1,1,0,0,0,3,0,0,5.0,0.0,100.0,100.0,79.2
Kyle Boller,1335,QB,2,OAK,5,2,1,1,1,0,0,0,20,0,0,40.0,50.0,100.0,100.0,118.8
