player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Matt Moore,4018,QB,13,MIA,393,128,35,84,39,8,2,0,484,3,3,32.6,27.3,46.4,54.2,61.8
Kevin Kolb,3652,QB,9,ARZ,291,115,30,82,40,13,0,0,665,5,4,39.5,26.1,48.8,59.7,76.5
Christian Ponder,6164,QB,11,MIN,342,119,30,79,28,11,6,0,331,2,4,34.8,25.2,35.4,46.7,36.4
Jason Campbell,2242,QB,6,OAK,178,61,5,54,18,8,3,0,231,0,1,34.3,8.2,33.3,42.9,40.0
Matt Cassel,2447,QB,9,KC,309,91,22,54,22,7,2,0,233,2,3,29.4,24.2,40.7,51.2,43.2
Donovan McNabb,438,QB,6,MIN,180,74,16,54,30,3,2,0,325,2,0,41.1,21.6,55.6,63.8,85.8
Curtis Painter,5125,QB,9,IND,268,70,16,50,16,6,6,0,242,1,4,26.1,22.9,32.0,42.1,22.3
Kyle Orton,2323,QB,5,DEN,165,55,9,46,19,6,1,0,186,4,2,33.3,16.4,41.3,54.3,64.2
Dan Orlovsky,2362,QB,8,IND,209,61,14,45,20,6,2,0,215,1,3,29.2,23.0,44.4,54.1,38.7
Chad Henne,4371,QB,4,MIA,134,59,11,43,24,2,5,0,307,2,2,44.0,18.6,55.8,66.7,74.5
Kerry Collins,115,QB,3,IND,103,41,5,36,12,3,3,0,132,1,0,39.8,12.2,33.3,40.0,54.4
T.J. Yates,6304,QB,6,HST,156,49,15,33,20,7,1,0,209,0,1,31.4,30.6,60.6,80.0,66.4
Vince Young,2948,QB,5,PHI,135,46,8,31,12,2,0,0,181,0,4,34.1,17.4,38.7,41.4,19.1
John Beck,3656,QB,4,WAS,156,52,16,30,18,1,1,0,184,0,1,33.3,30.8,60.0,66.7,63.7
Tyler Palko,4031,QB,6,KC,147,40,10,30,14,4,0,0,140,0,3,27.2,25.0,46.7,53.8,20.8
A.J. Feeley,893,QB,4,STR,108,40,10,30,12,0,1,0,145,0,1,37.0,25.0,40.0,44.4,41.7
Kellen Clemens,2994,QB,3,STR,105,42,9,29,12,1,0,0,140,1,1,40.0,21.4,41.4,42.9,53.8
Caleb Hanie,4674,QB,4,CHI,133,55,19,28,13,4,2,0,189,2,3,41.4,34.5,46.4,59.1,53.1
Seneca Wallace,1422,QB,5,CLV,118,33,6,26,10,4,0,0,164,1,2,28.0,18.2,38.5,47.6,41.2
Joe Webb III,5722,QB,6,MIN,76,33,3,24,12,3,1,0,163,0,0,43.4,9.1,50.0,60.0,72.0
Luke McCown,1827,QB,4,JAX,63,23,4,17,7,3,1,0,79,0,1,36.5,17.4,41.2,53.8,31.3
Kyle Orton,2323,QB,4,KC,99,18,1,16,5,5,1,0,77,0,1,18.2,5.6,31.3,50.0,22.1
Stephen McGee,5024,QB,1,DAL,45,20,3,14,9,0,0,0,75,0,0,44.4,15.0,64.3,64.3,78.0
Jake Locker,6160,QB,5,TEN,75,20,5,14,5,0,1,0,102,1,0,26.7,25.0,35.7,38.5,86.0
Josh Johnson,4474,QB,5,TB,44,20,3,14,4,3,2,0,43,0,1,45.5,15.0,28.6,44.4,10.1
Josh McCown,1085,QB,3,CHI,71,29,7,14,6,1,0,0,109,0,0,40.8,24.1,42.9,46.2,70.2
Charlie Whitehurst,3026,QB,3,SEA,67,21,8,12,4,4,0,0,81,0,0,31.3,38.1,33.3,50.0,58.0
Matt Flynn,4523,QB,5,GB,55,15,5,10,5,0,2,0,178,2,0,27.3,33.3,50.0,62.5,135.4
Charlie Batch,367,QB,3,PIT,26,11,2,9,7,0,0,0,117,0,1,42.3,18.2,77.8,77.8,79.2
Kyle Boller,1335,QB,2,OAK,36,13,3,6,1,0,0,0,6,0,2,36.1,23.1,16.7,16.7,0.0
Jake Delhomme,303,QB,1,HST,30,8,2,6,4,1,0,0,66,0,0,26.7,25.0,66.7,80.0,103.5
Bruce Gradkowski,3139,QB,2,CIN,19,7,1,6,2,0,0,0,24,0,1,36.8,14.3,33.3,33.3,6.9
Richard Bartel,3884,QB,2,ARZ,24,7,1,6,2,0,1,0,17,0,0,29.2,14.3,33.3,40.0,42.4
Mike Kafka,5645,QB,2,PHI,18,6,1,4,1,0,0,0,2,0,2,33.3,16.7,25.0,25.0,0.0
Jon Kitna,217,QB,1,DAL,10,4,0,4,1,0,0,0,33,0,1,40.0,0.0,25.0,25.0,21.9
J.P. Losman,1743,QB,1,MIA,16,9,5,3,2,0,0,0,34,0,0,56.3,55.6,66.7,66.7,104.9
Chris Redman,635,QB,4,ATL,28,3,0,3,3,0,0,0,20,0,0,10.7,0.0,100.0,100.0,94.4
Matt Leinart,2955,QB,1,HST,13,2,0,2,1,1,0,0,20,1,0,15.4,0.0,50.0,100.0,125.0
Emmanuel Sanders,5606,WR,1,PIT,1,1,0,1,1,0,0,0,15,0,0,100.0,0.0,100.0,100.0,118.8
Jeremy Kerley,6305,WR,1,NYJ,1,1,0,1,1,0,0,0,41,0,0,100.0,0.0,100.0,100.0,118.8
Colin Kaepernick,6188,QB,2,SF,5,1,0,1,0,0,0,0,0,0,0,20.0,0.0,0.0,0.0,39.6
Chase Daniel,5214,QB,2,NO,4,1,0,1,0,0,0,0,0,0,0,25.0,0.0,0.0,0.0,39.6
Jerious Norwood,3024,HB,1,STR,1,1,0,1,0,0,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Eric Decker,5611,WR,1,DEN,1,1,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Armanti Edwards,5613,WR,1,CAR,1,1,0,1,1,0,0,0,11,0,0,100.0,0.0,100.0,100.0,112.5
Tyler Thigpen,3833,QB,2,BUF,9,2,0,1,0,0,0,0,0,0,0,22.2,0.0,0.0,0.0,39.6
Shaun Hill,1255,QB,2,DET,3,1,0,1,1,0,0,0,28,0,0,33.3,0.0,100.0,100.0,118.8
