player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Jake Locker,6160,QB,7,TEN,213,83,16,57,25,1,3,5,253,1,2,39.0,19.3,43.9,56.6,48.4
Michael Vick,773,QB,6,PHI,171,76,13,53,18,7,1,3,246,2,1,44.4,17.1,34.0,48.8,54.4
Thaddeus Lewis,5817,QB,5,BUF,184,64,18,43,14,2,1,2,195,0,2,34.8,28.1,32.6,41.0,28.7
Kirk Cousins,7102,QB,5,WAS,162,44,5,39,19,5,1,2,209,1,0,27.2,11.4,48.7,63.6,73.6
Matt Flynn,4523,QB,5,GB,194,53,17,31,13,8,1,3,134,1,1,27.3,32.1,41.9,76.2,52.4
Josh Freeman,4940,QB,3,TB,103,35,7,28,15,3,0,2,204,2,2,34.0,20.0,53.6,68.0,71.1
Josh Freeman,4940,QB,1,MIN,54,26,1,25,8,3,1,0,79,0,1,48.1,3.8,32.0,38.1,25.3
Blaine Gabbert,6162,QB,3,JAX,105,43,12,25,9,4,0,3,167,0,2,41.0,27.9,36.0,60.0,26.6
Brian Hoyer,5277,QB,3,CLV,104,30,6,22,10,4,0,2,122,0,1,28.8,20.0,45.5,66.7,44.1
Scott Tolzien,6749,QB,3,GB,98,27,3,20,10,0,1,1,178,0,2,27.6,11.1,50.0,57.9,41.3
Chase Daniel,5214,QB,3,KC,45,20,2,16,8,1,1,1,112,1,0,44.4,10.0,50.0,64.3,93.8
Kyle Orton,2323,QB,2,DAL,52,14,0,14,7,2,0,0,58,0,0,26.9,0.0,50.0,58.3,61.0
Jeff Tuel,8508,QB,2,BUF,63,17,2,14,3,0,3,1,51,0,0,27.0,11.8,21.4,36.4,42.3
Matt Barkley,7880,QB,3,PHI,52,15,3,12,4,0,0,1,57,0,2,28.8,20.0,33.3,41.7,10.1
Matt Simms,7423,QB,3,NYJ,39,16,4,10,2,1,0,1,37,0,1,41.0,25.0,20.0,37.5,2.9
Matt Flynn,4523,QB,2,OAK,42,17,7,9,5,1,0,0,51,0,0,40.5,41.2,55.6,62.5,72.0
Seneca Wallace,1422,QB,2,GB,28,12,4,8,4,1,0,0,18,0,0,42.9,33.3,50.0,57.1,56.3
T.J. Yates,6304,QB,2,HST,24,9,2,7,5,2,0,0,44,0,0,37.5,22.2,71.4,100.0,87.8
Brock Osweiler,7059,QB,2,DEN,19,10,2,7,2,1,0,1,13,0,0,52.6,20.0,28.6,50.0,39.6
Curtis Painter,5125,QB,3,NYG,17,5,1,4,2,0,0,0,14,0,1,29.4,20.0,50.0,50.0,18.8
Tarvaris Jackson,3009,QB,3,SEA,13,3,0,3,1,0,0,1,35,1,0,23.1,0.0,33.3,66.7,118.1
Matt Moore,4018,QB,1,MIA,6,2,0,2,0,0,0,0,0,0,1,33.3,0.0,0.0,0.0,0.0
Tyrod Taylor,6332,QB,2,BLT,7,2,0,1,1,0,0,0,2,0,0,28.6,0.0,100.0,100.0,79.2
Bobby Rainey Jr.,7511,HB,1,TB,1,1,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Patrick Peterson,6157,CB,1,ARZ,1,1,0,1,1,0,0,0,17,0,0,100.0,0.0,100.0,100.0,118.8
Dominique Davis,7666,QB,1,ATL,7,1,0,1,1,0,0,0,5,0,0,14.3,0.0,100.0,100.0,87.5
Tavon Austin,7789,WR,1,STR,1,1,0,1,0,1,0,0,0,0,0,100.0,0.0,0.0,,39.6
Larry Fitzgerald,1724,WR,1,ARZ,1,1,0,1,0,1,0,0,0,0,0,100.0,0.0,0.0,,39.6
Mike James,7970,HB,1,TB,1,1,0,1,1,0,0,0,2,1,0,100.0,0.0,100.0,100.0,118.8
Jeremy Kerley,6305,WR,1,NYJ,1,1,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,39.6
Michael Koenen,2682,P,2,TB,2,1,0,1,0,1,0,0,0,0,0,50.0,0.0,0.0,,39.6
