player,pos,season,pred_ppg,avg_pick,raw_year_exp,capped_year_exp,threshold,experience_cohort,projection_tier,played_games,active_ppg,season_points,managed_points_above_waiver,forecast_managed_points,managed_residual_points,managed_miss_30,managed_upside_20,boom_weeks,pred_salary,pred_salary_raw,actual_salary,actual_salary_observed,training_through_year,data_rolling_origin,normalization_uses_target_actuals,method_version
Rhamondre Stevenson,RB,2022,10.129554400884345,81.93,1.0,1.0,7.0,threshold_or_below,starter,15,13.453333333333335,201.8,111.20000000000002,50.07287041414952,61.1271295858505,False,True,8,16.48146241643079,15.62869964974436,25.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Ronald Jones,RB,2022,5.833483055266523,204.36,4.0,4.0,7.0,threshold_or_below,depth,3,1.6333333333333335,4.9,0.0,0.0,0.0,True,True,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Samaje Perine,RB,2022,5.131497542937474,245.59,5.0,5.0,7.0,threshold_or_below,fringe,15,8.493333333333334,127.4,58.6,0.0,58.6,False,True,5,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Saquon Barkley,RB,2022,14.0530795244887,16.3,4.0,4.0,7.0,threshold_or_below,elite,15,17.42666666666667,261.40000000000003,160.10000000000002,112.8492723918192,47.250727608180824,False,True,5,71.0,71.0,71.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Snoop Conner,RB,2022,3.8594241129720426,311.0,0.0,0.0,7.0,threshold_or_below,fringe,4,0.625,2.5,0.0,0.0,0.0,True,True,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Sony Michel,RB,2022,5.623118325711371,205.38,4.0,4.0,7.0,threshold_or_below,depth,10,2.04,20.400000000000002,0.0,0.0,0.0,True,True,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Tony Pollard,RB,2022,9.695636976664465,82.26,3.0,3.0,7.0,threshold_or_below,starter,15,16.226666666666667,243.4,148.7,43.130191626631444,105.56980837336855,False,True,7,14.870110830481076,14.017348063794646,26.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Travis Etienne,RB,2022,13.186219204968323,37.38,1.0,1.0,7.0,threshold_or_below,elite,15,11.180000000000001,167.70000000000002,78.10000000000001,98.97950727949316,-20.879507279493154,False,False,2,47.32537754718037,46.47261478049394,56.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Travis Homer,RB,2022,4.614815162677491,306.5,3.0,3.0,7.0,threshold_or_below,fringe,8,4.5125,36.1,6.299999999999999,0.0,6.299999999999999,False,True,1,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Ty Montgomery,RB,2022,3.3691470282212035,270.0,6.0,6.0,7.0,threshold_or_below,fringe,0,0.0,0.0,0.0,0.0,0.0,True,True,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Tyler Allgeier,RB,2022,7.849507657726,146.48,0.0,0.0,7.0,threshold_or_below,depth,14,8.864285714285714,124.1,46.7,13.592122523615998,33.107877476384004,False,True,5,6.799289294031774,5.946526527345344,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Tyrion Davis Price,RB,2022,5.231466693868379,195.08,0.0,0.0,7.0,threshold_or_below,fringe,3,2.2333333333333334,6.7,0.0,0.0,0.0,True,True,0,1.8527627666864297,1.0,1.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Zack Moss,RB,2022,5.282568191386867,227.19,2.0,2.0,7.0,threshold_or_below,fringe,11,2.909090909090909,32.0,1.5999999999999996,0.0,1.5999999999999996,False,True,1,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Zamir White,RB,2022,7.112177638683473,166.47,0.0,0.0,7.0,threshold_or_below,depth,10,0.66,6.6000000000000005,0.0,1.794842218935571,-1.794842218935571,True,False,0,3.1088161921830597,2.25605342549663,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Adam Trautman,TE,2022,4.694970303841235,266.47,2.0,2.0,8.0,threshold_or_below,depth,10,3.2299999999999995,32.3,6.3999999999999995,0.0,6.3999999999999995,False,True,1,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Albert Okwuegbunam,TE,2022,6.853469708047898,147.64,2.0,2.0,8.0,threshold_or_below,starter,4,2.125,8.5,0.8000000000000007,29.65551532876637,-28.85551532876637,True,False,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Austin Hooper,TE,2022,5.924003049802297,187.8,6.0,6.0,8.0,threshold_or_below,starter,15,4.8,72.0,22.600000000000005,14.784048796836757,7.815951203163248,False,True,2,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Brevin Jordan,TE,2022,5.770601005703501,196.39,1.0,1.0,8.0,threshold_or_below,depth,8,2.1625,17.3,1.6000000000000005,12.329616091256014,-10.729616091256013,True,False,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Cameron Brate,TE,2022,4.997855349001782,207.44,8.0,7.0,8.0,threshold_or_below,depth,9,3.0444444444444443,27.4,2.9000000000000012,0.0,2.9000000000000012,False,True,1,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Cj Uzomah,TE,2022,4.6975922563855,256.96,7.0,7.0,8.0,threshold_or_below,depth,11,3.9818181818181824,43.800000000000004,14.100000000000001,0.0,14.100000000000001,False,True,1,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Cole Kmet,TE,2022,7.526900698211845,116.2,2.0,2.0,8.0,threshold_or_below,elite,15,6.926666666666666,103.89999999999999,45.900000000000006,40.43041117138952,5.469588828610483,False,False,2,2.7463233410601258,1.893560574373696,1.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Dallas Goedert,TE,2022,8.688485318578582,82.52,4.0,4.0,8.0,threshold_or_below,elite,10,10.41,104.1,55.900000000000006,59.015765097257315,-3.1157650972573094,False,False,2,9.229121366606638,8.376358599920207,5.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Dalton Schultz,TE,2022,8.195424881098045,69.32,4.0,4.0,8.0,threshold_or_below,elite,13,6.984615384615386,90.80000000000001,44.5,51.126798097568724,-6.626798097568724,False,False,2,12.510305572803134,11.657542806116703,19.0,1,2021,1,0,current_locked_spec_v5_compact_salary_features
Dan Arnold,TE,2022,4.233856390080007,366.0,4.0,2.0,8.0,threshold_or_below,fringe,9,2.0,18.0,0.0,0.0,0.0,True,True,0,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
Daniel Bellinger,TE,2022,5.44102930949089,249.47,0.0,0.0,8.0,threshold_or_below,depth,10,5.55,55.5,18.800000000000004,7.056468951854242,11.743531048145762,False,True,3,1.8527627666864297,1.0,,0,2021,1,0,current_locked_spec_v5_compact_salary_features
