dataset,pos,model_spec,outcome,n,above_threshold_n,unique_players,status,coefficient,cluster_se,coefficient_ci95_low,coefficient_ci95_high,p_value,marginal_delta_per_excess_year,marginal_unit
adp_top_100,TE,projection_and_market,managed_miss_30,162,19,57,ok,0.3764597006437921,0.2710308396042356,-0.15476074498050962,0.9076801462680938,0.16483514606626337,6.455520179619334,percentage_points
adp_top_100,TE,projection_and_market,managed_upside_20,162,19,57,ok,-0.11658483638882443,,,,,-1.2896870919867507,percentage_points
adp_top_200,RB,market_only,managed_points_above_waiver,1107,88,328,ok,0.317056179293345,1.8590634987009302,-3.326708278160478,3.9608206367471683,0.864580619376349,0.317056179293345,points
adp_top_200,RB,market_only,managed_residual_points,1107,88,328,ok,-0.23567039450723504,1.7958384987911524,-3.7555138521378937,3.2841730631234234,0.8955922597208175,-0.23567039450723504,points
adp_top_200,RB,market_only,boom_weeks,1107,88,328,ok,-0.06176639593152347,0.12718889048959664,-0.3110566212911329,0.18752382942808593,0.6272314455419464,-0.06176639593152347,points
adp_top_200,RB,market_only,managed_miss_30,1107,88,328,ok,0.10889351997570725,0.11833734037787755,-0.12304766716493275,0.3408347071163472,0.35747046472595834,1.78220536144538,percentage_points
adp_top_200,RB,market_only,managed_upside_20,1107,88,328,ok,-0.006959992288009755,0.09920214258173336,-0.20139619174820714,0.18747620717218763,0.9440665521932528,-0.12517649998313476,percentage_points
adp_top_200,RB,projection_and_market,managed_points_above_waiver,1107,88,328,ok,0.28956157891139456,1.8396296501266323,-3.3161125353368046,3.895235693159594,0.8749279547742975,0.28956157891139456,points
adp_top_200,RB,projection_and_market,managed_residual_points,1107,88,328,ok,0.18646041276656503,1.9083228688768779,-3.5538524102321154,3.926773235765246,0.9221633298541204,0.18646041276656503,points
adp_top_200,RB,projection_and_market,boom_weeks,1107,88,328,ok,-0.03826840527968962,0.13494322269712047,-0.30275712176604574,0.22622031120666652,0.7767254150550444,-0.03826840527968962,points
adp_top_200,RB,projection_and_market,managed_miss_30,1107,88,328,ok,0.1442172602700205,0.13024948244977064,-0.11107172533152995,0.3995062458715709,0.26819076401175146,2.2654891609964896,percentage_points
adp_top_200,RB,projection_and_market,managed_upside_20,1107,88,328,ok,-0.0967850641054026,0.11629224137037823,-0.32471785719134394,0.13114772898053872,0.40526374019392697,-1.446637240841317,percentage_points
adp_top_200,WR,market_only,managed_points_above_waiver,1338,89,377,ok,-0.5578322531962733,1.2629838369626831,-3.033280573643132,1.9176160672505858,0.6587221870368363,-0.5578322531962733,points
adp_top_200,WR,market_only,managed_residual_points,1338,89,377,ok,-1.2059706664865157,1.2843926110619563,-3.72338018416795,1.3114388511949187,0.3477603241141475,-1.2059706664865157,points
adp_top_200,WR,market_only,boom_weeks,1338,89,377,ok,-0.07546839787798396,0.08195922504876231,-0.23610847897355808,0.08517168321759017,0.357152666755709,-0.07546839787798396,points
adp_top_200,WR,market_only,managed_miss_30,1338,89,377,ok,-0.05874325394228851,0.10118699462805374,-0.2570697634132738,0.1395832555286968,0.5615494806224809,-1.1565851127191182,percentage_points
adp_top_200,WR,market_only,managed_upside_20,1338,89,377,ok,-0.07452535895684215,0.08908568060256337,-0.24913329293786635,0.10008257502418205,0.40284093483743955,-1.2677126462339208,percentage_points
adp_top_200,WR,projection_and_market,managed_points_above_waiver,1338,89,377,ok,-0.7243946575974884,1.2190429153002316,-3.1137187715859422,1.6649294563909656,0.5523567617413605,-0.7243946575974884,points
adp_top_200,WR,projection_and_market,managed_residual_points,1338,89,377,ok,-0.7186750491014676,1.251800942897036,-3.172204897179658,1.734854798976723,0.5658914155341784,-0.7186750491014676,points
adp_top_200,WR,projection_and_market,boom_weeks,1338,89,377,ok,-0.05152562408734634,0.07905725680424062,-0.20647784742365796,0.10342659924896527,0.5145619966931259,-0.05152562408734634,points
adp_top_200,WR,projection_and_market,managed_miss_30,1338,89,377,ok,-0.03892425156122791,0.10628945327509953,-0.247251579980423,0.16940307685796716,0.714208444846367,-0.7217689444650397,percentage_points
adp_top_200,WR,projection_and_market,managed_upside_20,1338,89,377,ok,-0.18483333643937286,0.10478696557010003,-0.3902157889567689,0.020549116078023205,0.0777494470208332,-2.3659843482842366,percentage_points
adp_top_200,TE,market_only,managed_points_above_waiver,465,48,131,ok,2.7037951669390052,2.0491928349590287,-1.3126227895806908,6.720213123458701,0.18702072401636727,2.7037951669390052,points
adp_top_200,TE,market_only,managed_residual_points,465,48,131,ok,-0.03934810054975983,1.8304950038240722,-3.6271183080449414,3.5484221069454214,0.9828500901598998,-0.03934810054975983,points
adp_top_200,TE,market_only,boom_weeks,465,48,131,ok,-0.08071448320729877,0.08061665592679183,-0.23872312882381075,0.07729416240921322,0.3167236074205504,-0.08071448320729877,points
adp_top_200,TE,market_only,managed_miss_30,465,48,131,ok,0.08746745114528112,0.17168730064895837,-0.2490396581266773,0.4239745604172396,0.6104313027768873,1.7189983252070928,percentage_points
adp_top_200,TE,market_only,managed_upside_20,465,48,131,ok,0.0245733586603142,0.10345729168888355,-0.17820293304989757,0.22734965037052599,0.8122520351982792,0.45674889742669855,percentage_points
adp_top_200,TE,projection_and_market,managed_points_above_waiver,465,48,131,ok,2.371659018807488,2.15171878969168,-1.8457098089882038,6.58902784660318,0.27036774911011374,2.371659018807488,points
adp_top_200,TE,projection_and_market,managed_residual_points,465,48,131,ok,2.2890489081921626,2.162737076401192,-1.9499157615541733,6.5280135779384985,0.2898714366109941,2.2890489081921626,points
adp_top_200,TE,projection_and_market,boom_weeks,465,48,131,ok,-0.027086305707932218,0.0885534527126724,-0.20065107302477012,0.14647846160890568,0.7596996635058739,-0.027086305707932218,points
adp_top_200,TE,projection_and_market,managed_miss_30,465,48,131,ok,0.1774847855776588,0.19625514254001053,-0.20717529380076183,0.5621448649560794,0.36580593240936976,3.2452972925507773,percentage_points
adp_top_200,TE,projection_and_market,managed_upside_20,465,48,131,ok,-0.12228653064110319,0.13916043512633644,-0.3950409834887226,0.15046792220651622,0.37953957659223947,-1.9414262253148042,percentage_points
auction_all,RB,market_only,managed_points_above_waiver,346,19,155,ok,-3.621198663146198,3.3151453384947693,-10.118883526595946,2.8764862003035496,0.2746925908615001,-3.621198663146198,points
auction_all,RB,market_only,managed_residual_points,346,19,155,ok,-4.622314126810478,3.1012121407469495,-10.7006899226745,1.4560616690535433,0.13609642303590086,-4.622314126810478,points
auction_all,RB,market_only,boom_weeks,346,19,155,ok,-0.180958120880654,0.26163787991353016,-0.693768365511173,0.33185212374986506,0.4891660819360635,-0.180958120880654,points
auction_all,RB,market_only,managed_miss_30,346,19,155,ok,0.366357961562941,0.29752315368064564,-0.21678741965112447,0.9495033427770064,0.21818843755862394,4.672336611518723,percentage_points
auction_all,RB,market_only,managed_upside_20,346,19,155,ok,0.021664187739670868,0.3181105075208961,-0.6018324070012855,0.6451607824806271,0.9457038728543031,0.24545963253769681,percentage_points
auction_all,RB,projection_and_market,managed_points_above_waiver,346,19,155,ok,-5.081644857820236,3.357769117167698,-11.662872327468925,1.499582611828452,0.1301783060809454,-5.081644857820236,points
auction_all,RB,projection_and_market,managed_residual_points,346,19,155,ok,-5.061192483320953,3.189167300747543,-11.311960392786137,1.1895754261442315,0.11251378253282918,-5.061192483320953,points
auction_all,RB,projection_and_market,boom_weeks,346,19,155,ok,-0.22858480763955583,0.2857306679365628,-0.788616916795219,0.33144730151610735,0.42371024300952875,-0.22858480763955583,points
auction_all,RB,projection_and_market,managed_miss_30,346,19,155,ok,0.33523646345167657,0.31611608562191545,-0.28435106436727775,0.9548239912706309,0.2889238718503022,4.095157853581561,percentage_points
auction_all,RB,projection_and_market,managed_upside_20,346,19,155,ok,-0.08520094324099259,0.36045932343845977,-0.7917012171803737,0.6212993306983885,0.8131473534616253,-0.892437255355649,percentage_points
auction_all,WR,market_only,managed_points_above_waiver,511,25,214,ok,-0.6019251695448895,3.3100413969547744,-7.089606307576247,5.8857559684864675,0.8557018333608838,-0.6019251695448895,points
auction_all,WR,market_only,managed_residual_points,511,25,214,ok,-0.5246039263672395,3.76326758572186,-7.900608394382085,6.851400541647606,0.8891331432642477,-0.5246039263672395,points
auction_all,WR,market_only,boom_weeks,511,25,214,ok,-0.3912262825199923,0.2546351062945123,-0.8903110908572365,0.1078585258172518,0.12443558514502906,-0.3912262825199923,points
auction_all,WR,market_only,managed_miss_30,511,25,214,ok,-0.2543243190585569,0.3051789865739017,-0.8524751327434043,0.34382649462629045,0.4046410639062846,-4.7679031939723995,percentage_points
auction_all,WR,market_only,managed_upside_20,511,25,214,ok,-0.9542248876294938,0.5920683044503664,-2.114678764352212,0.2062289890932244,0.1070315027622636,-4.916337616738405,percentage_points
auction_all,WR,projection_and_market,managed_points_above_waiver,511,25,214,ok,-1.286023193866135,3.4409029946898375,-8.030193063458217,5.4581466757259465,0.7085934143750192,-1.286023193866135,points
auction_all,WR,projection_and_market,managed_residual_points,511,25,214,ok,-1.653602116819068,3.773830536323632,-9.050309968013387,5.74310573437525,0.6612586765234408,-1.653602116819068,points
auction_all,WR,projection_and_market,boom_weeks,511,25,214,ok,-0.3930419578932029,0.2509817421091955,-0.8849661724272261,0.09888225664082029,0.1173443733350158,-0.3930419578932029,points
auction_all,WR,projection_and_market,managed_miss_30,511,25,214,ok,-0.3014866725056633,0.3137897122540735,-0.9165145085236474,0.31354116351232075,0.3366567180974632,-5.609765920919728,percentage_points
auction_all,WR,projection_and_market,managed_upside_20,511,25,214,ok,-1.0682086690576569,0.5827852571025421,-2.2104677729786397,0.07405043486332574,0.06681193844775872,-5.323968676064503,percentage_points
auction_all,TE,market_only,managed_points_above_waiver,192,13,79,ok,2.432476523997727,2.694576294538372,-2.848893013297482,7.713846061292935,0.3666688822175701,2.432476523997727,points
auction_all,TE,market_only,managed_residual_points,192,13,79,ok,1.1374601352117488,2.5073828700017504,-3.7770102899916815,6.05193056041518,0.6500848089820879,1.1374601352117488,points
auction_all,TE,market_only,boom_weeks,192,13,79,ok,0.13188175638554822,0.34552627730193874,-0.5453497471262517,0.8091132598973482,0.7026959738330756,0.13188175638554822,points
auction_all,TE,market_only,managed_miss_30,192,13,79,ok,0.040193444134147494,0.3358842314501701,-0.6181396495081859,0.6985265377764809,0.9047488629368731,0.6584528701775019,percentage_points
auction_all,TE,market_only,managed_upside_20,192,13,79,ok,-0.3586170326884416,0.18022134036341883,-0.7118508598007425,-0.005383205576140693,0.04660526145060386,-4.637381485486495,percentage_points
auction_all,TE,projection_and_market,managed_points_above_waiver,192,13,79,ok,1.0881901486861225,2.1700209607975136,-3.1650509344770037,5.341431231849249,0.6160437136081353,1.0881901486861225,points
auction_all,TE,projection_and_market,managed_residual_points,192,13,79,ok,2.218924226027421,2.1981382849949704,-2.0894268125627207,6.527275264617563,0.3127559179116145,2.218924226027421,points
auction_all,TE,projection_and_market,boom_weeks,192,13,79,ok,0.16358693382188375,0.3024217805170557,-0.42915975599154543,0.7563336236353129,0.5885605726739973,0.16358693382188375,points
auction_all,TE,projection_and_market,managed_miss_30,192,13,79,ok,0.07219546118677617,0.35691596042340257,-0.6273598212430929,0.7717507436166451,0.8397011182601691,1.15820785587944,percentage_points
auction_all,TE,projection_and_market,managed_upside_20,192,13,79,ok,-0.3982693523997852,0.16685369239471123,-0.7253025894934193,-0.0712361153061512,0.01698937456909333,-4.58371503920623,percentage_points
auction_salary_5plus,RB,market_only,managed_points_above_waiver,173,8,83,insufficient,,,,,,,
auction_salary_5plus,RB,market_only,managed_residual_points,173,8,83,insufficient,,,,,,,
auction_salary_5plus,RB,market_only,boom_weeks,173,8,83,insufficient,,,,,,,
auction_salary_5plus,RB,market_only,managed_miss_30,173,8,83,insufficient,,,,,,,
auction_salary_5plus,RB,market_only,managed_upside_20,173,8,83,insufficient,,,,,,,
auction_salary_5plus,RB,projection_and_market,managed_points_above_waiver,173,8,83,insufficient,,,,,,,
auction_salary_5plus,RB,projection_and_market,managed_residual_points,173,8,83,insufficient,,,,,,,
auction_salary_5plus,RB,projection_and_market,boom_weeks,173,8,83,insufficient,,,,,,,
auction_salary_5plus,RB,projection_and_market,managed_miss_30,173,8,83,insufficient,,,,,,,
auction_salary_5plus,RB,projection_and_market,managed_upside_20,173,8,83,insufficient,,,,,,,
auction_salary_5plus,WR,market_only,managed_points_above_waiver,195,9,82,insufficient,,,,,,,
auction_salary_5plus,WR,market_only,managed_residual_points,195,9,82,insufficient,,,,,,,
auction_salary_5plus,WR,market_only,boom_weeks,195,9,82,insufficient,,,,,,,
auction_salary_5plus,WR,market_only,managed_miss_30,195,9,82,insufficient,,,,,,,
auction_salary_5plus,WR,market_only,managed_upside_20,195,9,82,insufficient,,,,,,,
auction_salary_5plus,WR,projection_and_market,managed_points_above_waiver,195,9,82,insufficient,,,,,,,
auction_salary_5plus,WR,projection_and_market,managed_residual_points,195,9,82,insufficient,,,,,,,
auction_salary_5plus,WR,projection_and_market,boom_weeks,195,9,82,insufficient,,,,,,,
auction_salary_5plus,WR,projection_and_market,managed_miss_30,195,9,82,insufficient,,,,,,,
auction_salary_5plus,WR,projection_and_market,managed_upside_20,195,9,82,insufficient,,,,,,,
auction_salary_5plus,TE,market_only,managed_points_above_waiver,38,5,17,insufficient,,,,,,,
auction_salary_5plus,TE,market_only,managed_residual_points,38,5,17,insufficient,,,,,,,
auction_salary_5plus,TE,market_only,boom_weeks,38,5,17,insufficient,,,,,,,
auction_salary_5plus,TE,market_only,managed_miss_30,38,5,17,insufficient,,,,,,,
auction_salary_5plus,TE,market_only,managed_upside_20,38,5,17,insufficient,,,,,,,
auction_salary_5plus,TE,projection_and_market,managed_points_above_waiver,38,5,17,insufficient,,,,,,,
auction_salary_5plus,TE,projection_and_market,managed_residual_points,38,5,17,insufficient,,,,,,,
auction_salary_5plus,TE,projection_and_market,boom_weeks,38,5,17,insufficient,,,,,,,
auction_salary_5plus,TE,projection_and_market,managed_miss_30,38,5,17,insufficient,,,,,,,
auction_salary_5plus,TE,projection_and_market,managed_upside_20,38,5,17,insufficient,,,,,,,
