scope,period,method,n,ppg_crps,ppg_mae_mean,ppg_bias,ppg_80_coverage,ppg_pit_mean,ppg_pit_ks,contribution_crps,contribution_mae_mean,contribution_bias,contribution_80_coverage,contribution_pit_mean,contribution_pit_ks,plus3_actual_rate,plus3_predicted_rate,plus3_brier,plus3_auc,plus5_actual_rate,plus5_predicted_rate,plus5_brier,plus5_auc,impact_actual_rate,impact_predicted_rate,impact_brier,impact_auc,zero_actual_rate,zero_predicted_rate,zero_brier,zero_auc,contribution_q90_spearman,tail_lift_surprise_spearman,raw_residual_mean,effective_sample_size,max_donor_probability,played_crps,played_mae_mean,played_bias,played_80_coverage,extended_absence_actual_rate,extended_absence_predicted_rate,extended_absence_brier,extended_absence_auc,weighted_season_gap,weight_last3_seasons,weight_10plus_seasons,height_weight,weight_weight,positions,primary,recency_half_life,total_match_weight,qb_feature_count,rb_feature_count,wr_feature_count,te_feature_count
all,recent_2020_2025,production,1080.0,1.9139888801368876,2.6992561148607455,-0.007082628140284455,0.8148148148148148,0.5058584517413308,0.02522000883937947,20.560161386404324,29.802827127342432,0.7670020253271974,0.8101851851851852,0.4940304948512756,0.02032206889166932,0.18518518518518517,0.18328312860165333,0.15101634112789353,0.5538977272727272,0.06759259259259259,0.07870902993459773,0.06373859282145783,0.5748935533457578,0.1111111111111111,0.12149114769465509,0.09566500088122275,0.67171875,0.03333333333333333,0.03129302268513396,0.02995211124932527,0.7585674755214985,0.5555979958245824,-0.023030722000885726,-0.7153092232598559,61.408066475777794,0.050000000000000024,1.539402662533548,2.2966827295083254,0.19611908508244444,0.9064814814814814,0.13333333333333333,0.12210839482216337,0.1099207600644786,0.6247032288698955,6.200988018673033,0.32466759266994605,0.22933433177388235,0.0,0.0,,0,12.0,58.25,13,16,13,13
all,recent_2020_2025,weight_w025_all,1080.0,1.9131751635526404,2.6993705910172783,-0.0070483615120271095,0.812037037037037,0.5063632970384871,0.024455107031436718,20.55250000292522,29.804899070821946,0.7408972651170005,0.8027777777777778,0.4944020620915196,0.019145238202400494,0.18518518518518517,0.18299058903272067,0.1509699708159569,0.5501193181818181,0.06759259259259259,0.07855324324999376,0.06371495553677067,0.5804845533321543,0.1111111111111111,0.121221058214806,0.09520631669424943,0.679140625,0.03333333333333333,0.03144472666820036,0.029981544216121675,0.7553746275010643,0.5524408307972187,-0.02974885380845948,-0.7162048840150529,61.890643071707046,0.05000000000000002,1.5389495838826137,2.2959557299512343,0.19614886449621693,0.9027777777777778,0.13333333333333333,0.12205522072046225,0.1100294698396685,0.6219209995251662,6.2016793220808575,0.32506733332740473,0.22936631602067784,0.0,0.25,"QB,RB,WR,TE",0,12.0,59.25,14,17,14,14
all,temporal_2023_2025,height_w025_all,540.0,1.9883511817672452,2.83318658270377,0.09414916808433738,0.7870370370370371,0.4939530998409615,0.036862966872838576,20.931797459479473,30.672070384976514,0.24879431586870948,0.7962962962962963,0.4914642538738016,0.03690044468677117,0.2,0.18069795945277004,0.1624637419387157,0.5226551783264746,0.07407407407407407,0.07533294911359147,0.06864322468369131,0.6001,0.1111111111111111,0.11686296032731576,0.09780824328006477,0.6269097222222222,0.03888888888888889,0.033852615830735594,0.0347931489475982,0.7323607670428479,0.5285112543991709,-0.022438653386633315,-0.732918676849848,62.3175406968921,0.050000000000000024,1.5217271442093556,2.338381642193391,0.009726590644137006,0.9037037037037037,0.1259259259259259,0.12325727209358264,0.10552956909891288,0.596367148554337,6.73810569692705,0.3020634610413267,0.2770083214650708,0.25,0.0,"QB,RB,WR,TE",0,12.0,59.25,14,17,14,14
all,temporal_2023_2025,height_weight_w025_all,540.0,1.9864550053407928,2.8331147950937665,0.09421182579075259,0.7796296296296297,0.4938630932239507,0.03516133326938692,20.92049709540921,30.66432411519665,0.23354314769219442,0.7851851851851852,0.49120817313278164,0.03853642678074953,0.2,0.18133598268109263,0.16231104607458785,0.5181541495198903,0.07407407407407407,0.07507279450343277,0.06871731025595332,0.5986,0.1111111111111111,0.1170237639688619,0.09703882251244106,0.6440277777777778,0.03888888888888889,0.03354624301437751,0.03505989617128255,0.7028626479493532,0.525815576393662,-0.03080478480531293,-0.7368755897453713,62.46724023205147,0.05000000000000002,1.5223362317725366,2.3384769928199205,0.011679163195897738,0.9074074074074074,0.1259259259259259,0.12328630047726997,0.10573308940228221,0.594435443668993,6.741739145945002,0.30195924144972136,0.27709408643980765,0.25,0.25,"QB,RB,WR,TE",1,12.0,60.25,15,18,15,15
all,temporal_2023_2025,height_weight_w025_skill,540.0,1.9874991512644733,2.83291133326644,0.09423983258724283,0.7777777777777778,0.49394457350038223,0.03330948141753509,20.935287913644633,30.679274109006183,0.2427319928791179,0.7888888888888889,0.4910896945733345,0.040388278632601415,0.2,0.18099124298022098,0.16255950879759867,0.517554012345679,0.07407407407407407,0.07515309159542283,0.0688088331869192,0.59435,0.1111111111111111,0.11674262109668321,0.09734525642334141,0.6382638888888889,0.03888888888888889,0.03363222265976402,0.03496847330711191,0.7182310303697587,0.5258896529530773,-0.028879233315462525,-0.7333115244174686,62.304104071658124,0.05000000000000002,1.5206934515889077,2.336393934539114,0.010587712593513111,0.9092592592592592,0.1259259259259259,0.12349433581953251,0.10554136272143608,0.5997632103688934,6.747219618696541,0.3014736849092944,0.27759668016716643,0.25,0.25,"RB,WR,TE",0,12.0,59.75,13,18,15,15
all,temporal_2023_2025,height_weight_w050_all,540.0,1.9856152721384188,2.833509935876682,0.09452607271491677,0.7833333333333333,0.49367601531973104,0.03711072671361848,20.920474811640844,30.648921340671507,0.23917858339047093,0.7870370370370371,0.4922110616011606,0.04057327536592281,0.2,0.18307153786252758,0.1618383911373408,0.5228052126200274,0.07407407407407407,0.07518896229228379,0.06880617158935373,0.5944,0.1111111111111111,0.11729269301872394,0.09690769531095748,0.6462847222222222,0.03888888888888889,0.03374493653285684,0.035046131076780604,0.6968070465180292,0.5348514305385009,-0.011628755014020395,-0.7442920462673722,61.97715823850181,0.05000000000000002,1.522002007847697,2.3350813690614562,0.009246805431272098,0.9074074074074074,0.1259259259259259,0.12392998048738614,0.10621830487609522,0.588515702891326,6.7476307417758195,0.30294817117335804,0.2779941171840677,0.5,0.5,"QB,RB,WR,TE",0,12.0,62.25,15,18,15,15
all,temporal_2023_2025,production,540.0,1.9889998680219863,2.833020426557878,0.09407128225413999,0.7851851851851852,0.49381417088976287,0.040248462031119536,20.94647319609346,30.67088544834154,0.24619612742820313,0.7962962962962963,0.49136750048253847,0.03795933806401064,0.2,0.17950879228325756,0.16254945952853864,0.5197616598079561,0.07407407407407407,0.07489301515939632,0.06866895587876432,0.59765,0.1111111111111111,0.11672878923968294,0.09795237621092895,0.6240625,0.03888888888888889,0.03393466480625232,0.03488486260639865,0.7337829158638407,0.5292577357772285,-0.024024011665944593,-0.7367533674386173,61.82546063910343,0.050000000000000024,1.526457630407606,2.3404908264407265,0.01145397475191781,0.9092592592592592,0.1259259259259259,0.12292305136077765,0.10575605521986742,0.5924414257228315,6.735303760774593,0.3015693467410965,0.27609094255687716,0.0,0.0,,0,12.0,58.25,13,16,13,13
all,temporal_2023_2025,weight_w025_all,540.0,1.9870699966497167,2.833144460920428,0.09403985653776384,0.7814814814814814,0.49333795309032563,0.041876171639155635,20.93908480951064,30.673921434040583,0.2351006219975763,0.7851851851851852,0.49126163778098164,0.036087027029273855,0.2,0.18018506045004554,0.16244582444952496,0.5157964677640604,0.07407407407407407,0.07473494243518994,0.06853284565912975,0.60545,0.1111111111111111,0.11697625244265202,0.09775087382789249,0.6271527777777778,0.03888888888888889,0.03399455030449295,0.03507448284417757,0.7185980365171116,0.5266961500621424,-0.032332148677540806,-0.7356993683282487,62.21575464175527,0.05000000000000002,1.5233986717600492,2.33594985092171,0.012361033884102464,0.9055555555555556,0.1259259259259259,0.12294050543710924,0.10591296772035892,0.5904785643070788,6.738845927397326,0.30130921881900574,0.2762783919221471,0.0,0.25,"QB,RB,WR,TE",0,12.0,59.25,14,17,14,14
qb,all_2017_2025,height_w025_all,216.0,2.4100492994069245,3.392288186178908,0.3778605575411464,0.8240740740740741,0.4801631361235421,0.0662487634559828,21.99268410314045,32.394701721517634,4.0829611771576575,0.8379629629629629,0.46973614750458487,0.07529211302220784,0.2222222222222222,0.2231404020309008,0.1736681464600847,0.5438988095238095,0.06481481481481481,0.10128765088992454,0.06368429995928106,0.57001414427157,0.1388888888888889,0.15650748025530378,0.1193466451345414,0.5899641577060932,0.037037037037037035,0.03227867288645298,0.028492490099014584,0.7740384615384616,0.33523147447455487,-0.10034532442634468,-1.4347371191892013,59.47986790877355,0.050000000000000024,1.3393423679241296,2.0574496151433412,0.33867478145743335,0.9027777777777778,0.12037037037037036,0.10372179798101934,0.08652910207204317,0.654251012145749,6.799079426763133,0.23368893046513256,0.24166484195653123,0.25,0.0,"QB,RB,WR,TE",0,12.0,59.25,14,17,14,14
qb,all_2017_2025,height_weight_w025_all,216.0,2.40727883216128,3.3926492550132457,0.3780538277433344,0.8333333333333334,0.47989792350761845,0.06434986661316022,21.993284707753293,32.409717064569655,4.064946890273537,0.8240740740740741,0.4705350098731162,0.07493801795007238,0.2222222222222222,0.22574388104899137,0.1727564178562098,0.5535714285714286,0.06481481481481481,0.10113787580038874,0.06389966679973298,0.556930693069307,0.1388888888888889,0.15806411324376018,0.11873149668295968,0.6030465949820788,0.037037037037037035,0.032194688670703644,0.02861391350260927,0.7626201923076923,0.3317519461746133,-0.12012169709093938,-1.449758263962551,60.1318167213161,0.05000000000000002,1.3411080993042968,2.062028308698797,0.33535236030135596,0.8981481481481481,0.12037037037037036,0.10396356529880259,0.08680011249887108,0.6530364372469636,6.7885251113981795,0.2356024435368248,0.24166999105788511,0.25,0.25,"QB,RB,WR,TE",1,12.0,60.25,15,18,15,15
qb,all_2017_2025,height_weight_w025_skill,216.0,2.40925372483515,3.392033145319353,0.3775409066269948,0.8287037037037037,0.479861073037238,0.061974907717736616,22.01956812269389,32.40706741994284,4.091728392376031,0.8240740740740741,0.47059909490673085,0.07934176274495586,0.2222222222222222,0.22218817524126405,0.1733055763756692,0.5548115079365079,0.06481481481481481,0.10092536900027194,0.06428377415227396,0.5286421499292786,0.1388888888888889,0.15593655207797316,0.11928438085116821,0.5933691756272401,0.037037037037037035,0.03273862714106236,0.028412628086792874,0.7980769230769231,0.34280796277311004,-0.07882684956953523,-1.4255498626803373,58.88649813660167,0.05000000000000002,1.3404863395195379,2.0612080857712365,0.33900385907592745,0.8981481481481481,0.12037037037037036,0.10381728003173275,0.08639476317452423,0.6574898785425102,6.8077339880234256,0.23167043357335654,0.24205037421364922,0.25,0.25,"RB,WR,TE",0,12.0,59.75,13,18,15,15
qb,all_2017_2025,height_weight_w050_all,216.0,2.405437898356718,3.39309097924529,0.3782102976971248,0.8425925925925926,0.4805977235004721,0.06605666332466881,21.981958875573362,32.42445840827739,4.06889809231993,0.8333333333333334,0.4718226712244721,0.07762717111891981,0.2222222222222222,0.227679660381132,0.17267620659886393,0.5523313492063492,0.06481481481481481,0.10202198984950081,0.06378104302655645,0.5668316831683168,0.1388888888888889,0.15971256227422273,0.11893664147329266,0.5973118279569892,0.037037037037037035,0.032248128183823464,0.028756325942358826,0.7599158653846154,0.3332190162860192,-0.11056930899391514,-1.4851692631959523,60.39123470559153,0.05000000000000002,1.3406428368920507,2.060204097303093,0.3351107573347742,0.8981481481481481,0.12037037037037036,0.10389097963008316,0.08694230080500888,0.6502024291497975,6.761397461996631,0.240232417242661,0.24024975147137284,0.5,0.5,"QB,RB,WR,TE",0,12.0,62.25,15,18,15,15
qb,all_2017_2025,production,216.0,2.40925372483515,3.392033145319353,0.3775409066269948,0.8287037037037037,0.479861073037238,0.061974907717736616,22.01956812269389,32.40706741994284,4.091728392376031,0.8240740740740741,0.47059909490673085,0.07934176274495586,0.2222222222222222,0.22218817524126405,0.1733055763756692,0.5548115079365079,0.06481481481481481,0.10092536900027194,0.06428377415227396,0.5286421499292786,0.1388888888888889,0.15593655207797316,0.11928438085116821,0.5933691756272401,0.037037037037037035,0.03273862714106236,0.028412628086792874,0.7980769230769231,0.34280796277311004,-0.07882684956953523,-1.4255498626803373,58.88649813660167,0.05000000000000002,1.3404863395195379,2.0612080857712365,0.33900385907592745,0.8981481481481481,0.12037037037037036,0.10381728003173275,0.08639476317452423,0.6574898785425102,6.8077339880234256,0.23167043357335654,0.24205037421364922,0.0,0.0,,0,12.0,58.25,13,16,13,13
