block,arm,player,pos,year_exp,forecast_cost
2,baseline,Xavier Worthy,WR,1.0,29.0
2,waiver_proxy,Caleb Williams,QB,1.0,2.0
2,waiver_proxy,CeeDee Lamb,WR,5.0,83.0
2,waiver_proxy,DeVonta Smith,WR,4.0,26.0
2,waiver_proxy,James Conner,RB,8.0,33.0
2,waiver_proxy,Jauan Jennings,WR,5.0,4.0
2,waiver_proxy,Joe Mixon,RB,8.0,13.0
2,waiver_proxy,Josh Downs,WR,2.0,3.0
2,waiver_proxy,Puka Nacua,WR,2.0,66.0
2,waiver_proxy,Sam LaPorta,TE,2.0,15.0
2,waiver_proxy,Tetairoa McMillan,WR,0.0,26.0
2,waiver_proxy,Travis Kelce,TE,12.0,12.0
2,waiver_proxy,Trey Benson,RB,1.0,2.0
2,waiver_proxy,Tyrone Tracy Jr.,RB,1.0,13.0
2,championship_tiebreak,Aaron Jones,RB,8.0,24.0
2,championship_tiebreak,Caleb Williams,QB,1.0,2.0
2,championship_tiebreak,CeeDee Lamb,WR,5.0,83.0
2,championship_tiebreak,DeVonta Smith,WR,4.0,26.0
2,championship_tiebreak,Deebo Samuel Sr.,WR,6.0,8.0
2,championship_tiebreak,James Conner,RB,8.0,33.0
2,championship_tiebreak,Joe Mixon,RB,8.0,13.0
2,championship_tiebreak,Josh Downs,WR,2.0,3.0
2,championship_tiebreak,Kaleb Johnson,RB,0.0,12.0
2,championship_tiebreak,Marvin Harrison Jr.,WR,1.0,37.0
2,championship_tiebreak,Sam LaPorta,TE,2.0,15.0
2,championship_tiebreak,Tyrone Tracy Jr.,RB,1.0,13.0
2,championship_tiebreak,Xavier Worthy,WR,1.0,29.0
2,combined,Caleb Williams,QB,1.0,2.0
2,combined,CeeDee Lamb,WR,5.0,83.0
2,combined,Dalton Kincaid,TE,2.0,2.0
2,combined,Garrett Wilson,WR,3.0,28.0
2,combined,James Conner,RB,8.0,33.0
2,combined,Joe Mixon,RB,8.0,13.0
2,combined,Josh Downs,WR,2.0,3.0
2,combined,Najee Harris,RB,4.0,2.0
2,combined,Omarion Hampton,RB,0.0,58.0
2,combined,Puka Nacua,WR,2.0,66.0
2,combined,Ray Davis,RB,1.0,3.0
2,combined,Trey Benson,RB,1.0,2.0
2,combined,Tucker Kraft,TE,2.0,2.0
3,baseline,Breece Hall,RB,3.0,44.0
3,baseline,Caleb Williams,QB,1.0,2.0
3,baseline,CeeDee Lamb,WR,5.0,83.0
3,baseline,Garrett Wilson,WR,3.0,28.0
3,baseline,James Conner,RB,8.0,33.0
3,baseline,Jameson Williams,WR,3.0,22.0
3,baseline,Jauan Jennings,WR,5.0,4.0
3,baseline,Mark Andrews,TE,7.0,5.0
3,baseline,Marvin Harrison Jr.,WR,1.0,37.0
3,baseline,Rome Odunze,WR,1.0,14.0
3,baseline,Travis Etienne,RB,4.0,11.0
3,baseline,Trey Benson,RB,1.0,2.0
3,baseline,Tyrone Tracy Jr.,RB,1.0,13.0
3,waiver_proxy,Breece Hall,RB,3.0,44.0
3,waiver_proxy,CeeDee Lamb,WR,5.0,83.0
3,waiver_proxy,Dalton Kincaid,TE,2.0,2.0
3,waiver_proxy,Garrett Wilson,WR,3.0,28.0
3,waiver_proxy,Jalen Hurts,QB,5.0,38.0
3,waiver_proxy,James Conner,RB,8.0,33.0
3,waiver_proxy,Jauan Jennings,WR,5.0,4.0
3,waiver_proxy,Keon Coleman,WR,1.0,6.0
3,waiver_proxy,Mark Andrews,TE,7.0,5.0
3,waiver_proxy,Marvin Harrison Jr.,WR,1.0,37.0
3,waiver_proxy,Rachaad White,RB,3.0,2.0
3,waiver_proxy,Rome Odunze,WR,1.0,14.0
3,waiver_proxy,Trey Benson,RB,1.0,2.0
3,championship_tiebreak,Aaron Jones,RB,8.0,24.0
3,championship_tiebreak,Bhayshul Tuten,RB,0.0,2.0
3,championship_tiebreak,Breece Hall,RB,3.0,44.0
3,championship_tiebreak,CeeDee Lamb,WR,5.0,83.0
3,championship_tiebreak,James Conner,RB,8.0,33.0
3,championship_tiebreak,Jameson Williams,WR,3.0,22.0
3,championship_tiebreak,Jauan Jennings,WR,5.0,4.0
3,championship_tiebreak,Jayden Reed,WR,2.0,5.0
3,championship_tiebreak,Lamar Jackson,QB,7.0,42.0
3,championship_tiebreak,Mark Andrews,TE,7.0,5.0
3,championship_tiebreak,Michael Pittman,WR,5.0,9.0
3,championship_tiebreak,Rome Odunze,WR,1.0,14.0
3,championship_tiebreak,Travis Etienne,RB,4.0,11.0
3,combined,Breece Hall,RB,3.0,44.0
3,combined,CeeDee Lamb,WR,5.0,83.0
3,combined,Dalton Kincaid,TE,2.0,2.0
3,combined,Garrett Wilson,WR,3.0,28.0
3,combined,Jalen Hurts,QB,5.0,38.0
3,combined,James Conner,RB,8.0,33.0
3,combined,Jauan Jennings,WR,5.0,4.0
3,combined,Keon Coleman,WR,1.0,6.0
3,combined,Mark Andrews,TE,7.0,5.0
3,combined,Marvin Harrison Jr.,WR,1.0,37.0
3,combined,Rachaad White,RB,3.0,2.0
3,combined,Rome Odunze,WR,1.0,14.0
3,combined,Trey Benson,RB,1.0,2.0
4,baseline,CeeDee Lamb,WR,5.0,83.0
4,baseline,Chris Olave,WR,3.0,13.0
4,baseline,DJ Moore,WR,7.0,27.0
4,baseline,Garrett Wilson,WR,3.0,28.0
4,baseline,Joe Mixon,RB,8.0,13.0
4,baseline,Josh Allen,QB,7.0,47.0
4,baseline,Kaleb Johnson,RB,0.0,12.0
4,baseline,Mark Andrews,TE,7.0,5.0
4,baseline,Quinshon Judkins,RB,0.0,21.0
4,baseline,Rashee Rice,WR,2.0,17.0
4,baseline,Rome Odunze,WR,1.0,14.0
4,baseline,Tyjae Spears,RB,2.0,4.0
4,baseline,Tyrone Tracy Jr.,RB,1.0,13.0
4,waiver_proxy,CeeDee Lamb,WR,5.0,83.0
4,waiver_proxy,Dont'e Thornton Jr.,WR,0.0,2.0
4,waiver_proxy,Garrett Wilson,WR,3.0,28.0
4,waiver_proxy,Joe Mixon,RB,8.0,13.0
4,waiver_proxy,Josh Allen,QB,7.0,47.0
4,waiver_proxy,Josh Downs,WR,2.0,3.0
4,waiver_proxy,Josh Jacobs,RB,6.0,58.0
4,waiver_proxy,Kaleb Johnson,RB,0.0,12.0
4,waiver_proxy,Mark Andrews,TE,7.0,5.0
4,waiver_proxy,Rhamondre Stevenson,RB,4.0,7.0
4,waiver_proxy,Rome Odunze,WR,1.0,14.0
4,waiver_proxy,Sam LaPorta,TE,2.0,15.0
4,waiver_proxy,Travis Etienne,RB,4.0,11.0
4,championship_tiebreak,CeeDee Lamb,WR,5.0,83.0
4,championship_tiebreak,Chris Olave,WR,3.0,13.0
4,championship_tiebreak,DJ Moore,WR,7.0,27.0
4,championship_tiebreak,Garrett Wilson,WR,3.0,28.0
4,championship_tiebreak,Joe Mixon,RB,8.0,13.0
4,championship_tiebreak,Josh Allen,QB,7.0,47.0
4,championship_tiebreak,Kaleb Johnson,RB,0.0,12.0
4,championship_tiebreak,Mark Andrews,TE,7.0,5.0
4,championship_tiebreak,Quinshon Judkins,RB,0.0,21.0
4,championship_tiebreak,Rashee Rice,WR,2.0,17.0
4,championship_tiebreak,Rome Odunze,WR,1.0,14.0
4,championship_tiebreak,Tyjae Spears,RB,2.0,4.0
4,championship_tiebreak,Tyrone Tracy Jr.,RB,1.0,13.0
4,combined,CeeDee Lamb,WR,5.0,83.0
4,combined,Dont'e Thornton Jr.,WR,0.0,2.0
4,combined,Garrett Wilson,WR,3.0,28.0
4,combined,Joe Mixon,RB,8.0,13.0
4,combined,Josh Allen,QB,7.0,47.0
4,combined,Josh Downs,WR,2.0,3.0
4,combined,Josh Jacobs,RB,6.0,58.0
4,combined,Kaleb Johnson,RB,0.0,12.0
4,combined,Mark Andrews,TE,7.0,5.0
4,combined,Rhamondre Stevenson,RB,4.0,7.0
4,combined,Rome Odunze,WR,1.0,14.0
4,combined,Sam LaPorta,TE,2.0,15.0
4,combined,Travis Etienne,RB,4.0,11.0
5,baseline,Aaron Jones,RB,8.0,24.0
5,baseline,CeeDee Lamb,WR,5.0,83.0
5,baseline,Deebo Samuel Sr.,WR,6.0,8.0
5,baseline,Garrett Wilson,WR,3.0,28.0
5,baseline,Jalen Hurts,QB,5.0,38.0
5,baseline,Javonte Williams,RB,4.0,8.0
5,baseline,Joe Mixon,RB,8.0,13.0
5,baseline,Keon Coleman,WR,1.0,6.0
5,baseline,Mark Andrews,TE,7.0,5.0
5,baseline,Rome Odunze,WR,1.0,14.0
5,baseline,Tony Pollard,RB,6.0,28.0
5,baseline,Tyrone Tracy Jr.,RB,1.0,13.0
5,baseline,Xavier Worthy,WR,1.0,29.0
5,waiver_proxy,Aaron Jones,RB,8.0,24.0
5,waiver_proxy,Bhayshul Tuten,RB,0.0,2.0
5,waiver_proxy,CeeDee Lamb,WR,5.0,83.0
5,waiver_proxy,Garrett Wilson,WR,3.0,28.0
5,waiver_proxy,Jalen Hurts,QB,5.0,38.0
5,waiver_proxy,Jauan Jennings,WR,5.0,4.0
5,waiver_proxy,Josh Downs,WR,2.0,3.0
5,waiver_proxy,Josh Jacobs,RB,6.0,58.0
5,waiver_proxy,Keon Coleman,WR,1.0,6.0
5,waiver_proxy,Mark Andrews,TE,7.0,5.0
5,waiver_proxy,Rachaad White,RB,3.0,2.0
5,waiver_proxy,Sam LaPorta,TE,2.0,15.0
5,waiver_proxy,Xavier Worthy,WR,1.0,29.0
5,championship_tiebreak,Aaron Jones,RB,8.0,24.0
5,championship_tiebreak,CeeDee Lamb,WR,5.0,83.0
5,championship_tiebreak,Deebo Samuel Sr.,WR,6.0,8.0
5,championship_tiebreak,Garrett Wilson,WR,3.0,28.0
5,championship_tiebreak,Jalen Hurts,QB,5.0,38.0
5,championship_tiebreak,Javonte Williams,RB,4.0,8.0
5,championship_tiebreak,Joe Mixon,RB,8.0,13.0
5,championship_tiebreak,Keon Coleman,WR,1.0,6.0
5,championship_tiebreak,Mark Andrews,TE,7.0,5.0
5,championship_tiebreak,Rome Odunze,WR,1.0,14.0
5,championship_tiebreak,Tony Pollard,RB,6.0,28.0
5,championship_tiebreak,Tyrone Tracy Jr.,RB,1.0,13.0
5,championship_tiebreak,Xavier Worthy,WR,1.0,29.0
5,combined,Aaron Jones,RB,8.0,24.0
5,combined,Bhayshul Tuten,RB,0.0,2.0
5,combined,CeeDee Lamb,WR,5.0,83.0
5,combined,Garrett Wilson,WR,3.0,28.0
5,combined,Jalen Hurts,QB,5.0,38.0
5,combined,Jauan Jennings,WR,5.0,4.0
5,combined,Josh Downs,WR,2.0,3.0
5,combined,Josh Jacobs,RB,6.0,58.0
5,combined,Keon Coleman,WR,1.0,6.0
5,combined,Mark Andrews,TE,7.0,5.0
5,combined,Rachaad White,RB,3.0,2.0
5,combined,Sam LaPorta,TE,2.0,15.0
5,combined,Xavier Worthy,WR,1.0,29.0
6,baseline,Aaron Jones,RB,8.0,24.0
6,baseline,CeeDee Lamb,WR,5.0,83.0
6,baseline,Garrett Wilson,WR,3.0,28.0
6,baseline,Jordan Addison,WR,2.0,13.0
6,baseline,Josh Downs,WR,2.0,3.0
6,baseline,Josh Jacobs,RB,6.0,58.0
6,baseline,Justin Fields,QB,4.0,2.0
6,baseline,Kaleb Johnson,RB,0.0,12.0
6,baseline,Mark Andrews,TE,7.0,5.0
6,baseline,Rhamondre Stevenson,RB,4.0,7.0
6,baseline,Tyrone Tracy Jr.,RB,1.0,13.0
6,baseline,Xavier Worthy,WR,1.0,29.0
6,baseline,Zay Flowers,WR,2.0,21.0
6,waiver_proxy,Aaron Jones,RB,8.0,24.0
6,waiver_proxy,CeeDee Lamb,WR,5.0,83.0
6,waiver_proxy,Dylan Sampson,RB,0.0,2.0
6,waiver_proxy,Garrett Wilson,WR,3.0,28.0
6,waiver_proxy,Javonte Williams,RB,4.0,8.0
6,waiver_proxy,Josh Downs,WR,2.0,3.0
6,waiver_proxy,Josh Jacobs,RB,6.0,58.0
6,waiver_proxy,Kaleb Johnson,RB,0.0,12.0
6,waiver_proxy,Lamar Jackson,QB,7.0,42.0
6,waiver_proxy,Mark Andrews,TE,7.0,5.0
6,waiver_proxy,Rhamondre Stevenson,RB,4.0,7.0
6,waiver_proxy,Rome Odunze,WR,1.0,14.0
6,waiver_proxy,Travis Kelce,TE,12.0,12.0
6,championship_tiebreak,Cam Skattebo,RB,0.0,9.0
6,championship_tiebreak,CeeDee Lamb,WR,5.0,83.0
6,championship_tiebreak,Dylan Sampson,RB,0.0,2.0
6,championship_tiebreak,Garrett Wilson,WR,3.0,28.0
6,championship_tiebreak,James Conner,RB,8.0,33.0
6,championship_tiebreak,Jaydon Blue,RB,0.0,7.0
6,championship_tiebreak,Josh Downs,WR,2.0,3.0
6,championship_tiebreak,Kaleb Johnson,RB,0.0,12.0
6,championship_tiebreak,Lamar Jackson,QB,7.0,42.0
6,championship_tiebreak,Rashee Rice,WR,2.0,17.0
6,championship_tiebreak,Travis Kelce,TE,12.0,12.0
6,championship_tiebreak,Xavier Worthy,WR,1.0,29.0
6,championship_tiebreak,Zay Flowers,WR,2.0,21.0
6,combined,Aaron Jones,RB,8.0,24.0
6,combined,CeeDee Lamb,WR,5.0,83.0
6,combined,Dylan Sampson,RB,0.0,2.0
6,combined,Garrett Wilson,WR,3.0,28.0
6,combined,Javonte Williams,RB,4.0,8.0
6,combined,Josh Downs,WR,2.0,3.0
6,combined,Josh Jacobs,RB,6.0,58.0
6,combined,Kaleb Johnson,RB,0.0,12.0
6,combined,Lamar Jackson,QB,7.0,42.0
6,combined,Mark Andrews,TE,7.0,5.0
6,combined,Rhamondre Stevenson,RB,4.0,7.0
6,combined,Rome Odunze,WR,1.0,14.0
6,combined,Travis Kelce,TE,12.0,12.0
7,baseline,Bijan Robinson,RB,2.0,104.0
7,baseline,Dalton Kincaid,TE,2.0,2.0
7,baseline,DeVonta Smith,WR,4.0,26.0
7,baseline,Garrett Wilson,WR,3.0,28.0
7,baseline,J.K. Dobbins,RB,5.0,6.0
7,baseline,Jauan Jennings,WR,5.0,4.0
7,baseline,Josh Jacobs,RB,6.0,58.0
7,baseline,Justin Fields,QB,4.0,2.0
7,baseline,Kaleb Johnson,RB,0.0,12.0
7,baseline,Keon Coleman,WR,1.0,6.0
7,baseline,Rome Odunze,WR,1.0,14.0
7,baseline,Tyrone Tracy Jr.,RB,1.0,13.0
7,baseline,Zay Flowers,WR,2.0,21.0
7,waiver_proxy,Aaron Jones,RB,8.0,24.0
7,waiver_proxy,Bijan Robinson,RB,2.0,104.0
7,waiver_proxy,Dalton Kincaid,TE,2.0,2.0
7,waiver_proxy,Garrett Wilson,WR,3.0,28.0
7,waiver_proxy,J.K. Dobbins,RB,5.0,6.0
7,waiver_proxy,Jauan Jennings,WR,5.0,4.0
7,waiver_proxy,Josh Jacobs,RB,6.0,58.0
7,waiver_proxy,Justin Fields,QB,4.0,2.0
7,waiver_proxy,Kaleb Johnson,RB,0.0,12.0
7,waiver_proxy,Rome Odunze,WR,1.0,14.0
7,waiver_proxy,Tyler Warren,TE,0.0,9.0
7,waiver_proxy,Tyrone Tracy Jr.,RB,1.0,13.0
7,waiver_proxy,Zay Flowers,WR,2.0,21.0
7,championship_tiebreak,Bijan Robinson,RB,2.0,104.0
7,championship_tiebreak,Dalton Kincaid,TE,2.0,2.0
7,championship_tiebreak,DeVonta Smith,WR,4.0,26.0
7,championship_tiebreak,Garrett Wilson,WR,3.0,28.0
7,championship_tiebreak,J.K. Dobbins,RB,5.0,6.0
7,championship_tiebreak,Jauan Jennings,WR,5.0,4.0
7,championship_tiebreak,Josh Jacobs,RB,6.0,58.0
7,championship_tiebreak,Justin Fields,QB,4.0,2.0
7,championship_tiebreak,Kaleb Johnson,RB,0.0,12.0
7,championship_tiebreak,Keon Coleman,WR,1.0,6.0
7,championship_tiebreak,Rome Odunze,WR,1.0,14.0
7,championship_tiebreak,Tyrone Tracy Jr.,RB,1.0,13.0
7,championship_tiebreak,Zay Flowers,WR,2.0,21.0
7,combined,Aaron Jones,RB,8.0,24.0
7,combined,Bijan Robinson,RB,2.0,104.0
7,combined,Dalton Kincaid,TE,2.0,2.0
7,combined,Garrett Wilson,WR,3.0,28.0
7,combined,J.K. Dobbins,RB,5.0,6.0
7,combined,Jauan Jennings,WR,5.0,4.0
7,combined,Josh Jacobs,RB,6.0,58.0
7,combined,Justin Fields,QB,4.0,2.0
7,combined,Kaleb Johnson,RB,0.0,12.0
7,combined,Rome Odunze,WR,1.0,14.0
7,combined,Tyler Warren,TE,0.0,9.0
7,combined,Tyrone Tracy Jr.,RB,1.0,13.0
7,combined,Zay Flowers,WR,2.0,21.0
