league,method,baseline_method,slice_value,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta
beta,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,TE,269.0,1.987989566380372,1.5943344470997596,0.2523173946867121,0.7081356305239213,1.987228588814668,1.5938071649666288,0.2570230920270075,0.7077099395003914,-0.0007609775657040352,-0.000527282133130802,0.004705697340295412,-0.00042569102352985055
beta,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,WR,509.0,2.72375566555898,2.196781214605679,0.5191854960526283,0.7370067199228185,2.722329529784852,2.1958815927511863,0.5194170050375106,0.7372810776884844,-0.001426135774127868,-0.0008996218544927714,0.00023150898488233373,0.0002743577656658669
beta,expanded_lgbm_plus_extra_trees_equal4,current_single,QB,121.0,3.78148409679477,2.962249524113284,0.0571685134518551,0.5227611434764936,3.7556388687048217,2.93257485059656,0.1028441932843069,0.5229575938219753,-0.025845228089948158,-0.029674673516723704,0.0456756798324518,0.00019645034548165796
beta,expanded_lgbm_plus_extra_trees_equal4,current_single,RB,327.0,3.3547200032304314,2.633269968611516,0.1727962716517598,0.7657823218845934,3.35260796904016,2.640160692810206,0.1921327356833813,0.7647783017715873,-0.0021120341902713946,0.006890724198689746,0.01933646403162151,-0.0010040201130060433
beta,expanded_lgbm_plus_extra_trees_equal4,current_single,TE,269.0,1.990252817119872,1.5958105571652887,0.2448332063081111,0.7084429541665418,1.987228588814668,1.5938071649666288,0.2570230920270075,0.7077099395003914,-0.003024228305203991,-0.00200339219865997,0.012189885718896426,-0.0007330146661503889
beta,expanded_lgbm_plus_extra_trees_equal4,current_single,WR,509.0,2.725952897970882,2.194265427556378,0.5007987640528456,0.7366112898496174,2.722329529784852,2.1958815927511863,0.5194170050375106,0.7372810776884844,-0.0036233681860298184,0.0016161651948083389,0.018618240984665024,0.0006697878388669531
beta,expanded_lgbm_replacement_equal3,current_single,QB,121.0,3.78148409679477,2.962249524113284,0.0571685134518551,0.5227611434764936,3.7915392581110448,2.978027952946111,0.0722242184570094,0.5218127624983062,0.01005516131627493,0.015778428832827096,0.015055705005154296,-0.0009483809781873909
beta,expanded_lgbm_replacement_equal3,current_single,RB,327.0,3.3547200032304314,2.633269968611516,0.1727962716517598,0.7657823218845934,3.3556205768927816,2.6341573928051263,0.1734324424874646,0.7658116651488771,0.0009005736623501903,0.0008874241936100979,0.0006361708357048024,2.9343264283721027e-05
beta,expanded_lgbm_replacement_equal3,current_single,TE,269.0,1.990252817119872,1.5958105571652887,0.2448332063081111,0.7084429541665418,1.988981225330248,1.5950456999136673,0.2511074694285049,0.7092653608651496,-0.0012715917896239937,-0.0007648572516214536,0.006274263120393836,0.0008224066986077805
beta,expanded_lgbm_replacement_equal3,current_single,WR,509.0,2.725952897970882,2.194265427556378,0.5007987640528456,0.7366112898496174,2.723900363768124,2.1931144886991407,0.5011074426993554,0.7370031710163969,-0.002052534202757972,-0.0011509388572372714,0.0003086786465097413,0.00039188116677946194
dk,current_plus_extra_trees_equal4,current_single,QB,132.0,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,3.22646089765346,2.5901250726383545,0.2658955894089699,0.5705363338951125,-0.008656237714507853,-0.007986098485442739,0.04710240942404789,-0.00398637120212042
dk,current_plus_extra_trees_equal4,current_single,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437,3.5213991066938872,2.767964726215814,0.3130046546030235,0.7700320802956285,-0.0036472880421110077,0.00500204226994283,0.017227833581224927,0.000458510544284807
dk,current_plus_extra_trees_equal4,current_single,TE,269.0,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,2.272241667985352,1.7965259087561865,0.202452673295036,0.7297743299184831,-0.001604603990910114,-0.0029717509168265543,-0.00322476119643611,-0.0026046976724332094
dk,current_plus_extra_trees_equal4,current_single,WR,509.0,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,3.1261237879059096,2.50305820311674,0.6132615666526675,0.7509658939213962,-0.0027322764421744417,0.003781097666739619,0.020363113301538616,0.0006067264326706789
dk,expanded_catboost_equal4,current_single,QB,132.0,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,3.226986272006261,2.606873160428948,0.2453121432744699,0.5702180503305452,-0.008130863361706542,0.00876198930515093,0.026518963289547892,-0.004304654766687732
dk,expanded_catboost_equal4,current_single,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437,3.52209393440642,2.768047178799065,0.3187625202448503,0.768563885603675,-0.002952460329578077,0.005084494853194066,0.022985699223051714,-0.0010096841476687768
dk,expanded_catboost_equal4,current_single,TE,269.0,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,2.275930503781136,1.8071033579623643,0.2176877674020018,0.7339846927004672,0.0020842318048739372,0.007605698289351315,0.012010332910529692,0.0016056651095508467
dk,expanded_catboost_equal4,current_single,WR,509.0,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,3.130721024417501,2.505902877998617,0.6228235186735427,0.7498858890220857,0.0018649600694171653,0.006625772548616737,0.02992506532241379,-0.0004732784666398038
dk,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,QB,132.0,3.22646089765346,2.5901250726383545,0.2658955894089699,0.5705363338951125,3.22646089765346,2.5901250726383545,0.2658955894089699,0.5705363338951125,0.0,0.0,0.0,0.0
dk,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,RB,327.0,3.5213991066938872,2.767964726215814,0.3130046546030235,0.7700320802956285,3.5213991066938872,2.767964726215814,0.3130046546030235,0.7700320802956285,0.0,0.0,0.0,0.0
dk,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,TE,269.0,2.272241667985352,1.7965259087561865,0.202452673295036,0.7297743299184831,2.272241667985352,1.796525908756187,0.202452673295036,0.7297743299184831,0.0,4.440892098500626e-16,0.0,0.0
dk,expanded_lgbm_plus_extra_trees_equal4,current_plus_extra_trees_equal4,WR,509.0,3.1261237879059096,2.50305820311674,0.6132615666526675,0.7509658939213962,3.1261237879059096,2.50305820311674,0.6132615666526675,0.7509658939213962,0.0,0.0,0.0,0.0
dk,expanded_lgbm_plus_extra_trees_equal4,current_single,QB,132.0,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,3.22646089765346,2.5901250726383545,0.2658955894089699,0.5705363338951125,-0.008656237714507853,-0.007986098485442739,0.04710240942404789,-0.00398637120212042
dk,expanded_lgbm_plus_extra_trees_equal4,current_single,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437,3.5213991066938872,2.767964726215814,0.3130046546030235,0.7700320802956285,-0.0036472880421110077,0.00500204226994283,0.017227833581224927,0.000458510544284807
dk,expanded_lgbm_plus_extra_trees_equal4,current_single,TE,269.0,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,2.272241667985352,1.796525908756187,0.202452673295036,0.7297743299184831,-0.001604603990910114,-0.0029717509168261103,-0.00322476119643611,-0.0026046976724332094
dk,expanded_lgbm_plus_extra_trees_equal4,current_single,WR,509.0,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,3.1261237879059096,2.50305820311674,0.6132615666526675,0.7509658939213962,-0.0027322764421744417,0.003781097666739619,0.020363113301538616,0.0006067264326706789
dk,expanded_lgbm_replacement_equal3,current_single,QB,132.0,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,3.2351171353679677,2.598111171123797,0.218793179984922,0.5745227050972329,0.0,0.0,0.0,0.0
dk,expanded_lgbm_replacement_equal3,current_single,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437,3.5250463947359982,2.7629626839458714,0.2957768210217985,0.7695735697513437,0.0,4.440892098500626e-16,-1.1102230246251565e-16,0.0
dk,expanded_lgbm_replacement_equal3,current_single,TE,269.0,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,2.273846271976262,1.799497659673013,0.2056774344914721,0.7323790275909163,0.0,0.0,0.0,0.0
dk,expanded_lgbm_replacement_equal3,current_single,WR,509.0,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,3.128856064348084,2.4992771054500005,0.5928984533511289,0.7503591674887256,0.0,0.0,0.0,0.0
