"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","season_year","week"
"427","Jermaine Kearse","NYJ","WR","11076","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0.359423913043478,0.220402618572035,0.0633278985507246,0.0356830484294176,0,0,571.290619565217,73.3896829830041,3.1351268115942,0.657456709801195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Achilles",2018,0
"428","Brandon Marshall","SEA","WR","8360","weighted",NA,NA,NA,NA,NA,NA,1.18656023550725,2.60568735177027,0.00119202898550725,0.00346549632868081,0.123684782608696,0.0969207712814407,0.0438423913043478,0.0247036489126737,0,0,481.639876811594,141.735872231073,3.18044202898551,1.94461705420571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Chester Rogers","IND","WR","12934","weighted",NA,NA,NA,NA,NA,NA,10.2939501106603,7.96702609621245,0.0362647547030616,0.0635058097471321,0.15402877167097,0.117431913289472,0.034083364072298,0.0193920688420853,0.121726300258207,0.0692573887217332,476.056418295832,120.004458192095,2.17940492278752,0.678217759164697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Jaron Brown","SEA","WR","11456","weighted",NA,NA,NA,NA,NA,NA,0.106702898550725,0.273995812592227,0,0,0.132394927536232,0.10079344797239,0.0292282608695652,0.0164690992751158,0,0,380.251746376812,160.987086912493,2.77324637681159,1.08004033205251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Willie Snead","BAL","WR","11951","weighted",NA,NA,NA,NA,NA,NA,0.111748373790259,0.201456634966562,0.0638219895287958,0.158267958654454,0.589075678248453,0.433056797647871,0.0386482627320324,0.0257862729867214,0,0,396.366101856259,176.043267903634,1.59701094716802,0.838163506079301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","J.J. Nelson","ARI","WR","12319","weighted",NA,NA,NA,NA,NA,NA,22.9547210144928,18.2796738145494,0.0648079710144927,0.108141374960085,0.643949275362319,0.494242548533269,0.024356884057971,0.0137242493959298,0,0,487.415561594203,82.3131123923088,2.5579384057971,0.795194775129559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Adam Humphries","TB","WR","12505","weighted",NA,NA,NA,NA,NA,NA,5.47772101449275,4.38998514497034,0.00715217391304348,0.0207929779720849,0.372572463768116,0.301588198401473,0.0340996376811594,0.0192139491543018,0.073070652173913,0.0411727481877895,480.115329710145,133.67833760064,1.79615217391304,0.802778581611184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Taylor Gabriel","CHI","WR","11975","weighted",NA,NA,NA,NA,NA,NA,30.8079523238657,29.0162891749791,0.0681386019918849,0.0787881859852542,0.160571007008484,0.123446216582912,0.0292143120619697,0.016621773293216,0,0,436.788188860199,110.401909415448,1.82235857887104,0.695129871390158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Tyler Boyd","CIN","WR","12650","weighted",NA,NA,NA,NA,NA,NA,7.06826449275362,8.37645848058859,0.00834420289855073,0.0242584743007657,0.33363768115942,0.157017330508285,0.0389710144927536,0.0219587990334877,0.0389710144927536,0.0219587990334877,421.897195652174,103.076810409737,2.1216231884058,0.793806490883602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IR","Knee - MCL",2018,0
"436","Trent Taylor","SF","WR","13316","weighted",NA,NA,NA,NA,NA,NA,0.0202644927536232,0.0589134375875738,0.00357608695652174,0.0103964889860424,1.07305072463768,0.520881352203214,0.024356884057971,0.0137242493959298,0.15101268115942,0.085090346254765,454.528307971014,95.2916279919711,2.21207971014493,0.639065946956523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
