target_name,model_name,forecast_origin,candidate_id,parameters_json,selection_score,selection_start_season,selection_end_season,selection_seasons
pass,lightgbm,2018,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",3.289788234936713,2013,2017,5
pass,lightgbm,2019,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",3.391598250606369,2013,2018,6
pass,lightgbm,2020,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",3.3934809311448,2013,2019,7
pass,lightgbm,2021,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",3.4194448456356286,2013,2020,8
pass,lightgbm,2022,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",3.408093696024644,2013,2021,9
pass,lightgbm,2023,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_lambda"": 5.0}",3.3836382714597826,2013,2022,10
pass,lightgbm,2024,1,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}",3.3175018543533557,2013,2023,11
pass,lightgbm,2025,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",3.3058800979935423,2013,2024,12
rush,lasso,2017,3,"{""alpha"": 0.3}",1.3442394331308845,2013,2016,4
rush,lasso,2018,3,"{""alpha"": 0.3}",1.3677394479809568,2013,2017,5
rush,lasso,2019,2,"{""alpha"": 0.1}",1.3721813588645206,2013,2018,6
rush,lasso,2020,2,"{""alpha"": 0.1}",1.49974489086137,2013,2019,7
rush,lasso,2021,2,"{""alpha"": 0.1}",1.5197583761193845,2013,2020,8
rush,lasso,2022,2,"{""alpha"": 0.1}",1.521787151094578,2013,2021,9
rush,lasso,2023,1,"{""alpha"": 0.03}",1.521918319735157,2013,2022,10
rush,lasso,2024,1,"{""alpha"": 0.03}",1.510927956053343,2013,2023,11
rush,lasso,2025,1,"{""alpha"": 0.03}",1.502469821244777,2013,2024,12
rush,random_forest,2017,3,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",1.288280292107418,2013,2016,4
rush,random_forest,2018,3,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",1.2689927963194765,2013,2017,5
rush,random_forest,2019,3,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",1.3256564748993884,2013,2018,6
rush,random_forest,2020,1,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",1.378857012965249,2013,2019,7
rush,random_forest,2021,1,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",1.4272525413468142,2013,2020,8
rush,random_forest,2022,1,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",1.4340930898592856,2013,2021,9
rush,random_forest,2023,1,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",1.4479055901666291,2013,2022,10
rush,random_forest,2024,2,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",1.4403402023013046,2013,2023,11
rush,random_forest,2025,0,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 125, ""n_jobs"": 1, ""random_state"": 1234}",1.4367517168572481,2013,2024,12
rush,lightgbm,2017,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",1.2982711913527571,2013,2016,4
rush,lightgbm,2018,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",1.2972417319658747,2013,2017,5
rush,lightgbm,2019,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",1.3384743342194894,2013,2018,6
rush,lightgbm,2020,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",1.3975956698179728,2013,2019,7
rush,lightgbm,2021,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",1.4394691949953622,2013,2020,8
rush,lightgbm,2022,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",1.4446298641076183,2013,2021,9
rush,lightgbm,2023,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",1.464988702774909,2013,2022,10
rush,lightgbm,2024,1,"{""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 40, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 1.0}",1.4706902236608626,2013,2023,11
rush,lightgbm,2025,3,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 40, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_lambda"": 5.0}",1.474331062741132,2013,2024,12
