study,result_dir,experiment,league,evidence_class,baseline_method,method,tier,period,n,ppg_crps,contribution_crps,played_crps,ppg_bias,contribution_bias,played_bias,ppg_80_coverage,extended_absence_calibration,extended_absence_brier,zero_active_calibration,predicted_missed_games,observed_missed_games
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_broad,all_2017_2025,1404,2.406608015988489,28.29593695780681,1.4520752965201786,-1.8104180977230309,-19.18029281125311,0.07868532127550658,0.7670940170940171,3.1116783954468485e-05,0.09804021549927067,-0.003697029191255176,3.2404029978128133,3.319088319088319
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,core_broad,all_2017_2025,1404,2.406518814218988,28.293186030512775,1.4518293448684136,-1.8104179467965025,-19.181043331845743,0.0781255483218251,0.7663817663817664,2.8254579989089867e-05,0.09796553650297271,-0.0036966137733389576,3.240962770766494,3.319088319088319
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,core_broad,all_2017_2025,1404,2.406279278102221,28.292622012370163,1.4514980916554239,-1.8104147436598805,-19.181153444524586,0.07693771180327771,0.7663817663817664,6.850686307670328e-05,0.09792786099300144,-0.0036888657295580784,3.2421506072850423,3.319088319088319
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,core_broad,all_2017_2025,1404,2.4064494494604425,28.298782193517756,1.451995307435795,-1.8104095343309086,-19.181308044517987,0.07896096332843885,0.7663817663817664,-1.9218966362255507e-05,0.09799881024639688,-0.0036842741582483306,3.2401273557598813,3.319088319088319
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_broad,development_2017_2022,936,2.422234670833347,28.751207667978203,1.4459389090738688,-1.9504678219549245,-20.136947805900743,0.1219015541338711,0.7681623931623932,0.0022953969762518345,0.09758341356342393,-0.002573731870846428,3.2146369074045893,3.3365384615384617
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,core_broad,development_2017_2022,936,2.422299348567516,28.749621047300163,1.4455134764528759,-1.950471539854708,-20.138839401640748,0.12062149876160501,0.7681623931623932,0.002355211768916385,0.09749235355913391,-0.002571294852905202,3.2159169627768556,3.3365384615384617
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,core_broad,development_2017_2022,936,2.4220657923209172,28.748914654783476,1.4452256637219103,-1.9504691545336135,-20.14140449655832,0.11934873606449285,0.7681623931623932,0.002425078668506178,0.09745598841525831,-0.0025694346380269314,3.21718972547397,3.3365384615384617
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,core_broad,development_2017_2022,936,2.422195415419068,28.75306631947973,1.445733105819417,-1.9504573911690317,-20.136567315197354,0.12264056611065792,0.7692307692307693,0.0021916570001031394,0.09748825832129322,-0.0025639764812992556,3.2138978954278024,3.3365384615384617
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_broad,recent_2020_2025,936,2.3712342570064573,27.63259085647189,1.4674576754985826,-1.7194231238341526,-17.796566376596928,0.13437828748404368,0.7735042735042735,-0.003725089439983967,0.09839796630972532,-0.004025565031185512,3.2598524817467247,3.39423076923077
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,core_broad,recent_2020_2025,936,2.3710808787127946,27.62870868690011,1.4671923900477049,-1.719421409657263,-17.796659832083456,0.13413458743269463,0.7724358974358975,-0.0037815218946550683,0.09830825201073772,-0.004025260862621447,3.2600961817980743,3.39423076923077
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,core_broad,recent_2020_2025,936,2.371030561174163,27.63113892775257,1.4667189995392784,-1.7194162927075067,-17.796373868354944,0.1331721382714004,0.7724358974358975,-0.0037790749672123314,0.09826559192671586,-0.004013732717259974,3.2610586309593685,3.39423076923077
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,core_broad,recent_2020_2025,936,2.3710806080824183,27.63663996702066,1.4670944605639764,-1.7194115494107927,-17.79773716178756,0.13456973276449966,0.7713675213675214,-0.003791697301489566,0.0983667733246225,-0.004013731039063006,3.2596610364662695,3.39423076923077
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,core_broad,temporal_2023_2025,468,2.375354706298773,27.38539553746403,1.4643480714127985,-1.530318649259244,-17.266982821957843,-0.007747144441222519,0.7649572649572649,-0.004497443600640208,0.0989538193709641,-0.005943623832072676,3.291935178629256,3.284188034188034
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,core_broad,temporal_2023_2025,468,2.374957745521931,27.380315996937995,1.464461081699489,-1.5303107606800905,-17.265451192255743,-0.006866352557734707,0.7628205128205128,-0.004625659797865514,0.09891190239065037,-0.005947251614206473,3.2910543867457687,3.284188034188034
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,core_broad,temporal_2023_2025,468,2.374706249664829,27.38003672754352,1.4640429475224515,-1.530305921912414,-17.260651340457123,-0.007884336719152603,0.7628205128205128,-0.004644636747782288,0.09887160614848768,-0.005927727912620372,3.292072370907185,3.284188034188034
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,core_broad,temporal_2023_2025,468,2.3749575175431916,27.39021394159382,1.464519710668551,-1.530313820654661,-17.270789503159246,-0.008398242235999253,0.7606837606837606,-0.004440970899293101,0.09901991409660418,-0.005924869512146483,3.292586276424032,3.284188034188034
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,depth_main,all_2017_2025,1567,1.9529665089779478,14.383650748276192,1.8523135967368656,-0.6450091970021399,-3.9973487218469885,0.14869003412275905,0.824505424377792,-0.00618843994364332,0.1722980957377257,-0.002524614101548011,5.116785396636654,5.2654754307594125
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,depth_main,all_2017_2025,1567,1.95299683292658,14.383587278760215,1.8524557633896956,-0.6450124775796532,-3.9965987989201524,0.14776377801909182,0.8257817485641353,-0.006043533626104436,0.17232673007669674,-0.002517532415523667,5.117711652740322,5.2654754307594125
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,depth_main,all_2017_2025,1567,1.952956304621182,14.38315089783938,1.85175498432491,-0.645011781449327,-3.996409578178663,0.14653636437779033,0.8238672622846203,-0.005858906580288981,0.1722304695807275,-0.002505071476674909,5.118939066381623,5.2654754307594125
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,depth_main,all_2017_2025,1567,1.9530122803845689,14.384586183306572,1.8522134838631674,-0.6450127766148658,-4.000195364981385,0.14852106744986948,0.824505424377792,-0.006252932146178947,0.1722484126662286,-0.00250878187464873,5.116954363309542,5.2654754307594125
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,depth_main,development_2017_2022,1039,1.919638336829933,14.358158663696113,1.8573111062713863,-0.8742236593124191,-4.8242063902589205,0.24435121164294665,0.8325312800769971,-0.0190799797337039,0.17811282129183575,0.0031848447967231,5.053050135806522,5.297401347449471
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,depth_main,development_2017_2022,1039,1.919678533631879,14.358390619834285,1.857629487001392,-0.874231177758601,-4.823993020376714,0.24290170683477944,0.8334937439846006,-0.01886890756392673,0.17813646569097633,0.0031969013062917336,5.054499640614692,5.297401347449471
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,depth_main,development_2017_2022,1039,1.919736653668264,14.35834635050517,1.8565785780873887,-0.87423134345223,-4.825165742780316,0.24143257110322244,0.8325312800769971,-0.01864012904489548,0.17799693702365493,0.0032068031057099836,5.055968776346248,5.297401347449471
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,depth_main,development_2017_2022,1039,1.9196434955427442,14.359104567751972,1.85689070824663,-0.8742335984748473,-4.828172503347954,0.24356467805760978,0.8334937439846006,-0.019026758129359778,0.17799270917047486,0.003199078449051887,5.0538366693918615,5.297401347449471
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,depth_main,recent_2020_2025,1047,1.9274158509252273,14.036421842473507,1.862626187184305,-0.43518320092108076,-2.991348238103322,0.15785376744241472,0.8290353390639924,-0.005867252846164017,0.17069923889226601,-0.006758662721438526,5.172614236378022,5.330468003820439
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,depth_main,recent_2020_2025,1047,1.9274501865927434,14.03607460394171,1.862343640374125,-0.4351769878508009,-2.990725443470116,0.15704400215979114,0.8299904489016237,-0.005755274635807772,0.17069289385981587,-0.0067522294358999604,5.173424001660649,5.330468003820439
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w050,depth_main,recent_2020_2025,1047,1.9273400075077682,14.035078033586114,1.8617451796017348,-0.43517370670913696,-2.989685125250582,0.15609724784026793,0.8271251193887297,-0.005625124117794422,0.1706197262564619,-0.006737459407411873,5.174370755980172,5.330468003820439
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_yac_w025,depth_main,recent_2020_2025,1047,1.9274470194371762,14.036210719015552,1.8623033067641515,-0.43516192355024896,-2.994216282744043,0.1576457039748845,0.828080229226361,-0.006002142115585918,0.17063252561803025,-0.006739529285899201,5.172822299845555,5.330468003820439
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,production,depth_main,temporal_2023_2025,528,2.018549787125272,14.43381414956161,1.842479482330868,-0.1939602834786924,-2.370255696316689,-0.0395523208838224,0.8087121212121212,0.019179571120510053,0.16085586117196748,-0.013759704622956503,5.242203836035339,5.202651515151516
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,production,te_pff_mtf_w025,depth_main,temporal_2023_2025,528,2.0185606832432357,14.433169340548172,1.8422748943886496,-0.19395522476539787,-2.3684499426827137,-0.039448926601172316,0.8106060606060606,0.019194276073512095,0.16089431472965793,-0.013762412409777838,5.242100441752688,5.202651515151516
