study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,depth_main,development_2017_2022,ppg_crps,1039,6,9.831683833081902e-05,-8.950643196636149e-05,0.00032894176772970627,0.1826,0.00010864159473072336
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,depth_main,development_2017_2022,contribution_crps,1039,6,0.00018768680905654315,-0.001558720156851304,0.0016482435457750109,0.3872,0.0008446170777539122
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,depth_main,development_2017_2022,played_crps,1039,6,-0.0007325281839978009,-0.0022480247038083666,0.0005647793199572059,0.8462,0.000721931444321511
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,depth_main,development_2017_2022,ppg_crps,1039,6,5.1587128108306004e-06,-0.00018419953505225168,0.0001934875234412932,0.4764,9.829641001413452e-05
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,depth_main,development_2017_2022,contribution_crps,1039,6,0.0009459040558626476,-0.0014151563876021887,0.0032223163284886107,0.2478,0.0012346119992299937
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,depth_main,development_2017_2022,played_crps,1039,6,-0.0004203980247564354,-0.0016462335144888183,0.0005612461727469633,0.759,0.0005729245982139247
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,depth_main,temporal_2023_2025,ppg_crps,528,3,1.0896117963535753e-05,-0.00029174098490208374,0.0003246164759719624,0.401,0.0001458710946450269
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,depth_main,temporal_2023_2025,contribution_crps,528,3,-0.0006448090134387917,-0.006386925445288583,0.004907458467203313,0.6268,0.0026711236973584684
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w025,production,depth_main,temporal_2023_2025,played_crps,528,3,-0.00020458794221839692,-0.0009597414669859477,0.0003274833674529473,0.7004,0.0003191139229189816
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,depth_main,temporal_2023_2025,ppg_crps,528,3,-0.00022375269332964375,-0.0004520853152864054,0.0001210573635530603,0.961,0.00014288145748740893
