comparison,lower_chance_level,higher_chance_level,year,trial,roster_changed,both_actual_cap_feasible,joint_feasible_actual_points_effect,managed_forecast_season_points_effect,heldout_cap_probability_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,point_salary_spend_effect
70_minus_60,0.6,0.7,2022,87,True,True,0.0,-2.4805908203125,0.265,0.0,0.0,0.0,-8.781144142150879
70_minus_60,0.6,0.7,2022,88,True,True,8.2999267578125,5.0830078125,0.135,0.0,0.0,5.0,0.7841405868530273
70_minus_60,0.6,0.7,2022,89,True,False,,-6.18701171875,0.09499999999999997,0.0,-3.0,-3.0,-3.38557767868042
70_minus_60,0.6,0.7,2022,90,True,False,,-2.34423828125,-0.03499999999999992,-1.0,3.0,10.0,1.27191162109375
70_minus_60,0.6,0.7,2022,91,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,92,True,False,,-0.765625,0.07999999999999996,0.0,-13.0,-13.0,0.7234712839126587
70_minus_60,0.6,0.7,2022,93,True,False,,-6.82470703125,0.185,0.0,-3.0,-3.0,-3.38557767868042
70_minus_60,0.6,0.7,2022,94,True,False,,7.4180908203125,-0.050000000000000044,0.0,18.0,18.0,-1.8207206726074219
70_minus_60,0.6,0.7,2022,95,True,False,,-14.0146484375,0.13,1.0,-27.0,-29.0,-1.3031277656555176
70_minus_60,0.6,0.7,2022,96,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,97,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,98,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,99,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,100,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,101,True,True,19.9000244140625,-14.1650390625,0.20999999999999996,0.0,0.0,-6.0,-6.691715717315674
70_minus_60,0.6,0.7,2022,102,True,False,,6.2806396484375,0.35,1.0,-32.0,-37.0,-9.478929281234741
70_minus_60,0.6,0.7,2022,103,True,True,20.60009765625,9.45458984375,0.295,0.0,0.0,2.0,-9.775077819824219
70_minus_60,0.6,0.7,2022,104,True,False,,5.7568359375,0.13,0.0,-15.0,-15.0,-3.3568387031555176
70_minus_60,0.6,0.7,2022,105,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,106,True,False,,1.9111328125,0.13499999999999995,0.0,-8.0,-8.0,-2.8911590576171875
70_minus_60,0.6,0.7,2022,107,True,False,,-1.724609375,0.050000000000000044,0.0,0.0,0.0,-1.0086545944213867
70_minus_60,0.6,0.7,2022,108,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,109,True,False,,-12.3714599609375,0.275,0.0,-4.0,-4.0,-9.71457576751709
70_minus_60,0.6,0.7,2022,110,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,111,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,112,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,113,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,114,True,False,,-27.4678955078125,0.19499999999999995,0.0,-4.0,-4.0,-0.3757619857788086
70_minus_60,0.6,0.7,2022,115,True,False,,8.6837158203125,-0.015000000000000013,0.0,-1.0,-1.0,-0.0349884033203125
70_minus_60,0.6,0.7,2022,116,True,False,,-4.4256591796875,0.015000000000000013,-1.0,3.0,3.0,0.32985377311706543
70_minus_60,0.6,0.7,2022,117,True,False,,-18.009765625,0.35,0.0,-16.0,-16.0,-4.622348785400391
70_minus_60,0.6,0.7,2022,118,True,True,-3.0001220703125,2.1715087890625,-0.0050000000000000044,0.0,0.0,0.0,-1.2066285610198975
70_minus_60,0.6,0.7,2022,119,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,120,True,False,,-8.9365234375,0.245,0.0,-5.0,-5.0,-8.999631404876709
70_minus_60,0.6,0.7,2022,121,True,False,,-2.459716796875,0.135,0.0,-5.0,-5.0,-3.31191349029541
70_minus_60,0.6,0.7,2022,122,True,False,,-13.803466796875,0.18499999999999994,0.0,9.0,9.0,-10.447480201721191
70_minus_60,0.6,0.7,2022,123,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,124,True,False,,-0.9580078125,-0.020000000000000018,0.0,-19.0,-19.0,2.0907087326049805
70_minus_60,0.6,0.7,2022,125,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,126,True,False,,-3.761962890625,0.12,0.0,-5.0,-5.0,-3.31191349029541
70_minus_60,0.6,0.7,2022,127,True,False,,-16.2987060546875,0.25500000000000006,0.0,1.0,1.0,-2.9740254878997803
70_minus_60,0.6,0.7,2022,128,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,129,True,False,,-1.6092529296875,0.0,-1.0,15.0,21.0,1.3921775817871094
