run_id,target_name,model_name,aggregation,metric,n_rows,n_seasons,value,baseline_value,delta
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_ffa,pooled_oof,bias,3696,9,0.21332623562893077,-1.904065931054543,2.117392166683474
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_ffa,pooled_oof,spearman,3696,9,0.8036266591547374,0.7332203260121407,0.0704063331425967
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_ffa,season_mean,rmse,3696,9,3.1208904008731864,4.154796298100829,-1.0339058972276423
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_ffa,season_mean,mae,3696,9,2.4467044169572425,3.0653547499866405,-0.618650333029398
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_ffa,season_mean,bias,3696,9,0.21009801265499148,-1.9077429356823796,2.117840948337371
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_ffa,season_mean,spearman,3696,9,0.8032797966271339,0.7338142498922049,0.069465546734929
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fff,pooled_oof,rmse,3696,9,3.1229683424927983,4.162829873194311,-1.0398615307015127
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fff,pooled_oof,mae,3696,9,2.4468077403671087,3.062192476797494,-0.6153847364303853
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fff,pooled_oof,bias,3696,9,0.21014023706203014,-1.904065931054543,2.114206168116573
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fff,pooled_oof,spearman,3696,9,0.8039497406521527,0.7332203260121407,0.07072941464001203
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fff,season_mean,rmse,3696,9,3.1210812389288014,4.154796298100829,-1.0337150591720272
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fff,season_mean,mae,3696,9,2.4481736335258493,3.0653547499866405,-0.6171811164607912
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fff,season_mean,bias,3696,9,0.2069787555407531,-1.9077429356823796,2.114721691223133
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fff,season_mean,spearman,3696,9,0.8036426846749208,0.7338142498922049,0.06982843478271594
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fftoday,pooled_oof,rmse,3696,9,3.1156272161820313,4.162829873194311,-1.0472026570122797
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fftoday,pooled_oof,mae,3696,9,2.4410030952275745,3.062192476797494,-0.6211893815699194
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fftoday,pooled_oof,bias,3696,9,0.20599020888776123,-1.904065931054543,2.110056139942304
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fftoday,pooled_oof,spearman,3696,9,0.8035943532863552,0.7332203260121407,0.07037402727421449
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fftoday,season_mean,rmse,3696,9,3.113770081471552,4.154796298100829,-1.0410262166292767
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fftoday,season_mean,mae,3696,9,2.4423453723764164,3.0653547499866405,-0.6230093776102241
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fftoday,season_mean,bias,3696,9,0.20309911015598817,-1.9077429356823796,2.1108420458383677
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_fftoday,season_mean,spearman,3696,9,0.8035303852830644,0.7338142498922049,0.06971613539085952
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_pff,pooled_oof,rmse,3696,9,3.1229683424927983,4.162829873194311,-1.0398615307015127
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_pff,pooled_oof,mae,3696,9,2.4468077403671087,3.062192476797494,-0.6153847364303853
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_pff,pooled_oof,bias,3696,9,0.21014023706203014,-1.904065931054543,2.114206168116573
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_pff,pooled_oof,spearman,3696,9,0.8039497406521527,0.7332203260121407,0.07072941464001203
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_pff,season_mean,rmse,3696,9,3.1210812389288014,4.154796298100829,-1.0337150591720272
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_pff,season_mean,mae,3696,9,2.4481736335258493,3.0653547499866405,-0.6171811164607912
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_pff,season_mean,bias,3696,9,0.2069787555407531,-1.9077429356823796,2.114721691223133
m4a_provider_lightgbm_attribution_20260728T144320Z_f4870673,conditional_ppg,direct_lightgbm_plus_pff,season_mean,spearman,3696,9,0.8036426846749208,0.7338142498922049,0.06982843478271594
