league,scope,period,method,rows,events,brier,brier_delta,average_precision,average_precision_delta
beta,te,development_2017_2022,te_pff_opportunity_control,446,47,0.05845461510152989,-3.1829228857423175e-05,0.6552592403932737,0.001814459264156243
beta,te,development_2017_2022,te_pff_opportunity_control__te_route,446,47,0.05845461510152989,-3.1829228857423175e-05,0.6552592403932737,0.001814459264156243
beta,te,development_2017_2022,te_pff_yac,446,47,0.0582887761516448,-0.0001976681787425119,0.6546930466399532,0.0012482655108357887
beta,te,development_2017_2022,te_pff_yac__te_route,446,47,0.0582887761516448,-0.0001976681787425119,0.6546930466399532,0.0012482655108357887
beta,te,temporal_2023_2025,production,269,28,0.05372734436782493,0.0,0.713823735874232,0.0
beta,te,temporal_2023_2025,te_pff_mtf,269,28,0.052950637992913725,-0.0007767063749112013,0.7172404404651257,0.0034167045908937155
beta,te,temporal_2023_2025,te_pff_mtf__te_route,269,28,0.052950637992913725,-0.0007767063749112013,0.7172404404651257,0.0034167045908937155
beta,te,temporal_2023_2025,te_pff_opportunity_control,269,28,0.05373937402704807,1.2029659223145028e-05,0.7072119676656686,-0.006611768208563351
beta,te,temporal_2023_2025,te_pff_opportunity_control__te_route,269,28,0.05373937402704807,1.2029659223145028e-05,0.7072119676656686,-0.006611768208563351
beta,te,temporal_2023_2025,te_pff_yac,269,28,0.052942752765117285,-0.0007845916027076419,0.7162899165555693,0.0024661806813373044
beta,te,temporal_2023_2025,te_pff_yac__te_route,269,28,0.052942752765117285,-0.0007845916027076419,0.7162899165555693,0.0024661806813373044
