league,scope,period,method,rows,rmse,rmse_delta,mae,mae_delta,mean_season_rmse_delta,season_wins,seasons,bootstrap_low,bootstrap_high
beta,non_te,development_2017_2022,te_pff_mtf__te_route,1863,3.0820733175386548,-4.440892098500626e-16,2.4150605026700527,-4.440892098500626e-16,0.0,0.0,9.0,0.0,0.0
beta,non_te,development_2017_2022,te_pff_opportunity_control,1863,3.082505826385322,0.0004325088466665683,2.4153343385793957,0.00027383590934260127,0.0008702751393300604,2.0,9.0,-0.0005483018321372989,0.002199490541439604
beta,non_te,development_2017_2022,te_pff_opportunity_control__te_route,1863,3.0820733175386548,-4.440892098500626e-16,2.4150605026700527,-4.440892098500626e-16,0.0,0.0,9.0,0.0,0.0
beta,non_te,development_2017_2022,te_pff_yac,1863,3.083003592756275,0.0009302752176196805,2.4155117402805075,0.00045123761045440247,0.0013122911636173937,1.0,9.0,-0.0008491917965897321,0.002921678652161427
beta,non_te,development_2017_2022,te_pff_yac__te_route,1863,3.0820733175386548,-4.440892098500626e-16,2.4150605026700527,-4.440892098500626e-16,0.0,0.0,9.0,0.0,0.0
beta,non_te,temporal_2023_2025,production,957,3.103702021702253,0.0,2.437246260167499,0.0,,,,,
beta,non_te,temporal_2023_2025,te_pff_mtf,957,3.10582213192639,0.0021201102241370506,2.4395451284110443,0.0022988682435451935,0.001438239638122507,2.0,9.0,-0.0007391462334527255,0.002968614580260423
beta,non_te,temporal_2023_2025,te_pff_mtf__te_route,957,3.103702021702253,0.0,2.4372462601674982,-8.881784197001252e-16,0.0,0.0,9.0,0.0,0.0
beta,non_te,temporal_2023_2025,te_pff_opportunity_control,957,3.105452816915632,0.0017507952133790639,2.4394607314949854,0.0022144713274863115,0.0008702751393300604,2.0,9.0,-0.0005483018321372989,0.002199490541439604
beta,non_te,temporal_2023_2025,te_pff_opportunity_control__te_route,957,3.103702021702253,0.0,2.4372462601674982,-8.881784197001252e-16,0.0,0.0,9.0,0.0,0.0
beta,non_te,temporal_2023_2025,te_pff_yac,957,3.105667361614207,0.0019653399119539117,2.4398725699522346,0.0026263097847354366,0.0013122911636173937,1.0,9.0,-0.0008491917965897321,0.002921678652161427
beta,non_te,temporal_2023_2025,te_pff_yac__te_route,957,3.103702021702253,0.0,2.4372462601674982,-8.881784197001252e-16,0.0,0.0,9.0,0.0,0.0
