player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Kevin Curtis,1389,WR,2,MIA,2,1,0,0,0,0,0,50.0,,0.0
Kelley Washington,1380,WR,6,SD,14,1,0,0,0,0,0,7.1,,0.0
Manuel Johnson,5153,WR,2,DAL,5,1,0,0,0,0,0,20.0,,0.0
Stephen Spach,2789,TE,15,ARZ,16,2,0,0,0,0,0,12.5,,0.0
Maurice Morris,1061,HB,10,DET,30,1,0,0,0,0,0,3.3,,0.0
Julian Edelman,5156,WR,14,NE,14,1,0,1,0,1,0,7.1,100.0,0.0
Mike Goodson,5034,HB,16,CAR,50,1,0,0,0,0,0,2.0,,0.0
Rashad Jennings,5174,HB,13,JAX,31,1,0,0,0,0,0,3.2,,0.0
Cadillac Williams,2222,HB,16,TB,57,1,0,0,0,0,0,1.8,,0.0
Terrance Copper,2016,WR,15,KC,25,2,0,0,0,0,0,8.0,,0.0
Preston Parker,5950,WR,6,TB,8,2,0,0,0,0,0,25.0,,0.0
Roberto Wallace,5888,WR,12,MIA,10,1,0,0,0,0,0,10.0,,0.0
Arnaz Battle,1499,WR,2,PIT,2,1,0,0,0,0,0,50.0,,0.0
Dan Gronkowski,5179,TE,11,DEN,12,1,0,1,0,1,0,8.3,100.0,0.0
Max Komar,5883,WR,8,ARZ,22,3,0,0,0,0,0,13.6,,0.0
LaDainian Tomlinson,777,HB,15,NYJ,75,2,0,0,0,0,0,2.7,,0.0
Brian Finneran,423,WR,16,ATL,31,2,0,0,0,0,0,6.5,,0.0
Jahvid Best,5555,HB,16,DET,72,1,0,1,0,1,0,1.4,100.0,0.0
Jeremy Horne,5852,WR,1,KC,1,1,0,0,0,0,0,100.0,,0.0
John Matthews,5306,WR,2,JAX,1,1,0,1,0,1,0,100.0,100.0,0.0
Matthew Slater,4467,WR,5,NE,1,1,0,0,0,0,0,100.0,,0.0
Derek Hagan,3027,WR,7,NYG,39,3,0,0,0,0,0,7.7,,0.0
Dave Thomas,3031,TE,13,NO,42,1,0,0,0,0,0,2.4,,0.0
Michael Palmer,5784,TE,9,ATL,8,1,0,0,0,0,0,12.5,,0.0
Owen Daniels,3043,TE,11,HST,61,2,0,0,0,0,0,3.3,,0.0
Michael Sellers,432,FB,16,WAS,34,2,0,0,0,0,0,5.9,,0.0
Garrett Mills,3051,TE,7,PHI,3,1,0,0,0,0,0,33.3,,0.0
Demetrius Williams,3056,WR,2,CLV,2,1,0,0,0,0,0,50.0,,0.0
Chaz Schilens,4540,WR,5,OAK,9,2,0,0,0,0,0,22.2,,0.0
Jeff King,3100,TE,16,CAR,26,1,0,1,0,1,0,3.8,100.0,0.0
Devin Aromashodu,3178,WR,13,CHI,21,3,0,1,0,1,0,14.3,100.0,0.0
Craig Stevens,4399,TE,15,TEN,19,1,0,0,0,0,0,5.3,,0.0
Michael Hoomanawanui,5655,TE,8,STR,21,1,0,0,0,0,0,4.8,,0.0
Adrian Arrington,4551,TE,1,NO,9,1,0,0,0,0,0,11.1,,0.0
Roydell Williams,2353,WR,15,WAS,17,2,0,0,0,0,0,11.8,,0.0
