slice_type,slice_value,n_rows,n_seasons,incumbent_rmse,variant_rmse,variant,delta_variant_minus_incumbent
rank_availability,unavailable,45,9,2.010174659406501,2.0380708294343672,raw_log,0.027896170027866152
coverage_band,complete,1602,9,3.361812142912611,3.3590738008061454,raw_log,-0.00273834210646573
coverage_band,partial_high,1634,9,2.5213246769862008,2.5186151701089443,raw_log,-0.0027095068772564623
coverage_band,partial_low,341,2,2.084419328383406,2.0833700995965225,raw_log,-0.001049228786883294
coverage_band,unavailable,45,9,2.010174659406501,2.0380708294343672,raw_log,0.027896170027866152
coverage_completeness,complete,1602,9,3.361812142912611,3.3590738008061454,raw_log,-0.00273834210646573
coverage_completeness,incomplete_or_unavailable,2020,9,2.4424950620435903,2.4405969378244183,raw_log,-0.001898124219172015
shallow_omission,no_omission,1602,9,3.361812142912611,3.3590738008061454,raw_log,-0.00273834210646573
shallow_omission,omission,2020,9,2.4424950620435903,2.4405969378244183,raw_log,-0.001898124219172015
pooled,all,3622,9,2.885459887404849,2.88654184441274,raw_percentile,0.0010819570078908214
recent,2023_2025,1226,3,2.899234809414372,2.8982444501971716,raw_percentile,-0.000990359217200254
source_era,2017_2023,2800,7,2.8913678125895594,2.8934016327686085,raw_percentile,0.002033820179049073
source_era,2024_2025,822,2,2.8652441495057714,2.8630518254048014,raw_percentile,-0.0021923241009700334
season,2017,402,1,2.868450433973028,2.8812781525127686,raw_percentile,0.01282771853974074
season,2018,365,1,3.011385667067821,3.012854623479907,raw_percentile,0.0014689564120859977
season,2019,385,1,2.9057516083321104,2.905271979158986,raw_percentile,-0.0004796291731246072
season,2020,409,1,3.095842146042887,3.09612106704149,raw_percentile,0.0002789209986029384
season,2021,413,1,2.7909070705769436,2.790184106204301,raw_percentile,-0.0007229643726427426
season,2022,422,1,2.5968849789029504,2.596342896765703,raw_percentile,-0.0005420821372474904
season,2023,404,1,2.9671921599181332,2.9685614929696365,raw_percentile,0.0013693330515032187
season,2024,406,1,2.9787260040056918,2.9717661325366853,raw_percentile,-0.006959871469006451
season,2025,416,1,2.7499784367171243,2.7528141668573527,raw_percentile,0.0028357301402284207
position,QB,306,8,3.9978552558048888,3.999182872002527,raw_percentile,0.001327616197638104
position,RB,1011,9,3.2998709594537368,3.2990001702399545,raw_percentile,-0.0008707892137822526
position,TE,802,9,1.9981518439997643,1.999154160938052,raw_percentile,0.001002316938287784
position,WR,1503,9,2.712012037564744,2.714705270267768,raw_percentile,0.0026932327030242398
history_depth,other_no_history,23,7,2.1896086873670386,2.1989453202234253,raw_percentile,0.00933663285638664
history_depth,rookie,518,9,3.235882934469596,3.2373214515206863,raw_percentile,0.0014385170510902157
history_depth,second_year,558,9,2.929419802913935,2.9293036662314633,raw_percentile,-0.00011613668247179021
history_depth,veteran_with_history,2523,9,2.803771220761321,2.8049890470003427,raw_percentile,0.0012178262390216688
rank_availability,available,3577,9,2.8947861113929068,2.8958136438992907,raw_percentile,0.001027532506383988
rank_availability,unavailable,45,9,2.010174659406501,2.0175476912063544,raw_percentile,0.007373031799853269
coverage_band,complete,1602,9,3.361812142912611,3.363371879603453,raw_percentile,0.001559736690841973
coverage_band,partial_high,1634,9,2.5213246769862008,2.5216980794198385,raw_percentile,0.000373402433637704
coverage_band,partial_low,341,2,2.084419328383406,2.0854053980950398,raw_percentile,0.0009860697116339523
coverage_band,unavailable,45,9,2.010174659406501,2.0175476912063544,raw_percentile,0.007373031799853269
coverage_completeness,complete,1602,9,3.361812142912611,3.363371879603453,raw_percentile,0.001559736690841973
coverage_completeness,incomplete_or_unavailable,2020,9,2.4424950620435903,2.4430843284730557,raw_percentile,0.0005892664294653294
shallow_omission,no_omission,1602,9,3.361812142912611,3.363371879603453,raw_percentile,0.001559736690841973
shallow_omission,omission,2020,9,2.4424950620435903,2.4430843284730557,raw_percentile,0.0005892664294653294
pooled,all,3622,9,2.885459887404849,2.8853035019349176,raw_percentile_coverage,-0.00015638546993157476
recent,2023_2025,1226,3,2.899234809414372,2.895191280048669,raw_percentile_coverage,-0.004043529365702625
source_era,2017_2023,2800,7,2.8913678125895594,2.8922274414359945,raw_percentile_coverage,0.0008596288464350899
source_era,2024_2025,822,2,2.8652441495057714,2.8615925814413,raw_percentile_coverage,-0.003651568064471533
season,2017,402,1,2.868450433973028,2.8812152889938965,raw_percentile_coverage,0.012764855020868549
season,2018,365,1,3.011385667067821,3.012801737113613,raw_percentile_coverage,0.0014160700457916953
season,2019,385,1,2.9057516083321104,2.9045416740146486,raw_percentile_coverage,-0.0012099343174618582
season,2020,409,1,3.095842146042887,3.096727995106257,raw_percentile_coverage,0.0008858490633700811
season,2021,413,1,2.7909070705769436,2.788870212596027,raw_percentile_coverage,-0.002036857980916462
season,2022,422,1,2.5968849789029504,2.5959701231947423,raw_percentile_coverage,-0.000914855708208151
season,2023,404,1,2.9671921599181332,2.9623767701981203,raw_percentile_coverage,-0.004815389720012941
season,2024,406,1,2.9787260040056918,2.967179168042251,raw_percentile_coverage,-0.01154683596344075
season,2025,416,1,2.7499784367171243,2.75464448206006,raw_percentile_coverage,0.0046660453429359094
position,QB,306,8,3.9978552558048888,4.003549875988004,raw_percentile_coverage,0.005694620183115617
position,RB,1011,9,3.2998709594537368,3.2968682548644073,raw_percentile_coverage,-0.003002704589329497
position,TE,802,9,1.9981518439997643,1.9982575511150136,raw_percentile_coverage,0.00010570711524926502
position,WR,1503,9,2.712012037564744,2.7123156820568513,raw_percentile_coverage,0.0003036444921074022
history_depth,other_no_history,23,7,2.1896086873670386,2.1967136068627346,raw_percentile_coverage,0.007104919495696027
history_depth,rookie,518,9,3.235882934469596,3.2313814626234043,raw_percentile_coverage,-0.0045014718461917624
history_depth,second_year,558,9,2.929419802913935,2.9293179173299384,raw_percentile_coverage,-0.0001018855839967081
history_depth,veteran_with_history,2523,9,2.803771220761321,2.804578839664732,raw_percentile_coverage,0.0008076189034111891
rank_availability,available,3577,9,2.8947861113929068,2.89505806287347,raw_percentile_coverage,0.0002719514805633594
rank_availability,unavailable,45,9,2.010174659406501,1.9603581588955148,raw_percentile_coverage,-0.049816500510986295
coverage_band,complete,1602,9,3.361812142912611,3.3629642516105793,raw_percentile_coverage,0.0011521086979682238
coverage_band,partial_high,1634,9,2.5213246769862008,2.5198100567805235,raw_percentile_coverage,-0.001514620205677275
coverage_band,partial_low,341,2,2.084419328383406,2.08842277962965,raw_percentile_coverage,0.0040034512462443494
coverage_band,unavailable,45,9,2.010174659406501,1.9603581588955148,raw_percentile_coverage,-0.049816500510986295
coverage_completeness,complete,1602,9,3.361812142912611,3.3629642516105793,raw_percentile_coverage,0.0011521086979682238
coverage_completeness,incomplete_or_unavailable,2020,9,2.4424950620435903,2.440905468564974,raw_percentile_coverage,-0.0015895934786165355
shallow_omission,no_omission,1602,9,3.361812142912611,3.3629642516105793,raw_percentile_coverage,0.0011521086979682238
shallow_omission,omission,2020,9,2.4424950620435903,2.440905468564974,raw_percentile_coverage,-0.0015895934786165355
