year,arm,player,pos,year_exp,blocks_selected,mean_cost,selection_rate
2024,excess_half_mean,James Cook,RB,2.0,1,45.0,0.125
2024,excess_half_mean,Jameson Williams,WR,2.0,1,8.0,0.125
2024,excess_half_mean,Javonte Williams,RB,3.0,2,18.0,0.25
2024,excess_half_mean,Jayden Reed,WR,1.0,1,9.0,0.125
2024,excess_half_mean,Jaylen Waddle,WR,3.0,1,41.0,0.125
2024,excess_half_mean,Jaylen Warren,RB,2.0,3,12.0,0.375
2024,excess_half_mean,Jaylen Wright,RB,0.0,1,2.0,0.125
2024,excess_half_mean,Jerry Jeudy,WR,4.0,1,4.0,0.125
2024,excess_half_mean,Jonathon Brooks,RB,0.0,6,4.0,0.75
2024,excess_half_mean,Jordan Addison,WR,1.0,7,6.0,0.875
2024,excess_half_mean,Josh Allen,QB,6.0,4,37.0,0.5
2024,excess_half_mean,Josh Jacobs,RB,5.0,1,48.0,0.125
2024,excess_half_mean,Josh Palmer,WR,3.0,1,3.0,0.125
2024,excess_half_mean,Justin Jefferson,WR,4.0,1,75.0,0.125
2024,excess_half_mean,Kyle Pitts,TE,3.0,1,11.0,0.125
2024,excess_half_mean,Ladd McConkey,WR,0.0,1,10.0,0.125
2024,excess_half_mean,Najee Harris,RB,3.0,1,29.0,0.125
2024,excess_half_mean,Nick Chubb,RB,6.0,1,11.0,0.125
2024,excess_half_mean,Pat Freiermuth,TE,3.0,2,3.0,0.25
2024,excess_half_mean,Puka Nacua,WR,1.0,4,58.0,0.5
2024,excess_half_mean,Rachaad White,RB,2.0,4,41.0,0.5
2024,excess_half_mean,Rashid Shaheed,WR,2.0,1,2.0,0.125
2024,excess_half_mean,Rico Dowdle,RB,4.0,3,3.0,0.375
2024,excess_half_mean,Rome Odunze,WR,0.0,4,14.0,0.5
2024,excess_half_mean,Tank Dell,WR,1.0,1,22.0,0.125
2024,excess_half_mean,Terry McLaurin,WR,5.0,1,22.0,0.125
2024,excess_half_mean,Travis Kelce,TE,11.0,1,47.0,0.125
2024,excess_half_mean,Zach Charbonnet,RB,1.0,3,4.0,0.375
2024,excess_half_mean,Zack Moss,RB,4.0,1,15.0,0.125
2024,excess_half_mean,Zay Flowers,WR,1.0,1,26.0,0.125
2024,excess_pure,A.J. Brown,WR,5.0,1,67.0,0.125
2024,excess_pure,Adonai Mitchell,WR,0.0,1,3.0,0.125
2024,excess_pure,Amari Cooper,WR,9.0,1,21.0,0.125
2024,excess_pure,Austin Ekeler,RB,7.0,2,8.0,0.25
2024,excess_pure,Bijan Robinson,RB,1.0,1,97.0,0.125
2024,excess_pure,Brian Thomas Jr.,WR,0.0,8,4.0,1.0
2024,excess_pure,CeeDee Lamb,WR,4.0,1,89.0,0.125
2024,excess_pure,Chase Brown,RB,1.0,1,10.0,0.125
2024,excess_pure,Chris Godwin Jr.,WR,7.0,1,11.0,0.125
2024,excess_pure,Chris Olave,WR,2.0,1,48.0,0.125
2024,excess_pure,Christian Kirk,WR,6.0,1,12.0,0.125
2024,excess_pure,Christian McCaffrey,RB,7.0,3,109.0,0.375
2024,excess_pure,Courtland Sutton,WR,6.0,1,5.0,0.125
2024,excess_pure,DJ Moore,WR,6.0,1,31.0,0.125
2024,excess_pure,Dallas Goedert,TE,6.0,1,2.0,0.125
2024,excess_pure,Davante Adams,WR,10.0,2,40.0,0.25
2024,excess_pure,Ezekiel Elliott,RB,8.0,2,9.0,0.25
2024,excess_pure,George Kittle,TE,7.0,1,17.0,0.125
2024,excess_pure,Gus Edwards,RB,6.0,2,8.0,0.25
2024,excess_pure,Isiah Pacheco,RB,2.0,1,62.0,0.125
2024,excess_pure,J.K. Dobbins,RB,4.0,2,8.0,0.25
2024,excess_pure,Jalen Hurts,QB,4.0,4,28.0,0.5
2024,excess_pure,James Cook,RB,2.0,1,45.0,0.125
2024,excess_pure,Jameson Williams,WR,2.0,1,8.0,0.125
2024,excess_pure,Javonte Williams,RB,3.0,2,18.0,0.25
2024,excess_pure,Jayden Reed,WR,1.0,1,9.0,0.125
2024,excess_pure,Jaylen Waddle,WR,3.0,1,41.0,0.125
2024,excess_pure,Jaylen Warren,RB,2.0,3,12.0,0.375
2024,excess_pure,Jaylen Wright,RB,0.0,2,2.0,0.25
2024,excess_pure,Jerry Jeudy,WR,4.0,1,4.0,0.125
2024,excess_pure,Jonathon Brooks,RB,0.0,5,4.0,0.625
2024,excess_pure,Jordan Addison,WR,1.0,6,6.0,0.75
2024,excess_pure,Josh Allen,QB,6.0,4,37.0,0.5
2024,excess_pure,Josh Jacobs,RB,5.0,1,48.0,0.125
2024,excess_pure,Josh Palmer,WR,3.0,1,3.0,0.125
2024,excess_pure,Justin Jefferson,WR,4.0,4,75.0,0.5
2024,excess_pure,Kyle Pitts,TE,3.0,2,11.0,0.25
2024,excess_pure,Ladd McConkey,WR,0.0,2,10.0,0.25
2024,excess_pure,Mark Andrews,TE,6.0,1,29.0,0.125
2024,excess_pure,Najee Harris,RB,3.0,2,29.0,0.25
2024,excess_pure,Nick Chubb,RB,6.0,2,11.0,0.25
2024,excess_pure,Pat Freiermuth,TE,3.0,2,3.0,0.25
2024,excess_pure,Puka Nacua,WR,1.0,2,58.0,0.25
2024,excess_pure,Rachaad White,RB,2.0,2,41.0,0.25
2024,excess_pure,Rashid Shaheed,WR,2.0,1,2.0,0.125
2024,excess_pure,Rico Dowdle,RB,4.0,3,3.0,0.375
2024,excess_pure,Rome Odunze,WR,0.0,1,14.0,0.125
2024,excess_pure,T.J. Hockenson,TE,5.0,1,2.0,0.125
2024,excess_pure,Terry McLaurin,WR,5.0,1,22.0,0.125
2024,excess_pure,Travis Kelce,TE,11.0,1,47.0,0.125
2024,excess_pure,Ty Chandler,RB,2.0,1,2.0,0.125
2024,excess_pure,Zach Charbonnet,RB,1.0,4,4.0,0.5
2024,excess_pure,Zack Moss,RB,4.0,2,15.0,0.25
2024,excess_pure,Zamir White,RB,2.0,1,22.0,0.125
2024,excess_pure,Zay Flowers,WR,1.0,1,26.0,0.125
2024,mean_frontier,A.J. Brown,WR,5.0,2,67.0,0.25
2024,mean_frontier,Amari Cooper,WR,9.0,2,21.0,0.25
2024,mean_frontier,Austin Ekeler,RB,7.0,1,8.0,0.125
2024,mean_frontier,Bijan Robinson,RB,1.0,3,97.0,0.375
2024,mean_frontier,Brian Thomas Jr.,WR,0.0,8,4.0,1.0
2024,mean_frontier,CeeDee Lamb,WR,4.0,1,89.0,0.125
2024,mean_frontier,Chase Brown,RB,1.0,6,10.0,0.75
2024,mean_frontier,Chris Olave,WR,2.0,1,48.0,0.125
2024,mean_frontier,Christian McCaffrey,RB,7.0,3,109.0,0.375
2024,mean_frontier,Chuba Hubbard,RB,3.0,2,4.0,0.25
2024,mean_frontier,Courtland Sutton,WR,6.0,1,5.0,0.125
2024,mean_frontier,Dallas Goedert,TE,6.0,1,2.0,0.125
2024,mean_frontier,Dalton Schultz,TE,6.0,1,2.0,0.125
2024,mean_frontier,Davante Adams,WR,10.0,1,40.0,0.125
2024,mean_frontier,DeVonta Smith,WR,3.0,2,41.0,0.25
2024,mean_frontier,Diontae Johnson,WR,5.0,1,9.0,0.125
2024,mean_frontier,Ezekiel Elliott,RB,8.0,6,9.0,0.75
2024,mean_frontier,George Kittle,TE,7.0,4,17.0,0.5
2024,mean_frontier,Gus Edwards,RB,6.0,2,8.0,0.25
2024,mean_frontier,Jalen Hurts,QB,4.0,5,28.0,0.625
2024,mean_frontier,Jayden Reed,WR,1.0,3,9.0,0.375
2024,mean_frontier,Jaylen Wright,RB,0.0,1,2.0,0.125
2024,mean_frontier,Jonathon Brooks,RB,0.0,5,4.0,0.625
2024,mean_frontier,Jordan Addison,WR,1.0,7,6.0,0.875
