player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs
Colt McCoy,5609,QB,8,CLV,256,222,135,60.8,1578,7.1,6,9,75.4,72.6,68.1,83.6,23,3,0,11,0,74.5,11,86
Tony Romo,1693,QB,6,DAL,220,213,148,69.5,1611,7.6,11,7,92.4,91.7,58.2,90.3,7,3,0,4,3,95.0,0,75
Kevin Kolb,3652,QB,6,PHI,211,189,114,60.3,1149,6.1,7,7,54.1,53.2,64.7,48.1,16,7,0,9,0,74.6,6,62
Bruce Gradkowski,3139,QB,6,OAK,172,157,83,52.9,1059,6.7,5,7,57.2,59.4,48.3,45.4,10,3,0,6,4,66.3,5,51
Vince Young,2948,QB,9,TEN,178,156,93,59.6,1255,8.0,10,3,65.9,70.5,37.6,26.0,13,3,0,4,2,98.6,9,61
Jake Delhomme,303,QB,5,CLV,156,149,93,62.4,872,5.9,2,7,53.0,59.1,28.8,55.3,6,2,0,7,2,63.4,1,36
Troy Smith,3790,QB,6,SF,175,145,73,50.3,1176,8.1,5,4,71.5,77.0,34.5,28.5,18,4,0,3,3,77.8,12,48
Matt Moore,4018,QB,6,CAR,160,143,79,55.2,857,6.0,5,10,49.7,49.5,56.0,29.2,13,4,0,5,2,55.6,4,48
Rex Grossman,1338,QB,4,WAS,146,135,74,54.8,884,6.5,7,4,64.7,67.7,43.7,29.8,9,6,0,12,2,80.0,2,42
John Skelton,5678,QB,5,ARZ,142,126,60,47.6,662,5.3,3,2,63.2,57.5,90.2,72.0,9,1,0,6,0,65.0,7,33
Drew Stanton,3659,QB,6,DET,132,119,69,58.0,780,6.6,4,3,58.3,56.7,61.6,50.6,6,0,0,2,3,78.4,7,42
Seneca Wallace,1422,QB,6,CLV,109,101,64,63.4,695,6.9,4,2,66.1,67.0,51.1,86.4,6,1,0,7,1,88.5,2,35
Charlie Whitehurst,3026,QB,5,SEA,112,100,57,57.0,507,5.1,2,3,55.7,59.2,44.9,87.0,5,1,0,6,1,64.9,7,25
Matthew Stafford,4924,QB,3,DET,102,96,57,59.4,535,5.6,6,1,81.8,78.8,70.9,85.9,4,2,0,3,0,91.3,2,28
Joe Webb III,5722,QB,4,MIN,111,89,54,60.7,480,5.4,0,3,49.7,46.4,68.1,60.3,8,2,0,1,0,61.1,14,33
Tim Tebow,5550,QB,4,DEN,99,82,41,50.0,660,8.0,5,3,73.7,71.6,67.0,87.8,6,0,0,5,2,82.4,11,35
Max Hall,5878,QB,6,ARZ,92,78,39,50.0,370,4.7,1,6,29.5,30.0,59.9,30.2,14,1,0,3,0,35.7,0,22
Matt Flynn,4523,QB,4,GB,77,65,40,61.5,433,6.7,3,2,56.4,55.6,58.8,84.1,7,0,0,4,0,83.7,5,22
Tyler Thigpen,3833,QB,4,MIA,76,62,33,53.2,435,7.0,2,2,68.7,65.2,71.1,84.1,8,1,0,0,0,73.0,6,22
Tarvaris Jackson,3009,QB,3,MIN,68,58,34,58.6,341,5.9,3,4,54.3,55.3,51.4,46.5,6,0,0,6,0,63.9,4,20
Trent Edwards,3708,QB,2,BUF,64,52,29,55.8,241,4.6,1,2,52.0,55.3,43.6,87.0,7,3,0,4,1,58.3,5,11
Trent Edwards,3708,QB,2,JAX,55,49,26,53.1,280,5.7,1,3,52.0,55.3,43.6,87.0,4,0,0,3,2,51.4,2,16
Charlie Batch,367,QB,3,PIT,55,49,29,59.2,352,7.2,3,3,52.5,57.8,37.0,25.6,4,1,0,0,1,76.2,2,14
Stephen McGee,5024,QB,2,DAL,59,44,22,50.0,238,5.4,2,0,58.4,56.0,65.8,40.1,3,1,0,2,0,81.4,12,14
Rusty Smith,5699,QB,2,TEN,41,40,20,50.0,200,5.0,0,4,41.1,41.7,,79.6,1,1,0,0,0,25.0,0,7
Todd Bouman,299,QB,1,JAX,36,34,18,52.9,222,6.5,2,2,49.6,51.0,52.9,79.1,1,0,0,3,0,68.5,1,12
Dennis Dixon,4470,QB,2,PIT,40,32,22,68.8,254,7.9,0,1,41.2,49.7,30.0,21.9,5,1,0,0,1,79.4,3,9
Brian St. Pierre,1470,QB,1,CAR,31,28,13,46.4,173,6.2,1,2,54.8,54.3,,77.7,3,1,0,3,0,48.7,0,3
Richard Bartel,3884,QB,1,ARZ,30,28,16,57.1,150,5.4,0,1,45.3,46.0,,77.6,2,1,0,1,0,57.1,0,7
Todd Collins,131,QB,2,CHI,29,27,10,37.0,68,2.5,0,5,22.8,23.2,,77.4,2,3,0,1,2,5.9,0,2
Brian Brohm,4370,QB,1,BUF,26,23,10,43.5,106,4.6,0,3,57.4,56.9,,76.3,3,1,0,0,0,17.9,0,5
Luke McCown,1827,QB,1,JAX,20,19,11,57.9,120,6.3,0,0,38.5,41.4,55.7,75.4,0,1,0,0,0,76.6,1,6
Brodie Croyle,3030,QB,2,KC,23,19,8,42.1,38,2.0,0,1,56.2,56.0,,76.3,4,1,0,0,0,27.7,0,2
Josh Johnson,4474,QB,6,TB,20,16,14,87.5,111,6.9,0,0,65.7,67.1,57.6,76.3,2,0,0,0,0,95.6,2,6
Brian Hoyer,5277,QB,3,NE,16,15,7,46.7,122,8.1,1,1,60.6,63.6,53.5,77.2,0,0,0,0,0,69.3,1,7
Mark Brunell,51,QB,2,NYJ,14,13,7,53.8,117,9.0,2,1,71.9,70.5,,73.5,1,0,0,1,1,92.0,0,7
David Carr,1009,QB,1,SF,14,13,5,38.5,67,5.2,0,1,28.5,28.8,,73.2,1,0,0,0,1,23.6,0,3
Tony Pike,5727,QB,1,CAR,13,12,6,50.0,47,3.9,0,0,50.4,51.6,58.3,73.5,1,0,0,2,0,60.1,0,2
Caleb Hanie,4674,QB,2,CHI,9,7,5,71.4,55,7.9,0,0,71.3,71.3,59.8,72.1,2,0,0,1,0,94.3,0,2
Byron Leftwich,1323,QB,1,PIT,9,7,5,71.4,42,6.0,0,0,53.6,53.2,,70.9,2,0,0,0,0,86.6,0,3
Chris Redman,635,QB,1,ATL,6,6,4,66.7,20,3.3,0,0,57.1,57.1,59.8,70.6,0,0,0,0,0,71.5,0,1
Tyler Palko,4031,QB,2,KC,9,6,4,66.7,35,5.8,0,0,47.4,50.0,54.7,72.1,2,0,0,0,0,81.9,1,3
Kyle Boller,1335,QB,2,OAK,5,4,2,50.0,25,6.3,0,1,37.5,35.4,52.8,73.0,1,0,0,0,0,30.2,0,1
Joshua Cribbs,2544,WR,3,CLV,3,3,2,66.7,19,6.3,0,0,62.2,68.3,41.7,26.2,0,0,0,0,0,84.0,0,2
Jordan Palmer,3821,QB,1,CIN,5,3,3,100.0,18,6.0,0,0,58.4,58.4,,68.0,2,0,0,0,0,91.7,0,1
J. Levi Brown,5732,QB,1,BUF,3,3,2,66.7,24,8.0,0,1,54.4,54.7,,65.5,0,0,0,0,0,51.4,0,1
Chase Daniel,5214,QB,2,NO,5,3,2,66.7,16,5.3,0,0,48.1,53.6,55.3,68.0,1,0,0,0,0,79.9,1,1
Brad Smith,3048,WR,3,NYJ,3,3,2,66.7,6,2.0,1,0,56.9,64.0,71.1,40.9,0,0,0,0,0,109.7,0,1
Steve Breaston,3758,WR,2,ARZ,2,2,1,50.0,17,8.5,0,0,65.6,75.9,63.5,79.7,0,0,0,0,0,79.2,0,1
Kellen Clemens,2994,QB,1,NYJ,3,2,1,50.0,6,3.0,0,0,73.8,67.9,65.7,67.4,0,0,0,1,0,56.3,1,2
Chad Pennington,596,QB,1,MIA,2,2,1,50.0,19,9.5,0,0,58.5,58.6,,63.6,0,0,0,0,1,83.3,0,1
Ronnie Brown,2219,HB,2,MIA,2,2,0,0.0,0,0.0,0,0,62.3,52.9,58.1,57.0,0,0,0,0,0,39.6,0,0
Micheal Spurlock,3517,WR,2,TB,2,2,0,0.0,0,0.0,0,0,64.6,53.4,,74.5,0,0,0,0,1,39.6,0,0
Billy Volek,768,QB,1,SD,1,1,1,100.0,8,8.0,0,0,57.9,60.4,56.4,71.2,0,0,0,0,0,100.0,0,1
Brandon Marshall,3064,WR,1,MIA,1,1,0,0.0,0,0.0,0,0,77.1,60.9,59.8,63.4,0,0,0,0,0,39.6,0,0
Michael Robinson,3045,FB,1,SEA,1,1,1,100.0,28,28.0,0,0,60.8,81.6,56.0,76.4,0,0,0,0,0,118.8,0,1
Maurice Jones-Drew,3005,HB,1,JAX,1,1,0,0.0,0,0.0,0,1,72.1,42.6,68.5,68.8,0,0,0,0,0,0.0,0,0
Darren McFadden,4318,HB,1,OAK,1,1,0,0.0,0,0.0,0,0,69.3,39.8,64.4,53.3,0,0,0,0,0,39.6,0,0
Marion Barber III,2326,HB,1,DAL,1,1,0,0.0,0,0.0,0,0,57.4,60.0,59.4,89.0,0,0,0,1,0,39.6,0,0
Peyton Hillis,4541,HB,1,CLV,1,1,1,100.0,13,13.0,0,0,75.0,68.2,67.5,29.5,0,0,0,0,0,118.8,0,1
Stefan Logan,4909,WR,1,DET,1,1,0,0.0,0,0.0,0,0,64.3,60.1,74.2,75.7,0,0,0,0,0,39.6,0,0
Anquan Boldin,1369,WR,1,BLT,1,1,1,100.0,-6,-6.0,0,0,72.7,58.8,50.7,47.4,0,0,0,0,0,79.2,0,0
Chad Johnson,806,WR,1,CIN,1,1,0,0.0,0,0.0,0,0,70.2,59.7,,81.2,0,0,0,0,0,39.6,0,0
Jahvid Best,5555,HB,1,DET,1,1,0,0.0,0,0.0,0,0,60.0,55.2,60.2,80.5,0,0,0,0,0,39.6,0,0
Brandon LaFell,5602,WR,1,CAR,1,1,0,0.0,0,0.0,0,0,64.6,60.0,81.8,43.4,0,0,0,1,0,39.6,0,0
Armanti Edwards,5613,WR,2,CAR,1,1,1,100.0,0,0.0,0,0,53.7,75.2,,63.6,0,0,0,0,0,79.2,0,0
