player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs
Joe Flacco,4332,QB,16,BLT,550,499,315,63.1,3629,7.3,21,12,81.6,83.4,39.1,70.8,37,7,0,16,6,89.0,14,190
Matt Cassel,2447,QB,15,KC,566,494,272,55.1,2924,5.9,16,16,59.7,64.1,30.0,66.5,42,14,0,12,9,69.9,30,132
Matt Hasselbeck,408,QB,14,SEA,537,488,293,60.0,3029,6.2,17,17,60.7,61.5,41.0,51.5,32,8,0,18,6,75.1,17,151
Philip Rivers,1725,QB,16,SD,522,486,317,65.2,4254,8.8,28,9,91.1,91.7,39.1,85.3,25,2,0,21,12,104.4,11,213
Carson Palmer,1317,QB,16,CIN,509,466,282,60.5,3116,6.7,21,13,68.0,71.4,41.5,90.7,26,9,0,10,3,83.8,17,165
Matt Ryan,4317,QB,14,ATL,482,451,263,58.3,2912,6.5,22,14,66.4,68.6,32.4,81.6,19,4,0,30,6,80.9,12,157
Chad Henne,4371,QB,14,MIA,484,451,274,60.8,2880,6.4,12,14,70.2,71.0,36.3,85.9,26,11,0,9,7,75.3,7,159
Donovan McNabb,438,QB,14,PHI,494,443,267,60.3,3551,8.0,22,10,74.7,74.7,53.7,65.2,36,18,0,12,6,92.9,15,158
Matthew Stafford,4924,QB,10,DET,415,377,201,53.3,2271,6.0,13,20,45.3,45.7,51.1,72.7,23,5,0,9,6,61.0,15,119
Alex Smith,2218,QB,11,SF,405,372,225,60.5,2350,6.3,18,12,71.0,73.3,46.5,76.7,22,13,0,20,11,81.5,11,104
Mark Sanchez,4928,QB,15,NYJ,406,363,196,54.0,2444,6.7,12,20,49.1,50.2,51.4,50.2,26,4,0,16,3,63.2,17,133
Jake Delhomme,303,QB,11,CAR,350,321,178,55.5,2014,6.3,8,18,56.0,54.6,61.8,79.7,23,6,0,3,6,59.4,6,103
Josh Freeman,4940,QB,10,TB,331,291,159,54.6,1855,6.4,10,18,51.9,51.5,54.3,42.3,19,7,0,6,4,59.9,21,99
Vince Young,2948,QB,12,TEN,297,259,152,58.7,1879,7.3,10,7,72.9,70.8,64.1,57.6,9,3,0,10,6,82.8,29,109
Brady Quinn,3638,QB,10,CLV,280,256,136,53.1,1335,5.2,8,7,54.4,54.8,47.4,80.8,19,11,0,5,3,67.1,5,77
Marc Bulger,684,QB,9,STR,266,247,140,56.7,1469,5.9,5,6,58.3,63.2,25.2,41.7,14,6,0,6,4,70.7,5,78
JaMarcus Russell,3617,QB,12,OAK,286,246,120,48.8,1287,5.2,3,11,42.9,43.4,45.0,33.5,32,6,0,4,9,50.0,8,63
Ryan Fitzpatrick,2467,QB,10,BUF,266,227,127,55.9,1424,6.3,9,10,61.4,61.0,56.1,79.7,21,5,0,1,9,69.7,18,67
Kerry Collins,115,QB,7,TEN,224,216,119,55.1,1232,5.7,6,8,60.6,64.1,28.3,64.8,5,4,0,15,7,65.6,3,64
Trent Edwards,3708,QB,8,BUF,216,183,110,60.1,1165,6.4,6,7,65.1,63.1,65.8,75.0,22,4,0,10,4,73.7,11,59
Derek Anderson,2430,QB,8,CLV,194,182,81,44.5,892,4.9,3,10,49.4,50.0,43.5,73.4,11,8,0,6,5,42.2,1,46
Kyle Boller,1335,QB,7,STR,201,176,98,55.7,902,5.1,3,6,51.6,49.3,66.8,73.5,17,6,0,4,7,61.3,8,54
Daunte Culpepper,446,QB,8,DET,182,157,89,56.7,945,6.0,3,6,45.6,45.4,58.1,77.2,14,3,0,5,3,64.8,11,50
Shaun Hill,1255,QB,6,SF,179,155,87,56.1,950,6.1,5,2,66.9,65.4,76.5,70.9,18,3,0,8,6,79.8,6,43
Bruce Gradkowski,3139,QB,7,OAK,172,150,82,54.7,1007,6.7,6,3,68.7,69.3,55.9,33.9,11,5,0,7,1,80.6,11,50
Matt Moore,4018,QB,7,CAR,149,138,85,61.6,1025,7.4,8,2,59.3,60.9,48.5,88.8,9,2,0,3,3,97.6,2,53
Josh Johnson,4474,QB,5,TB,154,125,63,50.4,685,5.5,4,8,50.3,49.2,60.6,45.6,11,6,0,0,3,50.9,18,39
Keith Null,5120,QB,4,STR,135,119,73,61.3,571,4.8,3,9,53.0,54.6,43.0,63.9,13,1,0,3,1,50.1,3,30
Chris Redman,635,QB,3,ATL,128,119,69,58.0,781,6.6,4,3,53.1,54.5,41.7,64.4,8,5,0,2,5,78.4,1,40
Seneca Wallace,1422,QB,7,SEA,132,118,76,64.4,668,5.7,3,2,52.4,53.6,33.4,56.5,9,4,0,1,0,80.8,5,38
Byron Leftwich,1323,QB,3,TB,111,107,58,54.2,596,5.6,4,3,63.9,64.7,47.0,86.3,2,0,0,5,4,71.2,2,29
Kevin Kolb,3652,QB,3,PHI,101,96,62,64.6,741,7.7,4,3,53.2,54.8,45.0,65.2,4,3,0,3,2,88.9,1,31
Charlie Frye,2284,QB,3,OAK,95,87,53,60.9,581,6.7,1,4,63.0,62.6,62.5,85.3,5,1,0,4,2,65.3,3,30
Matt Leinart,2955,QB,7,ARZ,79,77,51,66.2,438,5.7,0,3,53.4,57.1,40.6,84.6,2,0,0,0,1,64.7,0,22
Chad Pennington,596,QB,3,MIA,81,74,51,68.9,413,5.6,1,2,74.1,72.9,58.8,50.1,6,2,0,5,2,76.0,1,29
Drew Stanton,3659,QB,3,DET,62,51,26,51.0,259,5.1,0,6,37.9,39.0,50.3,82.4,5,0,0,2,0,26.1,6,14
Brodie Croyle,3030,QB,3,KC,42,39,23,59.0,230,5.9,2,0,72.3,71.1,,79.5,3,1,0,2,0,92.9,0,10
David Carr,1009,QB,6,NYG,39,33,21,63.6,225,6.8,1,0,54.2,55.0,54.0,80.1,2,1,0,0,0,93.6,4,13
Billy Volek,768,QB,2,SD,32,31,20,64.5,231,7.5,1,1,51.5,59.4,39.1,79.7,1,0,0,0,0,84.2,0,13
Brian Brohm,4370,QB,1,BUF,31,29,17,58.6,146,5.0,0,2,47.2,52.3,48.5,78.5,2,1,0,1,1,43.2,0,8
Mark Brunell,51,QB,2,NO,30,29,15,51.7,102,3.5,0,1,45.8,47.2,49.6,78.3,1,0,0,0,3,45.5,0,6
Curtis Painter,5125,QB,2,IND,33,28,8,28.6,83,3.0,0,2,37.0,41.1,45.3,32.7,3,0,0,2,0,9.8,2,3
Brian Hoyer,5277,QB,4,NE,32,27,19,70.4,142,5.3,0,0,56.3,60.0,50.6,79.8,2,0,0,0,0,82.6,3,10
Kellen Clemens,2994,QB,3,NYJ,32,26,13,50.0,125,4.8,0,0,47.3,52.3,44.0,79.6,4,0,0,1,0,63.8,2,7
Dennis Dixon,4470,QB,1,PIT,26,26,12,46.2,145,5.6,1,1,40.2,38.6,58.2,78.1,0,2,0,0,0,60.6,0,6
Todd Collins,131,QB,3,WAS,25,23,12,52.2,144,6.3,0,0,64.5,66.2,,25.2,2,2,0,2,1,71.6,0,4
Tarvaris Jackson,3009,QB,6,MIN,22,21,14,66.7,201,9.6,1,0,44.4,61.9,33.4,80.1,0,0,0,0,1,113.4,1,9
Chris Simms,1411,QB,2,DEN,22,17,5,29.4,23,1.4,0,1,29.1,29.5,49.6,76.8,5,1,0,1,3,15.1,0,1
Matt Flynn,4523,QB,4,GB,13,12,7,58.3,58,4.8,0,1,50.0,56.5,44.2,75.4,1,0,0,0,0,36.1,0,4
J.T. O'Sullivan,1169,QB,3,CIN,15,11,4,36.4,40,3.6,0,0,32.4,42.8,47.5,19.5,3,0,0,1,0,47.5,1,1
Michael Vick,773,QB,7,PHI,13,11,6,54.5,86,7.8,1,0,56.4,65.1,55.3,79.8,0,0,0,0,1,110.4,2,4
Troy Smith,3790,QB,3,BLT,10,9,5,55.6,24,2.7,0,1,50.9,62.1,46.8,75.1,0,0,0,0,0,21.3,1,1
Rex Grossman,1338,QB,1,HST,10,9,3,33.3,33,3.7,0,1,34.8,50.9,33.0,23.8,0,1,0,1,1,5.6,1,1
Tyler Thigpen,3833,QB,1,MIA,9,8,4,50.0,83,10.4,1,2,39.3,42.7,52.3,72.6,0,0,0,1,0,87.0,1,3
Caleb Hanie,4674,QB,2,CHI,7,7,3,42.9,11,1.6,0,1,51.5,51.7,,69.6,0,0,0,0,1,10.7,0,0
Josh McCown,1085,QB,1,CAR,7,6,1,16.7,2,0.3,0,0,27.3,28.3,,69.6,1,0,0,0,0,39.6,0,0
Ronnie Brown,2219,HB,4,MIA,7,6,2,33.3,22,3.7,1,0,60.7,73.0,56.2,75.6,1,1,0,1,0,84.7,0,2
Pat White,4967,QB,4,MIA,8,5,0,0.0,0,0.0,0,0,31.0,32.8,39.7,34.0,1,0,0,0,0,39.6,2,1
Joshua Cribbs,2544,WR,3,CLV,4,4,1,25.0,18,4.5,0,1,63.8,43.2,74.5,26.3,0,0,0,0,0,6.3,0,1
Brian St. Pierre,1470,QB,1,ARZ,4,4,2,50.0,12,3.0,1,1,41.0,42.3,,66.9,0,0,0,0,0,56.3,0,2
Luke McCown,1827,QB,2,JAX,5,3,1,33.3,2,0.7,0,0,49.4,49.9,,68.9,2,0,0,0,0,42.4,0,0
Charlie Batch,367,QB,1,PIT,2,2,1,50.0,17,8.5,0,0,73.2,71.8,,63.6,0,0,0,0,0,79.2,0,1
Chris Johnson,4338,HB,1,TEN,1,1,0,0.0,0,0.0,0,0,73.6,60.0,75.5,74.9,0,0,0,0,1,39.6,0,0
Ray Rice,4369,HB,1,BLT,1,1,0,0.0,0,0.0,0,0,72.5,56.1,63.8,67.8,0,0,0,0,0,39.6,0,0
Matt Gutierrez,3948,QB,1,KC,1,1,1,100.0,3,3.0,0,0,61.1,60.4,,60.4,0,0,0,0,0,79.2,0,0
Clinton Portis,1058,HB,1,WAS,1,1,0,0.0,0,0.0,0,0,57.9,56.1,57.3,71.0,0,0,0,0,0,39.6,0,0
Brian Westbrook,1094,HB,1,PHI,1,1,0,0.0,0,0.0,0,0,60.6,57.2,60.4,85.4,0,0,0,0,0,39.6,0,0
Micheal Spurlock,3517,WR,1,SF,1,1,0,0.0,0,0.0,0,0,48.7,53.2,,60.4,0,0,0,0,0,39.6,0,0
Michael Clayton,1736,WR,1,TB,1,1,0,0.0,0,0.0,0,0,53.3,60.0,,73.6,0,0,0,0,1,39.6,0,0
J.P. Losman,1743,QB,1,OAK,1,1,0,0.0,0,0.0,0,0,59.9,60.0,,60.4,0,0,0,0,1,39.6,0,0
Mewelde Moore,1840,HB,1,PIT,1,1,1,100.0,6,6.0,1,0,58.6,55.2,50.5,82.5,0,0,0,0,0,131.3,0,1
Mark Clayton,2239,WR,1,BLT,1,1,1,100.0,0,0.0,0,0,63.7,60.3,51.2,29.9,0,0,0,0,0,79.2,0,0
Chris Brown,1407,HB,1,HST,1,1,0,0.0,0,0.0,0,1,53.4,58.8,54.5,62.3,0,0,0,0,0,0.0,0,0
Fred Jackson,3368,HB,1,BUF,1,1,1,100.0,27,27.0,1,0,69.4,77.9,67.2,74.4,0,0,0,0,0,158.3,0,1
Sidney Rice,3660,WR,1,MIN,1,1,0,0.0,0,0.0,0,0,89.0,60.0,,62.8,0,0,0,1,0,39.6,0,0
Legedu Naanee,3788,WR,1,SD,1,1,1,100.0,21,21.0,0,0,67.7,55.3,58.9,76.5,0,0,0,0,0,118.8,0,1
Tim Castille,3906,FB,1,KC,1,1,0,0.0,0,0.0,0,1,41.1,33.4,41.6,25.0,0,0,0,0,0,0.0,0,0
Ricky Williams,440,HB,1,MIA,1,1,0,0.0,0,0.0,0,1,55.4,34.5,57.6,51.2,0,0,0,0,0,0.0,0,0
