player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs
Jay Cutler,2956,QB,15,CHI,496,434,255,58.8,3033,7.0,19,14,72.6,70.8,68.7,56.1,38,12,0,5,4,81.3,24,168
Russell Wilson,7077,QB,16,SEA,476,393,252,64.1,3118,7.9,26,10,89.5,87.4,76.1,74.9,33,7,0,27,1,100.0,50,169
Robert Griffin III,7008,QB,15,WAS,466,392,257,65.6,3195,8.2,20,5,83.6,88.2,55.3,27.0,30,6,0,11,6,102.4,44,166
Michael Vick,773,QB,10,PHI,418,351,204,58.1,2362,6.7,12,10,57.8,59.9,46.7,29.7,28,8,0,18,7,78.1,39,131
Jake Locker,6160,QB,11,TEN,370,314,177,56.4,2182,6.9,10,11,70.8,68.1,77.4,50.1,25,11,0,8,5,74.0,31,105
Chad Henne,4371,QB,10,JAX,348,308,166,53.9,2084,6.8,11,11,53.1,56.9,28.6,62.1,28,10,0,5,7,72.2,12,90
Blaine Gabbert,6162,QB,10,JAX,309,278,162,58.3,1662,6.0,9,6,58.3,60.0,41.6,74.2,22,3,0,4,3,77.4,9,73
Matt Cassel,2447,QB,9,KC,312,277,161,58.1,1796,6.5,6,12,56.7,58.9,43.1,44.8,19,6,0,10,6,66.7,16,105
Nick Foles,7089,QB,7,PHI,292,265,161,60.8,1699,6.4,6,5,56.5,57.6,48.9,29.8,20,4,0,17,4,79.1,7,81
Matt Hasselbeck,408,QB,8,TEN,241,221,138,62.4,1367,6.2,7,5,64.8,66.1,44.2,47.0,14,4,0,7,0,81.0,6,75
Colin Kaepernick,6188,QB,11,SF,258,218,136,62.4,1814,8.3,10,3,73.3,80.8,42.1,22.8,16,0,0,13,1,98.3,24,92
Alex Smith,2218,QB,10,SF,256,218,153,70.2,1737,8.0,13,5,68.0,67.1,63.8,83.5,24,4,0,9,2,104.1,14,93
John Skelton,5678,QB,7,ARZ,218,201,109,54.2,1132,5.6,2,9,35.1,37.0,54.3,74.2,15,4,0,4,5,55.4,2,56
Brady Quinn,3638,QB,10,KC,230,197,112,56.9,1141,5.8,2,8,50.9,48.5,65.2,76.7,21,3,0,12,2,60.1,12,51
Kevin Kolb,3652,QB,6,ARZ,217,183,109,59.6,1169,6.4,8,3,68.1,65.7,75.1,75.5,27,4,0,7,1,86.1,7,67
Ryan Lindley,7174,QB,6,ARZ,184,171,89,52.0,752,4.4,0,7,37.2,37.0,62.2,77.1,12,7,0,3,2,46.7,1,38
Charlie Batch,367,QB,2,PIT,73,70,45,64.3,475,6.8,1,4,59.8,59.4,,48.9,3,2,0,1,1,64.9,0,24
Brian Hoyer,5277,QB,2,ARZ,58,53,30,56.6,330,6.2,1,2,47.3,47.9,63.9,81.4,4,0,0,1,0,65.8,1,15
Byron Leftwich,1323,QB,2,PIT,57,53,25,47.2,272,5.1,0,1,56.7,53.4,69.5,81.5,3,0,0,3,1,54.9,1,14
Jason Campbell,2242,QB,4,CHI,61,51,32,62.7,265,5.2,2,2,45.1,46.1,55.1,21.6,6,0,0,2,0,72.8,4,11
Kirk Cousins,7102,QB,3,WAS,53,48,33,68.8,466,9.7,4,3,82.7,79.7,75.8,37.3,3,0,0,1,1,101.6,2,21
Matt Leinart,2955,QB,2,OAK,34,33,16,48.5,115,3.5,0,1,55.6,55.4,,78.3,1,1,0,1,1,44.4,0,7
Thaddeus Lewis,5817,QB,1,CLV,36,32,22,68.8,204,6.4,1,1,62.2,62.7,56.8,78.6,3,0,0,0,0,83.3,1,11
Greg McElroy,6360,QB,2,NYJ,48,31,19,61.3,214,6.9,1,1,46.0,47.3,51.0,80.7,11,0,0,2,0,79.2,6,15
Terrelle Pryor,6944,QB,3,OAK,36,30,14,46.7,155,5.2,2,1,56.5,61.1,41.2,30.6,0,0,0,2,0,70.8,6,12
Tyrod Taylor,6332,QB,3,BLT,37,29,17,58.6,179,6.2,0,1,68.2,58.1,78.9,80.7,3,0,0,2,0,62.3,5,11
Matt Moore,4018,QB,2,MIA,22,19,11,57.9,131,6.9,1,0,74.4,82.6,48.7,77.1,2,1,0,1,0,96.6,1,7
Colt McCoy,5609,QB,1,CLV,22,17,9,52.9,79,4.6,1,0,39.5,40.9,57.4,77.5,4,0,0,0,1,85.2,1,6
Shaun Hill,1255,QB,1,DET,13,13,10,76.9,172,13.2,2,0,74.9,76.2,57.3,73.7,0,0,0,0,0,157.9,0,8
Bruce Gradkowski,3139,QB,1,CIN,11,11,5,45.5,65,5.9,0,0,47.2,51.6,48.5,74.7,0,0,0,1,0,64.6,0,1
T.J. Yates,6304,QB,3,HST,11,10,4,40.0,38,3.8,0,1,30.6,30.8,56.6,20.9,1,1,0,0,0,11.7,0,3
Kyle Orton,2323,QB,1,DAL,10,10,9,90.0,89,8.9,1,0,61.9,61.6,,71.9,0,0,0,0,0,137.1,0,6
Matt Flynn,4523,QB,1,SEA,9,9,5,55.6,68,7.6,0,0,74.2,76.6,56.9,73.8,0,0,0,0,0,79.9,0,2
Dan Orlovsky,2362,QB,1,TB,7,7,4,57.1,51,7.3,0,0,57.1,56.9,,69.6,0,0,0,1,0,80.1,0,2
Tim Tebow,5550,QB,5,NYJ,8,6,4,66.7,17,2.8,0,0,53.4,67.5,55.0,80.7,2,0,0,1,0,70.1,0,2
Rusty Smith,5699,QB,1,TEN,5,5,3,60.0,34,6.8,0,0,52.8,53.2,,68.9,0,0,0,0,0,80.4,0,2
Tyler Thigpen,3833,QB,1,BUF,5,5,3,60.0,30,6.0,0,0,53.0,53.0,59.8,69.2,0,0,0,1,0,77.1,0,2
Brock Osweiler,7059,QB,1,DEN,4,4,2,50.0,12,3.0,0,0,59.4,63.4,55.1,73.7,0,0,0,0,0,56.3,0,2
Graham Harrell,5519,QB,2,GB,4,4,2,50.0,20,5.0,0,0,33.5,51.1,32.1,18.4,0,0,0,0,0,64.6,0,1
Ryan Mallett,6226,QB,2,NE,4,4,1,25.0,17,4.3,0,1,48.0,47.9,54.6,74.0,0,0,0,0,0,5.2,0,1
Derek Anderson,2430,QB,2,CAR,4,4,4,100.0,58,14.5,0,0,54.7,54.8,,68.9,0,0,0,0,0,118.8,0,3
Kellen Clemens,2994,QB,2,STR,4,3,1,33.3,39,13.0,0,1,38.2,59.7,38.0,19.2,0,1,0,0,0,42.4,1,2
David Carr,1009,QB,2,NYG,4,3,2,66.7,19,6.3,0,0,38.7,35.6,57.9,21.2,1,0,0,0,0,84.0,0,1
Trent Edwards,3708,QB,1,PHI,2,2,2,100.0,14,7.0,0,0,61.4,60.8,,63.6,0,0,0,0,0,95.8,0,0
Josh Morgan,4488,WR,1,WAS,1,1,0,0.0,0,0.0,0,0,70.0,58.1,80.7,38.5,0,0,0,0,0,39.6,0,0
Chase Daniel,5214,QB,1,NO,1,1,1,100.0,10,10.0,0,0,65.0,58.4,66.0,69.8,0,0,0,0,0,108.3,0,1
Danario Alexander,6106,WR,1,SD,1,1,0,0.0,0,0.0,0,0,78.9,56.6,,77.9,0,0,0,0,0,39.6,0,0
Armanti Edwards,5613,WR,1,CAR,1,1,0,0.0,0,0.0,0,0,55.3,57.3,,69.5,0,0,0,0,0,39.6,0,0
Tim Masthay,5510,P,1,GB,1,1,0,0.0,0,0.0,0,0,51.7,52.5,,60.4,0,0,0,0,0,39.6,0,0
Jeremy Kerley,6305,WR,1,NYJ,1,1,1,100.0,42,42.0,0,0,67.5,76.2,47.1,26.2,0,0,0,0,0,118.8,0,1
Mohamed Sanu,7084,WR,1,CIN,1,1,1,100.0,73,73.0,1,0,71.7,87.1,61.3,25.5,0,0,0,0,0,158.3,0,1
Peyton Hillis,4541,HB,1,KC,1,1,0,0.0,0,0.0,0,0,72.6,54.1,71.5,38.2,0,0,0,0,0,39.6,0,0
T.Y. Hilton,7092,WR,1,IND,1,1,0,0.0,0,0.0,0,0,66.4,60.0,58.4,80.3,0,1,0,0,0,39.6,0,0
Brad Smith,3048,WR,1,BUF,1,1,0,0.0,0,0.0,0,1,64.5,39.3,68.6,77.8,0,0,0,0,0,0.0,0,0
