scope,method,severity,probability_bin,n,predicted_rate,observed_rate
all,te_ypr050,q95,9,265,0.06019982909345453,0.04150943396226415
all,te_ypr050,q95,10,265,0.11758052609029132,0.1169811320754717
all,wr_ppg225_both025,q90,1,265,0.0,0.0037735849056603774
all,wr_ppg225_both025,q90,2,265,0.0006968827144600241,0.0037735849056603774
all,wr_ppg225_both025,q90,3,264,0.008182798932464697,0.007575757575757576
all,wr_ppg225_both025,q90,4,265,0.015080549182155291,0.007547169811320755
all,wr_ppg225_both025,q90,5,265,0.024499288246067414,0.03773584905660377
all,wr_ppg225_both025,q90,6,264,0.03573327889793367,0.03787878787878788
all,wr_ppg225_both025,q90,7,265,0.04794008983540729,0.03773584905660377
all,wr_ppg225_both025,q90,8,264,0.06304110041784426,0.04924242424242424
all,wr_ppg225_both025,q90,9,265,0.08492869723137769,0.06037735849056604
all,wr_ppg225_both025,q90,10,265,0.1374986892974596,0.10943396226415095
all,wr_ppg225_both025,q95,1,265,0.0,0.007547169811320755
all,wr_ppg225_both025,q95,2,265,0.0,0.0
all,wr_ppg225_both025,q95,3,264,0.0,0.003787878787878788
all,wr_ppg225_both025,q95,4,265,0.001080077121515879,0.007547169811320755
all,wr_ppg225_both025,q95,5,265,0.008097370343941332,0.0
all,wr_ppg225_both025,q95,6,264,0.01406773178086328,0.007575757575757576
all,wr_ppg225_both025,q95,7,265,0.02372962297213873,0.03018867924528302
all,wr_ppg225_both025,q95,8,264,0.03826496771279163,0.041666666666666664
all,wr_ppg225_both025,q95,9,265,0.06046853465868898,0.045283018867924525
all,wr_ppg225_both025,q95,10,265,0.11729776295224818,0.1169811320754717
all,wr_ppg225_tdrate050,q90,1,265,0.0,0.0037735849056603774
all,wr_ppg225_tdrate050,q90,2,265,0.0006490185203290003,0.0037735849056603774
all,wr_ppg225_tdrate050,q90,3,264,0.008233142354361952,0.007575757575757576
all,wr_ppg225_tdrate050,q90,4,265,0.01495917636486983,0.011320754716981131
all,wr_ppg225_tdrate050,q90,5,265,0.02432824974337119,0.033962264150943396
all,wr_ppg225_tdrate050,q90,6,264,0.03566648553601723,0.041666666666666664
all,wr_ppg225_tdrate050,q90,7,265,0.047751855611230264,0.033962264150943396
all,wr_ppg225_tdrate050,q90,8,264,0.06279702362581437,0.05303030303030303
all,wr_ppg225_tdrate050,q90,9,265,0.08525586833807293,0.06037735849056604
all,wr_ppg225_tdrate050,q90,10,265,0.13747210165414545,0.10566037735849057
all,wr_ppg225_tdrate050,q95,1,265,0.0,0.007547169811320755
all,wr_ppg225_tdrate050,q95,2,265,0.0,0.0
all,wr_ppg225_tdrate050,q95,3,264,0.0,0.003787878787878788
all,wr_ppg225_tdrate050,q95,4,265,0.0009951191461710792,0.007547169811320755
all,wr_ppg225_tdrate050,q95,5,265,0.008096131088726668,0.0
all,wr_ppg225_tdrate050,q95,6,264,0.014250611525201858,0.011363636363636364
all,wr_ppg225_tdrate050,q95,7,265,0.02405001750943822,0.03018867924528302
all,wr_ppg225_tdrate050,q95,8,264,0.03821173972999069,0.03787878787878788
all,wr_ppg225_tdrate050,q95,9,265,0.060421007997868245,0.045283018867924525
all,wr_ppg225_tdrate050,q95,10,265,0.11750375447071418,0.1169811320754717
all,wr_ppg225_tdrate050__te_ypr050,q90,1,265,0.0,0.0037735849056603774
all,wr_ppg225_tdrate050__te_ypr050,q90,2,265,0.0006569460549580724,0.0037735849056603774
all,wr_ppg225_tdrate050__te_ypr050,q90,3,264,0.00823816374183837,0.007575757575757576
all,wr_ppg225_tdrate050__te_ypr050,q90,4,265,0.015080376295542187,0.011320754716981131
all,wr_ppg225_tdrate050__te_ypr050,q90,5,265,0.02440553996814496,0.033962264150943396
all,wr_ppg225_tdrate050__te_ypr050,q90,6,264,0.03571685599259012,0.04924242424242424
all,wr_ppg225_tdrate050__te_ypr050,q90,7,265,0.047373896590936805,0.018867924528301886
all,wr_ppg225_tdrate050__te_ypr050,q90,8,264,0.06224038923389641,0.06060606060606061
all,wr_ppg225_tdrate050__te_ypr050,q90,9,265,0.08511905933155724,0.05660377358490566
all,wr_ppg225_tdrate050__te_ypr050,q90,10,265,0.13746900929383996,0.10943396226415095
all,wr_ppg225_tdrate050__te_ypr050,q95,1,265,0.0,0.007547169811320755
all,wr_ppg225_tdrate050__te_ypr050,q95,2,265,0.0,0.0
all,wr_ppg225_tdrate050__te_ypr050,q95,3,264,0.0,0.003787878787878788
all,wr_ppg225_tdrate050__te_ypr050,q95,4,265,0.0009647275047370763,0.007547169811320755
all,wr_ppg225_tdrate050__te_ypr050,q95,5,265,0.008106474706959448,0.0
all,wr_ppg225_tdrate050__te_ypr050,q95,6,264,0.014256378113257915,0.007575757575757576
all,wr_ppg225_tdrate050__te_ypr050,q95,7,265,0.023855603035152842,0.033962264150943396
all,wr_ppg225_tdrate050__te_ypr050,q95,8,264,0.03808911313645774,0.03787878787878788
all,wr_ppg225_tdrate050__te_ypr050,q95,9,265,0.059810757303089795,0.045283018867924525
all,wr_ppg225_tdrate050__te_ypr050,q95,10,265,0.11740728605823343,0.1169811320754717
core,flatter_w025_all,q90,1,108,0.019891860793034996,0.06481481481481481
core,flatter_w025_all,q90,2,108,0.034085289641417695,0.06481481481481481
core,flatter_w025_all,q90,3,108,0.04379191291389281,0.046296296296296294
core,flatter_w025_all,q90,4,108,0.05191840713954757,0.05555555555555555
core,flatter_w025_all,q90,5,108,0.060995873584149776,0.06481481481481481
core,flatter_w025_all,q90,6,108,0.07055560069083208,0.046296296296296294
core,flatter_w025_all,q90,7,108,0.08127580789199153,0.07407407407407407
core,flatter_w025_all,q90,8,108,0.09442890554573531,0.07407407407407407
core,flatter_w025_all,q90,9,108,0.11452644386135262,0.09259259259259259
core,flatter_w025_all,q90,10,108,0.16678399349929954,0.14814814814814814
core,flatter_w025_all,q95,1,108,0.005231520044422633,0.018518518518518517
core,flatter_w025_all,q95,2,108,0.01732400082775217,0.018518518518518517
core,flatter_w025_all,q95,3,108,0.025603804227678644,0.05555555555555555
core,flatter_w025_all,q95,4,108,0.03322516937123918,0.046296296296296294
core,flatter_w025_all,q95,5,108,0.04144761613327929,0.037037037037037035
core,flatter_w025_all,q95,6,108,0.04899667552924366,0.06481481481481481
core,flatter_w025_all,q95,7,108,0.05930729396457002,0.037037037037037035
core,flatter_w025_all,q95,8,108,0.07316580597932974,0.07407407407407407
core,flatter_w025_all,q95,9,108,0.09552502008449049,0.08333333333333333
core,flatter_w025_all,q95,10,108,0.15430553016242787,0.17592592592592593
core,production,q90,1,108,0.0165291574484186,0.06481481481481481
core,production,q90,2,108,0.031202023511209227,0.046296296296296294
core,production,q90,3,108,0.040614291794622434,0.09259259259259259
core,production,q90,4,108,0.05018048718131812,0.037037037037037035
core,production,q90,5,108,0.059131750325256145,0.046296296296296294
core,production,q90,6,108,0.0696536892857537,0.046296296296296294
core,production,q90,7,108,0.08070751924719498,0.06481481481481481
core,production,q90,8,108,0.093242150031988,0.08333333333333333
core,production,q90,9,108,0.11371695750017446,0.09259259259259259
core,production,q90,10,108,0.1711669685190396,0.1574074074074074
core,production,q95,1,108,0.0038736840883443644,0.018518518518518517
core,production,q95,2,108,0.014596856774207547,0.027777777777777776
core,production,q95,3,108,0.022843911527197794,0.018518518518518517
core,production,q95,4,108,0.031174064773287085,0.07407407407407407
core,production,q95,5,108,0.03826181653337296,0.046296296296296294
core,production,q95,6,108,0.047667892415685954,0.05555555555555555
core,production,q95,7,108,0.059726130030224964,0.05555555555555555
core,production,q95,8,108,0.07392660982914029,0.06481481481481481
core,production,q95,9,108,0.09577989846216305,0.10185185185185185
core,production,q95,10,108,0.15607585867327248,0.14814814814814814
core,te_ypr050,q90,1,108,0.016496833023116976,0.06481481481481481
core,te_ypr050,q90,2,108,0.031159251103739405,0.046296296296296294
core,te_ypr050,q90,3,108,0.040380595951185365,0.09259259259259259
core,te_ypr050,q90,4,108,0.04970167433427092,0.027777777777777776
core,te_ypr050,q90,5,108,0.05836578211980465,0.05555555555555555
core,te_ypr050,q90,6,108,0.06907246741396207,0.046296296296296294
core,te_ypr050,q90,7,108,0.08041519160737584,0.06481481481481481
core,te_ypr050,q90,8,108,0.09324672726107898,0.07407407407407407
core,te_ypr050,q90,9,108,0.11370375764986314,0.10185185185185185
core,te_ypr050,q90,10,108,0.1711669685190396,0.1574074074074074
core,te_ypr050,q95,1,108,0.003768348251322986,0.018518518518518517
core,te_ypr050,q95,2,108,0.014623236110668666,0.018518518518518517
core,te_ypr050,q95,3,108,0.022587363512986732,0.046296296296296294
core,te_ypr050,q95,4,108,0.03094327097949483,0.05555555555555555
core,te_ypr050,q95,5,108,0.038168907350021125,0.046296296296296294
core,te_ypr050,q95,6,108,0.047004702779310174,0.046296296296296294
core,te_ypr050,q95,7,108,0.05903940449843441,0.05555555555555555
core,te_ypr050,q95,8,108,0.07345322028709089,0.07407407407407407
core,te_ypr050,q95,9,108,0.09569040107940728,0.10185185185185185
core,te_ypr050,q95,10,108,0.15607585867327248,0.14814814814814814
core,wr_ppg225_both025,q90,1,108,0.016841061025274735,0.046296296296296294
core,wr_ppg225_both025,q90,2,108,0.032014608982217495,0.09259259259259259
core,wr_ppg225_both025,q90,3,108,0.040828376797534864,0.06481481481481481
core,wr_ppg225_both025,q90,4,108,0.05057562835575417,0.037037037037037035
core,wr_ppg225_both025,q90,5,108,0.05898034047709282,0.05555555555555555
core,wr_ppg225_both025,q90,6,108,0.06910520153462617,0.046296296296296294
core,wr_ppg225_both025,q90,7,108,0.08024208530548671,0.05555555555555555
core,wr_ppg225_both025,q90,8,108,0.09260911437780707,0.07407407407407407
core,wr_ppg225_both025,q90,9,108,0.11369419923074124,0.10185185185185185
core,wr_ppg225_both025,q90,10,108,0.1711669685190396,0.1574074074074074
core,wr_ppg225_both025,q95,1,108,0.0038761859212556237,0.018518518518518517
core,wr_ppg225_both025,q95,2,108,0.014854653840083002,0.018518518518518517
core,wr_ppg225_both025,q95,3,108,0.023318483676041155,0.037037037037037035
core,wr_ppg225_both025,q95,4,108,0.03127229503921536,0.07407407407407407
core,wr_ppg225_both025,q95,5,108,0.03868630345637147,0.046296296296296294
core,wr_ppg225_both025,q95,6,108,0.048171427661588134,0.037037037037037035
core,wr_ppg225_both025,q95,7,108,0.05909945926751044,0.06481481481481481
core,wr_ppg225_both025,q95,8,108,0.07314548686501764,0.05555555555555555
core,wr_ppg225_both025,q95,9,108,0.09517690895960909,0.1111111111111111
core,wr_ppg225_both025,q95,10,108,0.15607844928611916,0.14814814814814814
core,wr_ppg225_tdrate050,q90,1,108,0.017173580013236725,0.05555555555555555
core,wr_ppg225_tdrate050,q90,2,108,0.03156979087489385,0.09259259259259259
core,wr_ppg225_tdrate050,q90,3,108,0.04085631719228885,0.05555555555555555
core,wr_ppg225_tdrate050,q90,4,108,0.050279875320035874,0.037037037037037035
core,wr_ppg225_tdrate050,q90,5,108,0.05864145622328113,0.05555555555555555
core,wr_ppg225_tdrate050,q90,6,108,0.06908961619053108,0.046296296296296294
core,wr_ppg225_tdrate050,q90,7,108,0.08077161779762612,0.046296296296296294
core,wr_ppg225_tdrate050,q90,8,108,0.0928423973304345,0.09259259259259259
core,wr_ppg225_tdrate050,q90,9,108,0.1136632455277218,0.09259259259259259
core,wr_ppg225_tdrate050,q90,10,108,0.1711669685190396,0.1574074074074074
core,wr_ppg225_tdrate050,q95,1,108,0.004178543339853087,0.018518518518518517
core,wr_ppg225_tdrate050,q95,2,108,0.015315499436696297,0.027777777777777776
core,wr_ppg225_tdrate050,q95,3,108,0.02376082759198798,0.046296296296296294
core,wr_ppg225_tdrate050,q95,4,108,0.03164615730606912,0.07407407407407407
core,wr_ppg225_tdrate050,q95,5,108,0.03858239817630778,0.037037037037037035
core,wr_ppg225_tdrate050,q95,6,108,0.04775821622665843,0.027777777777777776
core,wr_ppg225_tdrate050,q95,7,108,0.05877857905284266,0.06481481481481481
core,wr_ppg225_tdrate050,q95,8,108,0.07378133005998769,0.06481481481481481
core,wr_ppg225_tdrate050,q95,9,108,0.09540522819016788,0.10185185185185185
core,wr_ppg225_tdrate050,q95,10,108,0.15605155074273544,0.14814814814814814
core,wr_ppg225_tdrate050__te_ypr050,q90,1,108,0.017141255587935104,0.05555555555555555
core,wr_ppg225_tdrate050__te_ypr050,q90,2,108,0.03153162617583697,0.1111111111111111
core,wr_ppg225_tdrate050__te_ypr050,q90,3,108,0.04062743050974199,0.037037037037037035
core,wr_ppg225_tdrate050__te_ypr050,q90,4,108,0.04978123445941898,0.027777777777777776
core,wr_ppg225_tdrate050__te_ypr050,q90,5,108,0.05797556709271781,0.06481481481481481
core,wr_ppg225_tdrate050__te_ypr050,q90,6,108,0.0684219755279985,0.046296296296296294
core,wr_ppg225_tdrate050__te_ypr050,q90,7,108,0.08047500624110693,0.046296296296296294
core,wr_ppg225_tdrate050__te_ypr050,q90,8,108,0.0928480093363449,0.08333333333333333
core,wr_ppg225_tdrate050__te_ypr050,q90,9,108,0.11365004567741048,0.10185185185185185
core,wr_ppg225_tdrate050__te_ypr050,q90,10,108,0.1711669685190396,0.1574074074074074
core,wr_ppg225_tdrate050__te_ypr050,q95,1,108,0.004063916069810957,0.018518518518518517
core,wr_ppg225_tdrate050__te_ypr050,q95,2,108,0.01536474236026439,0.027777777777777776
core,wr_ppg225_tdrate050__te_ypr050,q95,3,108,0.02348979397482555,0.06481481481481481
core,wr_ppg225_tdrate050__te_ypr050,q95,4,108,0.03141232968218533,0.05555555555555555
core,wr_ppg225_tdrate050__te_ypr050,q95,5,108,0.03849319389839608,0.027777777777777776
core,wr_ppg225_tdrate050__te_ypr050,q95,6,108,0.047119521117071066,0.037037037037037035
core,wr_ppg225_tdrate050__te_ypr050,q95,7,108,0.05812260818768899,0.06481481481481481
core,wr_ppg225_tdrate050__te_ypr050,q95,8,108,0.0732529336980295,0.06481481481481481
core,wr_ppg225_tdrate050__te_ypr050,q95,9,108,0.0953157308074121,0.10185185185185185
core,wr_ppg225_tdrate050__te_ypr050,q95,10,108,0.15605155074273544,0.14814814814814814
