player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Brad Smith,3048,WR,16,NYJ,6,4,66.7,44,0,56.9,44.6,28.7,40.9,66.0,11.0,8,2.0,23,2,2,0,0,0,88.2,0,0
Naufahu Tahi,3526,FB,15,MIN,6,6,100.0,39,1,54.4,60.5,75.6,70.3,67.5,6.5,37,6.2,11,3,0,0,0,0,133.3,1,0
Lorenzo Booker,3687,HB,4,MIN,6,5,83.3,32,0,61.8,67.4,73.4,19.7,76.7,6.4,33,6.6,7,4,0,0,1,0,88.9,1,0
Gijon Robinson,4056,TE,8,IND,6,3,50.0,12,1,51.1,59.1,70.5,65.8,78.3,4.0,6,2.0,6,2,0,0,0,0,95.8,1,0
Eric Weems,4097,WR,11,ATL,6,6,100.0,61,0,76.9,73.4,74.6,68.8,,10.2,20,3.3,18,3,0,0,0,3,109.0,0,0
Lance Ball,4808,HB,6,DEN,6,3,50.0,16,0,63.8,49.3,36.2,38.2,47.4,5.3,28,9.3,13,1,1,1,0,0,16.7,0,0
David Johnson,5165,FB,14,PIT,6,4,66.7,46,0,74.5,66.9,72.1,67.0,78.8,11.5,30,7.5,25,2,0,0,0,1,89.6,2,0
Kevin Ogletree,5387,WR,4,DAL,6,3,50.0,34,0,54.6,57.4,36.2,65.8,,11.3,8,2.7,19,2,1,0,0,1,67.4,1,0
Ryan Purvis,5403,TE,10,TB,6,5,83.3,38,0,71.4,74.4,73.4,68.0,60.8,7.6,31,6.2,12,3,0,0,0,0,93.1,1,0
Tom Crabtree,5458,TE,16,GB,6,4,66.7,61,0,55.1,47.8,41.6,67.0,66.1,15.3,32,8.0,33,2,1,0,0,1,100.0,0,0
Nate Byham,5705,TE,12,SF,6,5,83.3,27,0,56.0,41.0,45.8,68.0,58.7,5.4,28,5.6,9,0,1,0,0,0,85.4,1,0
Dezmon Briscoe,5714,WR,2,TB,6,6,100.0,93,1,76.4,75.4,74.6,68.8,,15.5,40,6.7,54,4,0,0,0,0,158.3,0,0
LeGarrette Blount,5863,HB,13,TB,6,5,83.3,14,0,86.4,33.8,45.8,56.7,51.4,2.8,19,3.8,7,0,1,0,1,0,79.2,0,0
Dennis Pitta,5638,TE,7,BLT,5,1,20.0,1,0,63.1,56.8,64.7,61.2,77.3,1.0,1,1.0,1,0,0,0,0,0,39.6,0,0
Lavelle Hawkins,4440,WR,3,TEN,5,5,100.0,61,0,75.5,74.5,73.4,68.0,,12.2,4,0.8,24,3,0,0,0,0,117.5,0,0
Zach Potter,5302,TE,11,JAX,5,3,60.0,24,0,63.8,53.1,42.1,67.0,75.1,8.0,13,4.3,10,1,1,1,0,0,32.5,0,0
Derrick Williams,5005,WR,6,DET,5,3,60.0,30,0,45.6,45.3,36.2,65.8,,10.0,8,2.7,17,1,1,0,0,0,77.1,2,1
Brandon Manumaleuna,876,TE,16,CHI,5,5,100.0,43,1,56.9,59.6,74.6,68.8,32.6,8.6,27,5.4,16,4,0,0,0,0,142.1,4,1
Donte' Stallworth,1020,WR,7,BLT,5,2,40.0,82,0,63.2,71.6,68.3,18.6,,41.0,26,13.0,67,2,0,0,0,1,87.5,0,0
Will Heller,1623,TE,13,DET,5,4,80.0,37,1,74.2,53.6,72.1,67.0,74.7,9.3,35,8.8,13,1,0,0,0,0,137.1,1,0
Terrence Austin,5742,WR,5,WAS,5,3,60.0,47,0,73.2,72.2,70.5,65.8,,15.7,13,4.3,28,3,0,0,0,0,91.3,0,0
James Davis,5119,HB,3,WAS,5,4,80.0,45,0,46.7,46.1,41.6,77.5,17.2,11.3,56,14.0,28,1,1,0,0,0,104.2,0,0
Tony Richardson,110,FB,16,NYJ,5,5,100.0,31,0,64.9,51.8,74.6,72.6,73.3,6.2,27,5.4,14,1,0,0,0,0,92.5,1,0
Mickey Shuler,5737,TE,6,MIA,5,2,40.0,44,0,62.3,54.7,36.2,65.8,77.8,22.0,12,6.0,28,2,1,1,0,0,32.5,0,0
Manuel Johnson,5153,WR,2,DAL,5,1,20.0,6,0,54.9,50.2,28.8,61.2,,6.0,1,1.0,6,0,1,0,0,0,39.6,0,0
Mike Karney,1875,FB,12,STR,5,5,100.0,14,0,47.8,54.8,73.4,72.8,54.0,2.8,12,2.4,4,1,0,0,0,0,79.2,1,0
Spencer Larsen,4497,FB,11,DEN,5,5,100.0,51,1,62.5,76.8,73.4,70.9,44.9,10.2,41,8.2,29,3,0,0,0,0,148.8,1,0
Gartrell Johnson,5058,HB,5,ATL,5,3,60.0,6,0,51.4,30.0,70.5,22.5,76.5,2.0,10,3.3,10,0,0,0,1,0,64.6,0,0
Jeff Dugan,1936,TE,16,MIN,5,4,80.0,30,0,63.2,48.7,72.1,69.4,54.6,7.5,24,6.0,10,3,0,0,0,1,91.7,0,0
Brandon Banks,6053,WR,8,WAS,5,2,40.0,10,0,61.4,65.8,68.3,69.0,,5.0,-1,-0.5,15,1,0,0,0,0,47.9,0,0
Anthony Dixon,5696,HB,8,SF,5,5,100.0,11,0,60.1,77.8,73.4,85.3,77.4,2.2,10,2.0,8,1,0,0,0,1,79.2,0,0
Quinn Johnson,5069,FB,11,GB,4,3,75.0,26,0,73.0,69.9,70.5,65.8,86.7,8.7,21,7.0,11,2,0,0,0,0,91.7,0,0
Mike Cox,4716,FB,7,KC,4,4,100.0,27,0,64.0,60.1,72.1,67.0,29.3,6.8,26,6.5,13,1,0,0,0,0,94.8,0,0
Jake O'Connell,5161,TE,11,KC,4,3,75.0,31,0,76.0,59.3,70.5,65.8,55.5,10.3,24,8.0,18,2,0,0,0,0,96.9,1,0
Nick Miller,5206,WR,4,OAK,4,3,75.0,40,0,58.9,58.3,36.8,65.8,,13.3,1,0.3,32,1,1,0,0,0,106.3,0,0
Steve Slaton,4403,HB,5,HST,4,3,75.0,11,0,66.2,59.9,70.5,77.3,78.2,3.7,20,6.7,12,1,0,1,0,1,37.5,0,0
Kory Sperry,5369,TE,5,SD,4,4,100.0,73,0,70.6,81.6,72.1,67.0,70.1,18.3,40,10.0,35,3,0,0,0,0,118.8,0,0
David Clowney,3773,WR,3,NYJ,4,1,25.0,22,0,64.5,63.4,52.1,69.5,,22.0,6,6.0,22,1,0,0,0,0,50.0,1,0
Dwayne Jarrett,3661,WR,3,CAR,4,2,50.0,40,0,59.1,58.8,68.3,64.0,,20.0,3,1.5,21,2,0,0,0,0,85.4,0,0
Hank Baskett,3220,WR,5,MIN,4,1,25.0,18,0,48.9,50.4,28.8,61.2,,18.0,7,7.0,18,1,1,1,0,0,6.3,1,0
Taylor Price,5614,WR,1,NE,4,3,75.0,41,0,71.7,70.9,70.5,65.8,,13.7,21,7.0,18,3,0,0,0,0,107.3,0,0
Jerome Harrison,3090,HB,3,CLV,4,4,100.0,42,0,53.0,67.4,80.3,40.6,41.9,10.5,46,11.5,23,1,0,0,0,0,110.4,0,0
Joe McKnight,5636,HB,2,NYJ,4,3,75.0,20,0,60.8,67.0,70.5,81.5,73.5,6.7,13,4.3,9,2,0,1,0,0,45.8,0,0
John Conner,5662,FB,9,NYJ,4,2,50.0,9,0,50.6,50.0,68.3,72.9,78.5,4.5,2,1.0,7,1,0,0,0,0,56.3,1,0
Fendi Onobun,5693,TE,3,STR,4,2,50.0,15,0,64.4,65.4,68.3,64.0,,7.5,7,3.5,8,1,0,0,0,0,59.4,0,0
Dimitri Nance,5783,HB,6,GB,4,3,75.0,30,0,56.1,62.4,70.5,80.9,76.0,10.0,35,11.7,14,2,0,1,0,0,56.3,1,0
Michael Clayton,1736,WR,6,NYG,4,2,50.0,19,0,61.4,58.2,68.3,64.0,,9.5,3,1.5,14,1,0,0,0,0,63.5,0,0
Jerramy Stevens,1035,TE,5,TB,4,3,75.0,43,0,48.1,49.1,42.1,67.0,71.9,14.3,14,4.7,22,2,1,0,0,0,109.4,0,0
Chase Coffman,5021,TE,6,CIN,4,3,75.0,30,0,70.6,71.6,70.5,65.8,74.3,10.0,18,6.0,14,2,0,0,0,1,95.8,0,0
Shawn Nelson,5045,TE,4,BUF,4,3,75.0,25,0,48.5,43.5,70.5,14.2,74.4,8.3,14,4.7,12,1,0,0,1,0,90.6,0,0
Jerious Norwood,3024,HB,1,ATL,3,1,33.3,9,0,41.9,27.7,26.5,66.7,75.7,9.0,11,11.0,9,0,2,0,0,0,42.4,0,0
Dominic Rhodes,979,HB,3,IND,3,1,33.3,4,0,50.4,35.8,28.8,34.0,79.3,4.0,2,2.0,4,0,1,0,0,0,42.4,0,0
Cedric Peerman,5109,HB,3,CIN,3,1,33.3,11,0,60.2,59.5,64.7,66.7,81.6,11.0,4,4.0,11,1,0,0,0,0,45.1,0,0
Paul Hubbard,4505,WR,1,BUF,3,1,33.3,8,0,53.7,53.6,64.7,61.2,,8.0,2,2.0,8,0,0,0,0,0,42.4,0,0
James Starks,5716,HB,3,GB,3,2,66.7,15,0,69.1,69.3,68.3,80.1,80.0,7.5,12,6.0,12,1,0,0,0,0,78.5,0,0
Rock Cartwright,1211,HB,4,OAK,3,1,33.3,10,0,49.7,26.6,26.4,72.5,,10.0,9,9.0,10,0,2,0,0,0,43.8,0,0
Scott Chandler,3745,TE,4,BUF,3,1,33.3,8,0,59.3,42.4,64.7,61.2,78.4,8.0,4,4.0,8,0,0,0,0,0,42.4,0,0
Garrett Mills,3051,TE,7,PHI,3,2,66.7,19,0,49.7,47.5,68.3,64.0,70.5,9.5,0,0.0,14,1,0,0,0,0,84.0,0,0
Jackie Battle,3885,HB,5,KC,3,1,33.3,9,0,58.5,30.7,28.9,77.3,80.4,9.0,7,7.0,9,0,1,0,0,1,42.4,0,0
Reagan Mauia,3797,FB,15,ARZ,3,2,66.7,20,0,75.0,63.0,68.3,64.0,69.8,10.0,18,9.0,10,2,0,0,0,1,85.4,1,0
