         5498675 function calls (5438904 primitive calls) in 9.622 seconds

   Ordered by: cumulative time
   List reduced from 963 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3250    0.084    0.000    0.304    0.000 zSim_Helper.py:878(select_top)
    14049    0.028    0.000    0.295    0.000 generic.py:6306(__getattr__)
     1350    0.013    0.000    0.282    0.000 indexing.py:2112(_setitem_single_column)
     1246    0.029    0.000    0.279    0.000 managers.py:1801(_consolidate_inplace)
    70788    0.268    0.000    0.268    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    79440    0.078    0.000    0.246    0.000 fromnumeric.py:1348(argmin)
3505/3503    0.033    0.000    0.244    0.000 series.py:392(__init__)
     2169    0.013    0.000    0.241    0.000 base.py:3827(get_indexer)
       25    0.003    0.000    0.241    0.010 zSim_Helper.py:1712(summarize_managed_roster_iteration)
      376    0.004    0.000    0.236    0.001 managers.py:2278(_consolidate)
     1986    0.011    0.000    0.229    0.000 managers.py:642(reindex_indexer)
      777    0.115    0.000    0.218    0.000 managers.py:2295(_merge_blocks)
594770/590421    0.127    0.000    0.205    0.000 {built-in method builtins.isinstance}
     3131    0.017    0.000    0.204    0.000 managers.py:317(apply)
    85098    0.198    0.000    0.198    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       25    0.127    0.005    0.196    0.008 zSim_Helper.py:550(sample_seeded_template_weekly_contexts)
2678/2328    0.009    0.000    0.191    0.000 indexing.py:1177(__getitem__)
        3    0.002    0.001    0.188    0.063 sql.py:436(read_sql_query)
        3    0.000    0.000    0.186    0.062 sql.py:2717(read_query)
     1459    0.029    0.000    0.176    0.000 managers.py:727(_slice_take_blocks_ax0)
     1085    0.003    0.000    0.173    0.000 base.py:6174(get_indexer_for)
     4577    0.012    0.000    0.163    0.000 frame.py:4637(_get_item_cache)
     1104    0.007    0.000    0.160    0.000 series.py:5505(isin)
90569/87665    0.090    0.000    0.156    0.000 {built-in method numpy.asarray}
     2637    0.023    0.000    0.155    0.000 base.py:475(__new__)
     4090    0.132    0.000    0.151    0.000 shape_base.py:220(vstack)
     1084    0.005    0.000    0.146    0.000 base.py:4330(reindex)
    10560    0.008    0.000    0.143    0.000 base.py:7659(ensure_index)
     4075    0.010    0.000    0.142    0.000 frame.py:3994(_ixs)
     4152    0.058    0.000    0.141    0.000 _function_base_impl.py:4753(_get_indexes)
     1451    0.005    0.000    0.141    0.000 generic.py:6454(dtypes)
     1350    0.009    0.000    0.141    0.000 indexing.py:745(_get_setitem_indexer)
       25    0.004    0.000    0.139    0.006 zSim_Helper.py:2051(tally_player_selections)
    24629    0.020    0.000    0.138    0.000 {method 'sum' of 'numpy.ndarray' objects}
     9266    0.137    0.000    0.137    0.000 {method 'copy' of 'numpy.ndarray' objects}
     5869    0.011    0.000    0.134    0.000 take.py:59(take_nd)


