comparison,challenger,reference,challenger_rmse,reference_rmse,pooled_delta,mean_season_delta,recent_mean_delta,season_wins,season_count,sign_flip_pvalue,bootstrap_95_low,bootstrap_95_high,primary_bh_qvalue
all_environment_vs_trajectory_base_equal_thirds,all_environment_equal_thirds,trajectory_base_equal_thirds,3.094645250170623,3.0949235953964997,-0.00027834522587655286,-0.000570850029370678,-0.007409414442329639,5,9,0.8984375,-0.008418965222677452,0.006903237501079743,0.99609375
qb_yardage_vs_trajectory_base_equal_thirds,qb_yardage_equal_thirds,trajectory_base_equal_thirds,3.0949241042161506,3.0949235953964997,5.088196508573617e-07,-0.00019209749243880795,-0.009268790973400609,4,9,0.94921875,-0.0064380288225053366,0.005837872285347029,0.99609375
qb_yardage_vs_trajectory_base_lightgbm,qb_yardage_lightgbm,trajectory_base_lightgbm,3.121031172282925,3.120974012933486,5.715934943895107e-05,-0.00015106672227697496,-0.0042152822113220205,5,9,0.9453125,-0.003948383084761119,0.0035309423463749903,
team_rush_scoring_vs_trajectory_base_equal_thirds,team_rush_scoring_equal_thirds,trajectory_base_equal_thirds,3.0949942631079064,3.0949235953964997,7.066771140662453e-05,-4.872689706407011e-05,-0.00853067883006601,5,9,0.99609375,-0.007355464060916183,0.006378794174469925,0.99609375
qb_style_vs_trajectory_base_random_forest,qb_style_random_forest,trajectory_base_random_forest,3.120518309911731,3.1202944616866537,0.00022384822507737212,-0.00016337430814096344,-0.005892659585495785,5,9,0.984375,-0.010916522008288179,0.011062164507468613,
qb_tds_vs_trajectory_base_lasso,qb_tds_lasso,trajectory_base_lasso,3.1527481013478504,3.1522818302656175,0.00046627108223296077,0.00043805614912948186,-0.00801607696093054,3,9,0.90625,-0.005975664154824312,0.005649245355936692,
team_rush_scoring_vs_trajectory_base_tree_average,team_rush_scoring_tree_average,trajectory_base_tree_average,3.111693484044124,3.111206200187708,0.00048728385641627625,0.0004552509881450284,-0.007995644556863931,4,9,0.91796875,-0.007227049642463322,0.007077923898254113,
all_environment_vs_trajectory_base_random_forest,all_environment_random_forest,trajectory_base_random_forest,3.1209556234897,3.1202944616866537,0.0006611618030460953,0.000485799967400465,-0.0022322943389035585,3,9,0.9453125,-0.010674841162882715,0.009731176002445687,
all_environment_vs_trajectory_base_tree_average,all_environment_tree_average,trajectory_base_tree_average,3.1119835178538566,3.111206200187708,0.0007773176661487469,0.0006028310891550919,-0.007263650434515305,4,9,0.8671875,-0.006339187715871311,0.007153902923614928,
qb_tds_vs_trajectory_base_random_forest,qb_tds_random_forest,trajectory_base_random_forest,3.1216850578730058,3.1202944616866537,0.0013905961863520666,0.0011141673813402303,-0.0070942136386012615,5,9,0.83203125,-0.007741200400312874,0.010038008554384806,
qb_yardage_vs_trajectory_base_tree_average,qb_yardage_tree_average,trajectory_base_tree_average,3.112754526087023,3.111206200187708,0.001548325899315195,0.0013012234143691002,-0.008399953393697146,5,9,0.72265625,-0.005316675454211032,0.008404797170020755,
qb_tds_vs_trajectory_base_tree_average,qb_tds_tree_average,trajectory_base_tree_average,3.1129019287874704,3.111206200187708,0.0016957285997625249,0.0015718209649748793,-0.006375185698615245,4,9,0.58984375,-0.003417362451910291,0.006823774686094308,
qb_tds_vs_trajectory_base_lightgbm,qb_tds_lightgbm,trajectory_base_lightgbm,3.1227731524267544,3.120974012933486,0.0017991394932681537,0.0018364344805118134,-0.005350085947757026,4,9,0.4296875,-0.0025110293042846397,0.005887809418204906,
all_environment_vs_trajectory_base_lightgbm,all_environment_lightgbm,trajectory_base_lightgbm,3.122786636635138,3.120974012933486,0.0018126237016518054,0.001666894976206004,-0.011145530835732368,5,9,0.70703125,-0.006342693498165564,0.00896671243171214,
team_support_vs_trajectory_base_equal_thirds,team_support_equal_thirds,trajectory_base_equal_thirds,3.0969370493046693,3.0949235953964997,0.002013453908169538,0.00189311546770342,0.003045969279214115,4,9,0.39453125,-0.002587773400319754,0.006117562952408991,0.8515625
team_support_vs_trajectory_base_lightgbm,team_support_lightgbm,trajectory_base_lightgbm,3.123183178497813,3.120974012933486,0.0022091655643268204,0.002401067707490206,0.001323514991318812,2,9,0.31640625,-0.0018721683889150876,0.006092159257733086,
qb_yardage_vs_trajectory_base_random_forest,qb_yardage_random_forest,trajectory_base_random_forest,3.1225726386958823,3.1202944616866537,0.0022781770092286102,0.001967321534627272,-0.012806212675827044,5,9,0.74609375,-0.008962396675642866,0.013385292874727235,
team_rush_scoring_vs_trajectory_base_lightgbm,team_rush_scoring_lightgbm,trajectory_base_lightgbm,3.1234896929603884,3.120974012933486,0.0025156800269021673,0.002491879900312682,-0.008478065158988338,3,9,0.61328125,-0.006897536516624166,0.010341592129796538,
qb_tds_vs_trajectory_base_equal_thirds,qb_tds_equal_thirds,trajectory_base_equal_thirds,3.0977635735015667,3.0949235953964997,0.002839978105066976,0.002762467657392865,-0.005142987000681239,4,9,0.28125,-0.0016871292938248341,0.0072614215702882946,0.8515625
team_support_vs_trajectory_base_tree_average,team_support_tree_average,trajectory_base_tree_average,3.1157819477242934,3.111206200187708,0.004575747536585517,0.004529141872769069,0.005589401443656605,2,9,0.12890625,-0.00026639845571185816,0.009424024508757607,
team_support_vs_trajectory_base_random_forest,team_support_random_forest,trajectory_base_random_forest,3.1261352070676773,3.1202944616866537,0.005840745381023638,0.005575056557490033,0.01002225233202303,3,9,0.3671875,-0.005934345477158898,0.015878581261961826,
