method,slice_type,slice_value,metric,n_rows,value
team_support_lasso,season,2017,rmse,407,3.1212242684916944
team_support_lasso,season,2017,mae,407,2.4208290073875003
team_support_lasso,season,2017,bias,407,0.21280294548690876
team_support_lasso,season,2017,spearman,407,0.7812267956659364
team_support_lightgbm,season,2017,rmse,407,3.138327546132341
team_support_lightgbm,season,2017,mae,407,2.4541992262387073
team_support_lightgbm,season,2017,bias,407,0.4918781214921394
team_support_lightgbm,season,2017,spearman,407,0.7848470126377588
team_support_random_forest,season,2017,rmse,407,3.114869878128137
team_support_random_forest,season,2017,mae,407,2.4236982934073845
team_support_random_forest,season,2017,bias,407,0.4283537549060178
team_support_random_forest,season,2017,spearman,407,0.7858844398467595
trajectory_base_lasso,season,2017,rmse,407,3.1157211616213636
trajectory_base_lasso,season,2017,mae,407,2.4144709139207854
trajectory_base_lasso,season,2017,bias,407,0.18488470074119703
trajectory_base_lasso,season,2017,spearman,407,0.7820429786041176
trajectory_base_lightgbm,season,2017,rmse,407,3.1295688829713577
trajectory_base_lightgbm,season,2017,mae,407,2.4528014268201503
trajectory_base_lightgbm,season,2017,bias,407,0.4851358275496862
trajectory_base_lightgbm,season,2017,spearman,407,0.785551772530362
trajectory_base_random_forest,season,2017,rmse,407,3.094026534421372
trajectory_base_random_forest,season,2017,mae,407,2.4148534020542787
trajectory_base_random_forest,season,2017,bias,407,0.4666534706646229
trajectory_base_random_forest,season,2017,spearman,407,0.7887993281865031
trajectory_base_tree_average,season,2017,rmse,407,3.1024857745009835
trajectory_base_tree_average,season,2017,mae,407,2.4248403449276577
trajectory_base_tree_average,season,2017,bias,407,0.4758946491071545
trajectory_base_tree_average,season,2017,spearman,407,0.7876810574940594
trajectory_base_equal_thirds,season,2017,rmse,407,3.075962087112947
trajectory_base_equal_thirds,season,2017,mae,407,2.394905509910591
trajectory_base_equal_thirds,season,2017,bias,407,0.3788913329851687
trajectory_base_equal_thirds,season,2017,spearman,407,0.789127777572903
qb_yardage_tree_average,season,2017,rmse,407,3.1158487807170174
