player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Kellen Clemens,2994,QB,10,STR,272,242,142,15,7,2,1,5,6.2,69.2
Christian Ponder,6164,QB,9,MIN,291,239,152,10,11,2,0,3,4.2,72.6
Josh McCown,1085,QB,8,CHI,243,224,149,12,9,5,0,3,5.4,77.8
Matt McGloin,8374,QB,7,OAK,220,211,118,14,4,9,0,1,6.6,67.0
Jake Locker,6160,QB,7,TEN,213,183,111,14,2,2,1,3,7.7,71.4
Matt Flynn,4523,QB,5,GB,194,166,102,10,10,5,0,1,6.0,74.7
Thaddeus Lewis,5817,QB,5,BUF,184,157,93,9,3,2,0,1,5.7,67.5
Kirk Cousins,7102,QB,5,WAS,162,155,81,10,6,3,1,1,6.5,63.2
Michael Vick,773,QB,6,PHI,171,141,77,8,7,5,0,1,5.7,66.4
Brian Hoyer,5277,QB,3,CLV,104,96,57,6,7,1,0,0,6.3,71.6
Josh Freeman,4940,QB,3,TB,103,94,43,10,3,0,0,0,10.6,58.2
Scott Tolzien,6749,QB,3,GB,98,90,55,4,0,5,2,1,4.4,72.0
Blaine Gabbert,6162,QB,3,JAX,105,86,42,7,7,2,0,0,8.1,63.6
Jeff Tuel,8508,QB,2,BUF,63,59,26,8,0,0,0,3,13.6,60.7
Josh Freeman,4940,QB,1,MIN,54,53,20,3,3,1,0,1,5.7,47.9
Kyle Orton,2323,QB,2,DAL,52,51,33,2,2,1,0,0,3.9,72.9
Matt Barkley,7880,QB,3,PHI,52,49,30,3,0,1,0,0,6.1,68.8
Chase Daniel,5214,QB,3,KC,45,38,25,2,1,0,0,1,5.3,75.0
Matt Flynn,4523,QB,2,OAK,42,34,22,1,1,1,0,0,2.9,71.9
Matt Simms,7423,QB,3,NYJ,39,31,16,2,1,1,0,0,6.5,62.1
Seneca Wallace,1422,QB,2,GB,28,24,16,0,1,1,0,0,0.0,72.7
T.J. Yates,6304,QB,2,HST,24,22,15,1,2,0,0,0,4.5,80.0
Brock Osweiler,7059,QB,2,DEN,19,16,11,1,1,0,0,0,6.3,80.0
Curtis Painter,5125,QB,3,NYG,17,16,8,1,0,0,0,0,6.3,56.3
Tarvaris Jackson,3009,QB,3,SEA,13,13,10,1,0,0,0,0,7.7,84.6
Matt Hasselbeck,408,QB,3,IND,12,12,7,0,0,0,0,0,0.0,58.3
Dominique Davis,7666,QB,1,ATL,7,7,5,0,0,0,0,0,0.0,71.4
Matt Moore,4018,QB,1,MIA,6,6,2,0,0,0,0,0,0.0,33.3
Tyrod Taylor,6332,QB,2,BLT,7,5,1,1,0,0,0,0,20.0,40.0
Joshua Cribbs,2544,WR,2,NYJ,3,3,2,0,0,0,0,0,0.0,66.7
Michael Koenen,2682,P,2,TB,2,2,0,0,1,0,0,0,0.0,0.0
Bilal Powell,6278,HB,1,NYJ,1,1,1,0,0,0,0,0,0.0,100.0
Spencer Lanning,6566,P,1,CLV,1,1,1,0,0,0,0,0,0.0,100.0
Jeremy Kerley,6305,WR,1,NYJ,1,1,0,0,0,0,0,0,0.0,0.0
Johnny Hekker,7252,P,1,STR,1,1,0,0,0,0,0,0,0.0,0.0
Bobby Rainey Jr.,7511,HB,1,TB,1,1,0,0,0,0,0,0,0.0,0.0
Patrick Peterson,6157,CB,1,ARZ,1,1,1,0,0,0,0,0,0.0,100.0
Colt McCoy,5609,QB,1,SF,1,1,1,0,0,0,0,0,0.0,100.0
Tavon Austin,7789,WR,1,STR,1,1,0,0,1,0,0,0,0.0,
Larry Fitzgerald,1724,WR,1,ARZ,1,1,0,0,1,0,0,0,0.0,
Denard Robinson,7917,HB,1,JAX,1,1,0,0,0,0,0,0,0.0,0.0
Mike James,7970,HB,1,TB,1,1,1,0,0,0,0,0,0.0,100.0
Marcel Reece,4702,FB,1,OAK,1,1,1,0,0,0,0,0,0.0,100.0
