player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
David Carr,1009,QB,1,SF,14,13,5,0,0,0,1,1,0.0,45.5
Tony Pike,5727,QB,1,CAR,13,12,6,0,2,0,0,0,0.0,60.0
Caleb Hanie,4674,QB,2,CHI,9,7,5,0,1,0,0,0,0.0,83.3
Byron Leftwich,1323,QB,1,PIT,9,7,5,0,0,0,0,0,0.0,71.4
Chris Redman,635,QB,1,ATL,6,6,4,0,0,0,0,0,0.0,66.7
Tyler Palko,4031,QB,2,KC,9,6,4,0,0,0,0,0,0.0,66.7
Kyle Boller,1335,QB,2,OAK,5,4,2,0,0,0,0,0,0.0,50.0
Joshua Cribbs,2544,WR,3,CLV,3,3,2,0,0,0,0,0,0.0,66.7
Jordan Palmer,3821,QB,1,CIN,5,3,3,0,0,0,0,0,0.0,100.0
J. Levi Brown,5732,QB,1,BUF,3,3,2,0,0,0,0,0,0.0,66.7
Chase Daniel,5214,QB,2,NO,5,3,2,0,0,0,0,0,0.0,66.7
Brad Smith,3048,WR,3,NYJ,3,3,2,0,0,0,0,0,0.0,66.7
Steve Breaston,3758,WR,2,ARZ,2,2,1,0,0,0,0,0,0.0,50.0
Kellen Clemens,2994,QB,1,NYJ,3,2,1,0,1,0,0,0,0.0,100.0
Chad Pennington,596,QB,1,MIA,2,2,1,0,0,0,0,1,0.0,100.0
Ronnie Brown,2219,HB,2,MIA,2,2,0,0,0,0,0,0,0.0,0.0
Micheal Spurlock,3517,WR,2,TB,2,2,0,0,0,0,0,1,0.0,0.0
Billy Volek,768,QB,1,SD,1,1,1,0,0,0,0,0,0.0,100.0
Brandon Marshall,3064,WR,1,MIA,1,1,0,0,0,0,0,0,0.0,0.0
Michael Robinson,3045,FB,1,SEA,1,1,1,0,0,0,0,0,0.0,100.0
Maurice Jones-Drew,3005,HB,1,JAX,1,1,0,0,0,0,0,0,0.0,0.0
Darren McFadden,4318,HB,1,OAK,1,1,0,0,0,0,0,0,0.0,0.0
Marion Barber III,2326,HB,1,DAL,1,1,0,0,1,0,0,0,0.0,
Peyton Hillis,4541,HB,1,CLV,1,1,1,0,0,0,0,0,0.0,100.0
Stefan Logan,4909,WR,1,DET,1,1,0,0,0,0,0,0,0.0,0.0
Anquan Boldin,1369,WR,1,BLT,1,1,1,0,0,0,0,0,0.0,100.0
Chad Johnson,806,WR,1,CIN,1,1,0,0,0,0,0,0,0.0,0.0
Jahvid Best,5555,HB,1,DET,1,1,0,0,0,0,0,0,0.0,0.0
Brandon LaFell,5602,WR,1,CAR,1,1,0,0,1,0,0,0,0.0,
Armanti Edwards,5613,WR,2,CAR,1,1,1,0,0,0,0,0,0.0,100.0
