player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Todd Collins,131,QB,4,WAS,113,105,67,3,6,2,0,0,2.9,72.2
A.J. Feeley,893,QB,3,PHI,111,103,59,6,4,2,0,0,5.8,67.0
Jake Delhomme,303,QB,3,CAR,95,86,55,0,2,3,1,2,0.0,70.5
Kelly Holcomb,148,QB,3,MIN,95,83,42,0,4,4,1,7,0.0,62.7
Kerry Collins,115,QB,6,TEN,87,82,50,0,6,2,0,2,0.0,69.4
Kyle Orton,2323,QB,3,CHI,82,80,43,4,4,1,0,4,5.0,66.2
Shaun Hill,1255,QB,3,SF,89,79,54,1,3,1,1,1,1.3,75.3
Troy Smith,3790,QB,4,BLT,87,76,40,6,4,1,1,0,7.9,65.7
JaMarcus Russell,3617,QB,4,OAK,75,66,36,5,2,1,0,1,7.6,66.1
Byron Leftwich,1323,QB,3,ATL,65,58,32,0,1,0,0,4,0.0,60.4
Brooks Bollinger,1502,QB,4,MIN,60,50,33,0,2,0,1,0,0.0,70.2
Patrick Ramsey,1039,QB,2,DEN,51,48,29,0,0,3,1,0,0.0,65.9
Jim Sorgi,1910,QB,4,IND,38,36,18,3,1,1,0,2,8.3,65.6
Charlie Batch,367,QB,2,PIT,36,36,17,3,3,1,0,0,8.3,62.5
Brock Berlin,2495,QB,1,STR,28,28,17,1,2,2,0,0,3.6,75.0
Aaron Rodgers,2241,QB,2,GB,35,28,20,0,0,1,1,0,0.0,76.9
Seneca Wallace,1422,QB,3,SEA,32,27,19,1,2,1,0,0,3.7,83.3
Tim Rattay,701,QB,4,ARZ,28,27,15,0,3,0,0,0,0.0,62.5
J.T. O'Sullivan,1169,QB,2,DET,30,26,13,0,1,1,0,0,0.0,54.2
Bruce Gradkowski,3139,QB,3,TB,28,24,13,1,1,0,1,0,4.2,63.6
Chris Weinke,861,QB,1,SF,27,22,13,1,0,1,0,0,4.5,66.7
Craig Nall,1154,QB,1,GB,17,15,7,0,0,0,0,1,0.0,50.0
Brad Johnson,31,QB,1,DAL,12,11,7,1,0,0,0,0,9.1,72.7
Billy Volek,768,QB,4,SD,12,10,3,0,0,1,0,0,0.0,33.3
Charlie Frye,2284,QB,1,CLV,16,10,4,0,0,0,0,0,0.0,40.0
Jared Lorenzen,2107,QB,2,NYG,10,8,4,0,0,0,0,0,0.0,50.0
Brady Quinn,3638,QB,1,CLV,8,8,3,3,0,1,0,0,37.5,85.7
Andrew Walter,2286,QB,1,OAK,8,8,5,0,0,0,0,0,0.0,62.5
Matt Cassel,2447,QB,3,NE,8,7,4,0,0,0,0,1,0.0,66.7
Anthony Wright,577,QB,2,NYG,7,7,1,0,0,0,0,0,0.0,14.3
Tyler Thigpen,3833,QB,1,KC,7,6,2,1,0,0,0,0,16.7,50.0
LaDainian Tomlinson,777,HB,1,SD,1,1,1,0,0,0,0,0,0.0,100.0
Antwaan Randle El,1069,WR,1,WAS,1,1,1,0,0,0,0,0,0.0,100.0
Mark Clayton,2239,WR,1,BLT,1,1,0,0,0,0,0,0,0.0,0.0
Ronald Curry,1199,WR,1,OAK,1,1,0,0,1,0,0,0,0.0,
Brad Smith,3048,WR,1,NYJ,1,1,0,0,0,0,0,0,0.0,0.0
Leon Washington,3062,HB,1,NYJ,1,1,1,0,0,0,0,0,0.0,100.0
Matt Gutierrez,3948,QB,2,NE,2,1,1,0,0,0,0,0,0.0,100.0
Sidney Rice,3660,WR,1,MIN,1,1,1,0,0,0,0,0,0.0,100.0
