league,domain,position,candidate,rows,seasons,production_rmse,opportunity_control_rmse,candidate_rmse,candidate_delta_vs_production,candidate_delta_vs_opportunity_control,mean_season_delta_vs_control,season_wins_vs_control,season_bootstrap_low,season_bootstrap_high,development_2018_2022_delta_vs_control,temporal_2023_2025_delta_vs_control,q90_rows,q90_rmse_delta_vs_control
beta,receiving,RB,rec_yac_per_route,901,8,3.287746510328968,3.307627322444346,3.3056224129861493,0.01787590265718153,-0.0020049094581966465,-0.0005283527272040844,4,-0.016584705997012783,0.017455997885883145,-0.001162373342193046,-0.00345001695356828,93,-0.06025198269139409
beta,receiving,RB,rec_yprr,901,8,3.287746510328968,3.307627322444346,3.306147731441356,0.01840122111238829,-0.0014795910029898884,-0.00025104673635323316,6,-0.012339400948768064,0.016343490020292506,0.0024135412397936484,-0.008164008567408398,93,-0.006115123183487725
beta,receiving,RB,rec_first_downs_per_route,901,8,3.287746510328968,3.307627322444346,3.3062089931248972,0.018462482795929436,-0.0014183293194487412,-0.00045610963651665504,4,-0.013014357144256772,0.013047109335503015,0.0010259781433887838,-0.005612752663707532,93,-0.038514859247803734
beta,rushing,RB,rush_ypa,901,8,3.287746510328968,3.305702416422828,3.304305237103209,0.016558726774241084,-0.001397179319619024,-0.0013138974315155538,4,-0.004477705074519556,0.00163344106884461,-0.0027690847475412284,0.0009679012260406239,93,-0.06581237379077809
beta,receiving,RB,rec_route_grade,901,8,3.287746510328968,3.307627322444346,3.3077989367414946,0.020052426412526803,0.00017161429714862564,0.0017598694507117152,5,-0.021011505741699854,0.027267685029202293,-0.0007072551991527121,0.0016776644780471806,93,-0.03364677958747553
beta,rushing,RB,rush_zone_share,901,8,3.287746510328968,3.305702416422828,3.3060561394690953,0.01830962914012746,0.0003537230462673513,0.0004973511577930356,4,-0.0015547485444217801,0.0029065625938033465,0.0001851667265668766,0.0006445004695825318,93,0.00039164405586955553
beta,receiving,RB,rec_targeted_qb_rating,901,8,3.287746510328968,3.310960990363034,3.31133320960833,0.0235866992793623,0.0003722192452961792,0.00024332854713599028,3,-0.008145496245036674,0.008363092397122074,-0.00342601589919056,0.006881876517496277,93,0.02113783537227132
beta,rushing,RB,rush_gap_share,901,8,3.287746510328968,3.305702416422828,3.3070325047170677,0.01928599438809986,0.0013300882942397507,0.0013507944516003012,3,5.319354097784725e-05,0.0027177721829690226,0.0013860531779417151,0.0012336727393309488,93,0.004828248349889819
beta,receiving,RB,rec_mtf_per_reception,901,8,3.287746510328968,3.3102689834848866,3.311656433366128,0.02390992303716022,0.0013874498812413982,0.0018775483144441996,4,-0.010810346636622725,0.014252103156051861,-0.003695723027677289,0.010092168199283602,93,-0.027273858017784036
beta,rushing,RB,rush_mtf_per_attempt,901,8,3.287746510328968,3.305702416422828,3.307199956449786,0.019453446120818008,0.0014975400269578998,0.001485867769542848,3,-0.0033556902697083335,0.006907747095236394,0.005600193322385039,-0.005591461801909947,93,-0.02330550195241443
