domain,position,left,right,rows,spearman
receiving,TE,rec_first_downs_per_route,rec_mtf_per_reception,501,0.06575509411506032
receiving,TE,rec_first_downs_per_route,rec_route_rate,501,0.3306430407459486
receiving,TE,rec_first_downs_per_route,rec_slot_rate,501,0.28841106412086503
receiving,TE,rec_first_downs_per_route,rec_wide_rate,501,0.2246689261202456
receiving,TE,rec_first_downs_per_route,rec_route_grade,501,0.8934790910248052
receiving,TE,rec_first_downs_per_route,rec_targeted_qb_rating,501,0.333439051122621
receiving,TE,rec_targets_per_route,rec_touchdowns_per_route,501,0.2929521626971675
receiving,TE,rec_targets_per_route,rec_yards_per_target,501,0.05769969043499411
receiving,TE,rec_targets_per_route,rec_adot,501,0.20810275032371817
receiving,TE,rec_targets_per_route,rec_yac_per_route,501,0.5455744665757047
receiving,TE,rec_targets_per_route,rec_mtf_per_reception,501,0.07629818156500554
receiving,TE,rec_targets_per_route,rec_route_rate,501,0.38769900110001826
receiving,TE,rec_targets_per_route,rec_slot_rate,501,0.31586089481844376
receiving,TE,rec_targets_per_route,rec_wide_rate,501,0.2602110850679992
receiving,TE,rec_targets_per_route,rec_route_grade,501,0.7358426080619029
receiving,TE,rec_targets_per_route,rec_targeted_qb_rating,501,-0.04347070240739983
receiving,TE,rec_touchdowns_per_route,rec_yards_per_target,501,0.2396253831072839
receiving,TE,rec_touchdowns_per_route,rec_adot,501,0.28921188193616676
receiving,TE,rec_touchdowns_per_route,rec_yac_per_route,501,0.23398511378700734
receiving,TE,rec_touchdowns_per_route,rec_mtf_per_reception,501,0.03286268060964832
receiving,TE,rec_touchdowns_per_route,rec_route_rate,501,0.06789619964748086
receiving,TE,rec_touchdowns_per_route,rec_slot_rate,501,0.03438083906009852
receiving,TE,rec_touchdowns_per_route,rec_wide_rate,501,0.06546256299885482
receiving,TE,rec_touchdowns_per_route,rec_route_grade,501,0.4627407543522735
receiving,TE,rec_touchdowns_per_route,rec_targeted_qb_rating,501,0.604889529833956
receiving,TE,rec_yards_per_target,rec_adot,501,0.25468118088184266
receiving,TE,rec_yards_per_target,rec_yac_per_route,501,0.48644720091925786
receiving,TE,rec_yards_per_target,rec_mtf_per_reception,501,0.14645172736827836
receiving,TE,rec_yards_per_target,rec_route_rate,501,0.04946650393938731
receiving,TE,rec_yards_per_target,rec_slot_rate,501,0.04427200275528932
receiving,TE,rec_yards_per_target,rec_wide_rate,501,0.05830204402659718
receiving,TE,rec_yards_per_target,rec_route_grade,501,0.525491688152347
receiving,TE,rec_yards_per_target,rec_targeted_qb_rating,501,0.5870710537549484
receiving,TE,rec_adot,rec_yac_per_route,501,-0.18249914774364348
receiving,TE,rec_adot,rec_mtf_per_reception,501,-0.14064497142292845
receiving,TE,rec_adot,rec_route_rate,501,0.29552429275717207
receiving,TE,rec_adot,rec_slot_rate,501,0.37380633248982104
receiving,TE,rec_adot,rec_wide_rate,501,0.2246482628477244
receiving,TE,rec_adot,rec_route_grade,501,0.29279934316373424
receiving,TE,rec_adot,rec_targeted_qb_rating,501,-0.02853831617759368
receiving,TE,rec_yac_per_route,rec_mtf_per_reception,501,0.3794161414757203
receiving,TE,rec_yac_per_route,rec_route_rate,501,0.02128505643511002
receiving,TE,rec_yac_per_route,rec_slot_rate,501,-0.0748366355814281
receiving,TE,rec_yac_per_route,rec_wide_rate,501,0.02038045128912879
receiving,TE,rec_yac_per_route,rec_route_grade,501,0.6187654854536868
receiving,TE,rec_yac_per_route,rec_targeted_qb_rating,501,0.30959594453873385
receiving,TE,rec_mtf_per_reception,rec_route_rate,501,-0.03698694128014604
receiving,TE,rec_mtf_per_reception,rec_slot_rate,501,-0.11611246908758104
receiving,TE,rec_mtf_per_reception,rec_wide_rate,501,-0.014809487798029104
receiving,TE,rec_mtf_per_reception,rec_route_grade,501,0.14744532349113335
receiving,TE,rec_mtf_per_reception,rec_targeted_qb_rating,501,0.09483214194062119
receiving,TE,rec_route_rate,rec_slot_rate,501,0.6937239339751116
receiving,TE,rec_route_rate,rec_wide_rate,501,0.4884380971963765
receiving,TE,rec_route_rate,rec_route_grade,501,0.34402894948615115
receiving,TE,rec_route_rate,rec_targeted_qb_rating,501,-0.07260972631114766
receiving,TE,rec_slot_rate,rec_wide_rate,501,0.4111266575223961
receiving,TE,rec_slot_rate,rec_route_grade,501,0.2692644857662959
receiving,TE,rec_slot_rate,rec_targeted_qb_rating,501,-0.11218711788630242
receiving,TE,rec_wide_rate,rec_route_grade,501,0.23335232719711488
receiving,TE,rec_wide_rate,rec_targeted_qb_rating,501,-0.051368411562128784
receiving,TE,rec_route_grade,rec_targeted_qb_rating,501,0.35931498191389427
receiving,WR,rec_yprr,rec_first_downs_per_route,1015,0.8911555908324796
receiving,WR,rec_yprr,rec_targets_per_route,1015,0.8140021401144192
receiving,WR,rec_yprr,rec_touchdowns_per_route,1015,0.5337650813162699
receiving,WR,rec_yprr,rec_yards_per_target,1015,0.6349646338451318
receiving,WR,rec_yprr,rec_adot,1015,0.027924501760981726
receiving,WR,rec_yprr,rec_yac_per_route,1015,0.7081213136863577
receiving,WR,rec_yprr,rec_mtf_per_reception,1015,0.21309335485886718
receiving,WR,rec_yprr,rec_route_rate,1015,-0.029345756347607947
receiving,WR,rec_yprr,rec_slot_rate,1015,-0.05341975172245993
receiving,WR,rec_yprr,rec_wide_rate,1015,0.05207478794759807
receiving,WR,rec_yprr,rec_route_grade,1015,0.9126938026031016
receiving,WR,rec_yprr,rec_targeted_qb_rating,1015,0.5123524979860711
receiving,WR,rec_first_downs_per_route,rec_targets_per_route,1015,0.8233554441004275
receiving,WR,rec_first_downs_per_route,rec_touchdowns_per_route,1015,0.5354808048602484
receiving,WR,rec_first_downs_per_route,rec_yards_per_target,1015,0.4542861814507557
receiving,WR,rec_first_downs_per_route,rec_adot,1015,-0.07743155222396055
receiving,WR,rec_first_downs_per_route,rec_yac_per_route,1015,0.6093707457416642
receiving,WR,rec_first_downs_per_route,rec_mtf_per_reception,1015,0.17433805999173402
receiving,WR,rec_first_downs_per_route,rec_route_rate,1015,-0.026002832998547904
receiving,WR,rec_first_downs_per_route,rec_slot_rate,1015,-0.010684472310250067
receiving,WR,rec_first_downs_per_route,rec_wide_rate,1015,0.010728142631993558
receiving,WR,rec_first_downs_per_route,rec_route_grade,1015,0.9256269548181532
receiving,WR,rec_first_downs_per_route,rec_targeted_qb_rating,1015,0.47890192559654576
receiving,WR,rec_targets_per_route,rec_touchdowns_per_route,1015,0.3995448654181065
receiving,WR,rec_targets_per_route,rec_yards_per_target,1015,0.12327015058060828
receiving,WR,rec_targets_per_route,rec_adot,1015,-0.16612991955499998
receiving,WR,rec_targets_per_route,rec_yac_per_route,1015,0.6475851878812925
receiving,WR,rec_targets_per_route,rec_mtf_per_reception,1015,0.21234396994202295
receiving,WR,rec_targets_per_route,rec_route_rate,1015,-0.00888737459978287
receiving,WR,rec_targets_per_route,rec_slot_rate,1015,-0.006045789675951125
receiving,WR,rec_targets_per_route,rec_wide_rate,1015,0.0031815954145716662
receiving,WR,rec_targets_per_route,rec_route_grade,1015,0.7911912295130762
receiving,WR,rec_targets_per_route,rec_targeted_qb_rating,1015,0.19211772163574753
receiving,WR,rec_touchdowns_per_route,rec_yards_per_target,1015,0.40132983617445833
receiving,WR,rec_touchdowns_per_route,rec_adot,1015,0.14684819426205634
receiving,WR,rec_touchdowns_per_route,rec_yac_per_route,1015,0.3016897908721303
receiving,WR,rec_touchdowns_per_route,rec_mtf_per_reception,1015,0.07776878823716615
receiving,WR,rec_touchdowns_per_route,rec_route_rate,1015,-0.07934385624385357
receiving,WR,rec_touchdowns_per_route,rec_slot_rate,1015,-0.06607429265731916
receiving,WR,rec_touchdowns_per_route,rec_wide_rate,1015,0.06557161482663094
receiving,WR,rec_touchdowns_per_route,rec_route_grade,1015,0.5378651793332954
receiving,WR,rec_touchdowns_per_route,rec_targeted_qb_rating,1015,0.6606964907967103
receiving,WR,rec_yards_per_target,rec_adot,1015,0.27635308428854494
receiving,WR,rec_yards_per_target,rec_yac_per_route,1015,0.38223514405828285
receiving,WR,rec_yards_per_target,rec_mtf_per_reception,1015,0.10420010274929882
receiving,WR,rec_yards_per_target,rec_route_rate,1015,-0.034617551791548136
receiving,WR,rec_yards_per_target,rec_slot_rate,1015,-0.08511720246958014
receiving,WR,rec_yards_per_target,rec_wide_rate,1015,0.08594295735750435
receiving,WR,rec_yards_per_target,rec_route_grade,1015,0.5305332707146321
receiving,WR,rec_yards_per_target,rec_targeted_qb_rating,1015,0.6534995984530906
receiving,WR,rec_adot,rec_yac_per_route,1015,-0.45948300053547
receiving,WR,rec_adot,rec_mtf_per_reception,1015,-0.27376564930319686
receiving,WR,rec_adot,rec_route_rate,1015,-0.022409780028302923
receiving,WR,rec_adot,rec_slot_rate,1015,-0.5577141015188178
receiving,WR,rec_adot,rec_wide_rate,1015,0.570689083736681
receiving,WR,rec_adot,rec_route_grade,1015,-0.04506719695813304
receiving,WR,rec_adot,rec_targeted_qb_rating,1015,-0.10114864622296113
receiving,WR,rec_yac_per_route,rec_mtf_per_reception,1015,0.4609766779993032
receiving,WR,rec_yac_per_route,rec_route_rate,1015,-0.01000598406143216
receiving,WR,rec_yac_per_route,rec_slot_rate,1015,0.26724193393763673
receiving,WR,rec_yac_per_route,rec_wide_rate,1015,-0.2787675852216265
receiving,WR,rec_yac_per_route,rec_route_grade,1015,0.6374835975316451
receiving,WR,rec_yac_per_route,rec_targeted_qb_rating,1015,0.4455753667043358
receiving,WR,rec_mtf_per_reception,rec_route_rate,1015,-0.000749951579661244
receiving,WR,rec_mtf_per_reception,rec_slot_rate,1015,0.05186589877573096
receiving,WR,rec_mtf_per_reception,rec_wide_rate,1015,-0.06382973977631533
receiving,WR,rec_mtf_per_reception,rec_route_grade,1015,0.20721255322607476
receiving,WR,rec_mtf_per_reception,rec_targeted_qb_rating,1015,0.128045098999718
receiving,WR,rec_route_rate,rec_slot_rate,1015,-0.07546786730382028
receiving,WR,rec_route_rate,rec_wide_rate,1015,0.07823581792616048
receiving,WR,rec_route_rate,rec_route_grade,1015,-0.02531705335756532
receiving,WR,rec_route_rate,rec_targeted_qb_rating,1015,-0.07951618884566836
receiving,WR,rec_slot_rate,rec_wide_rate,1015,-0.9979037238041089
receiving,WR,rec_slot_rate,rec_route_grade,1015,-0.02859568580318038
receiving,WR,rec_slot_rate,rec_targeted_qb_rating,1015,0.11370941086646846
receiving,WR,rec_wide_rate,rec_route_grade,1015,0.02721772683323912
receiving,WR,rec_wide_rate,rec_targeted_qb_rating,1015,-0.1171465802550589
receiving,WR,rec_route_grade,rec_targeted_qb_rating,1015,0.5145716852993442
rushing,QB,rush_ypa,rush_first_downs_per_attempt,98,0.22041269473557557
rushing,QB,rush_ypa,rush_mtf_per_attempt,98,0.33582422709766535
rushing,QB,rush_ypa,rush_yco_per_attempt,98,0.4781237946195279
rushing,QB,rush_ypa,rush_explosive_per_attempt,98,0.844758441714777
rushing,QB,rush_ypa,rush_breakaway_percent,98,0.2980062836096389
rushing,QB,rush_ypa,rush_breakaway_yards_per_attempt,98,0.38618402931572143
