"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"203","11","","Chase Edmonds","ARI","RB63","12","120","272","211.1","39.3","262.0","+59.0"
"204","11","","Tyler Eifert","CIN","TE25","9","127","303","206.8","39.4","202.0","-2.0"
"205","11","","Wil Lutz","NO","K5","9","162","288","202.3","19.1","162.0","-43.0"
"206","11","","New Orleans (NO)","","DST9","9","156","284","197.4","23.9","184.0","-22.0"
"207","11","","Marquise Brown","BAL","WR77","8","97","269","194.9","38.6","163.0","-44.0"
"208","11","","Rex Burkhead","NE","RB64","10","104","320","205.4","38.4","253.0","+45.0"
"209","11","","Andy Isabella","ARI","WR78","12","112","314","210.6","38.9","205.0","-4.0"
"210","11","","John Ross","CIN","WR79","9","130","294","211.1","29.7","271.0","+61.0"
"211","11","","Denver (DEN)","","DST10","10","149","223","198.4","12.8","157.0","-54.0"
"212","11","","A.J. Brown","TEN","WR80","11","122","311","199.6","33.0","191.0","-21.0"
"213","11","","New England (NE)","","DST11","10","179","285","210.3","16.7","179.0","-34.0"
"214","11","","Gus Edwards","BAL","RB65","8","116","356","215.1","46.3","251.0","+37.0"
"215","11","","Trey Quinn","WAS","WR81","10","122","284","208.2","44.1","277.0","+62.0"
"216","11","","Mason Crosby","GB","K6","11","168","290","215.6","19.3","218.0","+2.0"
"217","11","","Ted Ginn","NO","WR82","9","107","305","224.9","32.9","231.0","+14.0"
"218","11","","Ka'imi Fairbairn","HOU","K7","10","165","291","209.1","22.4","174.0","-44.0"
"219","11","","Alexander Mattison","MIN","RB66","12","132","321","204.2","51.5","170.0","-49.0"
"220","11","","Buffalo (BUF)","","DST12","6","150","266","209.8","16.2","222.0","+2.0"
"221","11","","Gerald Everett","LAR","TE26","9","142","286","214.8","36.9","267.0","+46.0"
"222","11","","Nelson Agholor","PHI","WR83","10","160","292","219.7","25.7","232.0","+10.0"
"223","11","","Dallas (DAL)","","DST13","8","174","250","213.0","13.5","180.0","-43.0"
"224","11","","Jake Elliott","PHI","K8","10","170","274","218.1","16.9","212.0","-12.0"
"225","11","","Paul Richardson","WAS","WR84","10","130","342","224.7","37.1","291.0","+66.0"
"226","11","","Malcolm Brown","LAR","RB67","9","125","308","220.5","46.6","296.0","+70.0"
"227","11","","Seattle (SEA)","","DST14","11","188","261","222.1","12.9","220.0","-7.0"
"228","11","","Robbie Gould","SF","K9","4","168","289","227.1","24.1","167.0","-61.0"
"229","11","","Matt Prater","DET","K10","5","185","288","223.8","22.7","197.0","-32.0"
"230","11","","T.J. Yeldon","BUF","RB68","6","116","319","224.3","41.7","237.0","+7.0"
"231","11","","Joe Flacco","DEN","QB29","10","178","311","244.3","34.6","239.0","+8.0"
"232","11","","Brett Maher","DAL","K11","8","177","283","224.9","19.7","190.0","-42.0"
"233","11","","Philadelphia (PHI)","","DST15","10","169","323","228.9","22.0","172.0","-61.0"
"234","11","","Michael Badgley","LAC","K12","12","174","319","234.0","24.9","215.0","-19.0"
"235","11","","D'Onta Foreman","IND","RB69","6","115","323","192.2","63.9","127.0","-108.0"
"236","11","","Josh Doctson","WAS","WR85","10","160","281","226.2","24.0","314.0","+78.0"
"237","12","","Frank Gore","BUF","RB70","6","118","326","234.4","40.9","263.0","+26.0"
"238","12","","Elijah McGuire","NYJ","RB71","4","125","348","227.3","45.2","292.0","+54.0"
"239","12","","Adam Vinatieri","IND","K13","6","172","318","240.7","20.7","210.0","-29.0"
"240","12","","D.J. Chark","JAC","WR86","10","96","301","238.0","30.2","305.0","+65.0"
"241","12","","Tennessee (TEN)","","DST16","11","193","276","231.3","18.8","233.0","-8.0"
"242","12","","Pittsburgh (PIT)","","DST17","7","194","299","236.0","21.3","199.0","-43.0"
"243","12","","Kenneth Dixon","BAL","RB72","8","134","349","227.9","52.4","319.0","+76.0"
"244","12","","Danny Amendola","DET","WR87","5","129","356","246.1","36.9","270.0","+26.0"
"245","12","","Josh Reynolds","LAR","WR88","9","192","368","247.1","34.7","337.0","+92.0"
"246","12","","Cameron Brate","TB","TE27","7","153","343","240.1","34.3","287.0","+41.0"
"247","12","","Jason Myers","SEA","K14","11","190","316","244.7","20.8","226.0","-21.0"
"248","12","","Cole Beasley","BUF","WR89","6","167","308","246.2","33.8","248.0","0.0"
"249","12","","Willie Snead","BAL","WR90","8","155","283","243.9","23.8","300.0","+51.0"
"250","12","","Equanimeous St. Brown","GB","WR91","11","188","311","244.3","30.6","325.0","+75.0"
"251","12","","Ian Thomas","CAR","TE28","7","161","348","246.9","37.0","257.0","+6.0"
"252","12","","Eli Manning","NYG","QB30","11","179","350","254.9","32.5","252.0","0.0"
"253","12","","Indianapolis (IND)","","DST18","6","186","301","244.3","22.3","224.0","-29.0"
"254","12","","Hayden Hurst","BAL","TE29","8","172","290","240.2","27.4","307.0","+53.0"
"255","12","","Ryquell Armstead","JAC","RB73","10","133","333","249.1","52.6","261.0","+6.0"
"256","12","","Keelan Cole","JAC","WR92","10","82","322","250.4","29.3","335.0","+79.0"
"257","12","","Kansas City (KC)","","DST19","12","192","317","250.8","30.1","195.0","-62.0"
"258","12","","Doug Martin","OAK","RB74","6","156","318","247.6","34.5","302.0","+44.0"
"259","12","","Graham Gano","CAR","K15","7","189","321","249.5","22.6","286.0","+27.0"
"260","12","","Ricky Seals-Jones","ARI","TE30","12","141","339","250.6","36.0","313.0","+53.0"
"261","12","","Jason Witten","DAL","TE31","8","118","314","238.6","41.4","200.0","-61.0"
"262","12","","Dwayne Haskins","WAS","QB31","10","162","327","252.9","43.1","217.0","-45.0"
"263","12","","Aldrick Rosas","NYG","K16","11","185","291","255.5","17.3","230.0","-33.0"
"264","12","","Theo Riddick","DEN","RB75","10","150","350","242.6","42.0","284.0","+20.0"
"265","12","","Phillip Dorsett","NE","WR93","10","201","334","259.5","30.0","288.0","+23.0"
"266","12","","Ryan Fitzpatrick","MIA","QB32","5","178","324","259.6","37.2","268.0","+2.0"
"267","12","","Dan Bailey","MIN","K17","12","184","324","264.9","24.3","219.0","-48.0"
"268","12","","Carolina (CAR)","","DST20","7","210","299","257.4","18.9","244.0","-24.0"
"269","12","","J.J. Arcega-Whiteside","PHI","WR94","10","156","315","255.1","30.5","266.0","-3.0"
"270","12","","Hakeem Butler","ARI","WR95","12","189","330","260.4","31.5","264.0","-6.0"
"271","12","","Ryan Succop","TEN","K18","11","223","328","271.3","23.5","255.0","-16.0"
"272","12","","Chris Conley","JAC","WR96","10","214","371","264.7","31.6","383.0","+111.0"
"273","12","","Taywan Taylor","TEN","WR97","11","198","363","263.0","37.0","377.0","+104.0"
"274","12","","Atlanta (ATL)","","DST21","9","177","318","264.5","27.0","246.0","-28.0"
"275","12","","Darren Waller","OAK","TE32","6","132","284","201.6","42.1","240.0","-35.0"
"276","12","","Green Bay (GB)","","DST22","11","176","318","269.6","27.0","227.0","-49.0"
"277","12","","Demaryius Thomas","NE","WR98","10","148","379","250.6","46.9","241.0","-36.0"
"278","12","","Josh Rosen","MIA","QB33","5","165","337","272.9","37.6","265.0","-13.0"
"279","12","","Chris Boswell","PIT","K19","7","198","322","273.7","20.7","279.0","0.0"
"280","12","","Chris Hogan","CAR","WR99","7","160","368","274.3","30.1","297.0","+17.0"
"281","12","","Breshad Perriman","TB","WR100","7","151","364","270.6","39.0","396.0","+115.0"
"282","13","","Brandon McManus","DEN","K20","10","220","323","280.1","17.2","289.0","+7.0"
"283","13","","Arizona (ARI)","","DST23","12","218","324","284.4","27.2","260.0","-23.0"
"284","13","","Greg Joseph","CLE","K21","7","194","327","278.1","30.2","351.0","+67.0"
"285","13","","Benny Snell Jr.","PIT","RB76","7","158","346","270.1","40.1","242.0","-43.0"
"286","13","","Corey Clement","PHI","RB77","10","207","337","271.8","26.2","350.0","+64.0"
"287","13","","Josh Lambo","JAC","K22","10","218","329","284.8","19.1","317.0","+30.0"
"288","13","","Washington (WAS)","","DST24","10","206","334","292.5","25.9","250.0","-38.0"
"289","13","","Rashard Higgins","CLE","WR101","7","164","317","269.0","36.5","349.0","+60.0"
"290","13","","Jordan Wilkins","IND","RB78","6","238","343","280.2","23.5","347.0","+57.0"
"291","13","","Case Keenum","WAS","QB34","10","191","416","291.8","37.6","344.0","+53.0"
"292","13","","Tony Pollard","DAL","RB79","8","131","361","227.8","58.8","225.0","-67.0"
"293","13","","Nick Vannett","SEA","TE33","11","199","378","270.6","30.7","476.0","+183.0"
"294","13","","Josh Adams","PHI","RB80","10","176","388","269.9","43.9","395.0","+101.0"
"295","13","","Cordarrelle Patterson","CHI","WR102","6","209","333","285.4","25.6","366.0","+71.0"
"296","13","","Giorgio Tavecchio","ATL","K23","9","182","317","271.5","33.2","211.0","-85.0"
"297","13","","Alfred Blue","JAC","RB81","10","182","375","287.3","43.2","311.0","+14.0"
"298","13","","Dexter Williams","GB","RB82","11","171","362","279.2","51.2","274.0","-24.0"
"299","13","","Detroit (DET)","","DST25","5","226","319","296.0","18.8","247.0","-52.0"
"300","13","","Jonnu Smith","TEN","TE34","11","139","362","273.9","30.6","382.0","+82.0"
"301","13","","Charles Clay","ARI","TE35","12","201","344","280.1","28.3","392.0","+91.0"
