D.J. Moore CAR ,WR54,4,77,245,140.6,35.3,136,3
Dez Bryant FA ,WR55,,47,214,124,41.6,130,-4
James White NE ,RB47,11,95,206,140.4,22.7,151,16
Tyler Eifert CIN ,TE15,9,108,192,141.9,19.2,141,5
Bilal Powell NYJ ,RB48,11,83,205,139.2,29.8,170,33
Mohamed Sanu ATL ,WR56,8,96,242,142.8,30.1,178,40
Cameron Brate TB ,TE16,5,95,250,147.6,23.3,165,26
,,,,,,,,
Charles Clay BUF ,TE17,11,107,202,147.5,20.5,181,41
Jacksonville Jaguars ,DST1,9,114,201,140.4,15,106,-35
Tyler Lockett SEA ,WR57,7,85,236,145.8,36.5,169,27
Eric Ebron IND ,TE18,9,62,201,146.6,23.8,177,34
Chris Carson SEA ,RB49,7,78,252,150.5,32.7,138,-6
Corey Clement PHI ,RB50,9,107,198,147.3,26,132,-13
Mitch Trubisky CHI ,QB20,5,77,184,149.9,19.6,152,6
Minnesota Vikings ,DST2,10,125,174,145.1,10.8,131,-16
Derek Carr OAK ,QB21,7,88,207,152.7,23.6,123,-25
Blake Bortles JAC ,QB22,9,81,207,154.4,26,176,27
D'Onta Foreman HOU ,RB51,10,71,216,153.3,30.7,117,-33
Philadelphia Eagles ,DST3,9,131,179,150.4,11.1,137,-14
Paul Richardson WAS ,WR58,4,103,240,149.2,29.5,164,12
Calvin Ridley ATL ,WR59,8,113,208,155,25.7,128,-25
Latavius Murray MIN ,RB52,10,94,209,156.3,23.4,156,2
Jared Cook OAK ,TE19,7,102,217,157.8,22.6,171,16
Anthony Miller CHI ,WR60,5,96,237,151.6,36.4,161,5
Ted Ginn NO ,WR61,6,116,217,157.7,25.4,182,25
Los Angeles Rams ,DST4,12,133,182,155,13.9,120,-38
Mike Williams LAC ,WR62,8,109,225,158.5,32.9,143,-16
Dede Westbrook JAC ,WR63,9,89,243,160.8,34,179,19
Nyheim Hines IND ,RB53,9,83,244,153,33.3,149,-12
Jameis Winston TB S ,QB23,5,98,237,164.2,34.1,158,-4
Austin Seferian-Jenkins JAC ,TE20,9,103,224,164.5,27.3,150,-13
Martavis Bryant OAK ,WR64,7,111,241,161.4,31.7,147,-17
Los Angeles Chargers ,DST5,8,135,186,160.1,12.3,154,-11
LeGarrette Blount DET ,RB54,6,108,249,167.4,31.4,157,-9
Eli Manning NYG ,QB24,9,90,214,165.5,27,166,-1
Case Keenum DEN ,QB25,10,89,213,167,26.6,175,7
Tyrell Williams LAC ,WR65,8,99,234,168.2,40.2,207,38
Denver Broncos ,DST6,10,141,189,163.7,12.9,163,-7
Doug Martin OAK ,RB55,7,98,212,166.5,31.7,155,-16
Matt Breida SF ,RB56,11,113,292,171.2,33.2,168,-4
Houston Texans ,DST7,10,140,190,164.8,12.4,153,-20
Peyton Barber TB ,RB57,5,118,244,170.8,31.9,202,28
Michael Gallup DAL ,WR66,8,115,222,166.5,27.2,159,-16
Frank Gore MIA ,RB58,11,110,229,168.6,26.4,172,-4
Stephen Gostkowski NE ,K1,11,128,218,171,16.9,139,-38
Andy Dalton CIN ,QB26,9,95,254,175.5,29.5,184,6
Ricky Seals-Jones ARI ,TE21,9,111,251,175.4,30.9,187,8
Chris Godwin TB ,WR67,5,92,226,172.8,29.2,215,35
Benjamin Watson NO ,TE22,6,109,232,173.4,27.4,183,2
Baltimore Ravens ,DST8,10,140,261,173.7,20.9,160,-22
,,,,,,,,
Kenneth Dixon BAL ,RB59,10,115,233,171.2,30.3,185,2
Justin Tucker BAL ,K2,10,143,222,178.7,17.2,145,-39
Greg Zuerlein LAR ,K3,12,142,227,177.2,15.4,133,-52
Donte Moncrief JAC ,WR68,9,110,231,178.8,30.7,228,42
Jordan Matthews NE ,WR69,11,109,251,176.7,36.3,180,-7
Tyrod Taylor CLE ,QB27,11,112,253,186.7,30.8,191,3
Corey Coleman CLE ,WR70,11,103,257,188,40.5,255,66
Chris Ivory BUF ,RB60,11,121,268,181.1,35.9,186,-4
Austin Hooper ATL ,TE23,8,140,275,187.1,27.2,211,20
Vance McDonald PIT ,TE24,7,122,238,182,23.9,174,-18
Ryan Tannehill MIA ,QB28,11,91,251,190.7,29,218,25
New Orleans Saints ,DST9,6,146,218,182.7,14.5,196,2
Mike Wallace PHI ,WR71,9,145,249,186.4,25.5,280,85
Danny Amendola MIA ,WR72,11,120,251,185.8,36.1,208,12
Mike Gesicki MIA ,TE25,11,122,241,183.3,29.4,188,-9
Austin Ekeler LAC ,RB61,8,132,267,189.3,33.7,201,3
Matt Bryant ATL ,K4,8,146,239,186.4,20.2,189,-10
John Brown BAL ,WR73,10,116,254,192.3,32.4,269,69
Jermaine Kearse NYJ ,WR74,11,113,288,195.2,39.4,290,89
Christian Kirk ARI ,WR75,9,97,233,185.9,30.1,167,-35
Samaje Perine WAS ,RB62,4,107,342,192.1,48.8,214,11
Seattle Seahawks ,DST10,7,139,236,191,25.6,226,22
New England Patriots ,DST11,11,139,232,189.3,18,198,-7
Keelan Cole JAC ,WR76,9,132,246,191.3,26.7,190,-16
T.J. Yeldon JAC ,RB63,9,125,250,185,31.4,195,-12
Quincy Enunwa NYJ ,WR77,11,105,241,193.2,27.7,250,42
Jordan Wilkins IND ,RB64,9,113,300,194.5,45.2,212,3
Terrance Williams DAL ,WR78,8,124,253,191.5,36.2,248,38
Wil Lutz NO ,K5,6,157,239,195.9,20.2,192,-19
Spencer Ware KC ,RB65,12,127,259,197.3,32.7,213,1
Darren Sproles PHI ,RB66,9,134,242,186.4,26.6,270,57
Geronimo Allison GB ,WR79,7,123,258,193.4,29.8,206,-8
Brandon Marshall SEA ,WR80,7,133,244,192.7,35.4,278,63
Carolina Panthers ,DST12,4,169,236,194.4,15.1,219,3
Pittsburgh Steelers ,DST13,7,160,259,196.9,19.6,216,-1
Jake Elliott PHI ,K6,9,164,246,198.8,20.3,200,-18
Albert Wilson MIA ,WR81,11,144,259,203.8,34.1,256,37
Wayne Gallman NYG ,RB67,9,129,322,200.4,52.1,318,98
Matt Prater DET ,K7,6,176,252,201.5,19.1,243,22
