"Name","Pos","Team","ETR_Rank","Pos_Rank"
"Jalen McMillan","WR","TB","148","WR64"
"Trey Benson","RB","ARI","149","RB46"
"Austin Ekeler","RB","WAS","150","RB47"
"Brandon Aubrey","K","DAL","151","K01"
"Tua Tagovailoa","QB","MIA","152","QB21"
"NYJ DST","DST","NYJ","153","DST02"
"Pat Freiermuth","TE","PIT","154","TE19"
"Michael Penix Jr.","QB","ATL","155","QB22"
"Matt Gay","K","WAS","156","K02"
"Tank Bigsby","RB","JAX","157","RB48"
"Cam Ward","QB","TEN","158","QB23"
"Adam Thielen","WR","CAR","159","WR65"
"Will Reichard","K","MIN","160","K03"
"SF DST","DST","SF","161","DST03"
"Kyle Williams","WR","NE","162","WR66"
"Younghoe Koo","K","ATL","163","K04"
"PIT DST","DST","PIT","164","DST04"
"Ray Davis","RB","BUF","165","RB49"
"HOU DST","DST","HOU","166","DST05"
"DAL DST","DST","DAL","167","DST06"
"Mike Gesicki","TE","CIN","168","TE20"
"ARI DST","DST","ARI","169","DST07"
"CHI DST","DST","CHI","170","DST08"
"SEA DST","DST","SEA","171","DST09"
"IND DST","DST","IND","172","DST10"
"Cameron Dicker","K","LAC","173","K05"
"Zach Ertz","TE","WAS","174","TE21"
"MIN DST","DST","MIN","175","DST11"
"LV DST","DST","LV","176","DST12"
"PHI DST","DST","PHI","177","DST13"
"Chad Ryland","K","ARI","178","K06"
"Jake Bates","K","DET","179","K07"
"Xavier Legette","WR","CAR","180","WR67"
"BAL DST","DST","BAL","181","DST14"
"Bryce Young","QB","CAR","182","QB24"
"Wan'Dale Robinson","WR","NYG","183","WR68"
"CLE DST","DST","CLE","184","DST15"
"NYG DST","DST","NYG","185","DST16"
"Ka'imi Fairbairn","K","HOU","186","K08"
"Chris Boswell","K","PIT","187","K09"
"MIA DST","DST","MIA","188","DST17"
"Brenton Strange","TE","JAX","189","TE22"
"BUF DST","DST","BUF","190","DST18"
"Chase McLaughlin","K","TB","191","K10"
"Jake Elliott","K","PHI","192","K11"
"NE DST","DST","NE","193","DST19"
"Brandon McManus","K","GB","194","K12"
"Josh Palmer","WR","BUF","195","WR69"
"JAX DST","DST","JAX","196","DST20"
"Hunter Henry","TE","NE","197","TE23"
"Cedric Tillman","WR","CLE","198","WR70"
"Spencer Shrader","K","IND","199","K13"
"Harrison Butker","K","KC","200","K14"
"Daniel Carlson","K","LV","201","K15"
"Jason Sanders","K","MIA","202","K16"
"Evan McPherson","K","CIN","203","K17"
"Dalton Schultz","TE","HOU","204","TE24"
"DET DST","DST","DET","205","DST21"
"LA DST","DST","LA","206","DST22"
"Geno Smith","QB","LV","207","QB25"
"Matthew Stafford","QB","LA","208","QB26"
"CAR DST","DST","CAR","209","DST23"
"CIN DST","DST","CIN","210","DST24"
"GB DST","DST","GB","211","DST25"
"Will Shipley","RB","PHI","212","RB50"
"NO DST","DST","NO","213","DST26"
"TB DST","DST","TB","214","DST27"
"LAC DST","DST","LAC","215","DST28"
"WAS DST","DST","WAS","216","DST29"
"KC DST","DST","KC","217","DST30"
"Demario Douglas","WR","NE","218","WR71"
"Jake Moody","K","SF","219","K18"
"Rico Dowdle","RB","CAR","220","RB51"
"ATL DST","DST","ATL","221","DST31"
"Justice Hill","RB","BAL","222","RB52"
"Braelon Allen","RB","NYJ","223","RB53"
"Cade Otton","TE","TB","224","TE25"
"Tyler Loop","K","BAL","225","K19"
"Michael Wilson","WR","ARI","226","WR72"
"Joshua Karty","K","LA","227","K20"
"Mason Taylor","TE","NYJ","228","TE26"
"J.K. Dobbins","RB","FA","229","RB54"
"Tyler Bass","K","BUF","230","K21"
"Jaylen Wright","RB","MIA","231","RB55"
"Jaylin Noel","WR","HOU","232","WR73"
"Dylan Sampson","RB","CLE","233","RB56"
"Alec Pierce","WR","IND","234","WR74"
"Wil Lutz","K","DEN","235","K22"
"Blake Corum","RB","LA","236","RB57"
"TEN DST","DST","TEN","237","DST32"
"Chig Okonkwo","TE","TEN","238","TE27"
"MarShawn Lloyd","RB","GB","239","RB58"
"Noah Gray","TE","KC","240","TE28"
"DJ Giddens","RB","IND","241","RB59"
"Devin Neal","RB","NO","242","RB60"
"John Parker Romo","K","NE","243","K23"
"Ray-Ray McCloud","WR","ATL","244","WR75"
"Jerome Ford","RB","CLE","245","RB61"
"Blake Grupe","K","NO","246","K24"
"Juwan Johnson","TE","NO","247","TE29"
"Elijah Arroyo","TE","SEA","248","TE30"
"Jarquez Hunter","RB","LA","249","RB62"
"Darius Slayton","WR","NYG","250","WR76"
"Theo Johnson","TE","NYG","251","TE31"
"Roschon Johnson","RB","CHI","252","RB63"
"Noah Brown","WR","WAS","253","WR77"
"Ja'Tavion Sanders","TE","CAR","254","TE32"
"Pat Bryant","WR","DEN","255","WR78"
"Keaton Mitchell","RB","BAL","256","RB64"
"Keenan Allen","WR","FA","257","WR79"
"Jason Myers","K","SEA","258","K25"
"Miles Sanders","RB","DAL","259","RB65"
"Terrance Ferguson","TE","LA","260","TE33"
"Will Dissly","TE","LAC","261","TE34"
"Cam Little","K","JAX","262","K26"
"Daniel Jones","QB","IND","263","QB27"
"Tyler Higbee","TE","LA","264","TE35"
"Jaleel McLaughlin","RB","DEN","265","RB66"
"Jordan James","RB","SF","266","RB67"
"Aaron Rodgers","QB","PIT","267","QB28"
"Tutu Atwell","WR","LA","268","WR80"
"Tyler Lockett","WR","TEN","269","WR81"
"Woody Marks","RB","HOU","270","RB68"
"Calvin Austin III","WR","PIT","271","WR82"
"Dyami Brown","WR","JAX","272","WR83"
"Joey Slye","K","TEN","273","K27"
"Tyler Shough","QB","NO","274","QB29"
"Sam Darnold","QB","SEA","275","QB30"
"Jalen Coker","WR","CAR","276","WR84"
"Harold Fannin Jr.","TE","CLE","277","TE36"
"Graham Gano","K","NYG","278","K28"
"Matthew Wright","K","CAR","279","K29"
"Jaxson Dart","QB","NYG","280","QB31"
"Jalen Tolbert","WR","DAL","281","WR85"
"Andrei Iosivas","WR","CIN","282","WR86"
"Kareem Hunt","RB","KC","283","RB69"
"DeAndre Hopkins","WR","BAL","284","WR87"
"Tahj Brooks","RB","CIN","285","RB70"
"Dont'e Thornton Jr.","WR","LV","286","WR88"
"Anders Carlson","K","NYJ","287","K30"
"Isaac TeSlaa","WR","DET","288","WR89"
"Dontayvion Wicks","WR","GB","289","WR90"
"Parker Washington","WR","JAX","290","WR91"
"Brandin Cooks","WR","NO","291","WR92"
"Jordan Whittington","WR","LA","292","WR93"
"Nick Westbrook-Ikhine","WR","MIA","293","WR94"
"Mike Williams","WR","LAC","294","WR95"
"Greg Dortch","WR","ARI","295","WR96"
"Noah Fant","TE","SEA","296","TE37"
"Anthony Richardson","QB","IND","297","QB32"
"Jalen Nailor","WR","MIN","298","WR97"
"Kayshon Boutte","WR","NE","299","WR98"
"Malik Washington","WR","MIA","300","WR99"
