"Name","Pos","Team","ETR Rank","ADP","Delta","ETR Pos Rank","ADP Pos Rank","Pos ADP Delta"
"Chris Boswell","K","PIT","185","157.0","-28.0","K09","K06","-3"
"Xavier Legette","WR","CAR","186","176.4","-9.6","WR68","WR62","-6"
"Justice Hill","RB","BAL","187","207.6","20.6","RB55","RB59","4"
"KC DST","DST","KC","188","180.5","-7.5","DST10","DST11","1"
"NYG DST","DST","NYG","189","193.7","4.7","DST11","DST14","3"
"CLE DST","DST","CLE","190","204.0","14.0","DST12","DST21","9"
"Isaiah Likely","TE","BAL","191","157.2","-33.8","TE21","TE18","-3"
"Hunter Henry","TE","NE","192","166.0","-26.0","TE22","TE20","-2"
"SEA DST","DST","SEA","193","193.7","0.7","DST13","DST14","1"
"LAC DST","DST","LAC","194","211.0","17.0","DST14","DST24","10"
"NE DST","DST","NE","195","197.0","2.0","DST15","DST18","3"
"CHI DST","DST","CHI","196","180.7","-15.3","DST16","DST12","-4"
"Chase McLaughlin","K","TB","197","152.6","-44.4","K10","K04","-6"
"LA DST","DST","LA","198","209.7","11.7","DST17","DST23","6"
"Jake Elliott","K","PHI","199","172.0","-27.0","K11","K09","-2"
"NYJ DST","DST","NYJ","200","213.0","13.0","DST18","DST25","7"
"IND DST","DST","IND","201","198.5","-2.5","DST19","DST20","1"
"ARI DST","DST","ARI","202","191.0","-11.0","DST20","DST13","-7"
"Brandon McManus","K","GB","203","211.7","8.7","K12","K17","5"
"DET DST","DST","DET","204","175.5","-28.5","DST21","DST09","-12"
"Spencer Shrader","K","IND","205","304.0","99.0","K13","K31","18"
"JAX DST","DST","JAX","206","241.5","35.5","DST22","DST29","7"
"Daniel Carlson","K","LV","207","223.8","16.8","K14","K20","6"
"LV DST","DST","LV","208","230.0","22.0","DST23","DST28","5"
"Jason Sanders","K","MIA","209","175.8","-33.2","K15","K10","-5"
"Miles Sanders","RB","DAL","210","241.3","31.3","RB56","RB73","17"
"Will Shipley","RB","PHI","211","235.0","24.0","RB57","RB65","8"
"WAS DST","DST","WAS","212","207.0","-5.0","DST24","DST22","-2"
"Harrison Butker","K","KC","213","170.0","-43.0","K16","K07","-9"
"Rico Dowdle","RB","CAR","214","187.0","-27.0","RB58","RB55","-3"
"GB DST","DST","GB","215","194.3","-20.8","DST25","DST16","-9"
"Braelon Allen","RB","NYJ","216","185.8","-30.2","RB59","RB54","-5"
"Evan McPherson","K","CIN","217","202.8","-14.2","K17","K14","-3"
"CAR DST","DST","CAR","218","246.0","28.0","DST26","DST31","5"
"Josh Palmer","WR","BUF","219","253.6","34.6","WR69","WR84","15"
"CIN DST","DST","CIN","220","194.7","-25.3","DST27","DST17","-10"
"Tahj Brooks","RB","CIN","221","295.3","74.3","RB60","RB87","27"
"Woody Marks","RB","HOU","222","315.0","93.0","RB61","RB90","29"
"NO DST","DST","NO","223","244.5","21.5","DST28","DST30","2"
"MIA DST","DST","MIA","224","218.5","-5.5","DST29","DST26","-3"
"TB DST","DST","TB","225","197.0","-28.0","DST30","DST18","-12"
"Demario Douglas","WR","NE","226","237.7","11.7","WR70","WR73","3"
"Jake Moody","K","SF","227","240.0","13.0","K18","K22","4"
"Jaylen Wright","RB","MIA","228","189.0","-39.0","RB62","RB56","-6"
"Tyler Loop","K","BAL","229","196.3","-32.8","K19","K12","-7"
"Joshua Karty","K","LA","230","219.0","-11.0","K20","K19","-1"
"ATL DST","DST","ATL","231","228.5","-2.5","DST31","DST27","-4"
"Anthony Richardson","QB","IND","232","210.0","-22.0","QB27","QB29","2"
"Elijah Arroyo","TE","SEA","233","236.5","3.5","TE23","TE29","6"
"Tyler Bass","K","BUF","234","171.8","-62.2","K21","K08","-13"
"Jack Bech","WR","LV","235","156.6","-78.4","WR71","WR58","-13"
"TEN DST","DST","TEN","236","262.5","26.5","DST32","DST32","0"
"Wil Lutz","K","DEN","237","193.8","-43.2","K22","K11","-11"
"Cade Otton","TE","TB","238","194.5","-43.5","TE24","TE22","-2"
"Chig Okonkwo","TE","TEN","239","211.8","-27.3","TE25","TE26","1"
"DJ Giddens","RB","IND","240","246.7","6.7","RB63","RB74","11"
"Jarquez Hunter","RB","LA","241","267.5","26.5","RB64","RB79","15"
"Michael Wilson","WR","ARI","242","262.5","20.5","WR72","WR89","17"
"Pat Freiermuth","TE","PIT","243","178.4","-64.6","TE26","TE21","-5"
"Jacory Croskey-Merritt","RB","WAS","244","311.3","67.3","RB65","RB88","23"
"John Parker Romo","K","NE","245","240.0","-5.0","K23","K22","-1"
"Blake Grupe","K","NO","246","253.5","7.5","K24","K26","2"
"Blake Corum","RB","LA","247","224.0","-23.0","RB66","RB62","-4"
"Samaje Perine","RB","CIN","248","329.0","81.0","RB67","RB92","25"
"Sam Darnold","QB","SEA","249","202.8","-46.3","QB28","QB26","-2"
"Trevor Etienne","RB","CAR","250","225.7","-24.3","RB68","RB63","-5"
"Tyler Shough","QB","NO","251","286.0","35.0","QB29","QB34","5"
"Dalton Schultz","TE","HOU","252","224.0","-28.0","TE27","TE28","1"
"Aaron Rodgers","QB","PIT","253","205.0","-48.0","QB30","QB27","-3"
"Alec Pierce","WR","IND","254","225.3","-28.7","WR73","WR72","-1"
"Jaylin Noel","WR","HOU","255","283.0","28.0","WR74","WR103","29"
"Jason Myers","K","SEA","256","209.0","-47.0","K25","K16","-9"
"Ja'Tavion Sanders","TE","CAR","257","286.3","29.3","TE28","TE45","17"
"Theo Johnson","TE","NYG","258","279.0","21.0","TE29","TE44","15"
"Tyler Higbee","TE","LA","259","253.7","-5.3","TE30","TE39","9"
"Jaxson Dart","QB","NYG","260","233.7","-26.3","QB31","QB30","-1"
"Cam Little","K","JAX","261","241.5","-19.5","K26","K25","-1"
"Devin Neal","RB","NO","262","278.7","16.7","RB69","RB82","13"
"Mason Taylor","TE","NYJ","263","216.0","-47.0","TE31","TE27","-4"
"Keaton Mitchell","RB","BAL","264","278.7","14.7","RB70","RB82","12"
"Pat Bryant","WR","DEN","265","278.3","13.3","WR75","WR97","22"
"Noah Gray","TE","KC","266","251.0","-15.0","TE32","TE36","4"
"Juwan Johnson","TE","NO","267","253.0","-14.0","TE33","TE38","5"
"Joey Slye","K","TEN","268","300.0","32.0","K27","K30","3"
"MarShawn Lloyd","RB","GB","269","211.8","-57.2","RB71","RB60","-11"
"Dyami Brown","WR","JAX","270","279.3","9.3","WR76","WR98","22"
"Kareem Hunt","RB","KC","271","182.2","-88.8","RB72","RB53","-19"
"Darius Slayton","WR","NYG","272","255.0","-17.0","WR77","WR85","8"
"Graham Gano","K","NYG","273","256.5","-16.5","K28","K27","-1"
"Matthew Wright","K","CAR","274","335.5","61.5","K29","K32","3"
"Nick Folk","K","NYJ","275","240.0","-35.0","K30","K22","-8"
"Keenan Allen","WR","FA","276","252.8","-23.2","WR78","WR83","5"
"Dont'e Thornton Jr.","WR","LV","277","245.8","-31.3","WR79","WR80","1"
"Jordan James","RB","SF","278","280.0","2.0","RB73","RB84","11"
"Noah Brown","WR","WAS","279","376.0","97.0","WR80","WR124","44"
"Parker Washington","WR","JAX","280","483.0","203.0","WR81","WR138","57"
"Daniel Jones","QB","IND","281","277.0","-4.0","QB32","QB33","1"
"Ray-Ray McCloud","WR","ATL","282","283.5","1.5","WR82","WR104","22"
"Tutu Atwell","WR","LA","283","274.0","-9.0","WR83","WR94","11"
"Harold Fannin Jr.","TE","CLE","284","347.3","63.3","TE34","TE54","20"
"Tyler Lockett","WR","TEN","285","224.0","-61.0","WR84","WR71","-13"
"Will Dissly","TE","LAC","286","336.0","50.0","TE35","TE51","16"
"Jalen Coker","WR","CAR","287","250.7","-36.3","WR85","WR82","-3"
"Raheem Mostert","RB","LV","288","238.6","-49.4","RB74","RB68","-6"
"Calvin Austin III","WR","PIT","289","259.0","-30.0","WR86","WR87","1"
"Tre Tucker","WR","LV","290","295.0","5.0","WR87","WR107","20"
"Josh Reynolds","WR","NYJ","291","516.0","225.0","WR88","WR141","53"
"Dustin Hopkins","K","CLE","292","269.0","-23.0","K31","K28","-3"
"Darren Waller","TE","MIA","293","196.8","-96.2","TE36","TE24","-12"
"Andrei Iosivas","WR","CIN","294","260.0","-34.0","WR89","WR88","-1"
"Terrance Ferguson","TE","LA","295","258.3","-36.7","TE37","TE40","3"
"Emanuel Wilson","RB","GB","296","353.0","57.0","RB75","RB95","20"
"Ollie Gordon II","RB","MIA","297","259.0","-38.0","RB76","RB76","0"
"Dontayvion Wicks","WR","GB","298","282.0","-16.0","WR90","WR101","11"
"Brashard Smith","RB","KC","299","238.5","-60.5","RB77","RB67","-10"
"Isaac TeSlaa","WR","DET","300","267.8","-32.3","WR91","WR90","-1"
