"Name","Position","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif"
"Michael Penix Jr.","QB","ATL","150","159.0","9.0","QB21","QB21","0"
"Tre Harris","WR","LAC","151","160.7","9.7","WR61","WR58","-3"
"Josh Palmer","WR","BUF","152","184.0","32.0","WR62","WR69","7"
"Cam Ward","QB","TEN","153","158.0","5.0","QB22","QB20","-2"
"Matt Gay","K","WAS","154","252.3","98.3","K02","K29","27"
"Kyle Williams","WR","NE","155","177.0","22.0","WR63","WR67","4"
"Tua Tagovailoa","QB","MIA","156","160.0","4.0","QB23","QB22","-1"
"Brenton Strange","TE","JAX","157","188.0","31.0","TE18","TE22","4"
"Ray Davis","RB","BUF","158","150.3","-7.7","RB51","RB49","-2"
"PIT DST","DST","PIT","159","144.3","-14.7","DST02","DST03","1"
"Brandon Aiyuk","WR","SF","160","133.3","-26.7","WR64","WR49","-15"
"HOU DST","DST","HOU","161","169.3","8.3","DST03","DST06","3"
"PHI DST","DST","PHI","162","131.0","-31.0","DST04","DST02","-2"
"Cedric Tillman","WR","CLE","163","174.5","11.5","WR65","WR66","1"
"BUF DST","DST","BUF","164","193.3","29.3","DST05","DST09","4"
"BAL DST","DST","BAL","165","155.0","-10.0","DST06","DST04","-2"
"Anthony Richardson","QB","IND","166","182.0","16.0","QB24","QB29","5"
"SF DST","DST","SF","167","198.0","31.0","DST07","DST10","3"
"Cameron Dicker","K","LAC","168","136.7","-31.3","K03","K02","-1"
"MIN DST","DST","MIN","169","156.7","-12.3","DST08","DST05","-3"
"Chad Ryland","K","ARI","170","240.0","70.0","K04","K16","12"
"Isaac Guerendo","RB","SF","171","146.7","-24.3","RB52","RB47","-5"
"Jake Bates","K","DET","172","150.7","-21.3","K05","K03","-2"
"Hunter Henry","TE","NE","173","155.3","-17.7","TE19","TE18","-1"
"KC DST","DST","KC","174","175.3","1.3","DST09","DST07","-2"
"Jonnu Smith","TE","PIT","175","123.3","-51.7","TE20","TE13","-7"
"Bryce Young","QB","CAR","176","167.3","-8.7","QB25","QB24","-1"
"Ka'imi Fairbairn","K","HOU","177","165.7","-11.3","K06","K04","-2"
"Chris Boswell","K","PIT","178","171.3","-6.7","K07","K05","-2"
"DAL DST","DST","DAL","179","242.0","63.0","DST10","DST22","12"
"Adam Thielen","WR","CAR","180","173.7","-6.3","WR66","WR65","-1"
"Roschon Johnson","RB","CHI","181","200.0","19.0","RB53","RB62","9"
"SEA DST","DST","SEA","182","242.3","60.3","DST11","DST23","12"
"Mike Gesicki","TE","CIN","183","201.7","18.7","TE21","TE27","6"
"LAC DST","DST","LAC","184","261.0","77.0","DST12","DST27","15"
"NE DST","DST","NE","185","248.3","63.3","DST13","DST26","13"
"LA DST","DST","LA","186","232.7","46.7","DST14","DST16","2"
"NYG DST","DST","NYG","187","230.7","43.7","DST15","DST15","0"
"Najee Harris","RB","LAC","188","116.3","-71.7","RB54","RB40","-14"
"NYJ DST","DST","NYJ","189","246.7","57.7","DST16","DST25","9"
"Wan'Dale Robinson","WR","NYG","190","193.5","3.5","WR67","WR71","4"
"IND DST","DST","IND","191","285.0","94.0","DST17","DST29","12"
"CLE DST","DST","CLE","192","266.0","74.0","DST18","DST28","10"
"CHI DST","DST","CHI","193","224.0","31.0","DST19","DST14","-5"
"ARI DST","DST","ARI","194","234.5","40.5","DST20","DST18","-2"
"Younghoe Koo","K","ATL","195","218.7","23.7","K08","K13","5"
"Will Reichard","K","MIN","196","268.7","72.7","K09","K31","22"
"Chase McLaughlin","K","TB","197","193.3","-3.7","K10","K07","-3"
"Isaiah Likely","TE","BAL","198","185.7","-12.3","TE22","TE21","-1"
"Jake Elliott","K","PHI","199","224.7","25.7","K11","K15","4"
"Jalen McMillan","WR","TB","200","169.7","-30.3","WR68","WR62","-6"
"DET DST","DST","DET","201","181.7","-19.3","DST21","DST08","-13"
"Brandon McManus","K","GB","202","211.0","9.0","K12","K09","-3"
"Chig Okonkwo","TE","TEN","203","192.0","-11.0","TE23","TE24","1"
"GB DST","DST","GB","204","238.7","34.7","DST22","DST19","-3"
"JAX DST","DST","JAX","205","289.0","84.0","DST23","DST31","8"
"LV DST","DST","LV","206","287.0","81.0","DST24","DST30","6"
"Spencer Shrader","K","IND","207","240.0","33.0","K13","K16","3"
"WAS DST","DST","WAS","208","210.0","2.0","DST25","DST11","-14"
"Daniel Carlson","K","LV","209","248.0","39.0","K14","K28","14"
"Jason Sanders","K","MIA","210","244.0","34.0","K15","K26","11"
"Harrison Butker","K","KC","211","187.0","-24.0","K16","K06","-10"
"Evan McPherson","K","CIN","212","218.3","6.3","K17","K12","-5"
"Geno Smith","QB","LV","213","173.7","-39.3","QB26","QB25","-1"
"Jerome Ford","RB","CLE","214","148.0","-66.0","RB55","RB48","-7"
"Xavier Legette","WR","CAR","215","184.0","-31.0","WR69","WR69","0"
"Matthew Stafford","QB","LA","216","174.3","-41.7","QB27","QB26","-1"
"CAR DST","DST","CAR","217","240.0","23.0","DST26","DST20","-6"
"CIN DST","DST","CIN","218","246.0","28.0","DST27","DST24","-3"
"Woody Marks","RB","HOU","219","192.0","-27.0","RB56","RB61","5"
"Rico Dowdle","RB","CAR","220","153.0","-67.0","RB57","RB52","-5"
"Will Shipley","RB","PHI","221","207.5","-13.5","RB58","RB64","6"
"NO DST","DST","NO","222","292.0","70.0","DST28","DST32","4"
"TB DST","DST","TB","223","222.0","-1.0","DST29","DST13","-16"
"MIA DST","DST","MIA","224","221.5","-2.5","DST30","DST12","-18"
"Demario Douglas","WR","NE","225","183.0","-42.0","WR70","WR68","-2"
"Cade Otton","TE","TB","226","183.0","-43.0","TE24","TE20","-4"
"Jake Moody","K","SF","227","256.5","29.5","K18","K30","12"
"Miles Sanders","RB","DAL","228","221.0","-7.0","RB59","RB66","7"
"Justice Hill","RB","BAL","229","189.5","-39.5","RB60","RB59","-1"
"TEN DST","DST","TEN","230","233.0","3.0","DST31","DST17","-14"
"ATL DST","DST","ATL","231","240.0","9.0","DST32","DST20","-12"
"Tyler Loop","K","BAL","232","220.7","-11.3","K19","K14","-5"
"Joshua Karty","K","LA","233","247.5","14.5","K20","K27","7"
"Nick Chubb","RB","HOU","234","141.3","-92.7","RB61","RB46","-15"
"Pat Freiermuth","TE","PIT","235","201.3","-33.7","TE25","TE26","1"
"Elijah Arroyo","TE","SEA","236","188.0","-48.0","TE26","TE22","-4"
"Theo Johnson","TE","NYG","237","282.0","45.0","TE27","TE56","29"
"Tyler Bass","K","BUF","238","217.3","-20.7","K21","K11","-10"
"Alec Pierce","WR","IND","239","220.5","-18.5","WR71","WR75","4"
"Tahj Brooks","RB","CIN","240","221.0","-19.0","RB62","RB66","4"
"Jaylen Wright","RB","MIA","241","168.0","-73.0","RB63","RB56","-7"
"Harold Fannin Jr.","TE","CLE","242","275.5","33.5","TE28","TE55","27"
"DJ Giddens","RB","IND","243","217.0","-26.0","RB64","RB65","1"
"Wil Lutz","K","DEN","244","211.3","-32.7","K22","K10","-12"
"Quentin Johnston","WR","LAC","245","216.0","-29.0","WR72","WR74","2"
"Mason Taylor","TE","NYJ","246","196.0","-50.0","TE29","TE25","-4"
"Juwan Johnson","TE","NO","247","264.0","17.0","TE30","TE53","23"
"Jarquez Hunter","RB","LA","248","224.5","-23.5","RB65","RB70","5"
"Tyler Higbee","TE","LA","249","282.0","33.0","TE31","TE56","25"
"Jaylin Noel","WR","HOU","250","257.0","7.0","WR73","WR120","47"
"Ja'Tavion Sanders","TE","CAR","251","245.5","-5.5","TE32","TE51","19"
"Noah Gray","TE","KC","252","286.0","34.0","TE33","TE59","26"
"Kareem Hunt","RB","KC","253","173.3","-79.7","RB66","RB57","-9"
"Dont'e Thornton Jr.","WR","LV","254","202.0","-52.0","WR74","WR73","-1"
"John Parker Romo","K","NE","255","240.0","-15.0","K23","K16","-7"
"Blake Grupe","K","NO","256","240.0","-16.0","K24","K16","-8"
"Pat Bryant","WR","DEN","257","231.5","-25.5","WR75","WR76","1"
"Jack Bech","WR","LV","258","171.3","-86.7","WR76","WR63","-13"
"Blake Corum","RB","LA","259","191.7","-67.3","RB67","RB60","-7"
"Dalton Schultz","TE","HOU","260","217.5","-42.5","TE34","TE28","-6"
