"Name","Position","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif"
"Jarquez Hunter","RB","LA","241","301.3","60.3","RB66","RB86","20"
"Pat Freiermuth","TE","PIT","242","204.2","-37.8","TE25","TE22","-3"
"Theo Johnson","TE","NYG","243","278.3","35.3","TE26","TE40","14"
"John Parker Romo","K","NE","244","240.0","-4.0","K23","K21","-2"
"Blake Grupe","K","NO","245","295.7","50.7","K24","K29","5"
"Sean Tucker","RB","TB","246","275.7","29.7","RB67","RB80","13"
"Tyler Shough","QB","NO","247","283.0","36.0","QB28","QB35","7"
"Samaje Perine","RB","CIN","248","265.3","17.3","RB68","RB76","8"
"Blake Corum","RB","LA","249","220.0","-29.0","RB69","RB60","-9"
"Aaron Rodgers","QB","PIT","250","206.6","-43.4","QB29","QB28","-1"
"Sam Darnold","QB","SEA","251","196.8","-54.2","QB30","QB26","-4"
"Jaxson Dart","QB","NYG","252","232.3","-19.8","QB31","QB31","0"
"Quentin Johnston","WR","LAC","253","213.6","-39.4","WR71","WR72","1"
"Harold Fannin Jr.","TE","CLE","254","341.8","87.8","TE27","TE52","25"
"Elijah Arroyo","TE","SEA","255","229.8","-25.2","TE28","TE29","1"
"Trevor Etienne","RB","CAR","256","263.8","7.8","RB70","RB75","5"
"Juwan Johnson","TE","NO","257","266.3","9.3","TE29","TE38","9"
"Alec Pierce","WR","IND","258","228.5","-29.5","WR72","WR73","1"
"Jaylin Noel","WR","HOU","259","263.3","4.3","WR73","WR86","13"
"Jason Myers","K","SEA","260","233.0","-27.0","K25","K19","-6"
"Ja'Tavion Sanders","TE","CAR","261","264.4","3.4","TE30","TE37","7"
"Tyler Higbee","TE","LA","262","269.3","7.3","TE31","TE39","8"
"Cam Little","K","JAX","263","205.0","-58.0","K26","K13","-13"
"Ollie Gordon II","RB","MIA","264","275.3","11.3","RB71","RB79","8"
"Mason Taylor","TE","NYJ","265","227.8","-37.3","TE32","TE27","-5"
"Keaton Mitchell","RB","BAL","266","248.3","-17.8","RB72","RB69","-3"
"Kyle Monangai","RB","CHI","267","256.0","-11.0","RB73","RB71","-2"
"Noah Gray","TE","KC","268","258.8","-9.3","TE33","TE36","3"
"Pat Bryant","WR","DEN","269","283.0","14.0","WR74","WR99","25"
"Jordan James","RB","SF","270","281.3","11.3","RB74","RB84","10"
"Jack Bech","WR","LV","271","238.3","-32.7","WR75","WR74","-1"
"Dont'e Thornton Jr.","WR","LV","272","243.0","-29.0","WR76","WR80","4"
"Dalton Schultz","TE","HOU","273","226.4","-46.6","TE34","TE26","-8"
"Jalen Coker","WR","CAR","274","269.7","-4.3","WR77","WR90","13"
"Joey Slye","K","TEN","275","323.7","48.7","K27","K31","4"
"Dyami Brown","WR","JAX","276","282.8","6.8","WR78","WR98","20"
"Michael Wilson","WR","ARI","277","278.3","1.3","WR79","WR94","15"
"Darius Slayton","WR","NYG","278","273.0","-5.0","WR80","WR91","11"
"Graham Gano","K","NYG","279","295.0","16.0","K28","K28","0"
"Matthew Wright","K","CAR","280","240.0","-40.0","K29","K21","-8"
"Nick Folk","K","NYJ","281","286.5","5.5","K30","K27","-3"
"Elic Ayomanor","WR","TEN","282","255.7","-26.3","WR81","WR83","2"
"Tory Horton","WR","SEA","283","273.6","-9.4","WR82","WR92","10"
"Malik Washington","WR","MIA","284","368.5","84.5","WR83","WR126","43"
"Parker Washington","WR","JAX","285","358.5","73.5","WR84","WR121","37"
"Tre Tucker","WR","LV","286","281.0","-5.0","WR85","WR97","12"
"Devin Neal","RB","NO","287","367.3","80.3","RB75","RB92","17"
"Isaac TeSlaa","WR","DET","288","254.2","-33.8","WR86","WR82","-4"
"Ray-Ray McCloud","WR","ATL","289","268.3","-20.7","WR87","WR88","1"
"Tutu Atwell","WR","LA","290","296.3","6.3","WR88","WR104","16"
"Tyler Lockett","WR","TEN","291","241.3","-49.7","WR89","WR79","-10"
"Nick Westbrook-Ikhine","WR","MIA","292","293.5","1.5","WR90","WR102","12"
"Raheem Mostert","RB","LV","293","232.6","-60.4","RB76","RB62","-14"
"Calvin Austin III","WR","PIT","294","245.4","-48.6","WR91","WR81","-10"
"Josh Reynolds","WR","NYJ","295","411.5","116.5","WR92","WR132","40"
"Dustin Hopkins","K","CLE","296","240.0","-56.0","K31","K21","-10"
"Darren Waller","TE","MIA","297","210.5","-86.5","TE35","TE25","-10"
"Jalen Royals","WR","KC","298","295.6","-2.4","WR93","WR103","10"
"MarShawn Lloyd","RB","GB","299","245.8","-53.2","RB77","RB67","-10"
"Terrance Ferguson","TE","LA","300","309.8","9.8","TE36","TE42","6"
