"Name","Pos","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif","id"
"Rashee Rice","WR","KC","62","58.8","-3.2","WR34","WR25","-9","4428331"
"Jerry Jeudy","WR","CLE","63","74.2","11.2","WR35","WR33","-2","4241463"
"Sam LaPorta","TE","DET","64","53.5","-10.5","TE04","TE04","0","4430027"
"David Montgomery","RB","DET","65","59.3","-5.7","RB22","RB22","0","4035538"
"Jakobi Meyers","WR","LV","66","87.5","21.5","WR36","WR38","2","3916433"
"Aaron Jones","RB","MIN","67","64.8","-2.2","RB23","RB25","2","3042519"
"Tony Pollard","RB","TEN","68","69.2","1.2","RB24","RB26","2","3916148"
"Rome Odunze","WR","CHI","69","81.5","12.5","WR37","WR35","-2","4431299"
"Jauan Jennings","WR","SF","70","102.5","32.5","WR38","WR45","7","3886598"
"Stefon Diggs","WR","NE","71","85.5","14.5","WR39","WR37","-2","2976212"
"Joe Burrow","QB","CIN","72","34.5","-37.5","QB05","QB04","-1","3915511"
"D'Andre Swift","RB","CHI","73","59.0","-14.0","RB25","RB21","-4","4259545"
"Deebo Samuel","WR","WAS","74","84.2","10.2","WR40","WR36","-4","3126486"
"Isiah Pacheco","RB","KC","75","64.0","-11.0","RB26","RB24","-2","4361529"
"Ricky Pearsall","WR","SF","76","95.5","19.5","WR41","WR43","2","4428209"
"Jaylen Warren","RB","PIT","77","89.3","12.3","RB27","RB30","3","4569987"
"T.J. Hockenson","TE","MIN","78","63.2","-14.8","TE05","TE05","0","4036133"
"Matthew Golden","WR","GB","79","95.3","16.3","WR42","WR42","0","4701936"
"Travis Kelce","TE","KC","80","63.7","-16.3","TE06","TE06","0","15847"
"Jordan Addison","WR","MIN","81","92.2","11.2","WR43","WR40","-3","4429205"
"Jayden Reed","WR","GB","82","116.5","34.5","WR44","WR47","3","4362249"
"Kaleb Johnson","RB","PIT","83","76.8","-6.2","RB28","RB28","0","4819231"
"Josh Downs","WR","IND","84","126.2","42.2","WR45","WR50","5","4688813"
"Patrick Mahomes","QB","KC","85","50.5","-34.5","QB06","QB06","0","3139477"
"Tyrone Tracy Jr.","RB","NYG","86","83.7","-2.3","RB29","RB29","0","4360516"
"Khalil Shakir","WR","BUF","87","100.8","13.8","WR46","WR44","-2","4373678"
"Travis Etienne","RB","JAX","88","99.0","11.0","RB30","RB32","2","4239996"
"Jordan Mason","RB","MIN","89","108.7","19.7","RB31","RB35","4","4360569"
"Kyler Murray","QB","ARI","90","86.0","-4.0","QB07","QB09","2","3917315"
"Brock Purdy","QB","SF","91","99.8","8.8","QB08","QB10","2","4361741"
"Justin Fields","QB","NYJ","92","110.7","18.7","QB09","QB13","4","4362887"
"Tyler Warren","TE","IND","93","97.7","4.7","TE07","TE10","3","4431459"
"Caleb Williams","QB","CHI","94","121.7","27.7","QB10","QB15","5","4431611"
"Mark Andrews","TE","BAL","95","74.5","-20.5","TE08","TE07","-1","3116365"
"Baker Mayfield","QB","TB","96","63.7","-32.3","QB11","QB07","-4","3052587"
"Michael Pittman","WR","IND","97","118.5","21.5","WR47","WR48","1","4035687"
"David Njoku","TE","CLE","98","87.3","-10.7","TE09","TE09","0","3123076"
"Evan Engram","TE","DEN","99","85.0","-14.0","TE10","TE08","-2","3051876"
"Zach Charbonnet","RB","SEA","100","116.8","16.8","RB32","RB39","7","4426385"
"J.K. Dobbins","RB","DEN","101","109.0","8.0","RB33","RB36","3","4241985"
"Rashid Shaheed","WR","NO","102","147.8","45.8","WR48","WR54","6","4032473"
"Darnell Mooney","WR","ATL","103","140.3","37.3","WR49","WR52","3","4040655"
"Cooper Kupp","WR","SEA","104","88.2","-15.8","WR50","WR39","-11","2977187"
"Dak Prescott","QB","DAL","105","104.8","-0.2","QB12","QB12","0","2577417"
"Bo Nix","QB","DEN","106","71.7","-34.3","QB13","QB08","-5","4426338"
"Justin Herbert","QB","LAC","107","112.3","5.3","QB14","QB14","0","4038941"
"Cam Skattebo","RB","NYG","108","103.7","-4.3","RB34","RB34","0","4696981"
"Keon Coleman","WR","BUF","109","123.5","14.5","WR51","WR49","-2","4635008"
"Colston Loveland","TE","CHI","110","115.2","5.2","TE11","TE12","1","4723086"
"Dallas Goedert","TE","PHI","111","136.7","25.7","TE12","TE15","3","3121023"
"Rhamondre Stevenson","RB","NE","112","113.0","1.0","RB35","RB38","3","4569173"
"Drake Maye","QB","NE","113","132.7","19.7","QB15","QB17","2","4431452"
"Jordan Love","QB","GB","114","139.5","25.5","QB16","QB18","2","4036378"
"Dalton Kincaid","TE","BUF","115","131.2","16.2","TE13","TE13","0","4385690"
"Jake Ferguson","TE","DAL","116","139.5","23.5","TE14","TE16","2","4242355"
"Jacory Croskey-Merritt","RB","WAS","117","146.0","29.0","RB36","RB46","10","4575131"
"J.J. McCarthy","QB","MIN","118","144.0","26.0","QB17","QB19","2","4433970"
"Rachaad White","RB","TB","119","141.0","22.0","RB37","RB44","7","4697815"
"Jared Goff","QB","DET","120","101.8","-18.2","QB18","QB11","-7","3046779"
"Jayden Higgins","WR","HOU","121","146.5","25.5","WR52","WR53","1","4877706"
"Bhayshul Tuten","RB","JAX","122","158.0","36.0","RB38","RB49","11","4882093"
"Christian Kirk","WR","HOU","123","152.3","29.3","WR53","WR55","2","3895856"
"Tucker Kraft","TE","GB","124","113.5","-10.5","TE15","TE11","-4","4572680"
"Javonte Williams","RB","DAL","125","109.8","-15.2","RB39","RB37","-2","4361579"
"C.J. Stroud","QB","HOU","126","131.2","5.2","QB19","QB16","-3","4432577"
"Austin Ekeler","RB","WAS","127","136.7","9.7","RB40","RB41","1","3068267"
"Luther Burden III","WR","CHI","128","171.0","43.0","WR54","WR60","6","4685278"
"Jaydon Blue","RB","DAL","129","139.5","10.5","RB41","RB43","2","4685279"
"Quinshon Judkins","RB","CLE","130","95.3","-34.7","RB42","RB31","-11","4685702"
"Trevor Lawrence","QB","JAX","131","161.0","30.0","QB20","QB20","0","4360310"
"Braelon Allen","RB","NYJ","132","155.2","23.2","RB43","RB48","5","4685247"
"Keenan Allen","WR","LAC","133","154.2","21.2","WR55","WR56","1","15818"
"Chris Godwin","WR","TB","134","94.2","-39.8","WR56","WR41","-15","3116165"
"Tyler Allgeier","RB","ATL","135","168.0","33.0","RB44","RB52","8","4373626"
"Tyjae Spears","RB","TEN","136","142.7","6.7","RB45","RB45","0","4428557"
"Trey Benson","RB","ARI","137","161.5","24.5","RB46","RB51","5","4429275"
"Kyle Pitts","TE","ATL","138","135.0","-3.0","TE16","TE14","-2","4360248"
"Rashod Bateman","WR","BAL","139","172.2","33.2","WR57","WR61","4","4360939"
"Dylan Sampson","RB","CLE","140","185.4","45.4","RB47","RB56","9","5081397"
"Marvin Mims Jr.","WR","DEN","141","154.5","13.5","WR58","WR57","-1","4686472"
"Marquise Brown","WR","KC","142","167.8","25.8","WR59","WR59","0","4241372"
"Tank Bigsby","RB","JAX","143","139.2","-3.8","RB48","RB42","-6","4429013"
"Michael Penix Jr.","QB","ATL","144","182.7","38.7","QB21","QB24","3","4360423"
"Cam Ward","QB","TEN","145","177.3","32.3","QB22","QB22","0","4688380"
"Romeo Doubs","WR","GB","146","204.0","58.0","WR60","WR68","8","4361432"
"Tua Tagovailoa","QB","MIA","147","171.5","24.5","QB23","QB21","-2","4241479"
"DEN DST","DST","DEN","148","107.7","-40.3","DST01","DST01","0","-16007"
"Joe Mixon","RB","HOU","149","74.2","-74.8","RB49","RB27","-22","3116385"
"Bryce Young","QB","CAR","150","182.3","32.3","QB24","QB23","-1","4685720"
"Brandon Aubrey","K","DAL","151","111.8","-39.2","K01","K01","0","3953687"
"Zach Ertz","TE","WAS","152","155.5","3.5","TE17","TE18","1","15835"
"Tre Harris","WR","LAC","153","155.3","2.3","WR61","WR58","-3","4686612"
"Matt Gay","K","WAS","154","207.2","53.2","K02","K14","12","4249087"
"Kyle Williams","WR","NE","155","193.0","38.0","WR62","WR65","3","4613202"
"Brenton Strange","TE","JAX","156","200.3","44.3","TE18","TE21","3","4430539"
"Ray Davis","RB","BUF","157","172.7","15.7","RB50","RB54","4","4429501"
"Cedric Tillman","WR","CLE","158","200.7","42.7","WR63","WR67","4","4369863"
"Wan'Dale Robinson","WR","NYG","159","192.5","33.5","WR64","WR64","0","4569587"
"Josh Palmer","WR","BUF","160","198.8","38.8","WR65","WR66","1","4242433"
"Najee Harris","RB","LAC","161","131.7","-29.3","RB51","RB40","-11","4241457"
"Jerome Ford","RB","CLE","162","168.3","6.3","RB52","RB53","1","4372019"
"PIT DST","DST","PIT","163","133.8","-29.2","DST02","DST04","2","-16023"
"HOU DST","DST","HOU","164","139.0","-25.0","DST03","DST06","3","-16034"
"Geno Smith","QB","LV","165","198.7","33.7","QB25","QB26","1","15864"
"PHI DST","DST","PHI","166","115.3","-50.7","DST04","DST02","-2","-16021"
"Matthew Stafford","QB","LA","167","186.7","19.7","QB26","QB25","-1","12483"
"BUF DST","DST","BUF","168","138.5","-29.5","DST05","DST05","0","-16002"
"Cameron Dicker","K","LAC","169","135.5","-33.5","K03","K03","0","4362081"
"BAL DST","DST","BAL","170","121.7","-48.3","DST06","DST03","-3","-16033"
"SF DST","DST","SF","171","166.3","-4.7","DST07","DST09","2","-16025"
"Brandon Aiyuk","WR","SF","172","135.5","-36.5","WR66","WR51","-15","4360438"
"Chad Ryland","K","ARI","173","297.0","124.0","K04","K28","24","4363538"
"Jonnu Smith","TE","PIT","174","139.8","-34.2","TE19","TE17","-2","3054212"
"MIN DST","DST","MIN","175","144.8","-30.2","DST08","DST07","-1","-16016"
"Jake Bates","K","DET","176","132.2","-43.8","K05","K02","-3","4689936"
"Ka'imi Fairbairn","K","HOU","177","167.2","-9.8","K06","K06","0","2971573"
"Chris Boswell","K","PIT","178","156.0","-22.0","K07","K05","-2","17372"
"Adam Thielen","WR","CAR","179","173.0","-6.0","WR67","WR62","-5","16460"
"KC DST","DST","KC","180","171.7","-8.3","DST09","DST10","1","-16012"
"Justice Hill","RB","BAL","181","210.8","29.8","RB53","RB59","6","4038441"
"Woody Marks","RB","HOU","182","265.3","83.3","RB54","RB76","22","4429059"
"Cade Otton","TE","TB","183","203.7","20.7","TE20","TE23","3","4243331"
"Hunter Henry","TE","NE","184","168.7","-15.3","TE21","TE19","-2","3046439"
"DAL DST","DST","DAL","185","209.5","24.5","DST10","DST15","5","-16006"
"SEA DST","DST","SEA","186","196.2","10.2","DST11","DST11","0","-16026"
"LAC DST","DST","LAC","187","206.5","19.5","DST12","DST14","2","-16024"
"Younghoe Koo","K","ATL","188","214.0","26.0","K08","K16","8","3049899"
"LA DST","DST","LA","189","216.7","27.7","DST13","DST18","5","-16014"
"NE DST","DST","NE","190","221.0","31.0","DST14","DST21","7","-16017"
"Will Reichard","K","MIN","191","236.8","45.8","K09","K19","10","4567104"
"NYG DST","DST","NYG","192","219.5","27.5","DST15","DST20","5","-16019"
"Chase McLaughlin","K","TB","193","144.5","-48.5","K10","K04","-6","3150744"
"NYJ DST","DST","NYJ","194","229.0","35.0","DST16","DST24","8","-16020"
"IND DST","DST","IND","195","260.0","65.0","DST17","DST26","9","-16011"
"Chig Okonkwo","TE","TEN","196","204.0","8.0","TE22","TE24","2","4360635"
"CLE DST","DST","CLE","197","232.5","35.5","DST18","DST25","7","-16005"
"Jake Elliott","K","PHI","198","169.7","-28.3","K11","K07","-4","3050478"
"Rico Dowdle","RB","CAR","199","184.8","-14.2","RB55","RB55","0","4038815"
"Mike Gesicki","TE","CIN","200","244.0","44.0","TE23","TE34","11","3116164"
"ARI DST","DST","ARI","201","211.2","10.2","DST19","DST16","-3","-16022"
"CHI DST","DST","CHI","202","213.2","11.2","DST20","DST17","-3","-16003"
"Brandon McManus","K","GB","203","233.2","30.2","K12","K18","6","16339"
"DET DST","DST","DET","204","165.8","-38.2","DST21","DST08","-13","-16008"
"GB DST","DST","GB","205","197.3","-7.7","DST22","DST12","-10","-16009"
"JAX DST","DST","JAX","206","285.5","79.5","DST23","DST30","7","-16030"
"Daniel Carlson","K","LV","207","219.0","12.0","K13","K17","4","3051909"
"LV DST","DST","LV","208","264.5","56.5","DST24","DST27","3","-16013"
"Spencer Shrader","K","IND","209","403.0","194.0","K14","K32","18","4571557"
"Jason Sanders","K","MIA","210","182.3","-27.7","K15","K09","-6","3124679"
"WAS DST","DST","WAS","211","218.3","7.3","DST25","DST19","-6","-16028"
"Harrison Butker","K","KC","212","173.8","-38.2","K16","K08","-8","3055899"
"Xavier Legette","WR","CAR","213","183.7","-29.3","WR68","WR63","-5","4430034"
"Roschon Johnson","RB","CHI","214","225.2","11.2","RB56","RB61","5","4426386"
"Nick Chubb","RB","HOU","215","153.0","-62.0","RB57","RB47","-10","3128720"
"Evan McPherson","K","CIN","216","207.8","-8.2","K17","K15","-2","4360234"
"Will Shipley","RB","PHI","217","229.4","12.4","RB58","RB62","4","4431545"
"Ollie Gordon II","RB","MIA","218","254.5","36.5","RB59","RB73","14","4711533"
"Isaiah Likely","TE","BAL","219","188.8","-30.2","TE24","TE20","-4","4361050"
"CAR DST","DST","CAR","220","302.0","82.0","DST26","DST32","6","-16029"
"Tahj Brooks","RB","CIN","221","287.5","66.5","RB60","RB83","23","4429299"
"CIN DST","DST","CIN","222","228.8","6.8","DST27","DST23","-4","-16004"
"Demario Douglas","WR","NE","223","209.4","-13.6","WR69","WR70","1","4427095"
"NO DST","DST","NO","224","272.3","48.3","DST28","DST28","0","-16018"
"MIA DST","DST","MIA","225","273.8","48.8","DST29","DST29","0","-16015"
"TB DST","DST","TB","226","202.0","-24.0","DST30","DST13","-17","-16027"
"Jake Moody","K","SF","227","245.2","18.2","K18","K23","5","4372066"
"Tyler Loop","K","BAL","228","192.5","-35.5","K19","K12","-7","4697745"
"DJ Giddens","RB","IND","229","247.3","18.3","RB61","RB70","9","4874509"
"Joshua Karty","K","LA","230","250.7","20.7","K20","K24","4","4566192"
"Daniel Jones","QB","IND","231","291.3","60.3","QB27","QB36","9","3917792"
"TEN DST","DST","TEN","232","291.5","59.5","DST31","DST31","0","-16010"
"Brian Robinson","RB","SF","233","99.8","-133.2","RB62","RB33","-29","4241474"
"ATL DST","DST","ATL","234","228.7","-5.3","DST32","DST22","-10","-16001"
"Tyler Bass","K","BUF","235","183.8","-51.2","K21","K10","-11","3917232"
"Kareem Hunt","RB","KC","236","202.4","-33.6","RB63","RB58","-5","3059915"
"Wil Lutz","K","DEN","237","191.3","-45.7","K22","K11","-11","2985659"
"Jaylen Wright","RB","MIA","238","185.5","-52.5","RB64","RB57","-7","4682745"
"Jarquez Hunter","RB","LA","239","289.0","50.0","RB65","RB84","19","4710341"
"Pat Freiermuth","TE","PIT","240","203.0","-37.0","TE25","TE22","-3","4361411"
"Theo Johnson","TE","NYG","241","273.0","32.0","TE26","TE37","11","4429148"
"Mason Taylor","TE","NYJ","242","231.5","-10.5","TE27","TE28","1","4808766"
"Tyler Shough","QB","NO","243","287.0","44.0","QB28","QB35","7","4360689"
"Isaac Guerendo","RB","SF","244","158.3","-85.7","RB66","RB50","-16","4372561"
"John Parker Romo","K","NE","245","240.0","-5.0","K23","K21","-2","4051167"
"Sean Tucker","RB","TB","246","275.3","29.3","RB67","RB80","13","4430871"
"Blake Grupe","K","NO","247","299.0","52.0","K24","K29","5","4259619"
"Samaje Perine","RB","CIN","248","270.3","22.3","RB68","RB78","10","3116389"
"Blake Corum","RB","LA","249","220.3","-28.8","RB69","RB60","-9","4429096"
"Aaron Rodgers","QB","PIT","250","205.0","-45.0","QB29","QB28","-1","8439"
"Kyle Monangai","RB","CHI","251","252.8","1.8","RB70","RB72","2","4608686"
"Sam Darnold","QB","SEA","252","201.2","-50.8","QB30","QB27","-3","3912547"
"Jaxson Dart","QB","NYG","253","229.8","-23.3","QB31","QB30","-1","4689114"
"Quentin Johnston","WR","LAC","254","222.0","-32.0","WR70","WR72","2","4429025"
"Harold Fannin Jr.","TE","CLE","255","336.5","81.5","TE28","TE49","21","5083076"
"Elijah Arroyo","TE","SEA","256","220.3","-35.8","TE29","TE26","-3","4678006"
"Trevor Etienne","RB","CAR","257","263.0","6.0","RB71","RB75","4","4685350"
"Juwan Johnson","TE","NO","258","270.3","12.3","TE30","TE36","6","3929645"
"Chris Rodriguez Jr.","RB","WAS","259","336.8","77.8","RB72","RB90","18","4362619"
"Pat Bryant","WR","DEN","260","274.8","14.8","WR71","WR94","23","4600981"
"Jaylin Noel","WR","HOU","261","266.8","5.8","WR72","WR85","13","4586312"
"Jason Myers","K","SEA","262","239.7","-22.3","K25","K20","-5","2473037"
"Ja'Tavion Sanders","TE","CAR","263","280.8","17.8","TE31","TE38","7","4431588"
"Jalen Coker","WR","CAR","264","270.3","6.3","WR73","WR88","15","4695883"
"Tyler Higbee","TE","LA","265","287.8","22.8","TE32","TE40","8","2573401"
"Cam Little","K","JAX","266","197.3","-68.7","K26","K13","-13","4686361"
"Brashard Smith","RB","KC","267","281.3","14.3","RB73","RB82","9","4596602"
"Keaton Mitchell","RB","BAL","268","245.3","-22.8","RB74","RB67","-7","4596334"
"Jack Bech","WR","LV","269","204.0","-65.0","WR74","WR68","-6","4603186"
"Noah Gray","TE","KC","270","261.3","-8.8","TE33","TE35","2","4240472"
"Dont'e Thornton Jr.","WR","LV","271","235.8","-35.3","WR75","WR75","0","4432775"
"Miles Sanders","RB","DAL","272","232.5","-39.5","RB75","RB64","-11","4045163"
"Dalton Schultz","TE","HOU","273","231.0","-42.0","TE34","TE27","-7","3117256"
"Joey Slye","K","TEN","274","329.0","55.0","K27","K31","4","3124084"
"Dyami Brown","WR","JAX","275","280.8","5.8","WR76","WR97","21","4361577"
"Michael Wilson","WR","ARI","276","281.3","5.3","WR77","WR98","21","4360761"
"Darius Slayton","WR","NYG","277","272.8","-4.3","WR78","WR90","12","3916945"
"Graham Gano","K","NYG","278","294.3","16.3","K28","K27","-1","12460"
"Matthew Wright","K","CAR","279","240.0","-39.0","K29","K21","-8","3128444"
"Nick Folk","K","NYJ","280","284.0","4.0","K30","K26","-4","10621"
"Kendre Miller","RB","NO","281","246.0","-35.0","RB76","RB68","-8","4599739"
"Elic Ayomanor","WR","TEN","282","260.5","-21.5","WR79","WR84","5","4883647"
"Malik Washington","WR","MIA","283","373.5","90.5","WR80","WR125","45","4569603"
"Tory Horton","WR","SEA","284","273.4","-10.6","WR81","WR93","12","4597703"
"Devin Neal","RB","NO","285","377.5","92.5","RB77","RB93","16","4682652"
"Troy Franklin","WR","DEN","286","276.4","-9.6","WR82","WR96","14","4431280"
"Parker Washington","WR","JAX","287","392.7","105.7","WR83","WR129","46","4432620"
"Tre Tucker","WR","LV","288","283.5","-4.5","WR84","WR100","16","4428718"
"Isaac TeSlaa","WR","DET","289","250.8","-38.2","WR85","WR81","-4","5123663"
"Ray-Ray McCloud","WR","ATL","290","270.7","-19.3","WR86","WR89","3","3728262"
"Alec Pierce","WR","IND","291","233.3","-57.8","WR87","WR74","-13","4360078"
"Tutu Atwell","WR","LA","292","304.0","12.0","WR88","WR106","18","4360797"
"Tyler Lockett","WR","TEN","293","240.3","-52.7","WR89","WR80","-9","2577327"
"Nick Westbrook-Ikhine","WR","MIA","294","302.0","8.0","WR90","WR103","13","3929785"
"Raheem Mostert","RB","LV","295","231.0","-64.0","RB78","RB63","-15","2576414"
"Calvin Austin III","WR","PIT","296","252.2","-43.8","WR91","WR82","-9","4243389"
"Josh Reynolds","WR","NYJ","297","457.0","160.0","WR92","WR138","46","3115306"
"Dustin Hopkins","K","CLE","298","310.0","12.0","K31","K30","-1","15965"
"Darren Waller","TE","MIA","299","208.7","-90.3","TE35","TE25","-10","2576925"
"MarShawn Lloyd","RB","GB","300","247.2","-52.8","RB79","RB69","-10","4429023"
