"Player","Position","Team","ETR Rank","ADP","Ranking Diff","ETR Pos Rank","ADP Pos Rank","Pos Rank Diff","id"
"D'Andre Swift","RB","CHI","41","46.7","5.7","RB18","RB21","3","4259545"
"Colston Loveland","TE","CHI","42","41.3","-0.7","TE03","TE03","0","4723086"
"Davante Adams","WR","LA","43","56.0","13.0","WR21","WR25","4","16800"
"Tetairoa McMillan","WR","CAR","44","40.3","-3.7","WR22","WR17","-5","4685472"
"Bucky Irving","RB","TB","45","47.3","2.3","RB19","RB22","3","4596448"
"Jameson Williams","WR","DET","46","59.3","13.3","WR23","WR26","3","4426388"
"Luther Burden","WR","CHI","47","54.0","7.0","WR24","WR24","0","4685278"
"Terry McLaurin","WR","WAS","48","53.7","5.7","WR25","WR23","-2","3121422"
"Cam Skattebo","RB","NYG","49","39.3","-9.7","RB20","RB18","-2","4696981"
"Mike Evans","WR","SF","50","64.7","14.7","WR26","WR28","2","16737"
"David Montgomery","RB","HOU","51","48.0","-3.0","RB21","RB23","2","4035538"
"Jadarian Price","RB","SEA","52","58.3","6.3","RB22","RB26","4","4685512"
"DJ Moore","WR","BUF","53","49.0","-4.0","WR27","WR22","-5","3915416"
"Lamar Jackson","QB","BAL","54","40.7","-13.3","QB02","QB02","0","3916387"
"Rhamondre Stevenson","RB","NE","55","71.3","16.3","RB23","RB28","5","4569173"
"Bhayshul Tuten","RB","JAX","56","57.0","1.0","RB24","RB25","1","4882093"
"Quinshon Judkins","RB","CLE","57","45.7","-11.3","RB25","RB20","-5","4685702"
"Josh Jacobs","RB","GB","58","30.3","-27.7","RB26","RB15","-11","4047365"
"Parker Washington","WR","JAX","59","70.0","11.0","WR28","WR30","2","4432620"
"Jayden Daniels","QB","WAS","60","61.7","1.7","QB03","QB05","2","4426348"
"Tyler Warren","TE","IND","61","50.3","-10.7","TE04","TE04","0","4431459"
"TreVeyon Henderson","RB","NE","62","55.7","-6.3","RB27","RB24","-3","4432710"
"Christian Watson","WR","GB","63","68.0","5.0","WR29","WR29","0","4248528"
"DK Metcalf","WR","PIT","64","83.7","19.7","WR30","WR34","4","4047650"
"Jalen Hurts","QB","PHI","65","63.3","-1.7","QB04","QB06","2","4040715"
"Joe Burrow","QB","CIN","66","54.7","-11.3","QB05","QB04","-1","3915511"
"Jaylen Warren","RB","PIT","67","68.7","1.7","RB28","RB27","-1","4569987"
"Brian Thomas","WR","JAX","68","78.7","10.7","WR31","WR33","2","4432773"
"Carnell Tate","WR","TEN","69","75.0","6.0","WR32","WR31","-1","4871023"
"Rico Dowdle","RB","PIT","70","78.7","8.7","RB29","RB30","1","4038815"
"Rome Odunze","WR","CHI","71","62.3","-8.7","WR33","WR27","-6","4431299"
"Marvin Harrison","WR","ARI","72","76.0","4.0","WR34","WR32","-2","4432708"
"Tony Pollard","RB","TEN","73","78.0","5.0","RB30","RB29","-1","3916148"
"Drake Maye","QB","NE","74","52.7","-21.3","QB06","QB03","-3","4431452"
"Jonathon Brooks","RB","CAR","75","83.3","8.3","RB31","RB32","1","4678008"
"Tucker Kraft","TE","GB","76","65.7","-10.3","TE05","TE05","0","4572680"
"Justin Herbert","QB","LAC","77","78.7","1.7","QB07","QB08","1","4038941"
"Blake Corum","RB","LA","78","93.7","15.7","RB32","RB35","3","4429096"
"Dak Prescott","QB","DAL","79","80.0","1.0","QB08","QB09","1","2577417"
"Jordan Addison","WR","MIN","80","109.7","29.7","WR35","WR43","8","4429205"
"RJ Harvey","RB","DEN","81","85.7","4.7","RB33","RB33","0","4568490"
"Jayden Reed","WR","GB","82","112.0","30.0","WR36","WR46","10","4362249"
"Caleb Williams","QB","CHI","83","74.3","-8.7","QB09","QB07","-2","4431611"
"Quentin Johnston","WR","LAC","84","108.0","24.0","WR37","WR41","4","4429025"
"Sam LaPorta","TE","DET","85","73.7","-11.3","TE06","TE07","1","4430027"
"Courtland Sutton","WR","DEN","86","87.3","1.3","WR38","WR35","-3","3128429"
"Chuba Hubbard","RB","CAR","87","82.7","-4.3","RB34","RB31","-3","4241416"
"Jacory Croskey-Merritt","RB","WAS","88","100.7","12.7","RB35","RB38","3","4575131"
"JK Dobbins","RB","DEN","89","88.7","-0.3","RB36","RB34","-2","4241985"
"Patrick Mahomes","QB","KC","90","108.3","18.3","QB10","QB14","4","3139477"
"Josh Downs","WR","IND","91","107.7","16.7","WR39","WR40","1","4688813"
"Chris Godwin","WR","TB","92","89.0","-3.0","WR40","WR36","-4","3116165"
"Trevor Lawrence","QB","JAX","93","87.0","-6.0","QB11","QB10","-1","4360310"
"Harold Fannin","TE","CLE","94","69.7","-24.3","TE07","TE06","-1","5083076"
"MarShawn Lloyd","RB","GB","95","166.7","71.7","RB37","RB54","17","4429023"
"Kyle Pitts","TE","ATL","96","74.7","-21.3","TE08","TE08","0","4360248"
"Jordan Mason","RB","MIN","97","98.3","1.3","RB38","RB37","-1","4360569"
"Michael Wilson","WR","ARI","98","89.3","-8.7","WR41","WR37","-4","4360761"
"Matthew Stafford","QB","LA","99","105.3","6.3","QB12","QB12","0","12483"
"Jaxson Dart","QB","NYG","100","96.7","-3.3","QB13","QB11","-2","4689114"
"Alec Pierce","WR","IND","101","96.0","-5.0","WR42","WR38","-4","4360078"
"Xavier Worthy","WR","KC","102","146.7","44.7","WR43","WR53","10","4683062"
"Stefon Diggs","WR","WAS","103","110.7","7.7","WR44","WR45","1","2976212"
"Brock Purdy","QB","SF","104","110.3","6.3","QB14","QB15","1","4361741"
"Kenneth Gainwell","RB","TB","105","108.0","3.0","RB39","RB39","0","4371733"
"Makai Lemon","WR","PHI","106","106.0","0.0","WR45","WR39","-6","4870795"
"Kyle Monangai","RB","CHI","107","96.3","-10.7","RB40","RB36","-4","4608686"
"KC Concepcion","WR","CLE","108","130.3","22.3","WR46","WR49","3","4870653"
"George Kittle","TE","SF","109","88.7","-20.3","TE09","TE09","0","3040151"
"Michael Pittman","WR","PIT","110","110.0","0.0","WR47","WR44","-3","4035687"
"Matthew Golden","WR","GB","111","141.0","30.0","WR48","WR51","3","4701936"
"Kyler Murray","QB","MIN","112","128.7","16.7","QB15","QB17","2","3917315"
"Jordan Love","QB","GB","113","148.0","35.0","QB16","QB19","3","4036378"
"Bo Nix","QB","DEN","114","106.0","-8.0","QB17","QB13","-4","4426338"
"De'Zhaun Stribling","WR","SF","115","112.3","-2.7","WR49","WR47","-2","4710714"
"Rachaad White","RB","WAS","116","117.0","1.0","RB41","RB40","-1","4697815"
"Jared Goff","QB","DET","117","123.0","6.0","QB18","QB16","-2","3046779"
"Wan'Dale Robinson","WR","TEN","118","127.0","9.0","WR50","WR48","-2","4569587"
"Romeo Doubs","WR","NE","119","151.0","32.0","WR51","WR55","4","4361432"
"Jakobi Meyers","WR","JAX","120","137.3","17.3","WR52","WR50","-2","3916433"
"Dalton Kincaid","TE","BUF","121","102.7","-18.3","TE10","TE11","1","4385690"
"Chris Rodriguez","RB","JAX","122","149.7","27.7","RB42","RB45","3","4362619"
"Travis Kelce","TE","KC","123","96.3","-26.7","TE11","TE10","-1","15847"
"Dallas Goedert","TE","PHI","124","123.3","-0.7","TE12","TE14","2","3121023"
"Baker Mayfield","QB","TB","125","144.3","19.3","QB19","QB18","-1","3052587"
"Khalil Shakir","WR","BUF","126","163.3","37.3","WR53","WR57","4","4373678"
"Keaton Mitchell","RB","LAC","127","166.0","39.0","RB43","RB53","10","4596334"
"Malik Willis","QB","MIA","128","159.3","31.3","QB20","QB21","1","4242512"
"Jalen Coker","WR","CAR","129","164.3","35.3","WR54","WR58","4","4695883"
"Mark Andrews","TE","BAL","130","123.3","-6.7","TE13","TE14","1","3116365"
"Rashid Shaheed","WR","SEA","131","148.3","17.3","WR55","WR54","-1","4032473"
"Isaiah Likely","TE","NYG","132","105.0","-27.0","TE14","TE12","-2","4361050"
"Juwan Johnson","TE","NO","133","156.0","23.0","TE15","TE16","1","3929645"
"Daniel Jones","QB","IND","134","178.7","44.7","QB21","QB27","6","3917792"
"Denzel Boston","WR","CLE","135","176.7","41.7","WR56","WR61","5","4832800"
"CJ Stroud","QB","HOU","136","169.0","33.0","QB22","QB22","0","4432577"
"Jake Ferguson","TE","DAL","137","117.7","-19.3","TE16","TE13","-3","4242355"
"Tyler Shough","QB","NO","138","169.7","31.7","QB23","QB24","1","4360689"
"Jordyn Tyson","WR","NO","139","109.3","-29.7","WR57","WR42","-15","4880281"
"Sam Darnold","QB","SEA","140","150.0","10.0","QB24","QB20","-4","3912547"
"Deebo Samuel","WR","SF","141","144.7","3.7","WR58","WR52","-6","3126486"
"Aaron Jones","RB","MIN","142","122.3","-19.7","RB44","RB41","-3","3042519"
"Woody Marks","RB","HOU","143","146.3","3.3","RB45","RB44","-1","4429059"
"Hunter Henry","TE","NE","144","157.3","13.3","TE17","TE17","0","3046439"
"Mike Washington","RB","LV","145","134.3","-10.7","RB46","RB42","-4","4686658"
"Brandon Aubrey","K","DAL","146","112.7","-33.3","K01","K01","0","3953687"
"Brenton Strange","TE","JAX","147","166.3","19.3","TE18","TE18","0","4430539"
"Tyjae Spears","RB","TEN","148","165.0","17.0","RB47","RB52","5","4428557"
"Tank Bigsby","RB","PHI","149","167.7","18.7","RB48","RB55","7","4429013"
"Tre Tucker","WR","LV","150","191.0","41.0","WR59","WR67","8","4428718"
"Tyler Allgeier","RB","ARI","151","145.7","-5.3","RB49","RB43","-6","4373626"
"TJ Hockenson","TE","MIN","152","175.3","23.3","TE19","TE20","1","4036133"
"Dalton Schultz","TE","HOU","153","188.3","35.3","TE20","TE25","5","3117256"
"Chig Okonkwo","TE","WAS","154","171.3","17.3","TE21","TE19","-2","4360635"
"Keenan Allen","WR","IND","155","175.0","20.0","WR60","WR60","0","15818"
"Jonah Coleman","RB","DEN","156","153.0","-3.0","RB50","RB48","-2","4702555"
"Terrance Ferguson","TE","LA","157","183.0","26.0","TE22","TE24","2","4570037"
"SEA DST","DST","SEA","158","127.3","-30.7","DST01","DST04","3","-16026"
"Tre' Harris","WR","LAC","159","198.0","39.0","WR61","WR73","12","4686612"
"Omar Cooper","WR","NYJ","160","197.5","37.5","WR62","WR72","10","4723820"
"Bryce Young","QB","CAR","161","177.3","16.3","QB25","QB25","0","4685720"
"Ryan Flournoy","WR","DAL","162","254.0","92.0","WR63","WR144","81","5083754"
"Cameron Dicker","K","LAC","163","145.7","-17.3","K02","K03","1","4362081"
"Cameron Ward","QB","TEN","164","178.3","14.3","QB26","QB26","0","4688380"
"Cade Otton","TE","TB","165","237.5","72.5","TE23","TE30","7","4243331"
"Calvin Ridley","WR","TEN","166","206.5","40.5","WR64","WR76","12","3925357"
"Jason Myers","K","SEA","167","155.0","-12.0","K03","K04","1","2473037"
"Brian Robinson","RB","ATL","168","152.3","-15.7","RB51","RB47","-4","4241474"
"Pat Bryant","WR","DEN","169","229.5","60.5","WR65","WR81","16","4600981"
"Ray Davis","RB","BUF","170","205.5","35.5","RB52","RB63","11","4429501"
"Adonai Mitchell","WR","NYJ","171","220.0","49.0","WR66","WR79","13","4597500"
"Ka'imi Fairbairn","K","HOU","172","144.0","-28.0","K04","K02","-2","2971573"
"Kayshon Boutte","WR","HOU","173","181.0","8.0","WR67","WR62","-5","4429022"
"Dylan Sampson","RB","CLE","174","176.0","2.0","RB53","RB56","3","5081397"
"LAC DST","DST","LAC","175","200.3","25.3","DST02","DST11","9","-16024"
"Jalen McMillan","WR","TB","176","189.7","13.7","WR68","WR66","-2","4430834"
"JAX DST","DST","JAX","177","191.7","14.7","DST03","DST08","5","-16030"
"AJ Barner","TE","SEA","178","193.7","15.7","TE24","TE26","2","4576297"
"Devaughn Vele","WR","NO","179","249.0","70.0","WR69","WR142","73","4569559"
"LA DST","DST","LA","180","113.7","-66.3","DST04","DST02","-2","-16014"
"PIT DST","DST","PIT","181","196.7","15.7","DST05","DST09","4","-16023"
"Pat Freiermuth","TE","PIT","182","201.0","19.0","TE25","TE27","2","4361411"
"HOU DST","DST","HOU","183","112.7","-70.3","DST06","DST01","-5","-16034"
"Dontayvion Wicks","WR","PHI","184","196.0","12.0","WR70","WR70","0","4428850"
"PHI DST","DST","PHI","185","146.7","-38.3","DST07","DST05","-2","-16021"
"Kaelon Black","RB","SF","186","179.0","-7.0","RB54","RB57","3","4696044"
"Eddy Pineiro","K","SF","187","214.3","27.3","K05","K13","8","4034949"
"Zach Charbonnet","RB","SEA","188","150.0","-38.0","RB55","RB46","-9","4426385"
"Jalen Nailor","WR","LV","189","169.0","-20.0","WR71","WR59","-12","4382466"
"DEN DST","DST","DEN","190","126.3","-63.7","DST08","DST03","-5","-16007"
"Kenyon Sadiq","TE","NYJ","191","179.3","-11.7","TE26","TE22","-4","5083315"
"Emmett Johnson","RB","KC","192","191.0","-1.0","RB56","RB60","4","4832955"
"Malachi Fields","WR","NYG","193","212.5","19.5","WR72","WR78","6","4682648"
"Jerry Jeudy","WR","CLE","194","196.5","2.5","WR73","WR71","-2","4241463"
"Jauan Jennings","WR","MIN","195","183.3","-11.7","WR74","WR63","-11","3886598"
"MIN DST","DST","MIN","196","184.0","-12.0","DST09","DST07","-2","-16016"
"DET DST","DST","DET","197","220.3","23.3","DST10","DST17","7","-16008"
"DAL DST","DST","DAL","198","208.0","10.0","DST11","DST13","2","-16006"
"BUF DST","DST","BUF","199","213.0","14.0","DST12","DST14","2","-16002"
"TEN DST","DST","TEN","200","240.0","40.0","DST13","DST22","9","-16010"
"SF DST","DST","SF","201","221.3","20.3","DST14","DST18","4","-16025"
"KC DST","DST","KC","202","239.0","37.0","DST15","DST21","6","-16012"
"BAL DST","DST","BAL","203","197.0","-6.0","DST16","DST10","-6","-16033"
"Aaron Rodgers","QB","PIT","204","180.0","-24.0","QB27","QB28","1","8439"
"TB DST","DST","TB","205","240.0","35.0","DST17","DST22","5","-16027"
"CLE DST","DST","CLE","206","234.5","28.5","DST18","DST20","2","-16005"
"Braelon Allen","RB","NYJ","207","179.5","-27.5","RB57","RB58","1","4685247"
"NYJ DST","DST","NYJ","208","240.0","32.0","DST19","DST22","3","-16020"
"Caleb Douglas","WR","MIA","209","200.5","-8.5","WR75","WR74","-1","4869645"
"NO DST","DST","NO","210","240.0","30.0","DST20","DST22","2","-16018"
"Will Reichard","K","MIN","211","216.3","5.3","K06","K14","8","4567104"
"IND DST","DST","IND","212","240.0","28.0","DST21","DST22","1","-16011"
"NYG DST","DST","NYG","213","217.0","4.0","DST22","DST15","-7","-16019"
"Chris Boswell","K","PIT","214","217.0","3.0","K07","K15","8","17372"
"Travis Hunter","WR","JAX","215","193.0","-22.0","WR76","WR68","-8","4685415"
"Ja'Kobi Lane","WR","BAL","216","154.0","-62.0","WR77","WR56","-21","4870847"
"NE DST","DST","NE","217","173.0","-44.0","DST23","DST06","-17","-16017"
"Cam Little","K","JAX","218","165.0","-53.0","K08","K05","-3","4686361"
"Jaylin Noel","WR","HOU","219","279.0","60.0","WR78","WR152","74","4586312"
"Samaje Perine","RB","CIN","220","253.0","33.0","RB58","RB96","38","3116389"
"Seth McGowan","RB","IND","221","284.0","63.0","RB59","RB100","41","4686468"
"Jaydon Blue","RB","DAL","222","190.3","-31.7","RB60","RB59","-1","4685279"
"Tyler Loop","K","BAL","223","208.7","-14.3","K09","K11","2","4697745"
"Zachariah Branch","WR","ATL","224","229.0","5.0","WR79","WR80","1","4870612"
"Cyrus Allen","WR","KC","225","185.0","-40.0","WR80","WR64","-16","4912218"
"GB DST","DST","GB","226","217.3","-8.7","DST24","DST16","-8","-16009"
"CHI DST","DST","CHI","227","226.0","-1.0","DST25","DST19","-6","-16003"
"Germie Bernard","WR","PIT","228","250.0","22.0","WR81","WR143","62","4685261"
"Harrison Butker","K","KC","229","204.0","-25.0","K10","K10","0","3055899"
"CAR DST","DST","CAR","230","240.0","10.0","DST26","DST22","-4","-16029"
"WAS DST","DST","WAS","231","240.0","9.0","DST27","DST22","-5","-16028"
"LV DST","DST","LV","232","240.0","8.0","DST28","DST22","-6","-16013"
"Charlie Kolar","TE","LAC","233","240.0","7.0","TE27","TE32","5","4241263"
"CIN DST","DST","CIN","234","240.0","6.0","DST29","DST22","-7","-16004"
"Justice Hill","RB","BAL","235","215.5","-19.5","RB61","RB65","4","4038441"
"Gunnar Helm","TE","TEN","236","246.0","10.0","TE28","TE66","38","4686728"
"ARI DST","DST","ARI","237","240.0","3.0","DST30","DST22","-8","-16022"
"Colby Parkinson","TE","LA","238","257.5","19.5","TE29","TE67","38","4242557"
"Cooper Kupp","WR","SEA","239","201.3","-37.7","WR82","WR75","-7","2977187"
"MIA DST","DST","MIA","240","240.0","0.0","DST31","DST22","-9","-16015"
"Kimani Vidal","RB","LAC","241","231.0","-10.0","RB62","RB70","8","4430968"
"Fernando Mendoza","QB","LV","242","169.0","-73.0","QB28","QB22","-6","4837248"
"Alvin Kamara","RB","NO","243","155.7","-87.3","RB63","RB49","-14","3054850"
"Rashod Bateman","WR","BAL","244","240.0","-4.0","WR83","WR84","1","4360939"
"Demond Claiborne","RB","MIN","245","244.5","-0.5","RB64","RB94","30","4832846"
"ATL DST","DST","ATL","246","201.0","-45.0","DST32","DST12","-20","-16001"
"Jordan James","RB","SF","247","244.5","-2.5","RB65","RB94","29","4685397"
"Nicholas Singleton","RB","TEN","248","206.0","-42.0","RB66","RB64","-2","4685555"
"Greg Dulcich","TE","MIA","249","217.7","-31.3","TE30","TE28","-2","4367209"
"Chris Bell","WR","MIA","250","230.5","-19.5","WR84","WR82","-2","4869961"
"Malik Washington","WR","MIA","251","187.0","-64.0","WR85","WR65","-20","4569603"
"Chase McLaughlin","K","TB","252","238.3","-13.7","K11","K19","8","3150744"
"Jake Bates","K","DET","253","194.3","-58.7","K12","K08","-4","4689936"
"Cairo Santos","K","CHI","254","246.5","-7.5","K13","K32","19","17427"
"Harrison Mevis","K","LA","255","194.7","-60.3","K14","K09","-5","4574716"
"Oronde Gadsden","TE","LAC","256","175.7","-80.3","TE31","TE21","-10","4595342"
"Joey Slye","K","TEN","257","240.0","-17.0","K15","K20","5","3124084"
"Tyquan Thornton","WR","KC","258","240.0","-18.0","WR86","WR84","-2","4362921"
"Kaytron Allen","RB","WAS","259","225.0","-34.0","RB67","RB66","-1","4685246"
"Isiah Pacheco","RB","DET","260","157.0","-103.0","RB68","RB51","-17","4361529"
"Jahan Dotson","WR","ATL","261","292.0","31.0","WR87","WR154","67","4361409"
"Evan Engram","TE","DEN","262","259.0","-3.0","TE32","TE68","36","3051876"
"Tyrone Tracy","RB","NYG","263","155.7","-107.3","RB69","RB49","-20","4360516"
"Andy Borregales","K","NE","264","225.3","-38.7","K16","K17","1","4569923"
"Isaac TeSlaa","WR","DET","265","208.7","-56.3","WR88","WR77","-11","5123663"
"Chad Ryland","K","ARI","266","240.0","-26.0","K17","K20","3","4363538"
"Dawson Knox","TE","BUF","267","240.0","-27.0","TE33","TE32","-1","3930086"
"Evan McPherson","K","CIN","268","214.0","-54.0","K18","K12","-6","4360234"
"Michael Mayer","TE","LV","269","276.0","7.0","TE34","TE72","38","4429086"
"Antonio Williams","WR","WAS","270","257.0","-13.0","WR89","WR146","57","5081432"
"Ted Hurst","WR","TB","271","256.5","-14.5","WR90","WR145","55","5220680"
"Demario Douglas","WR","NE","272","240.0","-32.0","WR91","WR84","-7","4427095"
"Nick Folk","K","ATL","273","177.0","-96.0","K19","K07","-12","10621"
"Isaiah Davis","RB","NYJ","274","240.0","-34.0","RB70","RB72","2","4695404"
"Kalif Raymond","WR","CHI","275","240.0","-35.0","WR92","WR84","-8","2973405"
"Ryan Fitzgerald","K","CAR","276","240.0","-36.0","K20","K20","0","4568263"
"KaVontae Turpin","WR","DAL","277","240.0","-37.0","WR93","WR84","-9","3676833"
"Jake Elliott","K","PHI","278","172.0","-106.0","K21","K06","-15","3050478"
"Charlie Smyth","K","NO","279","240.0","-39.0","K22","K20","-2","5208518"
"Darnell Washington","TE","PIT","280","240.0","-40.0","TE35","TE32","-3","4430802"
"Mike Gesicki","TE","CIN","281","238.0","-43.0","TE36","TE31","-5","3116164"
"Najee Harris","RB","NYG","282","205.0","-77.0","RB71","RB62","-9","4241457"
"Marvin Mims","WR","DEN","283","240.0","-43.0","WR94","WR84","-10","4686472"
"Theo Johnson","TE","NYG","284","273.0","-11.0","TE37","TE71","34","4429148"
"Zane Gonzalez","K","MIA","285","240.0","-45.0","K23","K20","-3","3043234"
"Kendrick Bourne","WR","ARI","286","240.0","-46.0","WR95","WR84","-11","3045523"
"Chris Brooks","RB","GB","287","240.0","-47.0","RB72","RB72","0","3149687"
"George Holani","RB","SEA","288","229.0","-59.0","RB73","RB68","-5","4429835"
"Blake Grupe","K","IND","289","240.0","-49.0","K24","K20","-4","4259619"
"Joshua Palmer","WR","BUF","290","240.0","-50.0","WR96","WR84","-12","4242433"
"Brandon Aiyuk","WR","FA","291","285.5","-5.5","WR97","WR153","56","4360438"
"Malik Davis","RB","DAL","292","283.0","-9.0","RB74","RB99","25","4240603"
"Elijah Arroyo","TE","SEA","293","235.0","-58.0","TE38","TE29","-9","4678006"
"Cole Kmet","TE","CHI","294","240.0","-54.0","TE39","TE32","-7","4258595"
"Darren Waller","TE","CAR","295","268.0","-27.0","TE40","TE70","30","2576925"
"Andrei Iosivas","WR","CIN","296","240.0","-56.0","WR98","WR84","-14","4368003"
"DJ Giddens","RB","IND","297","240.0","-57.0","RB75","RB72","-3","4874509"
"Ty Johnson","RB","BUF","298","258.0","-40.0","RB76","RB97","21","3915411"
"Jake Moody","K","WAS","299","240.0","-59.0","K25","K20","-5","4372066"
"Sean Tucker","RB","TB","300","236.0","-64.0","RB77","RB71","-6","4430871"
