"Full Name",Position,"Breakout Year","College QBR","College YPA"
"Jay Cutler",QB,2003,68.3,7.2
"Jeff Driskel",QB,2011,68.6,9.0
"Jeff Mathews",QB,2011,-,9.3
"Jeff Tuel",QB,-,53.9,7.0
"Jeremiah Briscoe",QB,-,-,7.7
"Jerod Evans",QB,2016,74.0,8.4
"Jerry Lovelocke",QB,-,-,5.8
"Jimmy Garoppolo",QB,2011,-,8.9
"Joe Callahan",QB,-,-,10.2
"Joe Flacco",QB,2006,-,8.2
"Joe Licata",QB,2014,51.9,6.6
"Joe Webb",QB,2008,64.3,8.5
"Joel Stave",QB,2013,60.1,7.3
"John Skelton",QB,2007,-,8.4
"John Wolford",QB,2016,77.6,8.5
"Johnny Manziel",QB,2012,90.3,9.6
"Jon Jennings",QB,2011,-,10.1
"Jordan Palmer",QB,2004,56.8,8.4
"Jordan Ta'amu",QB,2017,72.1,9.5
"Josh Allen",QB,2016,63.2,7.7
"Josh Freeman",QB,2007,63.0,7.7
"Josh Johnson",QB,2005,-,9.9
"Josh McCown",QB,-,-,6.0
"Josh Rosen",QB,2015,67.1,7.9
"Josh Woodrum",QB,-,-,7.1
"Joshua Dobbs",QB,2014,79.8,8.3
"Justice Hansen",QB,2017,54.6,7.9
"K.J. Carta-Samuels",QB,-,44.9,7.6
"Keith Price",QB,2011,68.9,8.4
"Keith Wenning",QB,2011,73.9,8.3
"Kellen Clemens",QB,2005,74.1,8.3
"Kellen Moore",QB,2008,89.8,9.3
"Kenny Hill",QB,2014,75.7,8.1
"Kevin Hogan",QB,2013,85.9,9.4
"Kevin Kolb",QB,2005,65.3,8.8
"Kevin Rodgers",QB,2012,-,8.4
"Kirk Cousins",QB,2009,72.3,8.1
"Kolton Browning",QB,2012,69.6,6.7
"Kory Faulkner",QB,2013,-,7.3
"Kurt Benkert",QB,2016,49.2,6.3
"Kyle Allen",QB,2014,77.8,7.0
"Kyle Kempt",QB,2017,72.1,6.3
"Kyle Lauletta",QB,-,-,6.9
"Kyle Orton",QB,2004,67.6,7.9
"Kyle Shurmer",QB,2017,72.7,7.7
"Kyle Sloter",QB,-,-,8.4
"Kyler Murray",QB,2018,95.8,11.6
"Lamar Jackson",QB,2015,85.0,8.5
"Lamar Raynard",QB,-,-,7.2
"Landry Jones",QB,2010,79.2,7.8
"Logan Kilgore",QB,2011,56.4,7.4
"Logan Woodside",QB,2016,75.2,9.7
"Luis Perez",QB,-,-,4.2
"Luke Falk",QB,2014,64.4,7.1
"Luke McCown",QB,2000,-,7.5
"Malik Zaire",QB,-,-,6.2
"Marcus Mariota",QB,2012,90.9,10.0
"Marcus McMaryion",QB,2017,77.5,8.5
"Mark Sanchez",QB,2008,83.3,8.8
"Marquise Williams",QB,2013,77.9,8.6
"Mason Rudolph",QB,2015,84.9,10.7
"Matt Barkley",QB,2010,80.5,8.2
"Matt Blanchard",QB,2010,-,8.9
"Matt Cassel",QB,-,-,6.9
"Matt Flynn",QB,2007,66.5,6.7
"Matt Hasselbeck",QB,-,-,7.3
"Matt McGloin",QB,2012,64.3,7.3
"Matt Moore",QB,2006,65.7,8.0
"Matt Ryan",QB,2005,70.6,7.3
"Matt Schaub",QB,2002,-,7.2
"Matt Simms",QB,-,40.1,7.5
"Matthew Stafford",QB,2007,77.4,9.0
"McLeod Bethel-Thompson",QB,-,-,6.4
"Michael Vick",QB,1999,-,11.3
"Mike Bercovici",QB,2015,65.9,7.3
"Mike Glennon",QB,2011,54.9,7.1
"Mike Kafka",QB,2009,62.1,7.0
"Mike White",QB,2016,64.3,9.0
"Mitch Leidner",QB,2013,62.7,7.4
"Mitchell Trubisky",QB,2015,83.6,8.4
"Nate Sudfeld",QB,2013,75.6,8.7
"Nathan Peterman",QB,2015,81.2,9.3
"Nic Shimonek",QB,2017,72.1,12.1
"Nick Fitzgerald",QB,2016,68.5,6.3
"Nick Foles",QB,2009,69.0,7.7
"Nick Mullens",QB,2015,62.0,8.6
"Nick Stevens",QB,2015,76.4,9.0
"Pat Devlin",QB,2009,-,8.9
"Patrick Mahomes",QB,2014,82.5,8.5
"Paxton Lynch",QB,2014,77.4,8.5
"Peter Pujals",QB,-,-,6.5
"Peyton Manning",QB,1995,-,8.3
"Philip Rivers",QB,2000,-,9.3
"Phillip Walker",QB,2013,65.2,8.3
"Richard Lagow",QB,2016,59.7,6.6
"Ricky Stanzi",QB,2010,70.7,8.7
"Riley Ferguson",QB,2016,70.3,9.0
"Robert Griffin III",QB,2008,82.5,10.7
"Russell Wilson",QB,2008,93.9,10.3
"Ryan Finley",QB,2016,79.5,7.7
"Ryan Fitzpatrick",QB,2003,-,8.6
"Ryan Griffin",QB,2012,51.3,7
"Ryan Higgins",QB,-,-,9.3
"Ryan Lindley",QB,2009,74.5,8.1
"Ryan Mallett",QB,2009,75.4,9.4
"Ryan Nassib",QB,2011,66.7,8.0
"Ryan Tannehill",QB,2010,68.3,7.1
"Sam Bradford",QB,2007,91.6,9.8
"Sam Darnold",QB,2016,80.4,8.5
"Scott Tolzien",QB,2009,80.4,9.2
"Sean Maguire",QB,-,-,5.4
"Sean Mannion",QB,2012,74.1,7.4
"Sean Renfree",QB,2012,64.4,7.1
"Sefo Liufau",QB,2013,62.7,7.5
"Seneca Wallace",QB,2001,-,7.3
"Seth Lobato",QB,2011,-,6.7
"Seth Russell",QB,2015,79.0,9.1
"Shane Carden",QB,2012,73.0,7.6
"Shaun Hill",QB,2001,-,7.2
"Stephen Morris",QB,2012,70.2,8.8
"T.J. Yates",QB,2010,67.7,8.1
"Tajh Boyd",QB,2011,79.8,9.3
"Tanner Lee",QB,2017,61.5,7.3
"Tarvaris Jackson",QB,2003,-,9.2
"Taylor Cornelius",QB,2018,77.0,8.2
"Taylor Heinicke",QB,2012,-,8.0
"Taysom Hill",QB,2013,67.3,6.5
"Teddy Bridgewater",QB,2011,83.9,9.3
"Thaddeus Lewis",QB,2008,-,7.4
"Tom Brady",QB,1998,-,7.5
"Tom Savage",QB,2013,62.9,7.6
"Tommy Armstrong",QB,2013,70.2,7.5
"Tommy Rees",QB,2011,-,7.9
"Tony Romo",QB,2000,-,8.9
"Trace McSorley",QB,2016,72.6,7.7
"Travis Partridge",QB,2011,-,7.5
"Travis Wilson",QB,2013,62.9,6.8
"Trent Edwards",QB,2005,58.1,7.2
"Trevone Boykin",QB,2012,82.1,9.0
"Trevor Knight",QB,2014,74.8,7.0
"Trevor Siemian",QB,2013,57.8,6.4
"Tyler Bray",QB,2010,73.7,8.0
"Tyler Ferguson",QB,-,-,5.7
"Tyler Wilson",QB,2011,72.6,8.4
"Tyree Jackson",QB,2017,74.8,7.7
"Tyrod Taylor",QB,2009,79.0,8.7
"Vernon Adams",QB,2015,80.0,10.2
"Wes Lunt",QB,2014,46.6,6.6
"Will Grier",QB,2017,81.9,9.7
"Zac Dysert",QB,2011,61.7,7.5
"Zac Robinson",QB,2007,78.8,8.4
"Zach Mettenberger",QB,2013,85.7,10.4
"Zach Terrell",QB,2014,81.9,9.4
"Zach Zulli",QB,2011,-,8.7
