player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Jonathan Taylor,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,241.32,1103.25,7.45,28.19,45.19,213.88,1.59,196.53,11,60,
Garrett Wilson,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,93.81,153.58,1103.45,6.73,195.97,18,61,
Bucky Irving,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,201.79,947.39,7.13,37.78,47.13,277.65,1.85,193.29,12,62,
Jauan Jennings,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,14.53,73.32,0.53,76.42,127.1,1012,7.37,192.78,19,63,
D.K. Metcalf,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,75.33,131.39,1112.79,7.35,192.04,20,64,
Zay Flowers,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,5.51,28.11,0.22,74.78,114.63,1050.29,7.34,190.93,21,65,
Kenneth Walker III,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,205.36,881.22,7.26,39.82,53.04,303.57,1.72,190.91,13,66,
Kyren Williams,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,208.19,925.92,8.61,35.71,46.61,231.42,1.48,190.55,14,67,
Trey McBride,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,103.86,140.88,1029.34,5.93,190.1,2,68,
George Kittle,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,76.4,110.55,1087.99,6.71,187.26,3,69,
Omarion Hampton,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,183.51,810.08,6.63,42.38,56.72,323.45,2.21,185.54,15,70,
Davante Adams,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,83.03,139.9,979.64,7.57,185.24,22,71,
James Conner,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,192.9,870.33,7.75,36.12,45.09,265.28,1.65,184.66,16,72,
Courtland Sutton,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,77.37,132.3,1022.89,7.39,183.95,23,73,
Isiah Pacheco,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,215.3,942.53,6.98,34.03,43.47,223.91,1.29,181.18,17,74,
Alvin Kamara,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,201.85,824.01,4.59,47.83,65.5,326.64,2.42,180.62,18,75,
Aaron Jones,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,215.03,960.66,5.54,37.03,53.71,236.84,2.08,178.87,19,76,
DeVonta Smith,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,82.98,120.24,997.23,6.15,177.43,24,77,
James Cook,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,203.48,959.7,6.71,24.31,33.2,211.06,1.4,176.95,20,78,
Calvin Ridley,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,73.1,128.22,1018.45,5.87,172.88,25,80,
Deebo Samuel,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,9.84,50.82,0.54,73.58,112.28,943.21,5.74,172.51,26,81,
Chris Godwin,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,82.41,117.84,933.35,6.43,172.1,27,82,
Jerry Jeudy,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,78.79,124.53,1082.24,3.82,170.88,28,83,
D'Andre Swift,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,224.27,967.96,6.34,23.94,33.05,172.13,0.96,168.06,21,84,
D.J. Moore,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,9.44,49.35,0.37,85.21,132.21,880.47,5.06,167.49,29,85,
Jakobi Meyers,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,81.23,124.18,999.49,4.5,166.94,30,86,
Stefon Diggs,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,83.23,128.17,924.67,5.4,165.8,31,87,
Cooper Kupp,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,76.4,117.86,877.1,6.55,164.45,32,88,
Chris Olave,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,79.4,131.05,903.25,5.83,164.03,33,89,
Mark Andrews,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,67.78,96.37,820.93,7.98,163.52,4,90,
Marvin Mims,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,67.99,106.43,915.56,6.41,162.99,34,91,
Xavier Worthy,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,74.41,117.97,889.99,6.12,162.86,35,92,
David Montgomery,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,180.5,747.03,7.59,26.11,35.32,226.54,1.33,162.19,22,93,
Jaylen Warren,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,180.11,801.19,4.59,40.65,54.73,275.87,1.68,160.93,23,94,
Travis Kelce,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,88.45,122.06,791.51,6.36,160.52,5,95,
Jameson Williams,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,4.9,25.15,0.2,57.2,97.07,901.8,6.31,160.02,36,96,
T.J. Hockenson,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,82.41,125.35,821.21,6.03,158.87,6,97,
Travis Etienne,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,172.16,734.8,4.66,39.63,55.18,291.51,1.45,158.09,24,98,
Austin Ekeler,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,125.4,537.67,5.69,43.81,56.15,371.44,2.57,157.5,25,99,
Michael Pittman Jr.,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,68.69,127.54,927.3,5.17,157.42,37,100,
Rashid Shaheed,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,4.8,24.62,0.19,65.22,109.22,891.91,5.32,156.3,38,101,
Tony Pollard,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,192.2,854.11,4.78,32.6,42.73,196.06,1.16,155.6,26,102,
Keon Coleman,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,60.83,102.36,888.22,5.96,154.96,39,103,
George Pickens,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,67.53,119.03,956.73,4.42,154.94,40,104,
Tyler Lockett,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,71.9,106.86,866.6,5.3,154.07,41,105,
Jaylen Waddle,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,73.92,110.96,873.65,4.85,153.43,42,106,
Matthew Golden,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,64.2,110.01,818.87,6.39,151.99,43,107,
Jayden Reed,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,62.56,99.01,831.24,6.42,151.52,44,108,
TreVeyon Henderson,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,225.89,953.69,5.71,16.1,21.37,125.2,0.57,151.14,27,109,
Travis Hunter,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,9.06,46.24,0.33,68.41,113.06,825.48,4.56,150.38,45,110,
Chuba Hubbard,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,186.89,793.92,5.5,31,42.8,190.39,1.03,150.11,28,111,
Ricky Pearsall,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,9.68,49.18,0.36,58.28,99.47,787.3,5.6,148.21,46,112,
Javonte Williams,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,200.59,824.79,3.69,34.63,47.61,199.37,1.22,146.81,29,113,
Joe Mixon,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,179.05,724.71,5.41,28.1,37.61,186.6,1.19,145.12,30,114,
Khalil Shakir,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,65.35,99.59,785.73,5.55,143.87,47,115,
David Njoku,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,79.42,118.59,786.31,4.21,142.62,7,116,
Sam LaPorta,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,63.85,94.14,745.05,5.95,142.13,8,117,
Darnell Mooney,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,61.36,106.61,812.5,4.88,141.55,48,118,
Tyrone Tracy Jr.,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,178.25,760.18,4.79,29.82,43.67,207.53,0.96,140.48,31,119,
Rashee Rice,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,63.95,93.19,790.43,4.91,139.72,49,120,
J.K. Dobbins,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,138.81,666.53,5.74,25.84,34.52,167.99,1.35,139.03,32,121,
Zach Charbonnet,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,160.7,682.94,4.96,26.42,35.36,199,1.14,138,33,122,
Rome Odunze,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,64.31,110.19,787.28,4.62,137.92,50,123,
Jerome Ford,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,184.03,785.08,3.9,23.97,32.52,173.14,0.9,136.61,34,124,
Brian Robinson,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,184.42,775.4,5.62,17.29,22.48,113.89,0.76,133.13,35,125,
Josh Downs,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,57.71,106.31,740.06,4.99,132.8,51,126,
Rachaad White,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,132.93,536.02,3.39,38.64,47.13,294.49,2.02,132.11,36,127,
Jordan Mason,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,150.99,682.04,5.44,21.7,29.83,154.78,1.09,131.03,37,128,
Najee Harris,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,137.63,552.8,4.72,29.06,39.69,202.11,1.51,127.42,38,129,
Tyjae Spears,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,160.17,674.59,4.21,25.06,32.05,182.02,0.88,126.97,39,130,
RJ Harvey,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,153.19,678.36,5.41,17.21,23.03,128.75,0.9,125.76,40,131,
Tre Harris,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,54.04,90.71,692.95,4.87,125.24,52,132,
Kaleb Johnson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,140.08,619.67,4.59,24.3,32.84,180.87,1.08,124.52,41,133,
Xavier Legette,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,4.65,23.54,0.17,61.21,107,682.04,3.65,123.74,53,134,
Marquise Brown,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,55.24,95.87,629.26,4.78,118.47,54,135,
Tyler Warren,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,55.79,95.67,643.91,4.29,117.69,9,136,
Jordan Addison,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,50.23,83.7,611.58,5.17,117.29,55,137,
Rashod Bateman,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.52,72.93,657.86,4.82,116.97,56,138,
Tetairoa McMillan,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,56.31,90.92,688.75,3.26,116.43,57,139,
Jake Ferguson,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,69.91,104.15,605.39,3.56,115.47,10,140,
Dylan Sampson,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,139.84,587.43,2.81,28.21,38.44,216.08,1.05,115.16,42,141,
Blake Corum,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,126.71,531.05,3.83,27.08,34.97,199.77,1.04,114.72,43,142,
Dalton Kincaid,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,57.57,85.77,600.46,4.23,113.87,11,143,
Cedric Tillman,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,54.16,88.95,669.49,3.14,112.53,58,144,
Khalil Herbert,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,150.84,673.27,4.14,13.38,21.25,102.99,0.77,112.14,44,145,
Adam Thielen,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,55.97,85.59,614.94,3.74,111.58,59,146,
Quentin Johnston,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.29,79.37,582.13,4.38,107.64,60,147,
Rico Dowdle,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,149.5,646.3,3.68,15.47,21.39,109.6,0.54,106.72,45,148,
Tank Bigsby,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,149.48,628.2,4.45,13.81,19.3,99.96,0.53,106.12,46,149,
Cam Skattebo,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,130.71,574.8,3.3,19.58,27.28,152.32,0.67,104.6,47,150,
Wan'Dale Robinson,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,61.46,98.22,550.21,3.06,104.45,61,151,
Evan Engram,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,59.84,83.43,522.64,3.84,104.28,12,152,
Jaylen Wright,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,152.22,638.03,3.87,13.54,17.53,88.77,0.55,104.05,48,153,
Christian Kirk,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.41,75.23,602.78,3.39,103.48,62,154,
Allen Lazard,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.17,78.11,556.59,3.98,102.96,63,155,
Marquez Valdes-Scantling,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,6.69,34.17,0.24,36.78,76.64,586.71,3.5,102.92,64,156,
Woody Marks,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,99.72,420.16,3.12,28.14,37.61,203.35,1.27,101.4,49,157,
Diontae Johnson,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.73,83.01,626.25,2.61,101.31,65,158,
Isaiah Likely,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,45.11,65.1,520.41,4.33,100.46,13,159,
Tucker Kraft,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.68,66.01,539.44,3.88,99.3,14,160,
Luther Burden III,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,4.73,23.96,0.19,45.22,77.12,542.05,3.21,99.27,66,161,
Zach Ertz,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,53.18,75.8,473.99,4.04,98.23,15,162,
Trey Benson,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,142.25,607.68,4.87,6.58,8.44,49.17,0.32,98.2,50,163,
Calvin Austin III,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,4.98,25.38,0.22,41.6,71.18,538.95,3.37,98.09,67,164,
MarShawn Lloyd,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,116.71,492.6,3.87,16.18,22.01,123.32,0.9,96.8,51,165,
Tre Tucker,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,43.65,70.55,567.64,2.97,96.41,68,166,
Mike Gesicki,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,52.81,78.23,467.68,3.54,94.41,16,167,
Rhamondre Stevenson,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,110.54,480.43,2.79,25.9,34.73,153.84,0.93,94.22,52,168,
Cade Otton,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,49.29,70.7,467.14,3.67,92.7,17,169,
Brenton Strange,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,51.57,77.21,495.95,2.88,92.32,18,170,
Romeo Doubs,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.17,66.01,481.28,4.11,91.95,69,171,
Alec Pierce,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,30.39,66.44,569.67,3.2,91.36,70,172,
Zamir White,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,112.19,463.64,2.22,22.93,31.03,164.13,0.97,91.16,53,173,
Dontayvion Wicks,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.51,66.01,475.38,4.25,91.03,71,174,
Dallas Goedert,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.85,65.14,504.37,2.98,90.92,19,175,
Emeka Egbuka,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.74,61.86,473.55,3.59,88.97,72,176,
Jaleel McLaughlin,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,47.86,207.6,1.1,42.12,57.53,248.48,2.45,87.29,54,177,
Tutu Atwell,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,4.54,23.01,0.18,39.9,64.13,474.03,2.6,86.17,73,178,
Dalton Schultz,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,45.24,69.43,444,3.13,85.74,20,179,
Jordan Whittington,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.28,64.13,493.24,2.63,85.08,74,180,
Tyler Conklin,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,45.25,68.05,427.57,3.23,84.42,21,181,
Zack Moss,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,94.74,395.39,2.87,19.93,26.06,132.73,0.95,84.36,55,182,
Kareem Hunt,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,86.55,338.79,3.4,19.51,25.86,138.24,1.05,84.16,56,183,
Troy Franklin,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.11,69.04,436.55,3.5,83.53,75,184,
Jalen McMillan,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.15,58.93,433.9,3.56,82.98,76,185,
Michael Wilson,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,4.81,24.78,0.22,35.55,56.34,441.14,2.84,82.39,77,186,
Hunter Henry,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,42.75,64.1,440.61,2.83,82.26,22,187,
Van Jefferson,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.26,64.11,484.4,2.55,82.17,78,188,
Kyle Pitts,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.39,65.6,446.42,2.87,81.86,23,189,
Josh Palmer,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,33.5,55.33,480.35,2.87,81.67,79,190,
Chigoziem Okonkwo,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.21,64.11,449.38,2.29,81.24,24,191,
Juwan Johnson,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,42.58,65.5,406.6,3.27,81.15,25,192,
Dyami Brown,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.47,66.18,465.94,2.53,80.51,80,193,
Will Dissly,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.18,56.72,413.51,3.13,80.38,26,194,
Ray Davis,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,114.45,478.19,3.23,8.17,11.06,68.09,0.44,80.05,57,195,
DeAndre Hopkins,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,33.67,54.7,410.19,3.74,79.71,81,196,
Keaton Mitchell,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,96.44,423.31,2.59,13.51,18.23,108.14,0.86,79.58,58,197,
Demario Douglas,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.52,64.1,449.12,2.37,79.05,82,198,
Jayden Higgins,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,34.7,57.87,420.64,2.7,75.27,83,199,
AJ Barner,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.87,58.93,389.18,2.68,75.09,27,200,
Darren Waller,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.83,58.4,406.74,2.33,74.23,28,201,
Antonio Gibson,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,67.27,282.97,1.64,24.04,32.05,197.36,0.93,73.87,59,202,
Tyler Allgeier,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,102.3,449.28,2.67,8.37,10.92,63.65,0.35,73.6,60,203,
Raheem Mostert,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,54.92,268.06,2.04,23.49,31.03,178.07,0.94,73.48,61,204,
Tyler Higbee,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.68,61.2,386.42,2.36,73.32,29,205,
Kendrick Bourne,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,36.21,53.42,425.28,2.19,73.09,84,206,
Braelon Allen,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,84.16,350.98,2.53,16.01,21.55,112.99,0.69,73.04,62,207,
Isaac Guerendo,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,116.19,503.03,3.43,2.02,2.77,16.97,0.17,71.95,63,208,
Ray-Ray McCloud,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,5.13,27.01,0.19,35.28,54.64,396.46,2.4,71.79,85,209,
Jalen Tolbert,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,34.76,59.51,390.97,2.53,70.98,86,210,
Quinshon Judkins,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,71.13,299.56,1.92,20.53,26.98,158.82,0.69,70.72,64,211,
Jonnu Smith,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,36.99,54.73,362.84,2.7,70.3,30,212,
Nick Chubb,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,81.6,398.54,2.92,8.45,11.58,65.49,0.38,70.01,65,213,
Jha'Quan Jackson,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,33.17,53.42,403.71,2.37,69.82,87,214,
