Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1368,Ty Montgomery II,NO,WR,17,0,0,0,32.4,0.1,7.5,70.8,0.2,0,0,0,0,0.9,15.67
1369,Sewo Olonilua,DAL,FB,17,0,0,0,66.7,0.4,4.5,32.8,0.2,0,0,0,0,0.9,15.4
1370,Keith Smith,ATL,FB,17,0,0,0,44.2,0.3,6.5,48.5,0.2,0,0,0,0,0.9,15.32
1371,Noah Spence,NO,DE,17,0,0,0,0,0,0,0,0,1.1,0.1,0.1,0.1,0.9,15.17
1372,L.J. Fort,BAL,OLB,3,0,0,0,0,0,0,0,0,0.3,0,0.2,0.1,5.1,15.16
1373,Tre Norwood,PIT,DB,17,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.9,15.07
1374,Breiden Fehoko,LAC,NT,17,0,0,0,0,0,0,0,0,0.5,0.1,0.2,0.1,0.9,15.05
1375,Tarell Basham,DAL,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.3,0.1,0.9,15.04
1376,Ben Burr-Kirven,SEA,OLB,3,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0.1,5,15
1377,Joe Ostman,PHI,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.9,14.99
1378,Ola Adeniyi,TEN,OLB,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.9,14.92
1379,Josh Metellus,MIN,S,17,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.9,14.87
1380,Hercules Mata'afa,MIN,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.1,0.1,0.9,14.84
1381,Jason Strowbridge,MIA,DE,17,0,0,0,0,0,0,0,0,0.8,0.2,0.2,0.1,0.9,14.81
1382,Jonathan Ledbetter,MIA,DL,17,0,0,0,0,0,0,0,0,1,0.1,0.2,0.1,0.9,14.8
1383,Michael Dogbe,ARI,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.9,14.74
1384,Mike White,NYJ,QB,17,266.2,1.4,1.1,6.4,0.1,0,0,0,0,0,0,0,0.9,14.69
1385,Lavert Hill,PHI,CB,17,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.9,14.67
1386,Kawaan Baker,NO,WR,17,0,0,0,0,0,9,101,0,0,0,0,0,0.9,14.6
