rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_half_ppr_per_gp,fpts_half_ppr
21,22564,Ja'Marr Chase,CIN,WR,17,0.0,0.0,0.0,13.2,0.0,114.9,1499.8,10.6,0.0,0.0,0.0,0.0,16.0,271.8
22,17959,Derrick Henry,BAL,RB,17,0.0,0.0,0.0,1561.6,13.6,17.4,167.1,1.8,0.0,0.0,0.0,0.0,16.0,271.2
23,22490,Trevor Lawrence,JAX,QB,17,4008.2,23.8,13.5,258.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,270.4
24,24958,Drake Maye,NE,QB,17,3657.5,23.6,14.2,477.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,269.3
25,23239,C.J. Stroud,HOU,QB,17,4102.2,25.2,10.9,224.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,267.7
26,21677,Tua Tagovailoa,MIA,QB,17,4262.9,26.8,12.0,82.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,259.4
27,14895,Geno Smith,LV,QB,17,3972.3,23.1,12.8,250.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,254.9
28,21685,Justin Jefferson,MIN,WR,17,0.0,0.0,0.0,3.8,0.0,105.9,1491.1,8.3,0.0,0.0,0.0,0.0,14.8,251.6
29,23132,Bryce Young,CAR,QB,17,3540.0,23.1,12.4,291.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,251.3
30,9038,Matthew Stafford,LAR,QB,17,4153.7,26.6,10.9,43.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,250.9
31,18877,Christian McCaffrey,SF,RB,17,0.0,0.0,0.0,1066.0,7.7,60.3,527.4,3.0,0.0,0.0,0.0,0.0,14.7,249.9
32,24179,De'Von Achane,MIA,RB,17,0.0,0.0,0.0,926.2,7.2,70.5,538.8,4.4,0.0,0.0,0.0,0.0,14.6,248.8
33,20824,Josh Jacobs,GB,RB,17,0.0,0.0,0.0,1219.0,11.1,38.3,320.5,1.8,0.0,0.0,0.0,0.0,14.6,247.5
34,25868,Ashton Jeanty,LV,RB,17,0.0,0.0,0.0,1214.5,8.7,49.4,391.1,2.4,0.0,0.0,0.0,0.0,14.5,246.3
35,23242,Michael Penix Jr.,ATL,QB,17,3923.8,23.3,13.6,155.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,245.1
36,21682,Jonathan Taylor,IND,RB,17,0.0,0.0,0.0,1405.6,10.4,25.5,185.4,1.9,0.0,0.0,0.0,0.0,14.3,242.4
37,21679,CeeDee Lamb,DAL,WR,17,0.0,0.0,0.0,70.7,0.4,111.1,1371.8,6.8,0.0,0.0,0.0,0.0,14.2,241.6
38,19812,Sam Darnold,SEA,QB,17,3847.9,22.5,14.1,201.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,240.5
39,24172,Puka Nacua,LAR,WR,17,0.0,0.0,0.0,73.7,1.0,107.0,1411.0,5.3,0.0,0.0,0.0,0.0,14.1,239.2
40,25323,Cam Ward,TEN,QB,17,3639.3,21.7,14.2,285.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,238.1
41,24967,Bucky Irving,TB,RB,17,0.0,0.0,0.0,1169.0,8.2,46.7,372.9,2.1,0.0,0.0,0.0,0.0,13.9,236.5
42,24953,Malik Nabers,NYG,WR,17,0.0,0.0,0.0,16.3,0.1,108.1,1342.1,7.7,0.0,0.0,0.0,0.0,13.9,236.1
43,21756,Nico Collins,HOU,WR,17,0.0,0.0,0.0,1.5,0.0,90.5,1320.0,9.8,0.0,0.0,0.0,0.0,13.9,235.8
44,23212,Kyren Williams,LAR,RB,17,0.0,0.0,0.0,1192.6,11.4,32.5,205.0,2.4,0.0,0.0,0.0,0.0,13.8,234.2
45,2593,Aaron Rodgers,PIT,QB,17,3588.2,23.6,10.1,107.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,227.2
46,24933,Brian Thomas Jr.,JAX,WR,17,0.0,0.0,0.0,36.5,0.1,89.9,1291.4,7.9,0.0,0.0,0.0,0.0,13.2,225.1
47,23247,James Cook,BUF,RB,17,0.0,0.0,0.0,1038.1,10.3,33.7,276.1,2.3,0.0,0.0,0.0,0.0,13.0,221.3
48,22587,Amon-Ra St. Brown,DET,WR,17,0.0,0.0,0.0,20.1,0.1,106.7,1201.6,7.5,0.0,0.0,0.0,0.0,12.9,219.7
49,21042,A.J. Brown,PHI,WR,17,0.0,0.0,0.0,0.0,0.0,83.6,1264.7,8.5,0.0,0.0,0.0,0.0,12.8,218.1
50,24374,Chase Brown,CIN,RB,17,0.0,0.0,0.0,908.1,7.5,52.1,360.3,2.9,0.0,0.0,0.0,0.0,12.5,213.3
51,23151,Drake London,ATL,WR,17,0.0,0.0,0.0,1.9,0.0,92.5,1173.1,8.3,0.0,0.0,0.0,0.0,12.5,213.1
52,21690,Tee Higgins,CIN,WR,17,0.0,0.0,0.0,0.0,0.0,88.6,1123.0,9.5,0.0,0.0,0.0,0.0,12.5,212.4
53,18878,Alvin Kamara,NO,RB,17,0.0,0.0,0.0,905.9,5.5,63.5,482.2,1.8,0.0,0.0,0.0,0.0,12.5,211.8
54,22526,Breece Hall,NYJ,RB,17,0.0,0.0,0.0,1009.0,6.7,45.9,388.2,2.1,0.0,0.0,0.0,0.0,12.5,211.7
55,25097,Ladd McConkey,LAC,WR,17,0.0,0.0,0.0,1.3,0.0,90.7,1202.9,7.5,0.0,0.0,0.0,0.0,12.4,210.2
56,18983,James Conner,ARI,RB,17,0.0,0.0,0.0,1003.5,7.9,40.9,326.6,1.7,0.0,0.0,0.0,0.0,12.3,208.5
57,16470,Davante Adams,LAR,WR,17,0.0,0.0,0.0,0.1,0.0,85.3,1151.2,8.5,0.0,0.0,0.0,0.0,12.3,208.4
58,18858,Joe Mixon,HOU,RB,17,0.0,0.0,0.0,939.2,9.1,39.1,316.0,1.7,0.0,0.0,0.0,0.0,12.2,207.3
59,21691,Chuba Hubbard,CAR,RB,17,0.0,0.0,0.0,1091.6,8.0,41.1,231.7,1.5,0.0,0.0,0.0,0.0,12.1,206.1
60,23214,Kenneth Walker III,SEA,RB,17,0.0,0.0,0.0,962.0,8.4,43.7,307.4,1.4,0.0,0.0,0.0,0.0,12.0,204.8
61,18082,Tyreek Hill,MIA,WR,17,0.0,0.0,0.0,38.4,0.2,88.9,1132.1,6.3,0.0,0.0,0.0,0.0,11.8,200.1
62,24943,Brock Bowers,LV,TE,17,0.0,0.0,0.0,13.4,0.1,101.2,1105.7,5.7,0.0,0.0,0.0,0.0,11.6,196.9
63,16597,Mike Evans,TB,WR,17,0.0,0.0,0.0,3.7,0.0,77.6,1058.3,8.5,0.0,0.0,0.0,0.0,11.5,195.6
64,20873,Terry McLaurin,WAS,WR,17,0.0,0.0,0.0,5.3,0.0,78.2,1073.5,8.3,0.0,0.0,0.0,0.0,11.5,195.6
65,23251,Trey McBride,ARI,TE,17,0.0,0.0,0.0,0.6,0.0,104.5,1065.5,5.6,0.0,0.0,0.0,0.0,11.3,192.1
66,24974,Marvin Harrison Jr.,ARI,WR,17,0.0,0.0,0.0,0.0,0.0,73.6,1048.6,8.2,0.0,0.0,0.0,0.0,11.2,189.7
67,24120,Rashee Rice,KC,WR,17,0.0,0.0,0.0,4.6,0.0,91.7,1048.1,6.5,0.0,0.0,0.0,0.0,11.1,189.5
68,20875,DK Metcalf,PIT,WR,17,0.0,0.0,0.0,0.0,0.0,72.8,1087.0,7.4,0.0,0.0,0.0,0.0,11.0,187.5
69,19063,George Kittle,SF,TE,17,0.0,0.0,0.0,0.0,0.0,74.8,1016.9,7.9,0.0,0.0,0.0,0.0,11.0,186.3
70,23157,Jaxon Smith-Njigba,SEA,WR,17,0.0,0.0,0.0,28.2,0.1,89.9,1047.9,5.5,0.0,0.0,0.0,0.0,10.9,185.6
71,19844,DJ Moore,CHI,WR,17,0.0,0.0,0.0,57.7,0.1,87.8,1034.0,5.4,0.0,0.0,0.0,0.0,10.9,184.7
72,20882,David Montgomery,DET,RB,17,0.0,0.0,0.0,818.2,9.6,31.7,261.7,0.9,0.0,0.0,0.0,0.0,10.8,184.4
73,22005,Jordyn Brooks,MIA,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.6,1.1,0.6,10.8,183.9
74,25956,Omarion Hampton,LAC,RB,17,0.0,0.0,0.0,902.5,7.3,34.2,269.2,1.6,0.0,0.0,0.0,0.0,10.8,183.5
75,24924,Xavier Worthy,KC,WR,17,0.0,0.0,0.0,107.5,1.8,70.6,861.2,6.4,0.0,0.0,0.0,0.0,10.6,181.0
76,19045,Aaron Jones,MIN,RB,17,0.0,0.0,0.0,890.2,4.7,43.9,337.4,1.9,0.0,0.0,0.0,0.0,10.6,180.9
77,21687,DeVonta Smith,PHI,WR,17,0.0,0.0,0.0,1.2,0.0,80.4,958.4,7.5,0.0,0.0,0.0,0.0,10.6,180.8
78,21684,D'Andre Swift,CHI,RB,17,0.0,0.0,0.0,898.9,5.8,38.3,312.3,1.4,0.0,0.0,0.0,0.0,10.6,180.7
79,17085,Alex Singleton,DEN,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,1.1,0.5,10.6,180.5
80,21985,Kenneth Murray Jr.,DAL,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.7,1.1,0.5,10.6,179.9
81,23122,Garrett Wilson,NYJ,WR,17,0.0,0.0,0.0,15.0,0.1,86.2,1045.4,5.3,0.0,0.0,0.0,0.0,10.5,179.3
82,21134,Kaden Elliss,ATL,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.7,1.1,0.5,10.4,177.1
83,23187,Tyler Shough,NO,QB,17,2814.3,16.0,11.4,201.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,176.7
84,19800,Courtland Sutton,DEN,WR,17,0.0,0.0,0.0,0.3,0.0,73.1,972.7,7.3,0.0,0.0,0.0,0.0,10.4,176.4
85,20912,Tony Pollard,TEN,RB,17,0.0,0.0,0.0,961.1,5.3,37.9,250.5,1.0,0.0,0.0,0.0,0.0,10.3,175.1
86,21907,Zack Baun,PHI,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2,1.0,0.5,10.3,174.5
87,20024,Zaire Franklin,IND,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.7,1.2,0.6,10.3,174.5
88,19827,Roquan Smith,BAL,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.8,1.0,0.5,10.2,174.1
89,22804,Jamien Sherwood,NYJ,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.4,0.9,0.4,10.2,173.1
90,23120,Zay Flowers,BAL,WR,17,0.0,0.0,0.0,53.7,0.2,73.5,1022.2,4.5,0.0,0.0,0.0,0.0,10.1,172.1
91,18880,Chris Godwin,TB,WR,17,0.0,0.0,0.0,5.5,0.0,80.7,925.0,6.1,0.0,0.0,0.0,0.0,10.0,169.6
92,22003,Logan Wilson,CIN,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,1.0,0.5,10.0,169.3
93,14536,Russell Wilson,NYG,QB,17,2599.6,14.5,7.1,153.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,168.3
94,25944,RJ Harvey,DEN,RB,17,0.0,0.0,0.0,788.9,5.2,39.2,307.3,1.7,0.0,0.0,0.0,0.0,9.9,168.0
95,19802,Calvin Ridley,TEN,WR,17,0.0,0.0,0.0,45.6,0.5,66.4,1005.8,4.6,0.0,0.0,0.0,0.0,9.9,167.7
96,13810,Demario Davis,NO,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.7,0.9,0.5,9.8,167.3
97,23153,George Pickens,DAL,WR,17,0.0,0.0,0.0,6.4,0.0,70.0,1022.1,5.1,0.0,0.0,0.0,0.0,9.8,167.2
98,25946,Quinshon Judkins,CLE,RB,17,0.0,0.0,0.0,901.0,6.0,29.6,218.8,1.3,0.0,0.0,0.0,0.0,9.8,167.2
99,23234,Jameson Williams,DET,WR,17,0.0,0.0,0.0,81.8,0.9,57.8,940.5,5.1,0.0,0.0,0.0,0.0,9.8,166.7
100,24117,Anthony Richardson Sr.,IND,QB,17,1780.9,10.0,8.5,466.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,166.5
101,21692,Jerry Jeudy,CLE,WR,17,0.0,0.0,0.0,2.7,0.0,76.5,1032.1,4.1,0.0,0.0,0.0,0.0,9.8,165.9
102,23245,TreVeyon Henderson,NE,RB,17,0.0,0.0,0.0,848.8,5.4,35.0,259.8,1.3,0.0,0.0,0.0,0.0,9.7,165.2
103,23162,Jordan Addison,MIN,WR,17,0.0,0.0,0.0,11.5,0.3,67.8,901.6,6.4,0.0,0.0,0.0,0.0,9.7,165.0
104,20646,Robert Spillane,NE,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,0.9,0.4,9.7,165.0
105,22598,Jaylen Waddle,MIA,WR,17,0.0,0.0,0.0,15.2,0.1,75.5,997.7,4.0,0.0,0.0,0.0,0.0,9.6,163.2
106,20876,Jakobi Meyers,LV,WR,17,0.0,0.0,0.0,17.4,0.1,79.5,934.7,4.6,0.0,0.0,0.0,0.0,9.6,162.8
107,21717,Jauan Jennings,SF,WR,17,0.0,0.0,0.0,0.2,0.0,71.6,938.2,5.5,0.0,0.0,0.0,0.0,9.5,162.2
108,22865,Ernest Jones IV,SEA,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,1.0,0.5,9.5,161.7
109,26054,Tetairoa McMillan,CAR,WR,17,0.0,0.0,0.0,7.9,0.0,70.9,948.2,5.3,0.0,0.0,0.0,0.0,9.5,161.1
110,26040,Kaleb Johnson,PIT,RB,17,0.0,0.0,0.0,912.5,6.9,20.4,158.4,1.1,0.0,0.0,0.0,0.0,9.5,160.9
111,21118,Blake Cashman,MIN,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.6,1.1,0.5,9.4,160.5
112,26056,Travis Hunter,JAX,WR,17,0.0,0.0,0.0,28.2,0.1,72.1,951.6,4.6,0.0,0.0,0.0,0.0,9.4,160.2
113,14534,Bobby Wagner,WAS,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.3,1.0,0.5,9.4,159.7
114,23447,Terrel Bernard,BUF,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.8,1.1,0.6,9.4,159.4
115,23190,Brian Robinson Jr.,WAS,RB,17,0.0,0.0,0.0,823.3,7.6,22.6,173.4,1.0,0.0,0.0,0.0,0.0,9.4,159.2
116,20932,Deebo Samuel Sr.,WAS,WR,17,0.0,0.0,0.0,143.5,1.5,63.1,783.7,4.3,0.0,0.0,0.0,0.0,9.3,157.9
117,24262,Daiyan Henley,LAC,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.9,0.5,9.3,157.8
118,19933,Josey Jewell,CAR,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.8,0.8,0.4,9.2,156.3
119,19565,Younghoe Koo,ATL,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,155.5
120,24902,Brandon Aubrey,DAL,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,154.9
121,19891,Fred Warner,SF,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,1.0,0.5,9.1,154.9
122,18916,T.J. Watt,PIT,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.6,0.9,0.5,9.1,154.6
123,18927,Budda Baker,ARI,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.4,1.0,0.5,9.1,154.6
124,23371,Isiah Pacheco,KC,RB,17,0.0,0.0,0.0,784.6,5.5,32.7,220.8,1.0,0.0,0.0,0.0,0.0,9.0,153.5
125,24977,Rome Odunze,CHI,WR,17,0.0,0.0,0.0,12.4,0.0,66.3,936.8,4.4,0.0,0.0,0.0,0.0,9.0,153.3
126,20749,T.J. Edwards,CHI,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.3,1.0,0.5,9.0,153.1
127,18807,Myles Garrett,CLE,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.3,0.8,0.4,9.0,152.6
128,23227,Khalil Shakir,BUF,WR,17,0.0,0.0,0.0,7.2,0.0,77.0,858.2,4.6,0.0,0.0,0.0,0.0,9.0,152.2
129,23479,Jaylen Warren,PIT,RB,17,0.0,0.0,0.0,670.9,3.8,46.8,353.6,1.0,0.0,0.0,0.0,0.0,8.9,152.1
130,23233,Jayden Reed,GB,WR,17,0.0,0.0,0.0,122.1,0.9,57.0,771.5,4.9,0.0,0.0,0.0,0.0,8.9,151.5
131,22565,Chris Olave,NO,WR,17,0.0,0.0,0.0,3.6,0.0,72.9,923.7,4.0,0.0,0.0,0.0,0.0,8.9,151.2
132,23141,Sam LaPorta,DET,TE,17,0.0,0.0,0.0,0.0,0.0,68.2,758.1,6.8,0.0,0.0,0.0,0.0,8.9,150.5
133,20411,Frankie Luvu,WAS,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.7,1.0,0.5,8.8,150.2
134,14375,Lavonte David,TB,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.6,1.1,0.6,8.8,150.0
135,20897,Bobby Okereke,NYG,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.9,1.0,0.5,8.8,149.7
136,23257,Aidan Hutchinson,DET,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.7,0.8,0.4,8.8,149.3
137,18981,Trey Hendrickson,CIN,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.2,0.7,0.4,8.8,148.9
138,21218,Tyrel Dodson,MIA,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.1,1.1,0.5,8.8,148.8
139,20769,Matt Gay,WAS,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,148.7
140,22695,Micah Parsons,DAL,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.3,0.9,0.5,8.7,147.3
141,23567,Cameron Dicker,LAC,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,147.1
142,20915,Germaine Pratt,LV,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.6,1.0,0.5,8.6,146.9
143,14996,Brandon McManus,GB,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,146.3
144,25092,Tyrone Tracy Jr.,NYG,RB,17,0.0,0.0,0.0,728.9,4.4,33.0,253.0,1.2,0.0,0.0,0.0,0.0,8.6,145.5
145,21961,Darnell Mooney,ATL,WR,17,0.0,0.0,0.0,1.2,0.0,59.8,872.3,4.7,0.0,0.0,0.0,0.0,8.5,145.1
146,23305,Nick Cross,IND,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.9,1.2,0.6,8.5,145.0
147,21879,Jonathan Greenard,MIN,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.3,0.9,0.5,8.5,144.9
148,24530,Jake Bates,DET,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,144.4
149,19073,Harrison Butker,KC,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,144.2
150,19041,Jake Elliott,PHI,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,144.2
151,20007,Foyesade Oluokun,JAX,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0,0.9,0.4,8.5,144.1
152,15048,Travis Kelce,KC,TE,17,0.0,0.0,0.0,0.2,0.0,80.3,758.3,4.8,0.0,0.0,0.0,0.0,8.5,144.0
153,18215,Ka'imi Fairbairn,HOU,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,143.7
154,23444,Quay Walker,GB,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.6,0.9,0.5,8.4,143.2
155,18882,Cooper Kupp,SEA,WR,17,0.0,0.0,0.0,9.1,0.0,71.2,783.2,4.6,0.0,0.0,0.0,0.0,8.4,142.0
156,21982,Patrick Queen,PIT,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,1.1,0.5,8.3,141.1
157,24982,Ricky Pearsall,SF,WR,17,0.0,0.0,0.0,46.0,0.1,57.7,814.1,4.3,0.0,0.0,0.0,0.0,8.3,140.9
158,26109,Tyler Loop,BAL,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,140.7
159,21015,Maxx Crosby,LV,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.3,1.0,0.5,8.3,140.6
160,20033,Jason Sanders,MIA,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,140.6
161,24113,Jack Campbell,DET,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.1,0.8,0.4,8.3,140.4
162,21542,Chase McLaughlin,TB,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,140.3
163,24960,Cam Little,JAX,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,140.2
164,25121,Joshua Karty,LAR,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,139.8
165,22908,Evan McPherson,CIN,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,139.8
166,23729,Rashid Shaheed,NO,WR,17,0.0,0.0,0.0,51.7,0.1,53.4,837.5,4.1,0.0,0.0,0.0,0.0,8.2,139.0
167,22108,Tyler Bass,BUF,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,139.0
168,24964,Keon Coleman,BUF,WR,17,0.0,0.0,0.0,5.6,0.0,47.6,794.6,5.9,0.0,0.0,0.0,0.0,8.2,138.8
169,18478,Wil Lutz,DEN,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,138.8
170,25922,Matthew Golden,GB,WR,17,0.0,0.0,0.0,9.0,0.0,56.7,812.5,5.0,0.0,0.0,0.0,0.0,8.2,138.7
171,18876,David Njoku,CLE,TE,17,0.0,0.0,0.0,0.0,0.0,74.0,706.8,5.3,0.0,0.0,0.0,0.0,8.2,138.7
172,20805,T.J. Hockenson,MIN,TE,17,0.0,0.0,0.0,0.0,0.0,71.9,758.1,4.5,0.0,0.0,0.0,0.0,8.2,138.6
173,20971,Andrew Van Ginkel,MIN,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,1.2,0.9,0.5,8.1,138.5
174,22714,Nick Bolton,KC,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.1,1.0,0.5,8.1,138.0
175,20713,Nick Bosa,SF,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.5,0.8,0.4,8.1,137.6
