rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_half_ppr_per_gp,fpts_half_ppr
440,Nyheim Hines,CLE,RB,17,0.0,0.0,0.0,71.7,0.6,13.9,98.9,0.2,0.0,0.0,0.0,0.0,1.7,858.1
441,Dareke Young,SEA,WR,17,0.0,0.0,0.0,0.0,0.0,6.2,67.6,0.3,0.0,0.0,0.0,0.0,0.7,857.8
442,Jalen Nailor,MIN,WR,17,0.0,0.0,0.0,0.0,0.0,6.4,63.5,0.3,0.0,0.0,0.0,0.0,0.7,857.5
443,Tip Reiman,ARI,TE,17,0.0,0.0,0.0,0.0,0.0,12.4,122.5,0.9,0.0,0.0,0.0,0.0,1.4,857.5
444,Jase McClellan,ATL,RB,17,0.0,0.0,0.0,119.0,0.9,6.1,48.4,0.5,0.0,0.0,0.0,0.0,1.7,857.4
445,Jared Wiley,KC,TE,17,0.0,0.0,0.0,0.0,0.0,11.9,123.0,0.9,0.0,0.0,0.0,0.0,1.4,857.2
446,Irv Smith,KC,TE,17,0.0,0.0,0.0,0.0,0.0,11.9,116.9,1.0,0.0,0.0,0.0,0.0,1.4,857.2
447,Davis Allen,LAR,TE,17,0.0,0.0,0.0,0.0,0.0,11.9,121.0,0.9,0.0,0.0,0.0,0.0,1.4,857.0
448,Dee Eskridge,SEA,WR,17,0.0,0.0,0.0,9.8,0.0,5.3,58.9,0.2,0.0,0.0,0.0,0.0,0.6,856.9
449,Simi Fehoko,LAC,WR,17,0.0,0.0,0.0,0.0,0.0,5.2,60.4,0.3,0.0,0.0,0.0,0.0,0.6,856.6
450,Tyler Johnson,LAR,WR,17,0.0,0.0,0.0,0.1,0.0,4.6,54.1,0.4,0.0,0.0,0.0,0.0,0.6,856.3
451,Connor Heyward,PIT,TE,17,0.0,0.0,0.0,0.1,0.0,13.4,120.5,0.6,0.0,0.0,0.0,0.0,1.3,856.0
452,Cordarrelle Patterson,PIT,RB,17,0.0,0.0,0.0,122.1,0.8,7.3,54.1,0.1,0.0,0.0,0.0,0.0,1.6,855.9
453,Tylan Wallace,BAL,WR,17,0.0,0.0,0.0,1.5,0.0,4.5,59.8,0.2,0.0,0.0,0.0,0.0,0.6,855.8
454,Luke Schoonmaker,DAL,TE,17,0.0,0.0,0.0,0.0,0.0,10.2,103.4,1.1,0.0,0.0,0.0,0.0,1.3,855.6
455,Teagan Quitoriano,HOU,TE,17,0.0,0.0,0.0,0.0,0.0,7.1,112.9,1.2,0.0,0.0,0.0,0.0,1.3,855.6
456,Damiere Byrd,WAS,WR,17,0.0,0.0,0.0,2.8,0.0,4.4,63.4,0.1,0.0,0.0,0.0,0.0,0.6,855.6
457,Jordan Akins,CLE,TE,17,0.0,0.0,0.0,0.0,0.0,11.2,108.9,0.9,0.0,0.0,0.0,0.0,1.3,855.5
