player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Tom Brady,698,QB,1,NE,11,11,72.7,8,8,6,75.0,0,0,0,50,0,0,75.0,90.6
Quinn Gray,1247,QB,1,KC,9,8,88.9,8,7,6,85.7,0,0,0,50,1,0,100.0,136.0
Kevin O'Connell,4408,QB,2,NE,7,6,85.7,6,6,4,66.7,0,0,0,23,0,0,66.7,73.6
Matt Flynn,4523,QB,1,GB,5,5,60.0,3,3,2,66.7,0,0,0,6,0,0,66.7,70.1
Kellen Clemens,2994,QB,1,NYJ,5,5,80.0,4,4,2,50.0,0,0,0,15,0,1,50.0,19.8
Joshua Cribbs,2544,WR,3,CLV,5,4,40.0,2,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Troy Smith,3790,QB,3,BLT,5,4,80.0,4,4,3,75.0,0,0,0,82,1,0,75.0,156.3
Antwaan Randle El,1069,WR,3,WAS,3,3,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Ronnie Brown,2219,HB,5,MIA,4,3,50.0,2,2,1,50.0,0,0,0,19,1,0,50.0,122.9
Patrick Ramsey,1039,QB,1,DEN,4,3,75.0,3,3,2,66.7,0,0,0,19,0,0,66.7,84.0
Brock Berlin,2495,QB,1,STR,3,3,100.0,3,3,1,33.3,0,0,0,6,0,0,33.3,42.4
Chris Simms,1411,QB,1,TEN,3,2,66.7,2,2,1,50.0,0,0,0,7,0,0,50.0,58.3
Brad Smith,3048,WR,2,NYJ,2,2,50.0,1,1,1,100.0,0,0,0,18,0,0,100.0,118.8
Drew Henson,1494,QB,2,DET,5,2,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Marques Tuiasosopo,826,QB,1,OAK,4,2,50.0,2,2,1,50.0,0,0,0,4,0,0,100.0,56.3
Cleo Lemon,1271,QB,1,JAX,2,2,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Dane Looker,755,WR,3,STR,3,2,66.7,2,2,1,50.0,1,0,0,6,0,0,100.0,56.3
Michael Bush,3716,HB,2,OAK,2,2,50.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Lance Moore,2718,WR,1,NO,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Dennis Dixon,4470,QB,1,PIT,1,1,100.0,1,1,1,100.0,0,0,0,3,0,0,100.0,79.2
DeSean Jackson,4363,WR,1,PHI,1,1,100.0,1,1,0,0.0,0,0,0,0,0,1,0.0,0.0
Larry Johnson,1343,HB,1,KC,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Jason Witten,1384,TE,1,DAL,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Jerheme Urban,1709,WR,1,ARZ,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Marques Hagans,3089,QB,1,KC,2,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Luke McCown,1827,QB,1,TB,3,1,100.0,3,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Mark Bradley,2256,WR,1,KC,1,1,100.0,1,1,1,100.0,0,0,0,37,1,0,100.0,158.3
Patrick Crayton,1932,WR,1,DAL,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Isaac Bruce,80,WR,1,SF,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Dante' Hall,677,WR,1,STR,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Kevin Faulk,470,HB,1,NE,1,1,100.0,1,1,1,100.0,0,0,0,-2,0,0,100.0,79.2
Eddie Royal,4356,WR,1,DEN,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
