player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Aaron Brooks,509,QB,7,OAK,233,192,57.1,133,126,79,62.7,0,0,9,758,3,6,72.1,67.5
Jeff Garcia,550,QB,8,PHI,207,188,64.7,134,123,89,72.4,1,0,8,961,7,1,80.8,110.5
Byron Leftwich,1323,QB,6,JAX,200,182,69.0,138,133,85,63.9,2,0,10,899,5,2,74.8,89.8
Kurt Warner,112,QB,6,ARZ,183,166,61.7,113,112,75,67.0,0,0,4,1018,4,4,73.1,92.8
Drew Bledsoe,36,QB,6,DAL,187,166,59.4,111,107,63,58.9,3,0,10,856,5,4,70.9,84.5
Seneca Wallace,1422,QB,6,SEA,164,141,64.0,105,102,61,59.8,0,0,7,699,7,4,68.7,87.0
Jay Cutler,2956,QB,5,DEN,153,137,66.7,102,100,63,63.0,0,0,5,684,6,3,70.8,90.6
Daunte Culpepper,446,QB,4,MIA,160,134,61.3,98,96,62,64.6,0,0,9,680,2,1,74.7,88.0
Derek Anderson,2430,QB,4,CLV,128,117,70.3,90,87,50,57.5,0,0,10,634,4,5,71.4,71.7
Chris Simms,1411,QB,3,TB,112,105,63.4,71,68,40,58.8,0,0,3,471,1,3,69.4,66.5
Tim Rattay,701,QB,4,TB,107,101,68.2,73,71,43,60.6,4,0,3,553,3,2,70.8,87.4
Chris Weinke,861,QB,3,CAR,108,96,62.0,67,67,47,70.1,0,0,1,547,2,2,72.7,92.1
Kerry Collins,115,QB,3,TEN,94,90,64.9,61,61,31,50.8,2,0,4,420,1,3,67.3,58.1
Tarvaris Jackson,3009,QB,4,MIN,103,81,61.2,63,54,35,64.8,0,0,4,362,0,2,76.5,68.6
Cleo Lemon,1271,QB,3,MIA,73,68,76.7,56,54,33,61.1,0,0,1,359,2,0,68.0,93.1
Kyle Boller,1335,QB,3,BLT,64,55,60.9,39,36,24,66.7,0,0,1,258,3,1,69.4,103.7
Charlie Batch,367,QB,6,PIT,58,53,53.4,31,31,21,67.7,0,0,2,330,3,0,74.2,135.1
A.J. Feeley,893,QB,2,PHI,40,38,75.0,30,29,22,75.9,0,0,3,297,3,0,89.3,142.5
Sage Rosenfels,863,QB,3,HST,38,37,68.4,26,26,18,69.2,0,0,1,184,1,1,73.1,86.1
Brian Griese,379,QB,5,CHI,35,32,54.3,19,19,12,63.2,0,0,0,112,0,1,63.2,57.3
Matt Schaub,1811,QB,3,ATL,29,26,72.4,21,20,13,65.0,0,0,0,172,1,2,65.0,69.2
Jamie Martin,63,QB,1,NO,29,24,48.3,14,14,11,78.6,0,0,0,103,1,1,78.6,91.4
Quinn Gray,1247,QB,1,JAX,25,22,52.0,13,13,9,69.2,0,0,1,108,0,0,83.3,94.4
Brooks Bollinger,1502,QB,2,MIN,24,17,54.2,13,12,10,83.3,0,0,0,121,0,1,83.3,74.0
Aaron Rodgers,2241,QB,2,GB,20,15,45.0,9,8,2,25.0,0,0,0,17,0,0,25.0,39.6
Marques Tuiasosopo,826,QB,2,OAK,16,13,68.8,11,9,5,55.6,0,0,1,59,1,1,66.7,73.1
Brett Basanez,3219,QB,1,CAR,12,11,75.0,9,9,4,44.4,0,0,0,37,0,1,50.0,16.7
Matt Cassel,2447,QB,4,NE,10,8,80.0,8,8,5,62.5,0,0,0,32,0,0,71.4,70.8
Brodie Croyle,3030,QB,1,KC,8,7,87.5,7,7,3,42.9,0,0,0,23,0,2,42.9,11.9
Antwaan Randle El,1069,WR,4,WAS,4,3,50.0,2,1,1,100.0,0,0,0,40,0,0,100.0,118.8
Gus Frerotte,93,QB,1,STR,3,3,66.7,2,2,1,50.0,0,0,0,27,0,0,100.0,95.8
Anthony Wright,577,QB,2,CIN,4,3,50.0,2,2,2,100.0,0,0,0,25,0,0,100.0,118.8
Vinny Testaverde,2866,QB,1,NE,3,3,100.0,3,3,2,66.7,0,0,1,29,1,0,100.0,137.5
LaDainian Tomlinson,777,HB,3,SD,2,2,100.0,2,2,1,50.0,0,0,0,1,1,0,50.0,95.8
Ronald Curry,1199,WR,2,OAK,2,2,50.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Billy Volek,768,QB,1,SD,3,2,66.7,2,2,1,50.0,0,0,0,4,0,0,50.0,56.3
Mark Clayton,2239,WR,1,BLT,2,2,100.0,2,2,0,0.0,0,0,0,0,0,0,0.0,39.6
Jerious Norwood,3024,HB,1,ATL,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Lee Evans,1734,WR,1,BUF,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Thomas Jones,585,HB,2,CHI,2,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Mewelde Moore,1840,HB,1,MIN,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Patrick Ramsey,1039,QB,1,NYJ,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Ronnie Brown,2219,HB,1,MIA,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Kellen Clemens,2994,QB,2,NYJ,7,1,14.3,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Cedrick Wilson,901,WR,1,PIT,1,1,100.0,1,1,1,100.0,0,0,0,21,0,0,100.0,118.8
Hank Baskett,3220,WR,1,PHI,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Arnaz Battle,1499,WR,1,SF,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Joshua Cribbs,2544,WR,1,CLV,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Carlyle Holiday,2640,WR,1,GB,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Keyshawn Johnson,153,WR,1,CAR,1,1,100.0,1,1,0,0.0,0,0,0,0,0,1,0.0,0.0
Isaac Bruce,80,WR,1,STR,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Reggie Bush,2947,HB,1,NO,1,1,100.0,1,1,0,0.0,0,0,0,0,0,1,0.0,0.0
Larry Johnson,1343,HB,1,KC,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Ken Dorsey,1535,QB,1,CLV,2,1,50.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
