player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Geno Smith,7820,QB,16,NYJ,517,443,58.0,300,283,182,64.3,5,0,12,2162,11,14,71.6,79.9
Mike Glennon,7854,QB,13,TB,468,416,56.2,263,257,178,69.3,0,0,16,1903,12,3,76.7,101.4
Colin Kaepernick,6188,QB,16,SF,502,416,65.1,327,306,195,63.7,3,0,18,2499,15,4,72.7,100.1
Russell Wilson,7077,QB,16,SEA,502,407,56.2,282,259,184,71.0,0,0,11,2383,16,4,76.8,113.8
Matt Schaub,1811,QB,10,HST,383,358,58.2,223,222,158,71.2,3,0,8,1606,9,9,76.9,88.2
Jay Cutler,2956,QB,11,CHI,387,355,61.0,236,233,162,69.5,2,0,13,1850,16,7,78.5,103.5
Ryan Fitzpatrick,2467,QB,11,TEN,399,350,64.9,259,246,163,66.3,1,0,18,1775,9,8,75.7,86.0
Jason Campbell,2242,QB,9,CLV,346,317,62.4,216,211,129,61.1,2,0,19,1419,7,5,72.9,82.2
Nick Foles,7089,QB,13,PHI,362,317,65.7,238,223,158,70.9,2,0,8,2210,24,2,75.8,134.6
E.J. Manuel,7797,QB,10,BUF,358,306,68.2,244,231,148,64.1,0,0,12,1599,8,7,70.2,83.2
Aaron Rodgers,2241,QB,9,GB,328,290,71.3,234,223,165,74.0,4,0,9,2131,14,3,81.3,118.9
Terrelle Pryor,6944,QB,11,OAK,337,272,52.8,178,157,105,66.9,3,0,5,1142,4,6,72.8,80.7
Brandon Weeden,7028,QB,8,CLV,301,267,61.8,186,182,117,64.3,1,0,14,1441,8,2,73.2,98.7
Sam Bradford,5526,QB,7,STR,284,262,63.7,181,177,126,71.2,1,0,14,1268,12,3,81.9,106.8
Matt Cassel,2447,QB,9,MIN,281,254,67.3,189,187,120,64.2,2,0,8,1357,8,8,73.1,82.2
Case Keenum,7323,QB,8,HST,277,253,54.5,151,149,93,62.4,1,0,8,1257,5,1,70.6,97.6
Kellen Clemens,2994,QB,10,STR,272,242,63.6,173,170,107,62.9,2,0,13,1287,7,3,72.3,92.5
Christian Ponder,6164,QB,9,MIN,291,239,62.2,181,165,112,67.9,2,0,8,1150,5,6,74.5,82.6
Josh McCown,1085,QB,8,CHI,243,224,63.0,153,151,108,71.5,0,0,6,1199,7,1,77.0,107.5
Matt McGloin,8374,QB,7,OAK,220,211,65.5,144,143,90,62.9,1,0,9,1232,5,4,73.9,90.4
Jake Locker,6160,QB,7,TEN,213,183,61.0,130,126,86,68.3,1,0,9,1003,7,2,77.9,104.0
Matt Flynn,4523,QB,5,GB,194,166,72.7,141,135,89,65.9,2,0,7,1012,6,3,74.4,93.8
Thaddeus Lewis,5817,QB,5,BUF,184,157,65.2,120,114,79,69.3,1,0,7,897,4,1,76.8,100.7
Kirk Cousins,7102,QB,5,WAS,162,155,72.8,118,116,62,53.4,1,0,8,645,3,7,63.1,53.3
Michael Vick,773,QB,6,PHI,171,141,55.6,95,88,59,67.0,0,0,5,969,3,2,75.3,105.7
Brian Hoyer,5277,QB,3,CLV,104,96,71.2,74,74,47,63.5,3,0,4,493,5,2,72.9,94.0
Josh Freeman,4940,QB,3,TB,103,94,66.0,68,66,28,42.4,0,0,8,367,0,1,54.5,54.3
Scott Tolzien,6749,QB,3,GB,98,90,72.4,71,70,45,64.3,0,0,3,537,1,3,76.2,74.5
Blaine Gabbert,6162,QB,3,JAX,105,86,59.0,62,61,33,54.1,3,0,4,314,1,5,64.9,39.9
Jeff Tuel,8508,QB,2,BUF,63,59,73.0,46,45,23,51.1,0,0,7,258,1,3,66.7,48.2
Josh Freeman,4940,QB,1,MIN,54,53,51.9,28,28,12,42.9,0,0,3,111,0,0,55.6,54.3
Kyle Orton,2323,QB,2,DAL,52,51,73.1,38,37,26,70.3,0,0,2,340,2,2,77.8,94.4
Matt Barkley,7880,QB,3,PHI,52,49,71.2,37,37,26,70.3,0,0,2,243,0,2,77.8,65.5
Chase Daniel,5214,QB,3,KC,45,38,55.6,25,22,17,77.3,0,0,1,136,0,1,81.8,73.3
Matt Flynn,4523,QB,2,OAK,42,34,59.5,25,25,17,68.0,0,0,1,195,1,1,75.0,87.9
Matt Simms,7423,QB,3,NYJ,39,31,59.0,23,21,14,66.7,0,0,1,119,1,0,71.4,97.1
Seneca Wallace,1422,QB,2,GB,28,24,57.1,16,16,12,75.0,0,0,0,121,0,1,80.0,70.1
T.J. Yates,6304,QB,2,HST,24,22,62.5,15,15,10,66.7,0,0,1,69,0,2,73.3,37.2
Brock Osweiler,7059,QB,2,DEN,19,16,47.4,9,9,9,100.0,0,0,0,82,0,0,100.0,104.6
Curtis Painter,5125,QB,3,NYG,17,16,70.6,12,12,6,50.0,0,0,1,43,0,1,58.3,24.0
Tarvaris Jackson,3009,QB,3,SEA,13,13,76.9,10,10,9,90.0,0,0,0,116,0,0,90.0,115.0
Matt Hasselbeck,408,QB,3,IND,12,12,100.0,12,12,7,58.3,0,0,0,130,0,1,58.3,61.1
Dominique Davis,7666,QB,1,ATL,7,7,85.7,6,6,4,66.7,0,0,0,29,0,0,66.7,77.8
Matt Moore,4018,QB,1,MIA,6,6,66.7,4,4,2,50.0,0,0,0,53,0,1,50.0,56.3
Tyrod Taylor,6332,QB,2,BLT,7,5,71.4,5,4,0,0.0,0,0,1,0,0,1,25.0,0.0
Joshua Cribbs,2544,WR,2,NYJ,3,3,100.0,3,3,2,66.7,0,0,0,38,0,0,66.7,109.7
Michael Koenen,2682,P,2,TB,2,2,50.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Bilal Powell,6278,HB,1,NYJ,1,1,100.0,1,1,1,100.0,0,0,0,30,0,0,100.0,118.8
Spencer Lanning,6566,P,1,CLV,1,1,100.0,1,1,1,100.0,0,0,0,11,1,0,100.0,152.1
Jeremy Kerley,6305,WR,1,NYJ,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Johnny Hekker,7252,P,1,STR,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Bobby Rainey Jr.,7511,HB,1,TB,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Patrick Peterson,6157,CB,1,ARZ,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Colt McCoy,5609,QB,1,SF,1,1,100.0,1,1,1,100.0,0,0,0,13,0,0,100.0,118.8
Tavon Austin,7789,WR,1,STR,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Larry Fitzgerald,1724,WR,1,ARZ,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Denard Robinson,7917,HB,1,JAX,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Mike James,7970,HB,1,TB,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Marcel Reece,4702,FB,1,OAK,1,1,100.0,1,1,1,100.0,0,0,0,22,0,0,100.0,118.8
