player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Joey Harrington,1011,QB,12,ATL,388,348,59.3,230,227,152,67.0,1,0,6,1691,5,3,71.8,90.8
Damon Huard,215,QB,11,KC,371,332,68.2,253,252,162,64.3,3,0,1,1691,9,10,67.4,79.0
Jeff Garcia,550,QB,13,TB,367,328,55.3,203,190,140,73.7,0,0,4,1632,9,3,79.6,108.5
David Garrard,1109,QB,12,JAX,365,325,64.9,237,227,160,70.5,1,0,6,1982,15,2,75.1,115.6
Cleo Lemon,1271,QB,9,MIA,348,309,68.1,237,233,144,61.8,4,0,5,1538,5,2,68.0,84.7
Tarvaris Jackson,3009,QB,12,MIN,345,294,64.6,223,205,128,62.4,1,0,8,1502,7,6,70.1,83.8
Matt Schaub,1811,QB,11,HST,313,289,64.5,202,199,147,73.9,2,0,1,1796,7,7,78.3,98.3
Kyle Boller,1335,QB,12,BLT,311,275,68.8,214,207,140,67.6,1,0,4,1364,7,7,72.7,83.1
Trent Edwards,3708,QB,10,BUF,288,269,65.6,189,185,117,63.2,0,0,9,1321,6,7,70.8,79.6
Brian Griese,379,QB,7,CHI,283,264,73.9,209,207,137,66.2,1,0,1,1469,8,6,69.3,87.6
Chad Pennington,596,QB,9,NYJ,291,260,60.5,176,175,129,73.7,1,0,1,1207,6,6,76.9,89.4
Kellen Clemens,2994,QB,10,NYJ,290,250,66.9,194,188,106,56.4,4,0,5,1269,3,9,62.0,62.6
Sage Rosenfels,863,QB,9,HST,253,240,68.0,172,165,116,70.3,0,0,7,1350,13,10,76.4,95.8
Rex Grossman,1338,QB,8,CHI,255,225,66.3,169,166,101,60.8,5,0,4,1121,4,5,68.6,76.4
Brodie Croyle,3030,QB,9,KC,246,224,68.7,169,164,103,62.8,0,0,10,926,4,4,70.6,75.9
Trent Dilfer,72,QB,7,SF,250,219,67.2,168,167,89,53.3,1,0,5,840,6,10,59.9,54.5
Steve McNair,114,QB,6,BLT,220,205,65.9,145,144,97,67.4,0,0,0,789,2,3,70.3,77.0
Alex Smith,2218,QB,7,SF,219,193,62.1,136,132,72,54.5,1,0,0,683,0,4,57.1,56.5
Josh McCown,1085,QB,9,OAK,220,190,63.2,139,131,82,62.6,2,0,2,835,9,9,66.1,75.1
Daunte Culpepper,446,QB,7,OAK,214,185,64.5,138,134,81,60.4,2,0,1,935,4,5,64.6,75.9
J.P. Losman,1743,QB,8,BUF,200,175,65.0,130,126,87,69.0,0,1,0,942,2,4,72.5,82.8
Vinny Testaverde,2866,QB,6,CAR,184,172,73.9,136,134,76,56.7,1,0,1,762,3,6,59.2,61.8
Gus Frerotte,93,QB,8,STR,179,167,60.3,108,107,66,61.7,0,0,3,712,5,3,67.0,85.1
Chris Redman,635,QB,6,ATL,164,149,67.1,110,107,77,72.0,0,0,5,969,8,4,78.1,109.1
Quinn Gray,1247,QB,7,JAX,159,144,75.5,120,118,73,61.9,0,0,0,812,10,3,62.9,100.0
Trent Green,58,QB,5,MIA,150,141,68.0,102,102,66,64.7,1,0,0,776,3,3,71.0,85.3
Luke McCown,1827,QB,5,TB,164,139,68.3,112,108,76,70.4,0,0,7,860,4,2,79.8,98.5
David Carr,1009,QB,6,CAR,160,136,63.8,102,98,57,58.2,2,0,0,522,2,3,62.0,66.8
Matt Leinart,2955,QB,5,ARZ,121,112,56.2,68,66,43,65.2,0,0,0,418,2,3,66.2,73.9
Matt Moore,4018,QB,8,CAR,118,111,80.5,95,94,59,62.8,0,0,3,684,3,5,66.7,73.2
John Beck,3656,QB,5,MIA,120,108,71.7,86,84,53,63.1,2,0,7,510,0,2,75.0,70.0
Todd Collins,131,QB,4,WAS,113,105,66.4,75,74,53,71.6,1,0,3,630,4,0,78.9,115.3
A.J. Feeley,893,QB,3,PHI,111,103,74.8,83,78,47,60.3,0,0,5,512,5,6,67.5,69.0
Jake Delhomme,303,QB,3,CAR,95,86,73.7,70,69,49,71.0,0,0,0,572,7,1,74.2,123.6
Kelly Holcomb,148,QB,3,MIN,95,83,64.2,61,61,33,54.1,2,0,0,403,1,1,61.1,73.3
Kerry Collins,115,QB,6,TEN,87,82,65.5,57,57,39,68.4,3,0,0,401,0,0,73.6,88.4
Kyle Orton,2323,QB,3,CHI,82,80,67.1,55,55,34,61.8,0,0,4,366,3,1,70.4,91.9
Shaun Hill,1255,QB,3,SF,89,79,69.7,62,58,44,75.9,0,0,0,410,3,1,78.6,104.8
Troy Smith,3790,QB,4,BLT,87,76,69.0,60,55,29,52.7,0,0,6,284,1,0,66.0,73.6
JaMarcus Russell,3617,QB,4,OAK,75,66,56.0,42,41,28,68.3,0,0,2,271,1,1,75.0,84.5
Byron Leftwich,1323,QB,3,ATL,65,58,52.3,34,33,22,66.7,0,0,0,191,1,0,66.7,91.9
Brooks Bollinger,1502,QB,4,MIN,60,50,66.7,40,37,28,75.7,0,0,0,340,1,1,77.8,101.2
Patrick Ramsey,1039,QB,2,DEN,51,48,64.7,33,33,20,60.6,0,0,0,152,1,1,69.0,69.3
Jim Sorgi,1910,QB,4,IND,38,36,44.7,17,17,10,58.8,1,0,1,64,1,0,68.8,86.4
Charlie Batch,367,QB,2,PIT,36,36,69.4,25,25,13,52.0,0,0,2,193,1,3,62.5,51.3
Brock Berlin,2495,QB,1,STR,28,28,64.3,18,18,13,72.2,0,0,0,121,0,0,81.3,90.3
Aaron Rodgers,2241,QB,2,GB,35,28,65.7,23,21,16,76.2,0,0,0,166,0,0,80.0,98.5
Seneca Wallace,1422,QB,3,SEA,32,27,75.0,24,22,18,81.8,0,0,1,212,2,0,90.5,137.1
Tim Rattay,701,QB,4,ARZ,28,27,67.9,19,19,9,47.4,2,0,0,68,1,2,52.9,34.4
J.T. O'Sullivan,1169,QB,2,DET,30,26,56.7,17,17,9,52.9,0,0,0,123,1,0,56.3,96.0
Bruce Gradkowski,3139,QB,3,TB,28,24,78.6,22,21,13,61.9,0,0,1,130,0,1,70.0,59.6
Chris Weinke,861,QB,1,SF,27,22,63.0,17,17,10,58.8,0,0,1,87,1,0,64.7,92.0
Craig Nall,1154,QB,1,GB,17,15,64.7,11,10,6,60.0,0,0,0,75,1,0,60.0,116.7
Brad Johnson,31,QB,1,DAL,12,11,66.7,8,8,4,50.0,0,0,1,56,0,0,62.5,72.9
Billy Volek,768,QB,4,SD,12,10,66.7,8,8,3,37.5,0,0,0,6,0,1,42.9,6.3
Charlie Frye,2284,QB,1,CLV,16,10,50.0,8,7,3,42.9,0,0,0,28,0,1,42.9,14.9
Jared Lorenzen,2107,QB,2,NYG,10,8,30.0,3,3,1,33.3,0,0,0,9,0,0,33.3,42.4
Brady Quinn,3638,QB,1,CLV,8,8,75.0,6,6,3,50.0,0,0,2,45,0,0,83.3,75.0
Andrew Walter,2286,QB,1,OAK,8,8,75.0,6,6,4,66.7,0,0,0,39,0,0,66.7,84.7
Matt Cassel,2447,QB,3,NE,8,7,62.5,5,4,3,75.0,0,0,0,34,0,0,75.0,100.0
Anthony Wright,577,QB,2,NYG,7,7,71.4,5,5,0,0.0,0,0,0,0,0,0,0.0,39.6
Tyler Thigpen,3833,QB,1,KC,7,6,71.4,5,5,2,40.0,0,0,1,41,0,0,60.0,69.6
LaDainian Tomlinson,777,HB,1,SD,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Antwaan Randle El,1069,WR,1,WAS,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Mark Clayton,2239,WR,1,BLT,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Ronald Curry,1199,WR,1,OAK,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Brad Smith,3048,WR,1,NYJ,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Leon Washington,3062,HB,1,NYJ,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Matt Gutierrez,3948,QB,2,NE,2,1,50.0,1,1,1,100.0,0,0,0,15,0,0,100.0,118.8
Sidney Rice,3660,WR,1,MIN,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
