player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Colt McCoy,5609,QB,8,CLV,256,222,69.9,179,173,115,66.5,2,0,0,1322,3,6,68.0,80.6
Tony Romo,1693,QB,6,DAL,220,213,70.9,156,156,117,75.0,1,0,0,1217,9,6,76.5,100.3
Kevin Kolb,3652,QB,6,PHI,210,188,67.1,141,139,85,61.2,5,0,0,879,2,5,68.5,69.2
Bruce Gradkowski,3139,QB,6,OAK,172,157,64.5,111,108,64,59.3,0,0,0,827,2,6,60.4,66.4
Vince Young,2948,QB,9,TEN,178,156,67.4,120,115,72,62.6,2,0,0,883,6,3,65.5,92.8
Jake Delhomme,303,QB,5,CLV,156,149,71.2,111,110,78,70.9,2,0,0,745,0,2,74.3,81.8
Troy Smith,3790,QB,6,SF,175,145,57.1,100,94,53,56.4,1,0,0,737,3,2,58.9,83.5
Matt Moore,4018,QB,6,CAR,160,143,65.6,105,105,62,59.0,1,0,0,694,5,6,62.0,70.9
Rex Grossman,1338,QB,4,WAS,144,133,63.2,91,90,54,60.0,3,0,0,656,5,3,65.1,87.1
John Skelton,5678,QB,5,ARZ,142,126,68.3,97,96,52,54.2,1,0,0,526,3,2,55.9,71.8
Drew Stanton,3659,QB,6,DET,132,119,67.4,89,85,56,65.9,1,0,0,672,4,1,68.3,100.7
Seneca Wallace,1422,QB,6,CLV,109,101,67.9,74,74,48,64.9,4,0,0,538,4,1,69.6,98.8
Charlie Whitehurst,3026,QB,5,SEA,111,99,70.3,78,73,48,65.8,1,0,0,430,2,3,67.6,73.4
Matthew Stafford,4924,QB,3,DET,102,96,75.5,77,77,51,66.2,1,0,0,449,5,1,68.9,97.8
Joe Webb III,5722,QB,4,MIN,111,89,66.7,74,66,40,60.6,0,0,0,367,0,2,62.5,63.1
Tim Tebow,5550,QB,4,DEN,99,82,58.6,58,53,28,52.8,1,0,0,440,5,2,54.9,96.4
Max Hall,5878,QB,6,ARZ,92,78,59.8,55,55,32,58.2,0,0,0,304,1,3,59.3,56.9
Matt Flynn,4523,QB,4,GB,77,65,68.8,53,50,34,68.0,0,0,0,406,1,0,68.0,99.3
Tyler Thigpen,3833,QB,4,MIA,76,62,63.2,48,45,24,53.3,0,0,0,295,1,2,54.5,62.7
Tarvaris Jackson,3009,QB,3,MIN,68,58,63.2,43,40,25,62.5,1,0,0,248,2,2,64.1,75.8
Trent Edwards,3708,QB,2,BUF,64,52,50.0,32,29,17,58.6,0,0,0,143,1,1,60.7,68.6
Trent Edwards,3708,QB,2,JAX,55,49,60.0,33,32,16,50.0,1,0,0,160,1,3,51.6,35.9
Charlie Batch,367,QB,3,PIT,55,49,60.0,33,31,21,67.7,0,0,0,229,2,2,72.4,83.9
Stephen McGee,5024,QB,2,DAL,59,44,64.4,38,32,16,50.0,1,0,0,161,2,0,55.2,85.5
Rusty Smith,5699,QB,2,TEN,41,40,78.0,32,32,19,59.4,0,0,0,186,0,2,59.4,49.7
Todd Bouman,299,QB,1,JAX,36,34,66.7,24,23,16,69.6,0,0,0,194,1,1,69.6,91.6
Dennis Dixon,4470,QB,2,PIT,40,32,47.5,19,18,12,66.7,0,0,0,128,0,0,70.6,87.3
Brian St. Pierre,1470,QB,1,CAR,31,28,71.0,22,21,13,61.9,1,0,0,173,1,1,68.4,84.0
Richard Bartel,3884,QB,1,ARZ,30,28,83.3,25,25,15,60.0,0,0,0,148,0,1,62.5,60.1
Todd Collins,131,QB,2,CHI,29,27,65.5,19,19,9,47.4,0,0,0,63,0,3,52.9,15.8
Brian Brohm,4370,QB,1,BUF,26,23,53.8,14,14,8,57.1,0,0,0,88,0,0,61.5,75.9
Luke McCown,1827,QB,1,JAX,20,19,95.0,19,18,10,55.6,0,0,0,117,0,0,58.8,75.5
Brodie Croyle,3030,QB,2,KC,23,19,60.9,14,14,6,42.9,0,0,0,17,0,1,46.2,20.5
Josh Johnson,4474,QB,6,TB,20,16,70.0,14,14,12,85.7,0,0,0,101,0,0,85.7,96.7
Brian Hoyer,5277,QB,3,NE,16,15,75.0,12,12,6,50.0,0,0,0,80,0,1,50.0,36.8
Mark Brunell,51,QB,2,NYJ,14,13,64.3,9,9,7,77.8,0,0,0,117,2,0,77.8,158.3
David Carr,1009,QB,1,SF,14,13,85.7,12,12,5,41.7,0,0,0,67,0,1,45.5,25.3
Tony Pike,5727,QB,1,CAR,13,12,61.5,8,8,5,62.5,0,0,0,25,0,0,62.5,67.2
Caleb Hanie,4674,QB,2,CHI,9,7,66.7,6,6,5,83.3,0,0,0,55,0,0,83.3,104.9
Byron Leftwich,1323,QB,1,PIT,9,7,66.7,6,6,4,66.7,0,0,0,28,0,0,66.7,77.1
Chris Redman,635,QB,1,ATL,6,6,100.0,6,6,4,66.7,0,0,0,20,0,0,66.7,71.5
Tyler Palko,4031,QB,2,KC,9,6,55.6,5,5,3,60.0,0,0,0,37,0,0,60.0,82.9
Kyle Boller,1335,QB,2,OAK,5,4,60.0,3,3,1,33.3,0,0,0,5,0,1,33.3,2.8
Joshua Cribbs,2544,WR,3,CLV,3,3,100.0,3,3,2,66.7,0,0,0,19,0,0,66.7,84.0
Jordan Palmer,3821,QB,1,CIN,5,3,60.0,3,3,3,100.0,0,0,0,18,0,0,100.0,91.7
J. Levi Brown,5732,QB,1,BUF,3,3,100.0,3,3,2,66.7,0,0,0,24,0,1,66.7,51.4
Chase Daniel,5214,QB,2,NO,5,3,80.0,4,3,2,66.7,0,0,0,16,0,0,66.7,79.9
Brad Smith,3048,WR,3,NYJ,3,3,33.3,1,1,1,100.0,0,0,0,3,1,0,100.0,118.8
Steve Breaston,3758,WR,2,ARZ,2,2,50.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Kellen Clemens,2994,QB,1,NYJ,3,2,66.7,2,1,1,100.0,0,0,0,6,0,0,100.0,91.7
Chad Pennington,596,QB,1,MIA,2,2,50.0,1,1,1,100.0,0,0,0,19,0,0,100.0,118.8
Ronnie Brown,2219,HB,2,MIA,2,2,50.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Micheal Spurlock,3517,WR,2,TB,2,2,50.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Billy Volek,768,QB,1,SD,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Brandon Marshall,3064,WR,1,MIA,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Michael Robinson,3045,FB,1,SEA,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Maurice Jones-Drew,3005,HB,1,JAX,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Darren McFadden,4318,HB,1,OAK,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Marion Barber III,2326,HB,1,DAL,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Peyton Hillis,4541,HB,1,CLV,1,1,100.0,1,1,1,100.0,0,0,0,13,0,0,100.0,118.8
Stefan Logan,4909,WR,1,DET,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Anquan Boldin,1369,WR,1,BLT,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Chad Johnson,806,WR,1,CIN,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Jahvid Best,5555,HB,1,DET,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Brandon LaFell,5602,WR,1,CAR,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Armanti Edwards,5613,WR,2,CAR,1,1,100.0,1,1,1,100.0,0,0,0,0,0,0,100.0,79.2
