player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Christian Ponder,6164,QB,11,MIN,342,291,65.2,223,212,130,61.3,1,0,0,1522,11,9,63.7,82.7
John Skelton,5678,QB,8,ARZ,315,275,61.6,194,189,114,60.3,0,0,0,1458,8,9,61.3,78.8
Tim Tebow,5550,QB,12,DEN,341,271,56.0,191,181,95,52.5,2,0,0,1286,9,3,54.3,85.1
Matt Cassel,2447,QB,9,KC,309,269,70.6,218,215,138,64.2,4,0,0,1480,8,6,66.7,85.0
Kevin Kolb,3652,QB,9,ARZ,291,253,60.5,176,171,106,62.0,1,0,0,1290,4,4,66.7,83.2
Curtis Painter,5125,QB,9,IND,268,243,73.9,198,193,116,60.1,2,0,0,1299,5,5,62.4,78.1
Dan Orlovsky,2362,QB,8,IND,209,193,70.8,148,148,102,68.9,0,0,0,986,5,1,72.3,95.7
Jason Campbell,2242,QB,6,OAK,178,165,65.7,117,111,82,73.9,1,0,0,939,6,3,75.2,105.6
Donovan McNabb,438,QB,6,MIN,180,156,58.9,106,102,64,62.7,0,0,0,701,2,2,65.3,81.4
Kyle Orton,2323,QB,5,DEN,165,155,66.7,110,109,72,66.1,1,0,0,793,4,5,68.6,80.6
Tyler Palko,4031,QB,6,KC,147,134,72.8,107,104,66,63.5,0,0,0,656,2,4,66.0,71.6
T.J. Yates,6304,QB,6,HST,156,134,68.6,107,101,62,61.4,0,0,0,746,3,2,65.3,85.7
John Beck,3656,QB,4,WAS,156,132,66.7,104,102,62,60.8,1,0,0,674,2,3,63.3,74.6
Vince Young,2948,QB,5,PHI,135,114,65.9,89,83,54,65.1,0,0,0,685,4,5,65.9,81.7
Chad Henne,4371,QB,4,MIA,134,112,56.0,75,69,40,58.0,0,0,0,561,2,2,60.6,81.9
Seneca Wallace,1422,QB,5,CLV,118,107,72.0,85,81,45,55.6,2,0,0,403,1,0,59.2,73.2
Caleb Hanie,4674,QB,4,CHI,133,102,58.6,78,74,38,51.4,4,0,0,426,1,6,58.5,39.6
Kerry Collins,115,QB,3,IND,103,98,60.2,62,62,36,58.1,1,0,0,349,1,1,62.1,72.6
A.J. Feeley,893,QB,4,STR,108,97,63.0,68,67,41,61.2,0,0,0,403,1,1,64.1,76.9
Kyle Orton,2323,QB,4,KC,99,97,81.8,81,81,54,66.7,1,0,0,702,1,1,68.4,92.7
Kellen Clemens,2994,QB,3,STR,105,91,60.0,63,62,36,58.1,0,0,0,406,1,0,60.0,83.1
Jake Locker,6160,QB,5,TEN,75,66,73.3,55,52,29,55.8,1,0,0,440,3,0,60.4,103.0
Joe Webb III,5722,QB,6,MIN,76,63,56.6,43,39,22,56.4,0,0,0,213,3,2,56.4,76.1
Luke McCown,1827,QB,4,JAX,63,56,63.5,40,39,23,59.0,0,0,0,217,0,3,62.2,42.4
Charlie Whitehurst,3026,QB,3,SEA,67,56,68.7,46,44,23,52.3,0,0,0,221,1,1,53.5,64.7
Josh McCown,1085,QB,3,CHI,71,55,59.2,42,41,29,70.7,0,0,0,305,2,4,70.7,68.7
Matt Flynn,4523,QB,5,GB,55,49,72.7,40,39,28,71.8,0,0,0,340,4,2,71.8,111.1
Stephen McGee,5024,QB,1,DAL,45,38,55.6,25,24,15,62.5,0,0,0,107,1,0,62.5,86.6
Josh Johnson,4474,QB,5,TB,44,36,54.5,24,22,15,68.2,0,0,0,203,1,1,71.4,93.6
Kyle Boller,1335,QB,2,OAK,36,28,63.9,23,22,14,63.6,1,0,0,155,0,1,66.7,65.5
Jake Delhomme,303,QB,1,HST,30,28,73.3,22,22,14,63.6,0,0,0,145,1,0,66.7,97.7
Chris Redman,635,QB,4,ATL,28,28,89.3,25,25,15,60.0,0,0,0,168,0,1,62.5,63.4
Charlie Batch,367,QB,3,PIT,26,24,57.7,15,15,8,53.3,0,0,0,91,0,0,53.3,71.8
Richard Bartel,3884,QB,2,ARZ,24,22,70.8,17,16,8,50.0,0,0,0,69,1,1,50.0,56.5
Bruce Gradkowski,3139,QB,2,CIN,19,18,63.2,12,12,6,50.0,0,0,0,85,1,0,50.0,101.0
Mike Kafka,5645,QB,2,PHI,18,16,66.7,12,12,10,83.3,0,0,0,105,0,0,83.3,103.1
Matt Leinart,2955,QB,1,HST,13,13,84.6,11,11,9,81.8,0,0,0,37,0,0,81.8,80.7
J.P. Losman,1743,QB,1,MIA,16,10,43.8,7,7,4,57.1,0,0,0,26,0,0,66.7,65.2
Jon Kitna,217,QB,1,DAL,10,10,60.0,6,6,5,83.3,0,0,0,54,1,1,83.3,104.2
Tyler Thigpen,3833,QB,2,BUF,9,8,77.8,7,7,3,42.9,0,0,0,25,0,1,50.0,13.1
Colin Kaepernick,6188,QB,2,SF,5,5,80.0,4,4,3,75.0,0,0,0,35,0,0,75.0,101.0
Chase Daniel,5214,QB,2,NO,4,4,75.0,3,3,3,100.0,0,0,0,20,0,0,100.0,94.4
Mark Brunell,51,QB,1,NYJ,3,3,100.0,3,3,1,33.3,0,0,0,27,0,0,33.3,67.4
Shaun Hill,1255,QB,2,DET,3,3,66.7,2,2,1,50.0,0,0,0,5,0,0,50.0,56.3
Tom Brandstater,5098,QB,1,STR,2,2,100.0,2,2,0,0.0,0,0,0,0,0,0,0.0,39.6
Brian Hoyer,5277,QB,1,NE,1,1,100.0,1,1,1,100.0,0,0,0,22,0,0,100.0,118.8
Jerious Norwood,3024,HB,1,STR,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Brad Smith,3048,WR,2,BUF,2,1,50.0,1,1,0,0.0,0,0,0,0,0,1,0.0,0.0
Legedu Naanee,3788,WR,1,CAR,1,1,100.0,1,1,1,100.0,0,0,0,27,0,0,100.0,118.8
Jeremy Kerley,6305,WR,1,NYJ,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Tyrod Taylor,6332,QB,1,BLT,3,1,33.3,1,1,1,100.0,0,0,0,18,0,0,100.0,118.8
Matt Forte,4358,HB,1,CHI,1,1,100.0,1,1,0,0.0,1,0,0,0,0,0,,39.6
Bernard Scott,5133,HB,1,CIN,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Emmanuel Sanders,5606,WR,1,PIT,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Eric Decker,5611,WR,1,DEN,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Armanti Edwards,5613,WR,1,CAR,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
