player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Olin Kreutz,369,C,CHI,16,100.0,0,6,74.2,86.2,69.8,1,6,611,100.0,100.0,99.1,6,9,2,1003,1003,0,0,1003,644,644,0,0,359,0
Chris Williams,4328,T,CHI,16,100.0,0,6,70.5,65.1,79.2,9,34,611,100.0,100.0,95.3,9,50,7,1003,0,0,315,1003,644,644,0,688,359,0
Roberto Garza,856,G,CHI,16,100.0,0,6,75.5,81.2,72.2,2,15,611,100.0,100.0,98.4,3,18,1,1003,0,0,0,1003,644,644,1003,0,359,0
Davin Joseph,2968,G,TB,16,100.0,0,30,67.8,72.0,60.8,6,16,594,100.0,100.0,97.3,4,27,5,996,0,0,0,996,629,629,996,0,367,0
Casey Rabach,852,C,WAS,16,100.0,1,32,73.7,77.2,71.9,4,12,602,100.0,100.0,98.5,6,17,1,996,996,0,0,996,627,627,0,0,369,0
Derrick Dockery,1396,G,WAS,16,100.0,0,32,77.9,80.6,74.2,4,11,602,100.0,100.0,98.4,4,17,2,996,0,996,0,996,627,627,0,0,369,0
Alex Mack,4944,C,CLV,16,100.0,0,8,82.4,81.2,81.3,2,10,477,100.0,100.0,98.5,1,13,1,991,991,0,0,991,494,494,0,0,497,0
Joe Thomas,3619,T,CLV,16,99.9,0,8,92.9,89.3,92.1,5,7,476,99.8,99.8,98.1,7,15,3,990,0,0,983,991,493,494,0,0,497,8
Jeremy Zuttah,4397,G,TB,16,100.0,0,30,67.2,62.4,69.0,7,25,589,100.0,100.0,96.9,6,34,2,989,0,980,9,989,623,623,0,0,366,0
Ryan Lilja,2105,G,IND,16,100.0,0,14,77.0,71.5,75.8,8,15,599,100.0,100.0,97.9,0,24,1,989,0,989,0,989,627,627,0,0,362,0
Jeff Saturday,431,C,IND,16,100.0,0,14,81.7,90.6,75.0,1,6,599,100.0,100.0,99.2,2,8,1,989,989,0,0,989,627,627,0,0,362,0
Eric Steinbach,1349,G,CLV,16,99.7,0,8,62.9,61.6,63.3,7,20,474,99.4,99.4,96.9,3,28,1,988,0,987,0,991,491,494,0,0,497,4
Cooper Carlisle,658,G,OAK,16,100.0,0,23,80.4,68.4,82.1,5,15,552,100.0,100.0,97.5,4,24,4,987,0,0,0,987,591,591,987,0,396,0
Donald Penn,3459,T,TB,16,100.0,1,30,73.9,70.6,71.9,9,32,587,100.0,100.0,95.7,10,46,5,987,0,0,987,987,622,622,0,0,365,0
Alex Barron,2236,T,SL,16,99.4,2,26,67.5,66.8,67.3,15,24,573,99.0,99.0,95.5,14,45,6,986,0,0,979,992,603,609,0,0,383,13
Mario Henderson,3707,T,OAK,16,100.0,2,23,63.8,60.2,62.8,17,38,550,100.0,100.0,93.5,5,63,8,983,0,0,983,983,589,589,0,0,394,0
