player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Bucky Irving,144970,HB,TB,10,-2.2,14,90.9,50.0,1,2,0,6.3,2,0.19,11,30,0,70.5,78.4,67.8,22.6,68.2,0.0,0,0,72,13.9,33,237,0,50.7,30,78.5,186,4.6,11,131.9,33,3,7.6,18,277,358,11.9,9.2,1.49
Davis Allen,99697,TE,LA,17,4.6,2,72.7,0.0,0,4,0,7.7,2,0.3,12,26,0,64.1,75.7,62.0,67.9,59.4,59.9,154,0,27,19.1,49,257,4,58.4,24,75.5,194,16.0,41,119.3,33,3,19.5,50,208,139,5.8,8.7,1.07
Noah Gray,60878,TE,KC,16,6.2,1,63.6,100.0,3,3,0,8.7,2,0.02,9,16,0,61.3,75.1,57.7,72.6,52.4,53.7,173,0,28,14.6,47,322,1,48.7,21,78.6,253,29.2,94,77.6,33,0,15.2,49,178,111,5.3,8.5,0.7
Jaylin Noel,125155,WR,HST,17,9.1,0,78.8,100.0,1,1,0,3.7,1,0.07,13,13,0,74.9,90.4,68.8,,69.6,0.0,0,1,44,0.0,0,214,0,44.6,26,94.4,202,65.9,141,111.1,33,2,33.2,71,292,100,3.8,11.2,1.45
Jahan Dotson,84375,WR,PHI,17,15.6,0,54.5,50.0,3,6,0,0.0,0,0.05,10,24,0,83.2,81.7,55.4,52.8,54.0,0.2,1,3,51,0.2,1,438,0,45.7,18,94.3,413,41.6,182,52.8,33,1,58.2,255,262,50,2.8,14.6,0.63
Jalen Tolbert,61637,WR,DAL,13,12.4,2,54.5,40.0,4,10,0,5.3,1,0.17,12,9,0,70.5,78.1,60.4,,61.2,0.0,0,1,35,0.0,0,284,1,49.6,18,93.0,264,45.4,129,70.6,33,1,54.6,155,203,49,2.7,11.3,0.77
Brashard Smith,143951,HB,KC,17,-1.4,7,75.8,,0,0,0,7.4,2,-0.08,7,16,0,63.4,87.5,67.3,73.2,76.4,0.9,1,0,17,1.8,2,114,0,49.1,25,94.7,108,22.8,26,97.0,33,1,18.4,21,172,236,9.4,6.9,1.59
Quinshon Judkins,157128,HB,CLV,14,-0.7,5,78.8,60.0,3,5,0,3.7,1,-0.22,7,8,0,76.3,91.0,66.6,19.1,64.2,2.6,5,1,58,12.8,25,195,0,39.8,26,83.6,163,2.1,4,75.6,33,0,3.6,7,171,193,7.4,6.6,1.05
Greg Dortch,42237,WR,ARZ,12,1.7,12,87.9,50.0,2,4,0,6.5,2,-0.05,10,1,0,68.1,63.6,62.3,,61.4,0.0,0,0,39,0.0,0,226,1,42.8,29,95.1,215,71.7,162,123.0,33,3,24.8,56,206,199,6.9,7.1,0.96
Adam Thielen,8288,WR,PIT,16,8.9,2,59.4,50.0,5,10,1,13.6,3,-0.06,10,25,0,46.6,74.4,52.4,62.3,55.6,0.4,1,0,28,0.4,1,264,2,45.2,19,94.3,249,56.1,148,75.8,32,0,43.2,114,186,47,2.5,9.8,0.75
Demarcus Robinson,10760,WR,SF,14,13.9,1,71.0,75.0,6,8,0,8.3,2,0.15,15,28,0,61.3,75.4,64.0,,62.8,0.0,0,0,31,0.0,0,277,0,49.8,22,94.9,263,38.3,106,109.1,31,1,61.7,171,276,38,1.7,12.5,1.05
Ty Johnson,45769,HB,BUF,17,-1.2,9,77.4,0.0,0,1,0,7.7,2,0.11,13,4,1,62.3,57.9,64.9,26.4,64.5,5.3,14,0,52,11.1,29,262,0,47.3,24,82.4,216,18.3,48,123.5,31,2,13.0,34,263,310,12.9,11.0,1.22
Greg Dulcich,84068,TE,MIA,10,5.6,4,83.9,71.4,5,7,0,0.0,0,0.09,14,17,1,75.5,26.4,77.4,28.3,80.6,48.1,75,0,29,3.2,5,156,0,45.3,26,92.9,145,34.6,54,122.4,31,1,16.7,26,335,196,7.5,12.9,2.31
Luke Musgrave,98499,TE,GB,17,8.3,0,77.4,20.0,1,5,0,7.7,2,0.06,11,12,1,62.3,25.6,57.1,76.6,60.9,59.4,142,0,26,7.9,19,239,1,48.7,24,88.3,211,28.0,67,100.5,31,0,12.6,30,252,74,3.1,10.5,1.19
Jaylin Lane,121811,WR,WAS,14,14.9,0,51.6,37.5,3,8,2,15.8,3,-0.2,10,32,0,41.9,50.3,59.5,,59.7,0.0,0,2,41,0.0,0,222,3,44.4,16,92.3,205,37.8,84,48.5,31,0,62.2,138,225,39,2.4,14.1,1.1
Jeremy McNichols,11917,HB,WAS,17,-0.7,7,80.6,100.0,1,1,2,3.8,1,-0.15,10,32,0,74.2,53.6,66.0,51.0,60.5,0.0,0,1,24,20.8,56,269,5,42.0,25,72.5,195,20.1,54,79.6,31,0,2.2,6,196,222,8.9,7.8,1.01
Dont'e Thornton Jr.,146547,WR,LV,14,17.9,0,33.3,20.0,3,15,0,16.7,2,-0.3,7,23,0,45.7,71.9,51.7,,52.7,0.0,0,3,36,0.0,0,267,1,36.8,10,94.8,253,31.1,83,9.0,30,0,68.9,184,135,38,3.8,13.5,0.53
Jerome Ford,83601,HB,CLV,13,-1.6,3,86.7,66.7,2,3,0,10.3,3,-0.32,4,8,0,54.9,83.8,55.4,52.9,49.4,8.6,21,0,17,26.6,65,244,0,28.8,26,69.3,169,0.4,1,81.0,30,0,3.7,9,103,153,5.9,4.0,0.61
Malik Nabers,146759,WR,NYG,4,18.2,2,60.0,42.9,3,7,0,10.0,2,-0.08,11,21,0,56.1,73.9,71.8,,71.2,0.0,0,2,48,0.0,0,146,0,43.0,18,92.5,135,24.0,35,84.2,30,2,76.0,111,271,51,2.8,15.1,2.01
Cam Skattebo,147787,HB,NYG,8,0.3,7,80.0,0.0,0,2,0,4.0,1,0.04,11,21,0,73.5,68.9,80.5,11.6,82.7,0.0,0,0,21,12.8,21,164,1,47.7,24,81.7,134,4.9,8,117.6,30,2,4.9,8,207,207,8.6,8.6,1.54
Bam Knight,97432,HB,ARZ,9,0.7,2,75.9,0.0,0,1,0,4.3,1,0.06,10,1,0,72.1,68.0,69.5,39.0,67.4,0.0,0,0,20,22.8,41,180,0,50.0,22,73.3,132,4.4,8,99.8,29,1,5.6,10,160,156,7.1,7.3,1.21
Tyreek Hill,10799,WR,MIA,4,13.1,2,72.4,100.0,3,3,0,4.5,1,0.01,17,17,0,72.1,76.1,82.2,,81.1,0.0,0,1,47,0.0,0,112,0,46.2,21,92.9,104,41.1,46,97.6,29,1,58.0,65,265,61,2.9,12.6,2.55
Jeremy Ruckert,84029,TE,NYJ,17,3.8,1,82.1,66.7,2,3,0,8.0,2,-0.19,8,22,0,61.8,75.1,56.5,51.6,55.0,70.2,172,0,24,20.4,50,245,3,38.7,23,76.3,187,15.5,38,105.2,28,1,10.6,26,179,103,4.5,7.8,0.96
Marquez Valdes-Scantling,47809,WR,PIT,10,12.4,0,50.0,16.7,1,6,0,6.7,1,0.1,6,25,1,64.4,22.2,49.1,,50.3,0.0,0,0,19,0.0,0,242,1,45.9,14,96.3,233,28.1,68,73.5,28,1,71.9,174,120,32,2.3,8.6,0.52
Jack Bech,146771,WR,LV,15,9.4,1,71.4,55.6,5,9,0,4.8,1,-0.18,11,23,0,70.5,74.4,59.9,72.6,61.2,1.4,3,2,37,1.4,3,210,2,40.8,20,91.9,193,27.6,58,65.2,28,0,71.0,149,224,68,3.4,11.2,1.16
Kyle Juszczyk,7912,FB,SF,17,4.3,2,85.7,50.0,1,2,0,0.0,0,0.18,10,28,0,85.3,76.7,61.3,84.1,63.0,33.5,83,0,25,8.1,20,248,1,58.4,24,87.5,217,33.9,84,122.2,28,2,11.7,29,213,111,4.6,8.9,0.98
Kalif Raymond,11028,WR,DET,14,5.9,2,85.7,100.0,3,3,0,4.0,1,0.09,14,11,0,73.5,88.8,70.0,,68.5,0.4,1,0,30,0.0,0,223,1,42.9,24,97.3,217,41.3,92,121.6,28,1,58.3,130,289,164,6.8,12.0,1.33
Tyler Badie,83714,HB,DEN,16,-1.1,2,67.9,,0,0,0,17.4,4,0.01,9,10,0,36.9,82.0,57.9,87.4,49.0,5.5,10,0,19,19.9,36,181,1,42.0,19,75.7,137,0.6,1,79.6,28,0,1.1,2,141,206,10.8,7.4,1.03
Justice Hill,45865,HB,BLT,10,-0.5,9,77.8,100.0,1,1,0,4.5,1,0.01,6,3,0,71.5,39.1,63.7,37.5,62.1,0.0,0,0,37,22.4,39,174,0,43.8,21,72.4,126,8.6,15,105.1,27,1,4.0,7,169,189,9.0,8.0,1.34
Isaiah Davis,138299,HB,NYJ,16,1.2,3,77.8,33.3,1,3,0,4.5,1,-0.31,8,22,0,73.0,85.2,69.0,56.6,72.0,0.0,0,0,26,27.3,62,227,0,36.5,21,70.0,159,6.6,15,95.4,27,0,2.6,6,186,192,9.1,8.9,1.17
Kyle Monangai,129891,HB,CHI,17,0.2,6,66.7,0.0,0,1,1,18.2,4,-0.03,7,6,0,33.8,90.5,67.0,29.4,40.1,6.1,17,1,34,16.4,46,280,1,41.6,18,78.2,219,1.4,4,67.5,27,0,4.6,13,164,165,9.2,9.1,0.75
Isaac TeSlaa,172430,WR,DET,17,14.8,1,61.5,55.6,5,9,0,0.0,0,0.1,14,11,0,81.7,73.3,63.1,65.7,63.3,0.3,1,1,29,0.3,1,312,1,47.5,16,94.9,296,28.8,90,115.2,26,6,70.5,220,239,55,3.4,14.9,0.81
Austin Hooper,10715,TE,NE,16,9.1,0,80.8,66.7,4,6,0,0.0,0,0.2,13,19,0,84.1,75.2,68.5,63.8,71.9,75.5,182,0,31,14.9,36,241,2,51.5,21,81.3,196,9.5,23,134.5,26,2,14.1,34,263,91,4.3,12.5,1.34
Isiah Pacheco,83747,HB,KC,13,-1.2,2,73.1,0.0,0,1,0,17.4,4,0.09,4,16,0,35.5,89.5,58.6,67.2,35.6,1.1,3,0,31,10.2,29,285,1,48.9,19,84.9,242,3.9,11,92.0,26,1,4.6,13,101,122,6.4,5.3,0.42
Daniel Bellinger,84041,TE,NYG,16,9.3,2,73.1,25.0,1,4,0,5.0,1,0.16,14,21,0,70.5,74.4,62.5,68.2,63.0,37.8,104,0,44,18.5,51,275,3,50.0,19,76.4,210,34.5,95,134.5,26,2,10.9,30,286,134,7.1,15.1,1.36
David Montgomery,45719,HB,DET,17,0.1,4,92.3,,0,0,0,0.0,0,0.17,11,11,1,85.3,77.0,75.3,58.0,78.4,0.0,0,0,23,22.3,52,233,0,49.6,24,73.4,171,0.0,0,97.4,26,0,1.3,3,192,201,8.4,8.0,1.12
Terrance Ferguson,146563,TE,LA,13,18.3,0,44.0,20.0,1,5,0,8.3,1,0.21,9,26,0,62.1,72.5,68.0,74.0,64.4,28.5,53,1,36,2.2,4,186,2,51.5,11,90.3,168,46.2,86,100.2,25,3,23.7,44,231,37,3.4,21.0,1.38
Hunter Renfrow,47509,WR,CAR,6,8.3,0,62.5,50.0,3,6,1,6.3,1,-0.16,8,5,0,65.9,75.8,56.9,,57.6,0.0,0,0,15,0.0,0,165,1,43.6,15,90.3,149,80.0,132,97.4,24,2,20.0,33,89,21,1.4,5.9,0.6
Tim Patrick,12087,WR,JAX,15,11.9,2,62.5,42.9,3,7,1,16.7,3,-0.13,10,15,0,39.8,73.3,61.8,60.2,62.7,0.0,0,1,37,1.7,3,178,3,47.0,15,91.6,163,39.3,70,108.9,24,3,60.7,108,187,53,3.5,12.5,1.15
Kareem Hunt,11841,HB,KC,17,0.0,4,75.0,0.0,0,1,0,5.3,1,0.01,8,16,0,70.7,61.0,72.2,63.6,53.2,1.4,5,1,22,14.5,50,346,2,44.9,18,79.8,276,3.8,13,85.9,24,1,2.6,9,143,155,8.6,7.9,0.52
Elijah Arroyo,143933,TE,SEA,13,9.0,0,62.5,57.1,4,7,0,0.0,0,-0.05,7,29,1,81.1,22.4,55.2,75.9,52.3,58.0,101,3,32,4.0,7,174,1,45.5,15,90.8,158,23.0,40,59.5,24,1,16.7,29,179,66,4.4,11.9,1.13
Luke Schoonmaker,84005,TE,DAL,17,7.0,1,60.9,33.3,2,6,0,6.7,1,-0.01,7,9,0,65.6,73.0,55.1,54.1,58.6,70.6,132,0,29,23.5,44,187,2,41.4,14,73.8,138,21.9,41,76.7,23,0,7.5,14,132,85,6.1,9.4,0.96
Tanner Hudson,66924,TE,CIN,12,6.0,3,82.6,40.0,2,5,0,0.0,0,0.01,8,7,0,83.2,74.1,73.1,64.9,73.6,31.9,37,1,33,0.9,1,116,0,44.2,19,96.6,112,46.6,54,108.0,23,2,19.0,22,168,85,4.5,8.8,1.5
Mitchell Tinsley,123470,WR,CIN,17,16.2,0,34.8,33.3,3,9,0,27.3,3,-0.08,6,7,0,28.8,73.4,56.5,67.6,56.7,3.2,5,0,27,1.3,2,158,1,45.0,8,94.3,149,19.6,31,81.1,23,2,75.9,120,116,15,1.9,14.5,0.78
Kevin Austin Jr.,84345,WR,NO,7,8.4,0,56.5,0.0,0,3,0,18.8,3,0.09,7,20,0,37.9,73.0,57.9,77.4,56.9,1.2,2,0,36,1.2,2,161,1,44.5,13,95.0,153,37.3,60,89.0,23,1,61.5,99,140,57,4.4,10.8,0.92
Zach Charbonnet,97630,HB,SEA,16,1.5,4,87.0,,0,0,0,4.8,1,0.0,7,29,0,70.5,90.5,85.1,46.8,56.5,2.2,6,0,21,23.7,66,278,0,46.4,20,72.3,201,4.7,13,92.8,23,0,2.5,7,144,122,6.1,7.2,0.72
Adam Trautman,109795,TE,DEN,17,5.2,5,87.0,100.0,1,1,1,4.8,1,0.15,11,10,0,70.5,75.0,57.4,68.4,60.0,69.8,220,0,26,28.9,91,315,7,49.0,20,67.3,212,21.6,68,116.5,23,1,7.0,22,195,102,5.1,9.8,0.92
Jordan Whittington,97623,WR,LA,16,6.8,2,78.3,0.0,0,1,1,0.0,0,0.12,7,26,0,83.6,81.3,54.5,43.2,57.4,2.1,5,0,40,3.8,9,238,2,53.1,18,90.3,215,58.4,139,97.6,23,0,38.7,92,171,94,5.2,9.5,0.8
Jayden Reed,78171,WR,GB,7,8.3,4,86.4,50.0,1,2,0,5.0,1,0.29,8,12,0,70.5,76.6,71.7,65.9,73.2,1.7,2,0,31,0.8,1,119,1,54.9,19,95.0,113,73.9,88,121.0,22,1,21.0,25,207,85,4.5,10.9,1.83
Mitchell Evans,147486,TE,CAR,17,4.0,2,86.4,,0,0,0,5.0,1,-0.05,9,5,0,69.6,74.5,69.7,65.2,66.8,77.9,127,1,25,14.7,24,163,3,49.0,19,81.0,132,18.4,30,110.4,22,2,3.7,6,171,107,5.6,9.0,1.3
Tyrell Shavers,61107,WR,BUF,16,13.9,0,68.2,33.3,1,3,0,0.0,0,0.09,10,4,0,81.1,73.0,60.2,82.9,61.1,9.7,22,0,43,2.7,6,226,2,48.4,15,92.5,209,26.5,60,120.5,22,1,63.3,143,245,65,4.3,16.3,1.17
Lil'Jordan Humphrey,42247,WR,DEN,10,12.5,0,59.1,50.0,2,4,0,0.0,0,0.18,9,10,0,80.0,72.3,57.3,75.4,58.4,1.6,3,1,34,1.1,2,186,1,47.4,13,93.0,173,32.3,60,77.1,22,1,66.1,123,156,33,2.5,12.0,0.9
Treylon Burks,99218,WR,WAS,8,14.2,1,45.5,33.3,2,6,0,0.0,0,-0.02,7,32,0,78.7,72.8,62.9,,64.6,0.0,0,2,37,0.0,0,168,1,46.1,10,91.1,153,20.8,35,41.9,22,1,78.6,132,130,36,3.6,13.0,0.85
Xavier Smith,102585,WR,LA,14,16.2,0,81.8,0.0,0,1,1,0.0,0,0.25,11,26,0,82.7,89.6,73.7,68.5,72.4,0.0,0,1,51,1.9,3,159,3,51.7,18,93.1,148,73.6,117,99.8,22,0,25.2,40,303,108,6.0,16.8,2.05
Tory Horton,128232,WR,SEA,8,16.5,1,59.1,33.3,2,6,0,0.0,0,0.2,7,29,0,81.1,83.7,70.1,62.4,69.1,0.0,0,0,25,0.7,1,149,1,50.4,13,92.6,138,22.1,33,121.4,22,5,77.9,116,161,28,2.2,12.4,1.17
Josh Reynolds,11872,WR,NYJ,5,13.6,3,52.4,25.0,2,8,0,8.3,1,-0.16,4,22,0,63.2,72.3,61.6,,61.8,0.0,0,2,13,0.0,0,172,0,41.9,11,93.0,160,21.5,37,26.2,21,0,78.5,135,101,14,1.3,9.2,0.63
Kyle Williams,128374,WR,NE,17,18.7,0,47.6,16.7,1,6,0,9.1,1,0.39,7,19,0,58.5,78.3,61.9,65.7,61.7,0.0,0,0,72,0.5,1,191,1,54.7,10,93.2,178,11.0,21,122.8,21,3,89.0,170,209,78,7.8,20.9,1.17
Konata Mumpfield,145598,WR,LA,16,13.1,0,47.6,20.0,1,5,0,0.0,0,-0.01,7,26,0,78.0,71.1,56.2,,55.5,0.5,1,1,19,0.0,0,186,0,48.0,10,95.2,177,20.4,38,56.1,21,1,79.0,147,92,26,2.6,9.2,0.52
Chris Moore,10741,WR,WAS,14,15.4,0,52.4,42.9,3,7,1,21.4,3,0.13,10,32,0,29.9,75.6,55.9,,57.3,0.0,0,0,44,0.0,0,257,1,50.0,11,90.3,232,19.1,49,102.7,21,1,80.9,208,207,55,5.0,18.8,0.89
Samaje Perine,11869,HB,CIN,14,-1.6,7,85.0,100.0,1,1,0,5.6,1,0.07,5,7,0,69.0,29.2,66.6,39.1,60.3,4.1,10,0,16,19.9,48,241,0,43.9,17,75.9,183,0.8,2,84.8,20,0,1.7,4,87,111,6.5,5.1,0.48
Kimani Vidal,123727,HB,LAC,13,-0.7,4,80.0,,0,0,0,0.0,0,-0.02,6,27,0,81.7,76.8,74.5,55.5,61.3,0.6,2,0,60,27.6,85,308,1,48.0,16,70.1,216,3.9,12,111.7,20,1,1.9,6,136,169,10.6,8.5,0.63
Roman Wilson,129604,WR,PIT,13,13.8,1,60.0,25.0,1,4,0,0.0,0,0.01,7,25,1,80.0,20.2,59.8,,58.7,0.0,0,0,45,0.0,0,164,0,40.6,12,94.5,155,20.1,33,120.0,20,2,79.9,131,166,67,5.6,13.8,1.07
Mo Alie-Cox,12078,TE,IND,17,5.5,1,68.4,25.0,1,4,0,7.1,1,0.15,4,14,0,63.2,72.3,67.4,81.3,58.0,91.5,184,1,20,38.3,77,201,1,54.3,13,58.2,117,7.0,14,80.4,19,1,1.0,2,117,78,6.0,9.0,1.0
Brock Wright,60994,TE,DET,11,2.4,0,73.7,0.0,0,1,0,6.7,1,0.16,7,11,0,64.7,73.4,52.5,53.2,54.2,64.1,116,2,20,28.2,51,181,2,50.0,14,69.1,125,20.4,37,82.7,19,2,8.3,15,108,83,5.9,7.7,0.86
Julian Hill,88685,TE,MIA,14,3.7,2,78.9,,0,0,1,6.3,1,-0.1,6,17,0,67.7,73.6,53.8,66.8,56.3,70.2,146,1,20,31.7,66,208,2,41.2,15,63.9,133,15.9,33,75.4,19,0,4.3,9,140,112,7.5,9.3,1.05
Devin Neal,144558,HB,NO,9,-2.1,5,89.5,50.0,1,2,0,5.6,1,-0.03,4,20,0,68.7,85.8,58.8,57.8,58.8,0.0,0,0,18,18.8,34,181,0,45.9,17,77.3,140,1.7,3,89.5,19,0,5.5,10,104,138,8.1,6.1,0.74
Derrick Henry,10679,HB,BLT,17,0.9,5,78.9,,0,0,0,6.3,1,0.11,4,3,0,65.6,56.9,80.4,65.9,59.1,0.0,0,1,44,22.2,46,207,1,55.4,15,74.4,154,1.0,2,77.6,19,0,0.5,1,150,139,9.3,10.0,0.97
Devin Singletary,40485,HB,NYG,17,-0.8,7,94.7,100.0,1,1,0,5.3,1,-0.11,4,21,0,70.5,90.1,71.1,67.6,58.7,0.0,0,0,41,25.7,44,171,1,42.9,18,69.0,118,3.5,6,99.8,19,0,9.9,17,151,164,9.1,8.4,1.28
Jackson Hawes,109374,TE,BUF,17,7.2,4,84.2,66.7,2,3,0,5.9,1,0.22,13,4,0,66.7,73.3,85.2,78.7,84.1,76.7,112,0,29,29.5,43,146,0,57.4,16,67.8,99,18.5,27,147.3,19,3,4.8,7,187,92,5.8,11.7,1.89
Josh Oliver,47083,TE,MIN,15,2.8,1,83.3,50.0,1,2,0,0.0,0,-0.21,9,18,0,81.7,74.0,70.8,66.6,72.9,80.9,140,1,32,25.4,44,173,2,42.8,15,69.4,120,13.9,24,120.1,18,4,4.0,7,160,103,6.9,10.7,1.33
Nick Westbrook-Ikhine,47861,WR,MIA,14,5.7,2,61.1,50.0,1,2,0,21.4,3,-0.09,8,17,0,31.0,71.9,51.5,70.7,49.4,0.0,0,1,18,1.7,4,235,0,38.9,11,94.5,222,40.4,95,50.5,18,0,59.6,140,89,29,2.6,8.1,0.4
Nick Chubb,45783,HB,HST,15,1.0,1,72.2,50.0,1,2,0,7.1,1,0.21,1,13,0,64.4,89.9,70.5,40.7,53.4,0.0,0,0,27,26.7,50,187,0,54.7,13,67.4,126,0.0,0,77.8,18,0,2.1,4,67,63,4.8,5.2,0.53
Emari Demercado,77763,HB,ARZ,11,1.2,2,72.2,100.0,1,1,1,13.3,2,-0.03,3,1,0,47.7,41.7,53.8,46.0,54.0,0.0,0,0,34,18.1,27,149,1,41.1,13,77.9,116,4.7,7,104.2,18,1,4.7,7,101,85,6.5,7.8,0.87
Allen Lazard,48135,WR,NYJ,10,11.4,0,55.6,37.5,3,8,0,0.0,0,-0.21,4,22,0,78.0,71.1,49.8,76.2,52.0,0.0,0,1,10,1.2,2,173,2,39.8,10,91.9,159,46.8,81,60.0,18,1,53.2,92,70,36,3.6,7.0,0.44
Gabe Davis,55410,WR,BUF,6,9.6,0,66.7,71.4,5,7,1,7.7,1,0.4,8,4,0,61.8,71.9,61.2,,59.1,2.2,3,1,22,0.0,0,139,1,51.9,12,95.7,133,13.7,19,82.9,18,1,84.2,117,129,30,2.5,10.8,0.97
Elijah Moore,84302,WR,BUF,9,8.4,2,52.9,20.0,1,5,0,10.0,1,-0.23,4,4,0,56.7,74.5,63.0,,60.4,0.0,0,1,31,0.0,0,113,0,38.9,9,95.6,108,38.9,44,49.1,17,0,59.3,67,112,57,6.3,12.4,1.04
Isaiah Hodgins,52130,WR,NYG,7,11.5,1,58.8,66.7,2,3,1,0.0,0,-0.01,6,21,0,78.0,71.1,54.6,67.5,56.3,1.3,3,0,30,0.4,1,224,1,42.9,10,91.1,204,36.6,82,98.9,17,1,62.1,139,115,18,1.8,11.5,0.56
Ameer Abdullah,9487,HB,IND,13,-0.4,6,94.1,100.0,1,1,0,0.0,0,0.16,4,14,0,81.7,43.2,70.5,44.2,81.7,0.0,0,0,15,11.8,8,68,0,43.9,16,85.3,58,7.4,5,90.9,17,0,4.4,3,99,106,6.6,6.2,1.71
Chris Brooks,83644,HB,GB,17,0.3,5,76.5,,0,0,0,13.3,2,0.13,3,12,0,48.0,80.1,69.6,69.2,51.1,5.6,8,0,16,23.2,33,142,0,47.1,13,75.4,107,4.9,7,88.1,17,0,4.2,6,91,102,7.8,7.0,0.85
Mason Tipton,109617,WR,NO,12,8.8,1,64.7,0.0,0,3,0,0.0,0,0.0,4,20,0,79.4,28.1,53.7,,54.2,0.0,0,1,12,0.0,0,186,0,46.9,11,95.2,177,32.3,60,50.1,17,0,67.7,126,76,40,3.6,6.9,0.43
Drew Sample,47259,TE,CIN,17,-0.1,1,88.2,50.0,1,2,1,0.0,0,-0.08,5,7,0,81.1,73.0,53.9,67.8,45.9,64.2,199,0,27,23.9,74,310,2,46.4,15,72.3,224,8.1,25,112.3,17,1,4.2,13,106,106,7.1,7.1,0.47
Johnny Mundt,12206,TE,JAX,16,6.1,2,52.9,0.0,0,3,0,25.0,3,0.22,6,15,0,29.1,70.6,60.5,78.9,47.1,74.6,132,0,21,18.6,33,177,3,55.2,9,75.1,133,16.9,30,73.4,17,0,6.8,12,111,76,8.4,12.3,0.83
Brycen Tremayne,84425,WR,CAR,16,8.6,2,82.4,50.0,1,2,0,0.0,0,-0.1,7,5,1,80.6,22.6,62.5,61.6,62.3,1.6,2,0,26,0.8,1,123,0,48.2,14,91.9,113,35.0,43,105.9,17,0,61.0,75,160,54,3.9,11.4,1.42
Emanuel Wilson,154173,HB,GB,16,-2.7,6,93.8,,0,0,0,6.3,1,0.03,5,12,1,52.8,73.2,64.0,46.7,37.2,2.2,4,0,25,24.7,45,182,0,50.3,15,70.9,129,4.9,9,92.4,16,0,5.5,10,99,136,9.1,6.6,0.77
Tyler Allgeier,83639,HB,ATL,17,-1.9,2,87.5,,0,0,0,6.7,1,-0.09,3,2,0,65.6,90.1,71.5,70.7,56.3,0.0,0,0,31,23.5,35,149,0,45.0,14,71.8,107,2.0,3,91.7,16,0,3.4,5,96,120,8.6,6.9,0.9
Zay Jones,11792,WR,ARZ,8,13.9,1,75.0,50.0,1,2,0,0.0,0,0.09,7,1,0,61.8,71.9,58.1,,57.7,0.0,0,1,43,0.0,0,190,1,48.6,12,91.1,173,28.4,54,86.2,16,0,71.6,136,183,33,2.8,15.3,1.06
John FitzPatrick,83974,TE,GB,15,2.8,1,75.0,,0,0,2,14.3,2,0.3,4,12,0,31.3,71.9,56.3,73.6,47.5,74.0,114,0,11,16.9,26,154,6,55.6,12,77.3,119,15.6,24,104.2,16,1,7.8,12,72,55,4.6,6.0,0.61
Cade Stover,101486,TE,HST,9,1.9,1,75.0,75.0,3,4,0,14.3,2,0.17,4,13,0,45.7,74.8,57.5,63.9,52.8,79.8,71,0,11,14.6,13,89,1,49.4,12,79.8,71,10.1,9,84.4,16,0,9.0,8,76,52,4.3,6.3,1.07
Will Dissly,30762,TE,LAC,9,4.1,1,73.3,0.0,0,3,0,8.3,1,-0.01,5,27,0,60.2,71.5,59.7,74.3,55.9,65.4,70,0,18,11.2,12,107,1,44.8,11,86.9,93,18.7,20,90.1,15,0,15.0,16,97,68,6.2,8.8,1.04
Tutu Atwell,77965,WR,LA,10,20.4,0,40.0,16.7,1,6,1,0.0,0,0.17,4,26,0,74.6,68.8,58.3,,58.8,0.0,0,1,88,0.0,0,154,1,48.3,6,92.9,143,64.3,99,81.9,15,1,35.7,55,192,65,10.8,32.0,1.34
Jordan Mason,62946,HB,MIN,16,-3.7,2,93.3,,0,0,1,0.0,0,-0.13,1,18,1,80.6,44.6,74.4,25.1,42.0,5.2,12,0,13,28.1,65,231,1,45.7,14,69.3,160,1.7,4,80.8,15,0,3.0,7,51,104,7.4,3.6,0.32
Tanner Conner,22777,TE,NYG,9,8.4,0,60.0,50.0,1,2,0,18.2,2,-0.12,3,21,0,38.7,70.6,46.2,38.6,46.3,45.5,60,1,28,9.1,12,132,0,39.7,9,86.4,114,40.9,54,49.6,15,0,12.9,17,91,37,4.1,10.1,0.8
Hunter Luepke,91319,FB,DAL,17,0.1,5,86.7,0.0,0,1,0,7.1,1,0.23,6,9,0,63.2,78.0,60.5,54.3,70.6,3.8,5,0,15,29.2,38,130,0,51.3,13,65.4,85,4.6,6,119.2,15,1,4.6,6,109,114,8.8,8.4,1.28
Taysom Hill,12112,TE,NO,13,1.3,1,73.3,0.0,0,1,0,21.4,3,-0.15,2,20,1,31.9,30.0,53.4,41.0,50.7,14.1,14,0,17,5.1,5,99,2,46.2,11,83.8,83,32.3,32,88.5,15,0,25.3,25,91,88,8.0,8.3,1.1
Hunter Long,60859,TE,JAX,9,4.1,0,80.0,100.0,1,1,0,20.0,3,-0.1,5,15,1,33.5,25.0,56.1,64.2,52.2,51.9,81,0,11,12.8,20,156,2,41.1,12,84.0,131,27.6,43,129.9,15,2,18.6,29,85,34,2.8,7.1,0.65
