player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Travis Kelce,7844,TE,KC,17,6.9,9,73.8,37.5,3,8,0,8.4,7,0.02,46,16,1,52.6,81.9,72.0,57.9,74.0,34.0,218,4,44,4.5,29,642,3,45.8,76,89.9,577,42.1,270,98.0,103,5,22.7,146,851,430,5.7,11.2,1.47
Harold Fannin Jr.,163104,TE,CLV,16,6.0,22,69.9,47.6,10,21,0,6.5,5,-0.21,32,8,0,71.1,53.1,67.9,54.1,76.4,42.0,207,2,35,5.7,28,493,6,36.2,72,88.4,436,41.4,204,101.2,103,6,15.2,75,731,359,5.0,10.2,1.68
Dalton Schultz,47304,TE,HST,17,6.6,8,80.4,28.6,2,7,0,1.2,1,0.03,39,13,1,90.1,53.1,73.6,53.3,76.7,56.4,332,0,47,7.6,45,589,5,44.9,82,84.7,499,32.3,190,108.2,102,3,9.3,55,777,362,4.4,9.5,1.56
Troy Franklin,146567,WR,DEN,17,13.0,9,63.7,52.9,9,17,2,11.0,8,0.05,32,10,1,45.3,48.9,62.6,,63.9,0.0,0,4,48,0.0,0,519,5,45.4,65,94.2,489,45.1,234,87.4,102,6,54.7,284,709,279,4.3,10.9,1.45
Ladd McConkey,124030,WR,LAC,16,10.5,13,64.7,23.1,3,13,0,4.3,3,0.03,35,27,0,73.4,83.8,67.6,38.3,69.1,1.0,6,5,58,0.2,1,592,3,48.0,66,95.1,563,63.7,377,87.4,102,6,35.3,209,789,313,4.7,12.0,1.4
Juwan Johnson,28305,TE,NO,17,7.6,12,77.0,56.0,14,25,0,8.3,7,-0.02,41,20,2,60.7,27.8,66.5,61.1,69.1,27.8,165,0,52,5.7,34,593,2,45.8,77,88.7,526,53.6,318,113.3,100,3,15.7,93,889,363,4.7,11.5,1.69
Jake Ferguson,61081,TE,DAL,17,5.0,9,82.0,57.1,12,21,2,4.7,4,0.2,30,9,3,74.2,24.1,59.4,54.4,60.0,37.9,220,1,26,6.0,35,581,5,52.1,82,85.7,498,54.2,315,114.2,100,8,6.5,38,600,308,3.8,7.3,1.2
Stefon Diggs,9579,WR,NE,17,8.7,11,85.0,78.6,11,14,0,2.3,2,0.36,51,19,0,90.1,82.6,87.5,62.4,87.5,0.0,0,2,34,0.2,1,450,4,57.9,85,93.1,419,52.4,236,113.9,100,4,47.3,213,1013,363,4.3,11.9,2.42
Bijan Robinson,123126,HB,ATL,17,0.7,26,79.8,60.0,3,5,0,3.7,3,-0.02,34,2,1,84.2,49.4,86.6,30.4,88.1,0.0,0,1,69,15.3,83,543,1,45.5,79,80.5,437,18.0,98,110.4,99,4,10.9,59,820,858,10.9,10.4,1.88
Jaylen Waddle,84088,WR,MIA,16,13.2,9,64.6,54.5,12,22,2,4.5,3,-0.02,48,17,1,79.1,48.0,84.0,,85.2,0.0,0,7,46,0.0,0,443,2,45.3,64,93.9,416,23.0,102,85.0,99,6,76.5,339,910,231,3.6,14.2,2.19
