player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jordy Nelson,4350,WR,GB,13,12.3,2,78.6,,0,0,0,12.0,3,15,12,0,50.6,75.1,76.0,75.2,71.8,0.7,1,0,51,1.3,2,153,1,22,94.1,144,10.5,16,138.1,28,2,88.9,136,320,95,4.3,14.5,2.22
Domenik Hixon,3075,WR,NYG,14,11.6,2,53.6,,0,0,1,0.0,0,10,21,0,81.1,73.0,70.4,,65.0,0.0,0,2,61,0.0,0,154,1,15,91.6,141,23.4,36,56.7,28,1,76.6,118,187,105,7.0,12.5,1.33
Shawn Nelson,5045,TE,BUF,12,6.3,0,60.7,,0,0,0,10.5,2,7,4,2,56.6,17.0,60.2,78.8,41.2,93.3,251,1,25,26.4,71,269,4,17,71.4,192,5.6,15,73.2,28,1,1.1,3,158,75,4.4,9.3,0.82
Zach Miller,5104,TE,JAX,13,5.1,3,75.0,,0,0,0,8.7,2,10,15,0,60.3,75.2,66.4,75.5,68.0,32.5,38,0,62,2.6,3,117,0,21,91.5,107,37.6,44,119.9,28,2,16.2,19,212,145,6.9,10.1,1.98
Legedu Naanee,3788,WR,SD,15,5.6,1,88.9,,0,0,0,4.0,1,14,27,0,73.5,76.5,67.7,67.3,67.6,0.5,1,0,23,0.5,1,201,1,24,95.5,192,69.2,139,128.7,27,2,28.9,58,242,140,5.8,10.1,1.26
Mewelde Moore,1840,HB,PIT,16,1.0,7,77.8,,0,0,0,4.5,1,9,25,0,72.3,82.5,58.6,65.4,70.1,0.0,0,0,19,34.7,85,245,1,21,59.6,146,5.7,14,115.0,27,2,2.0,5,153,177,8.4,7.3,1.05
Le'Ron McClain,3753,FB,BLT,16,-2.0,6,80.8,,0,0,0,8.7,2,7,3,0,60.1,83.7,64.5,53.0,58.8,9.9,24,0,19,28.1,68,242,0,21,69.4,168,2.1,5,90.1,26,0,2.1,5,146,198,9.4,7.0,0.87
Casey Fitzsimmons,1607,TE,DET,10,5.0,2,69.2,,0,0,0,10.0,2,5,11,1,55.6,27.1,65.3,78.3,58.9,35.0,43,0,12,11.4,14,123,1,18,87.0,107,44.7,55,80.3,26,0,9.8,12,128,73,4.1,7.1,1.2
Sammy Morris,678,HB,NE,12,0.8,1,73.1,,0,0,0,13.6,3,10,19,0,46.6,36.0,61.8,81.1,65.1,0.0,0,1,35,11.1,12,108,0,19,83.3,90,2.8,3,75.8,26,0,15.7,17,180,182,9.6,9.5,2.0
Jonathan Stewart,4327,HB,CAR,16,0.2,5,72.0,,0,0,0,10.0,2,7,5,0,56.1,61.0,71.1,43.6,58.0,0.0,0,0,19,27.0,51,189,1,18,70.9,134,1.1,2,98.6,25,1,1.1,2,139,135,7.5,7.7,1.04
Brandon Jackson,3679,HB,GB,12,-1.0,3,84.0,,0,0,0,8.7,2,10,12,0,60.5,57.6,55.3,86.6,67.3,0.0,0,0,17,28.8,59,205,0,21,68.3,140,1.0,2,111.2,25,1,1.0,2,187,206,9.8,8.9,1.34
Robert Royal,1151,TE,CLV,13,9.1,0,45.8,,0,0,0,31.3,5,7,8,0,26.9,71.5,57.1,75.3,34.2,68.2,180,1,29,20.8,55,264,0,11,76.9,203,23.5,62,59.4,24,1,5.7,15,130,39,3.5,11.8,0.64
Kenneth Darby,3862,HB,SL,16,-0.5,4,75.0,,0,0,0,10.0,2,6,26,0,56.3,80.7,56.6,59.2,58.5,0.0,0,0,13,14.0,16,114,1,18,82.5,94,2.6,3,81.3,24,0,6.1,7,96,114,6.3,5.3,1.02
Justin Griffith,1433,FB,SEA,13,3.4,0,79.2,,0,0,0,5.0,1,5,29,1,69.6,25.7,64.9,57.3,47.7,5.4,8,1,25,15.5,23,148,0,19,83.1,123,1.4,2,83.7,24,1,13.5,20,118,83,4.4,6.2,0.96
LaDainian Tomlinson,777,HB,SD,14,-0.8,2,83.3,,0,0,0,4.8,1,8,27,1,70.7,70.8,48.6,50.4,48.5,0.0,0,0,36,25.8,68,264,0,20,71.6,189,1.1,3,93.4,24,0,7.6,20,154,185,9.3,7.7,0.81
Early Doucet,4395,WR,ARZ,9,8.1,3,73.9,,0,0,0,15.0,3,12,1,0,42.1,73.6,64.6,66.8,62.7,0.0,0,1,29,0.6,1,162,0,17,96.3,156,69.8,113,98.8,23,1,30.2,49,214,116,6.8,12.6,1.37
Vonta Leach,2100,FB,HST,16,2.3,1,87.0,,0,0,0,9.1,2,5,13,0,58.1,74.4,56.4,30.1,53.3,0.0,0,0,26,11.3,22,194,2,20,87.6,170,0.0,0,109.2,23,1,1.0,2,155,111,5.6,7.8,0.91
Leonard Weaver,2835,FB,PHI,16,0.9,2,65.2,,0,0,0,21.1,4,6,24,0,29.8,85.7,64.6,77.5,52.8,4.3,11,0,59,29.1,74,254,2,15,67.3,171,8.7,22,110.8,23,2,0.0,0,140,126,8.4,9.3,0.82
