player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Aaron Rodgers,2241,QB,PIT,16,75.2,460,498,6.4,2.58,7,24,4.5,65.7,327,0,138,5.5,542,19,-0.01,147,25,58.2,68.7,69.5,42.7,7,7,574,5,43.9,21.0,94.8,5.4,29,12,2,22,24,14,2.4,3322,6.7
Drake Maye,143969,QB,NE,17,79.6,461,492,9.5,3.12,7,26,4.9,72.0,354,0,228,3.5,601,13,0.28,229,19,54.7,90.1,87.8,75.6,5,8,638,2,54.9,20.6,113.5,7.8,47,61,0,19,31,17,2.7,4394,8.9
Jacoby Brissett,10725,QB,ARZ,13,74.7,443,485,8.1,2.97,3,17,3.3,64.9,315,0,225,4.8,550,16,-0.01,173,1,52.2,71.1,69.1,68.9,7,8,581,3,45.6,19.1,94.1,7.8,43,22,1,31,23,16,2.8,3366,6.9
Bryce Young,123943,QB,CAR,16,77.2,421,478,7.0,2.85,9,22,4.3,63.6,304,1,200,6.5,542,21,-0.07,168,5,53.0,70.5,68.2,69.8,9,11,579,6,44.5,13.5,87.8,5.0,27,33,2,37,23,16,2.8,3011,6.3
Sam Darnold,29048,QB,SEA,17,78.3,428,477,8.7,2.74,15,29,5.7,67.7,323,0,180,3.6,526,12,0.06,184,29,37.1,79.3,80.2,42.1,6,14,559,5,49.2,15.0,99.1,5.1,27,14,4,24,25,19,3.4,4048,8.5
Josh Allen,46601,QB,BUF,16,78.0,437,460,7.6,3.03,6,23,4.7,69.3,319,0,203,6.5,557,22,0.14,196,4,81.2,87.4,78.8,91.3,3,10,592,4,49.4,19.7,102.2,7.2,40,52,1,13,25,14,2.4,3668,8.0
Jalen Hurts,40291,QB,PHI,16,74.2,414,454,9.2,3.09,6,24,5.0,64.8,294,0,193,4.2,532,13,0.06,164,24,58.5,79.2,77.2,70.5,7,6,564,5,44.5,16.6,98.5,6.0,32,39,2,25,25,11,2.0,3224,7.1
Geno Smith,7820,QB,LV,15,76.9,415,448,6.9,2.81,8,14,3.0,67.4,302,0,212,5.3,524,17,-0.14,154,23,67.4,60.9,58.2,70.3,7,17,557,4,43.7,25.9,84.7,10.5,55,18,2,16,19,23,4.1,3025,6.8
Jordan Love,40306,QB,GB,15,77.6,398,439,9.2,2.85,6,27,5.8,66.3,291,0,192,5.8,493,18,0.19,169,12,65.6,88.5,88.7,52.1,7,6,523,2,51.1,10.9,101.2,4.3,21,24,1,27,23,14,2.7,3381,7.7
C.J. Stroud,129759,QB,HST,14,71.4,388,423,8.5,2.8,7,15,3.3,64.5,273,0,172,1.4,472,4,0.09,145,13,82.5,72.9,70.0,73.0,5,8,515,4,45.3,13.4,92.9,4.9,23,26,3,20,19,13,2.5,3041,7.2
Joe Flacco,4332,QB,CIN,12,73.0,374,416,7.6,2.6,5,16,3.6,60.3,251,1,148,8.1,438,22,-0.17,118,7,60.2,68.0,66.8,76.1,7,10,466,8,40.9,12.2,79.2,4.1,18,4,4,26,15,15,3.2,2479,6.0
Tua Tagovailoa,60326,QB,MIA,14,76.5,362,384,7.2,2.59,4,18,4.4,67.7,260,0,131,6.1,440,17,-0.03,143,17,45.4,62.1,65.8,27.0,1,15,465,4,43.4,22.9,88.5,6.8,30,12,2,15,20,25,5.4,2660,6.9
Daniel Jones,39395,QB,IND,13,76.2,362,384,8.6,2.76,7,13,3.1,68.0,261,0,151,5.4,429,15,0.14,157,14,50.5,71.7,68.7,73.7,5,8,460,5,51.5,14.6,100.2,5.1,22,23,2,8,19,18,3.9,3101,8.1
Jaxson Dart,146409,QB,NYG,13,74.4,313,339,8.8,3.08,8,19,5.2,63.7,216,1,152,7.3,414,17,-0.01,121,21,51.4,68.1,64.2,77.6,5,5,448,9,44.9,23.0,91.7,8.5,35,39,1,12,15,15,3.3,2272,6.7
Tyler Shough,83537,QB,NO,11,76.5,306,327,8.7,2.7,6,13,3.8,67.6,221,0,124,5.6,378,13,0.0,113,20,86.6,74.6,73.1,64.8,3,6,397,0,43.9,25.0,91.3,8.2,31,20,3,9,10,8,2.0,2384,7.3
Lamar Jackson,46416,QB,BLT,13,74.3,276,302,9.7,3.16,8,9,2.8,63.6,192,0,156,6.3,368,13,0.03,122,3,45.5,74.0,69.0,78.6,5,7,393,4,48.1,23.1,103.8,9.8,36,30,2,11,21,12,3.1,2549,8.4
Mac Jones,60323,QB,SF,8,80.1,266,289,7.7,2.66,7,8,2.7,69.6,201,0,95,5.6,316,12,0.07,109,28,72.0,77.1,76.0,65.5,4,6,329,3,51.3,17.9,97.4,5.4,17,8,3,9,13,10,3.0,2151,7.4
Brock Purdy,77672,QB,SF,9,80.2,258,284,8.0,3.15,3,12,4.0,69.4,197,1,119,4.8,316,10,0.14,136,28,82.9,90.0,86.1,83.3,6,10,335,3,51.9,9.2,100.5,3.5,11,18,0,17,20,11,3.3,2167,7.6
Michael Penix Jr.,82134,QB,ATL,9,71.3,247,276,8.8,2.82,3,8,2.7,60.1,166,0,106,5.7,303,10,0.01,104,2,73.1,59.3,58.0,66.2,9,3,325,7,47.2,12.3,88.5,4.3,13,13,0,17,9,11,3.4,1982,7.2
Kirk Cousins,7102,QB,ATL,10,72.3,249,269,7.4,2.6,2,9,3.2,61.7,166,0,103,7.8,289,14,-0.06,87,2,68.4,76.0,75.0,66.3,3,5,302,5,43.6,12.6,84.8,4.5,13,2,3,12,10,5,1.7,1721,6.4
Joe Burrow,28022,QB,CIN,8,75.3,243,259,8.1,2.78,3,18,6.6,66.8,173,0,86,5.5,288,10,0.06,101,7,90.7,91.8,91.3,59.0,3,5,303,4,49.3,19.8,100.7,5.9,17,9,0,10,17,2,0.7,1809,7.0
Spencer Rattler,97408,QB,NO,9,75.6,242,257,8.3,2.63,2,11,4.0,67.7,174,0,111,4.9,292,9,-0.12,83,20,44.8,70.0,66.1,76.9,1,5,314,3,47.3,16.2,86.5,6.2,18,15,3,9,8,17,5.4,1586,6.2
J.J. McCarthy,144918,QB,MIN,10,71.0,221,243,9.5,3.04,11,19,7.3,57.6,140,0,115,10.8,291,17,-0.15,88,18,28.3,61.8,60.1,71.6,6,12,310,6,43.6,23.5,72.6,9.3,27,17,0,5,11,15,4.8,1632,6.7
Marcus Mariota,9435,QB,WAS,10,70.7,208,227,10.6,2.9,3,17,6.9,61.2,139,0,88,5.4,262,8,-0.02,85,32,29.6,71.4,72.3,55.8,1,7,285,4,47.3,18.2,86.1,6.1,16,18,2,13,10,12,4.2,1695,7.5
Shedeur Sanders,131396,QB,CLV,8,69.8,182,212,7.7,3.32,4,10,4.5,56.6,120,0,131,5.5,255,7,-0.28,60,8,48.7,44.1,42.3,67.9,9,10,265,7,36.5,17.6,68.1,9.0,23,18,0,17,7,15,5.7,1400,6.6
Justin Fields,82118,QB,NYJ,9,76.5,179,204,7.2,3.09,10,6,2.8,62.7,128,0,116,6.6,260,9,-0.13,67,22,44.4,67.3,65.5,65.8,5,1,276,3,42.7,23.3,89.5,10.4,27,28,2,8,7,7,2.5,1259,6.2
Jayden Daniels,97993,QB,WAS,7,76.2,168,188,7.8,3.06,5,10,4.9,60.6,114,0,97,10.9,245,14,-0.01,70,32,52.0,74.8,73.8,65.5,0,3,267,3,46.5,18.6,88.1,7.3,18,39,2,13,8,8,3.0,1262,6.7
Dillon Gabriel,86272,QB,CLV,10,69.2,172,185,6.4,2.76,4,3,1.5,59.5,110,0,88,7.6,217,9,-0.21,49,8,90.2,49.0,49.6,58.8,3,2,232,5,34.6,21.6,80.8,8.8,19,11,1,5,7,10,4.3,937,5.1
Carson Wentz,10636,QB,MIN,5,72.6,157,169,8.4,2.68,2,3,1.7,65.1,110,0,78,3.5,199,4,-0.02,61,18,43.4,50.4,50.0,62.7,2,5,210,3,46.7,24.4,85.8,9.5,19,9,1,7,6,8,3.8,1216,7.2
Kyler Murray,38334,QB,ARZ,5,78.4,148,161,6.4,2.92,7,4,2.3,68.3,110,0,67,5.2,195,6,0.06,59,1,90.2,72.2,69.5,71.4,1,3,211,4,46.2,23.9,88.6,8.2,16,17,0,5,6,3,1.4,962,6.0
Davis Mills,52269,QB,HST,6,68.2,148,159,9.1,2.55,1,7,4.2,57.2,91,0,54,9.9,174,10,-0.11,50,13,57.9,64.0,67.6,43.6,3,1,183,3,42.5,14.8,81.6,4.6,8,7,0,7,5,8,4.4,915,5.8
Brady Cook,124199,QB,NYJ,5,69.0,142,153,5.9,2.71,5,1,0.6,57.5,88,0,49,10.2,179,10,-0.49,36,22,39.2,32.4,32.7,50.4,1,7,184,1,31.8,38.8,55.4,10.6,19,7,0,5,2,13,7.1,739,4.8
Tyrod Taylor,6332,QB,NYJ,6,75.0,120,134,9.3,3.24,6,2,1.4,59.7,80,0,71,11.1,170,10,-0.12,50,22,89.4,60.7,58.2,65.9,1,5,178,2,42.9,19.7,72.9,8.2,14,22,1,6,5,7,3.9,779,5.8
Jake Browning,46401,QB,CIN,5,70.1,117,125,8.0,2.8,2,5,3.7,64.8,81,1,56,1.2,138,1,-0.38,35,7,67.2,51.9,51.5,62.2,0,8,150,3,37.0,16.1,71.1,6.5,9,4,0,6,6,9,6.0,771,6.2
Russell Wilson,7077,QB,NYG,6,75.5,98,119,9.7,2.76,3,8,6.2,58.0,69,2,55,6.8,141,5,-0.17,36,21,27.9,63.3,63.5,56.5,4,3,152,4,41.1,18.2,77.4,7.1,10,12,0,14,3,7,4.6,831,7.0
Philip Rivers,1725,QB,IND,3,67.8,87,92,8.3,2.35,2,3,3.1,63.0,58,0,27,1.7,97,1,-0.18,30,14,55.4,51.0,50.5,59.6,0,3,102,2,46.4,18.5,80.2,5.2,5,0,0,3,4,5,4.9,544,5.9
Quinn Ewers,127253,QB,MIA,4,70.0,80,83,8.8,2.64,1,2,2.3,66.3,55,0,31,1.8,98,1,-0.04,30,17,29.5,39.7,40.5,55.1,0,3,101,2,41.8,25.8,85.5,8.2,8,3,0,2,3,5,5.0,622,7.5
Max Brosmer,105568,QB,MIN,6,74.6,67,71,4.3,2.72,0,2,2.6,66.2,47,0,34,6.0,87,3,-0.67,19,18,27.7,28.0,27.4,62.3,2,4,93,0,33.3,41.2,53.0,16.1,14,2,0,2,0,6,6.5,328,4.6
Riley Leonard,143862,QB,IND,5,67.7,62,67,9.2,2.75,1,6,8.2,58.2,39,0,28,7.1,73,3,-0.18,21,14,49.0,65.5,61.8,74.0,1,3,79,0,34.2,7.1,67.7,2.7,2,3,0,3,2,6,7.6,415,6.2
Tyler Huntley,46448,QB,BLT,4,84.4,64,67,6.2,2.73,1,1,1.4,77.6,52,0,37,3.7,82,2,0.06,24,3,85.6,79.1,68.8,86.5,0,0,85,1,48.8,21.6,103.1,9.8,8,7,1,1,2,1,1.2,426,6.4
Jameis Winston,9434,QB,NYG,3,65.0,60,66,10.1,2.9,1,5,6.9,56.1,37,0,26,5.1,70,2,0.34,26,21,83.8,74.0,66.3,72.2,1,2,76,1,45.7,11.5,82.1,4.3,3,1,0,4,2,5,6.6,567,8.6
Trey Lance,91399,QB,LAC,4,60.4,48,57,9.8,2.77,0,1,1.7,47.4,27,0,26,6.9,70,2,-0.54,13,27,50.7,36.0,31.3,66.5,3,1,72,1,30.0,23.1,50.8,8.6,6,7,4,2,0,4,5.6,226,4.0
Chris Oladokun,40364,QB,KC,3,79.2,48,55,5.0,3.12,3,0,0.0,63.6,35,0,26,7.9,67,3,-0.5,10,16,18.6,41.4,45.4,39.5,1,0,71,1,29.9,30.8,79.0,11.9,8,4,1,2,1,5,7.0,235,4.3
Josh Johnson,4474,QB,WAS,3,70.8,48,54,6.5,2.91,0,0,0.0,63.0,34,0,22,0.0,64,0,0.06,25,32,26.6,52.9,55.4,47.3,1,2,72,0,51.6,9.1,74.0,3.1,2,8,2,3,1,2,2.8,372,6.9
Cooper Rush,12324,QB,BLT,3,73.5,49,52,6.5,2.57,0,1,1.9,65.4,34,0,18,5.6,53,2,-0.49,13,3,81.7,59.3,59.8,52.9,2,4,57,0,39.6,5.6,48.8,1.9,1,0,0,1,0,3,5.3,303,5.8
Mason Rudolph,46569,QB,PIT,4,80.9,47,52,5.1,2.73,2,0,0.0,73.1,38,0,10,0.0,56,0,-0.01,17,25,42.3,52.5,50.3,69.1,0,2,60,1,50.0,20.0,84.6,3.6,2,1,0,3,2,4,6.7,310,6.0
Kenny Pickett,60515,QB,LV,6,76.2,42,45,6.1,2.85,1,1,2.2,62.2,28,0,22,12.5,56,4,-0.53,11,23,39.2,48.4,47.3,60.4,1,2,58,0,26.8,36.4,60.2,14.3,8,3,1,0,1,3,5.2,188,4.2
Tanner McKee,131770,QB,PHI,2,72.2,36,43,9.7,2.94,0,0,0.0,55.8,24,0,20,7.7,49,2,-0.18,17,24,81.2,61.2,60.7,58.8,1,1,50,0,49.0,15.0,73.2,6.1,3,3,0,6,1,1,2.0,274,6.4
Andy Dalton,6187,QB,CAR,3,71.4,35,37,9.5,2.57,0,1,2.6,67.6,25,0,18,0.0,48,0,-0.22,17,5,23.8,55.0,59.6,35.1,0,1,50,0,50.0,44.4,89.1,16.7,8,1,0,2,1,4,8.0,293,7.9
Mitch Trubisky,11757,QB,BUF,4,79.4,34,35,7.7,2.81,0,2,5.4,71.4,25,0,3,7.4,37,2,0.73,19,4,80.3,79.8,77.7,66.6,0,0,39,0,62.2,0.0,137.0,0.0,0,2,0,1,4,1,2.6,313,8.9
Malik Willis,60341,QB,GB,4,94.1,34,35,9.7,3.32,0,3,8.3,85.7,30,0,23,6.3,47,2,0.68,23,12,42.0,92.3,90.8,80.3,1,0,49,0,70.2,13.0,145.5,6.4,3,9,0,0,3,0,0.0,422,12.1
Brandon Allen,10835,QB,TEN,1,64.3,28,30,3.4,2.55,1,1,3.2,56.7,17,0,13,5.6,31,1,-0.89,3,31,77.7,36.4,37.1,,1,1,32,0,16.1,7.7,47.9,3.2,1,0,0,0,0,3,9.4,72,2.4
Joe Milton III,82151,QB,DAL,4,71.4,21,24,10.1,2.93,1,1,3.7,62.5,15,0,9,0.0,27,0,-0.28,9,9,26.6,52.7,52.7,57.4,0,2,30,0,48.1,0.0,65.1,0.0,0,3,0,2,1,2,6.7,183,7.6
Aidan O'Connell,60516,QB,LV,1,57.9,19,22,9.3,2.58,0,1,4.3,45.5,10,0,8,9.1,24,1,-0.41,5,23,76.3,65.7,66.9,55.7,1,0,25,0,33.3,12.5,59.3,4.2,1,1,0,2,0,0,0.0,102,4.6
Teddy Bridgewater,8667,QB,TB,1,57.1,14,15,6.4,2.57,0,0,0.0,53.3,8,0,7,0.0,18,0,-0.73,2,30,75.8,43.8,44.0,57.5,0,0,20,0,11.1,28.6,63.8,11.1,2,1,0,1,0,0,0.0,62,4.1
Clayton Tune,77652,QB,GB,2,69.2,13,15,3.6,3.04,1,0,0.0,46.7,7,0,11,22.2,22,2,-0.87,3,12,76.6,37.7,29.5,65.1,0,1,23,0,31.8,45.5,25.7,22.7,5,2,0,1,0,1,4.3,42,2.8
Shane Buechele,12659,QB,KC,1,63.6,11,14,11.5,3.08,2,1,7.1,50.0,7,0,10,0.0,20,0,-0.32,4,16,75.1,51.2,54.2,55.3,0,0,20,0,20.0,50.0,69.9,25.0,5,1,0,1,0,1,5.0,88,6.3
Gardner Minshew,41401,QB,KC,2,66.7,9,13,4.4,2.76,2,0,0.0,46.2,6,0,3,0.0,14,0,-0.54,2,16,75.7,33.4,33.6,58.3,0,1,15,1,28.6,0.0,21.0,0.0,0,1,0,2,0,1,6.7,37,2.8
Zach Wilson,82096,QB,MIA,3,75.0,8,11,5.6,2.34,1,0,0.0,54.5,6,0,4,0.0,12,0,-0.33,3,17,73.5,49.1,49.1,57.9,1,0,12,0,33.3,0.0,60.0,0.0,0,1,0,1,0,0,0.0,32,2.9
Joshua Dobbs,11890,QB,NE,4,70.0,10,10,10.8,3.25,0,1,9.1,70.0,7,0,2,0.0,11,0,-0.25,3,19,76.3,64.0,66.5,56.1,0,0,12,0,27.3,0.0,87.5,0.0,0,1,0,0,0,0,0.0,65,6.5
Taysom Hill,12112,TE,NO,5,66.7,3,6,17.3,2.5,1,0,0.0,33.3,2,0,1,0.0,6,0,-0.47,2,20,30.0,53.4,70.7,54.5,0,0,6,2,33.3,0.0,109.0,0.0,0,0,0,2,1,0,0.0,57,9.5
Tyson Bagent,169628,QB,CHI,2,75.0,4,4,7.8,3.4,0,0,0.0,75.0,3,0,1,0.0,5,0,0.6,2,6,68.0,60.3,62.3,58.3,0,0,5,0,60.0,0.0,113.5,0.0,0,1,0,0,0,0,0.0,47,11.8
Nick Mullens,12282,QB,JAX,2,100.0,3,3,1.0,1.7,0,0,0.0,100.0,3,0,0,0.0,3,0,0.51,2,15,75.1,70.6,71.2,62.8,0,0,3,0,66.7,,93.1,0.0,0,0,0,0,0,0,0.0,19,6.3
Drew Lock,39517,QB,SEA,1,66.7,3,3,1.3,2.67,0,0,0.0,66.7,2,0,1,0.0,3,0,-0.3,1,29,14.2,27.4,43.5,29.4,0,0,3,0,33.3,0.0,78.5,0.0,0,0,0,0,0,1,33.3,15,5.0
Anthony Richardson,124393,QB,IND,1,50.0,2,2,18.5,2.0,0,0,0.0,50.0,1,0,0,0.0,2,0,-0.58,1,14,70.1,72.4,65.9,66.7,0,0,2,0,50.0,,62.5,0.0,0,0,0,0,0,0,0.0,9,4.5
David Montgomery,45719,HB,DET,4,50.0,2,2,7.5,3.63,0,0,0.0,50.0,1,0,2,0.0,4,0,-0.96,1,11,77.0,75.3,62.4,72.5,0,0,5,0,25.0,50.0,95.8,25.0,1,0,0,0,1,0,0.0,3,1.5
Kyle Allen,26152,QB,DET,1,50.0,2,2,6.0,2.25,0,0,0.0,0.0,0,0,0,100.0,2,1,-0.78,0,11,69.1,73.7,73.0,60.5,0,0,2,0,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Gunner Olszewski,95015,WR,NYG,2,50.0,2,2,13.5,4.35,0,0,0.0,50.0,1,0,1,0.0,2,0,1.36,1,21,61.9,76.7,58.5,,0,0,2,1,50.0,0.0,135.4,0.0,0,0,0,0,1,0,0.0,33,16.5
Kedon Slovis,100580,QB,ARZ,2,100.0,2,2,1.5,2.25,0,0,0.0,50.0,1,0,1,50.0,2,1,-1.26,0,1,63.6,58.8,58.7,,0,0,2,0,0.0,0.0,56.3,0.0,0,0,0,0,0,0,0.0,-2,-1.0
RJ Harvey,99622,HB,DEN,1,0.0,1,1,2.0,3.4,0,0,0.0,0.0,0,0,0,,1,0,-0.33,0,10,78.8,68.3,59.0,69.2,0,0,1,0,0.0,,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0
Austin McNamara,99363,P,NYJ,1,100.0,1,1,3.0,2.9,0,0,0.0,100.0,1,0,0,0.0,1,0,2.89,1,22,60.4,69.5,66.9,,0,0,1,0,100.0,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
Cooper Kupp,11824,WR,SEA,1,0.0,1,1,7.0,3.6,0,0,0.0,0.0,0,0,1,,1,0,-5.12,0,29,35.9,70.2,45.5,,0,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Rigoberto Sanchez,12130,P,IND,1,100.0,1,1,11.0,1.8,0,0,0.0,100.0,1,0,0,0.0,1,0,1.63,1,14,60.4,72.9,68.8,,0,0,1,0,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,16,16.0
Christian McCaffrey,11763,HB,SF,1,,0,1,,3.3,0,0,0.0,0.0,0,0,1,,1,0,-0.54,0,28,81.6,78.3,60.0,69.1,0,0,1,0,0.0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Breece Hall,97636,HB,NYJ,1,100.0,1,1,12.0,4.2,0,0,0.0,100.0,1,0,0,0.0,1,0,1.47,1,22,73.3,83.5,55.1,83.7,0,0,1,1,100.0,,122.9,0.0,0,0,0,0,1,0,0.0,4,4.0
Tyler Warren,129798,TE,IND,1,,0,1,,4.3,0,0,0.0,0.0,0,1,1,,1,0,-0.32,0,14,54.3,67.6,60.0,45.1,0,0,1,4,0.0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Matt Haack,12212,P,ARZ,1,100.0,1,1,19.0,2.2,0,0,0.0,100.0,1,0,0,0.0,1,0,5.88,1,1,60.4,73.1,68.8,,0,0,1,0,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,28,28.0
Isaiah Williams,97156,WR,NYJ,1,0.0,1,1,7.0,3.6,0,0,0.0,0.0,0,0,0,,1,0,-0.55,0,22,67.6,61.4,56.3,63.7,0,0,1,1,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Derrick Henry,10679,HB,BLT,1,0.0,1,1,14.0,3.2,0,0,0.0,0.0,0,0,1,,1,0,-0.32,0,3,56.9,80.4,48.9,79.4,0,0,1,1,0.0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Chris Olave,84355,WR,NO,1,0.0,1,1,4.0,2.4,0,0,0.0,0.0,0,3,0,,1,0,-3.53,0,20,83.7,78.0,53.5,,0,1,1,7,0.0,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Jaylen Waddle,84088,WR,MIA,1,100.0,1,1,-4.0,3.2,0,0,0.0,100.0,1,2,0,0.0,1,0,-1.41,0,17,48.0,84.0,60.3,68.1,0,0,1,2,0.0,,100.0,0.0,0,0,0,0,0,0,0.0,8,8.0
Corey Bojorquez,27626,P,CLV,1,,0,1,,3.4,0,0,0.0,0.0,0,0,1,,1,0,0.0,0,8,,60.0,60.0,,0,0,1,0,0.0,0.0,39.6,0.0,0,0,0,1,0,1,100.0,0,0.0
Cole Kmet,60995,TE,CHI,1,0.0,1,1,13.0,4.8,0,0,0.0,0.0,0,0,0,,1,0,-0.69,0,6,77.0,65.1,70.7,,0,0,1,3,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Cam Akers,57206,HB,SEA,1,100.0,1,1,15.0,2.3,0,0,0.0,100.0,1,0,0,0.0,1,0,3.22,1,29,72.5,58.9,70.7,64.6,0,0,1,0,100.0,,158.3,0.0,0,0,0,0,1,0,0.0,32,32.0
DJ Moore,48267,WR,CHI,1,100.0,1,1,3.0,4.2,0,0,0.0,100.0,1,0,1,0.0,1,0,2.72,1,6,81.5,65.8,68.9,71.0,0,0,1,8,100.0,0.0,118.8,0.0,0,0,0,0,1,0,0.0,2,2.0
